[00:00] 歡迎收聽趙華宇古貨載第1011集1011
[23:34] 他也會來看高中
[23:35] 對沒錯
[23:37] 因為生計確實
[23:38] 因為我以前也是玩過
[23:39] 生計玩過
[23:40] 在那個疫情那時候
[23:42] 那你一定是做生計
[23:44] 那時候就不用
[23:45] 類似這樣的一個情況
[23:46] 那生計確實
[23:47] 就是說我們不要講疫情那時候
[23:49] 就是說以整個生計來講
[23:51] 重點就在心藥
[23:52] 比如說減肥藥也好
[23:54] 它也是有心藥的效果
[23:56] 不過就是說這種心藥
[23:57] 有時候不是三年五年的事情
[24:00] 所以變成說
[24:02] 我倒覺得生計就是說
[24:04] 如果是很多閒錢的人
[24:06] 當然他是分散
[24:07] 就剛剛趙華有講
[24:08] 你是去避險
[24:09] 分散一些風險在這塊裡面
[24:11] 然後去投一些很長
[24:13] 很長期的一種投資
[24:15] 三五年後的投資
[24:16] 我覺得倒是
[24:17] 倒是也沒有問題
[24:18] 對
[24:18] 可是短線上
[24:19] 如果要去運作這種所謂的
[24:21] 跟著指數的這種感覺走
[24:23] 那確實升級是比較
[24:25] 比較難一點
[24:27] 對
[24:27] 我自己也有在看升級
[24:29] 那剛剛我念到的幾家升級公司
[24:31] 就是我自己會比較關注的
[24:33] 就寶瑞美食
[24:33] 還有藥華藥
[24:35] 對
[24:35] 可是我自己很清楚
[24:37] 因為風不在他們身上
[24:38] 我就連蹲點都懶
[24:40] 對
[24:41] 因為它比較不是我的主核心
[24:43] 對
[24:43] 那我主核心就是跟雲翔哥
[24:45] 可能說比較重疊
[24:46] 就例如說半導體的啦
[24:47] 裝置的啦
[24:48] 這種我就特別喜歡
[24:49] 那面板的我必須說
[24:51] 雖然我跟面板有一定的熟悉度
[24:53] 可是非常認同雲翔哥講的
[24:56] 如果是單純長
[24:57] 說是面板長這樣
[24:59] 電視面板
[24:59] 因為消費性電子展
[25:01] 這種的趨勢
[25:02] 可能沒有辦法延續非常的久
[25:03] 那一定要延續到
[25:05] 這個扇出型封裝的部分
[25:06] 那除了群創
[25:07] 剛剛講到力成
[25:08] 為什麼
[25:08] 因為力成有EPS啊
[25:10] 歷程也還沒有過前高
[25:11] 那時候啦
[25:12] 所以去鎖定它是一個合理的
[25:14] 就它還有記憶體題材
[25:16] 對不對
[25:16] 那記憶體呢
[25:17] 記憶體現在就是無法無天啦
[25:20] 然後之前雲翔哥幫我們找的是
[25:22] 福茂科
[25:22] 那現在還有東西可以找嗎
[25:25] 因為坦白講
[25:26] 記憶體我現在就是
[25:28] 當然對我來講
[25:29] 我就當然比較沒有去碰
[25:31] 記憶體這一塊
[25:32] 因為就我自己來講說
[25:34] 如果已經這個
[25:35] 這個記憶體已經
[25:36] 有很多已經翻十倍了
[25:38] 對 如果像南亞科
[25:40] 有可能20出頭到現在是200多
[25:43] 我記得那時候你來上
[25:44] 我們華語谷跟艾倫那個節目
[25:46] 你有說南亞科漲300%了
[25:48] 還會漲
[25:48] 但是你那時候看高做低
[25:49] 是選福茂科
[25:50] 對
[25:50] 那相對當然是安全性的問題
[25:54] 那以福茂科確實也漲了一倍多
[25:57] 還有模組也有選了一些
[25:58] 對 模組也有選
[25:59] 模組確實以現在來講
[26:01] 它的風險值比南亞科可能更高
[26:06] 因為南亞科一直在漲價
[26:07] 那現在你如果沒有庫存的
[26:10] 這個模組廠
[26:11] 你現在要買貴的庫存
[26:13] 那到時候可能數字
[26:15] 不是那麼好看的時候
[26:16] 對
[26:16] 又有這個風險
[26:17] 大家還是要留意這件事
[26:19] 因為像南亞科
[26:20] 公佈了11月月結
[26:22] 就1.37
[26:23] 11月的
[26:24] 對11月
[26:24] 年增21倍
[26:26] 對
[26:26] 所以大家就估說
[26:28] 確實其實坦白講
[26:29] 已經有人估過了
[26:31] 南亞科有可能在2026年
[26:33] 賺15到20塊
[26:35] 對
[26:36] 那這15到20塊
[26:37] 我覺得說有可能
[26:38] 因為它位元組這個資料
[26:40] 就來給你看
[26:40] 因為漲價漲到這個程度了
[26:42] 那問題在於說
[26:44] 都已經漲到這樣子的情況下
[26:47] 那最痛苦的是誰
[26:48] 最痛苦就是這些PC廠
[26:51] 對
[26:51] NB廠
[26:52] NB廠其實最慘的
[26:53] 華碩這件頭痛
[26:54] 非常頭痛
[26:55] 要這樣乾脆我自己來做
[26:56] 對我自己來做
[26:58] 所以確實有一些
[26:59] 開始有一些雜音出來
[27:00] 因為你會不利於
[27:02] 這個消費性電子的底層
[27:05] 我們講說
[27:06] 終端如果這個需求出不來
[27:07] 對不起
[27:08] 以前我是給你32G的
[27:10] 這個
[27:11] 我用standard的標準
[27:13] 標準的這個配備是32G
[27:15] 現在我只能給16G
[27:17] 你要自己加16G
[27:18] 你自己加
[27:19] 對
[27:19] 所以它的消費
[27:20] 就會相對於減弱
[27:22] 我覺得說這個迴圈
[27:23] 搞不好來得快也有可能
[27:25] 所以就是說
[27:25] 大家也要考慮到說
[27:27] 不是漲價後
[27:28] 它不會跌價
[27:29] 這種迴圈的這種過程裡面
[27:31] 事實上很多產業
[27:32] 當然都有這種迴圈
[27:33] 像以前我們剛講
[27:35] DriveIC
[27:36] 這個價格就噴了好幾倍
[27:39] 然後瞬間又回到
[27:40] 所謂的原本的一個價錢
[27:43] 甚至有些還達到虧損
[27:45] 那第一點我覺得說
[27:47] 也是要有這種風險的意識在
[27:49] 也就是說
[27:50] 如果當你發現這個價格開始有回落
[27:53] 還是這個價格已經開始
[27:55] 就是價格不動
[27:57] 然後這個股價開始下來
[27:59] 那相對要有這種風險的意識
[28:01] 所以有可能它是在一個
[28:03] 這個週期的一個高峰
[28:06] 那你這邊的話會考慮
[28:08] 例如說
[28:09] 對其實模組場
[28:10] 真的還是要提醒大家
[28:11] 我們為什麼之前會一直列
[28:13] 這個存貨股本比給大家
[28:15] 就是對應他的股本
[28:16] 他的存貨的倍數大概有多少
[28:18] 那大家都知道實權是第一名
[28:20] 威剛是第二名
[28:21] 那這兩檔確實在模組場裡面
[28:24] 就是過心高
[28:25] 非常厲害
[28:26] 那宇瞻是第三名
[28:27] 但第三名之後的存貨股本比
[28:30] 其實都偏低
[28:31] 例如說建立有一段時間大漲
[28:33] 可是建立其實是一個不囤庫存的公司
[28:35] 所以我覺得
[28:36] 它當然有可能因為勢頭在
[28:38] 大家一起漲
[28:39] 可是為什麼說這些庫存很重要
[28:41] 因為你會被迫自解
[28:43] 漲到被迫自解的時候
[28:44] 威剛實權就很強
[28:45] 因為他們的庫存夠多
[28:47] 確實也獲利很多
[28:48] 但是當這些庫存如果真的賣完了
[28:50] 那要去跟南亞科華盲店拿新的貨的時候
[28:54] 又是拿到很貴的
[28:55] 所以現在的話
[28:57] 可能模組廠大家就要留意
[28:58] 他們自解之後
[29:00] 有沒有告訴你他們庫存的狀況
[29:01] 其實像威剛的陳立白董事長
[29:04] 他就是一個很好的教科書
[29:07] 因為他大概在2025年
[29:09] 七八月的時候
[29:10] 就有提出這件事
[29:12] 他就有提出說
[29:13] 他們要很小心的去計算庫存量
[29:16] 然後他也去韓國拿貨或什麼的
[29:18] 因為他說有的東西不能急著賣
[29:20] 不曉得大家還記不記得
[29:21] 大概到十月的時候
[29:22] 他說有的東西不能急著賣
[29:23] 越後面賣才會越貴
[29:24] 所以他很厲害
[29:26] 他有在調配
[29:27] 但是每一家模組廠
[29:28] 都有能力做這個調配
[29:29] 不知道
[29:30] 所以這個是要留意
[29:31] 但是上游的顆粒廠
[29:33] 當然就很猛
[29:33] 華邦電跟南雅克都很猛
[29:36] 可是這個猛
[29:37] 它會建立在一個生態平衡
[29:39] 如果下游
[29:40] 有一天No Book說
[29:41] 我真的都賣不出去了
[29:42] 因為我沒有辦法賠錢賣
[29:44] 那我可能就減少跟你拿貨
[29:46] 然後一段時間之後
[29:47] 景氣迴圈就難免會向下
[29:50] 對
[29:50] 不過記憶體來講
[29:51] 我倒是有另外一個不同看法
[29:53] 是我認為
[29:54] 這個Nandifresh
[29:55] 倒是比這個
[29:57] Manfresh
[29:58] 對
[29:58] 現在群聯來講
[30:00] 我覺得它相對比較不一樣
[30:01] 為什麼
[30:02] 因為基本上SSD這一塊來講
[30:04] 是整個AI伺服器
[30:06] 它可能需求量還是還蠻大
[30:08] 在AI上面
[30:09] 對AI上面
[30:10] 另外來講就是
[30:11] 它本來這個群聯做的是
[30:13] 所謂的控制
[30:15] 控制IC的部分
[30:16] 所以它的毛利相對是
[30:18] 比其他人來的高
[30:20] 穩定性也比較高
[30:21] 所以說它最近雖然說
[30:23] 它1000多
[30:24] 可至少說
[30:25] 依它來講是比較有這種
[30:27] 對未來一兩年的這種看法
[30:30] 是
[30:30] 所以潘董才會講出十年
[30:33] 好十年
[30:34] 一開始笑笑
[30:36] 後來就想說
[30:37] 不用十年
[30:38] 其實到現在我們已經覺得很佩服
[30:40] 沒錯
[30:40] 也到一千六了
[30:42] 今天也是創歷史新高
[30:43] 那最近還漲到所謂no
[30:45] no fresh的部分
[30:46] 因為也講說
[30:48] 要從雲端到終端
[30:49] 這個邊緣運算也要用到no fresh
[30:52] 所以旺宏也連續漲
[30:53] 還說no fresh要漲一百趴
[30:55] 沒有關係
[30:56] 就是大家就看下去
[30:58] 看下去
[30:59] 那這個當然是在勢頭上
[31:03] 可是雲翔哥就不一定會這麼積極了
[31:05] 因為這個隨時有反轉的可能
[31:07] 不像有一些說實話EPSN穩定的
[31:10] 那看高做低是沒有問題的
[31:13] 不過而且雲翔哥還會找
[31:15] 他不會找這個價位太高
[31:16] 例如說他最近也有在看細晶圓
[31:18] 因為細晶圓無論如何
[31:20] 在這個AI或半導體的運用上
[31:22] 也應該是優量放大的
[31:23] 它還是最上游嘛
[31:24] 對我們講最上游
[31:25] 所以那時候會提到中美金
[31:28] 環球金
[31:30] 也有人說
[31:31] 怎麼又提到這樣的一個標題
[31:34] 事實上沒有
[31:34] 以前我沒有提這種標題
[31:35] 我在疊的時候事實上
[31:38] 當然就是
[31:38] 它題材沒有出來
[31:40] 當然我不會特別去講
[31:41] 那不過說
[31:42] 現在剛好說
[31:43] 相對於就是說
[31:45] 這樣的一個題材慢慢出來
[31:47] 因為在講說
[31:48] 這個源頭這個量
[31:49] 開始會衝起來
[31:50] 因為上次我有提到
[31:52] 因為HPM這個在今年開始
[31:54] 開始拓展以後
[31:56] 相對HPM它需要的用量可能是過往這一種所謂記憶體的這個DRAM相關的兩三倍的一個量能來講那對它當然就是一個可能的利基點會出來
[32:09] 那我覺得說以這一塊來講
[32:12] 也成績了大概好幾年以後
[32:15] 那我覺得這一段如果它的一個收益
[32:18] 如果跟法人估的一樣
[32:20] 就是說如果它確實2026年把環球金估到
[32:23] 有EPS可能有二幾塊
[32:25] 那當然他就有可能
[32:26] 我們講說
[32:27] 重點還是本益比
[32:29] 本益比如果
[32:30] 所以他的本益比
[32:31] 基本上是慢慢
[32:33] 還有空間起來
[32:35] 那基本上我覺得說
[32:36] 倒是可以去投這樣的一個標的
[32:39] 那當然要跟著這個技術面來看
[32:42] 對
[32:42] 像雲翔哥有兩次推這個中美金
[32:45] 都不是說他很右下角
[32:46] 我可憐他來推
[32:47] 要不是是
[32:48] 矽晶遠最近在動
[32:50] 那環球金
[32:51] 我覺得他還是整個產業裡的大哥
[32:53] 一樣是獲利非常好的
[32:55] 那環球鑫的趨勢
[32:56] 拉出來的時候
[32:57] 就可以看他的媽媽
[32:58] 叫鍾美金
[32:59] 但是你說要不要去買
[33:00] 這個加金合金呢
[33:02] 這就是看個人了
[33:03] 因為他們沒賺錢
[33:04] 但他們可能標起來很兇
[33:06] 對那這一點我就很認同
[33:08] 我只是會有時候會嫌說
[33:09] 鍾美金股性也是很溫吞
[33:11] 但是有時候你做一個短線
[33:12] 如果你有個十趴十幾趴
[33:14] 也很好
[33:15] 而且他確實是這個
[33:18] 我們講科技公司裡面的ETF
[33:20] 就還有太多的科技上市子公司
[33:22] 所以大家會挹注他一些
[33:24] 他比較吃虧的就是太陽能的部分
[33:27] 但太陽能你說前陣子有沒有漲
[33:29] 有啊
[33:29] 圓金啊
[33:30] 帽底啊
[33:31] 狂噴一番
[33:32] 突然間說要送到外太空
[33:33] 對
[33:34] 他最近又是不是又休息了
[33:35] 所以正規軍有時候會換來換去
[33:37] 那什麼樣的正規軍在回跌的時候
[33:40] 你可能心情會比較安定
[33:41] 或是你比較不容易說抱得很心虛
[33:43] 其實就是要有獲利啦
[33:45] 我覺得這件事情
[33:46] 我自己也是蠻信奉這件事情的
[33:49] 那昨天還有件有趣的事哦
[33:51] 因為昨天大漲臺積電
[33:52] 很多人就在講說
[33:53] 沒有或是有的人不想加
[33:55] 其實也跟大家分享過
[33:57] 有沒有便宜入手臺積電的方法
[33:59] 當然有
[33:59] 0052分拆的時候
[34:01] 是不是有跟大家連續三天都在講
[34:03] 0052分拆
[34:04] 它就是最容易
[34:05] 用幾萬塊錢入手臺積電的方法
[34:07] 因為臺積電佔它的整體的比重
[34:09] 有超過75%左右
[34:11] 然後那這也是一個方法
[34:13] 當然你說買0050 6108這種的
[34:15] 它都有大概60%的臺積電
[34:16] 也很高
[34:17] 那昨天發生一件事
[34:18] 就是00981A
[34:20] 他跑去買了0052跟0050
[34:23] 主動型ETF
[34:25] 跑去買被動式ETF
[34:27] 為什麼
[34:27] 其實我覺得
[34:28] 以我來看
[34:29] 我覺得他們真的很積極
[34:31] 怎麼說
[34:32] 買被動式為什麼積極
[34:33] 因為他們有一些
[34:35] 持股的上限規定
[34:36] 例如單一個股
[34:37] 不能超過所有持股的10%
[34:39] 那臺積電自然就不會超過10%
[34:42] 在臺積電沒漲
[34:43] 中小型股標股漲的時候
[34:44] 你會覺得超棒的
[34:45] 為什麼要壓在臺積電
[34:46] 可是我臺積電在漲怎麼辦
[34:48] 如果我希望不止10%
[34:50] 臺積電怎麼辦
[34:50] 他就去買0050跟0052
[34:52] 沒有人規定
[34:53] 我的ETF不能買到10%
[34:55] 可是10%裡面有70%是臺積電
[34:58] 對不對
[34:59] 所以超級有趣
[35:01] 但是我會覺得
[35:02] 這就是一個積極的
[35:03] 想要爭取績效的人的做法
[35:06] 所以我今天有把這件事情
[35:08] 跟我的團隊做分享
[35:09] 因為我們昨天在做內容的時候
[35:12] 有發現一件很有趣的事
[35:13] 臺積電那一段的分享
[35:15] 是收視率最低的
[35:16] 可是後面去講到
[35:18] 有沒有哪一些值得蹲點啊
[35:20] 你手上的股票沒有漲
[35:21] 不要擔心
[35:22] 因為他們是一個輪動的
[35:23] 會漲上來
[35:24] 或是你可以買
[35:25] 臺移電的好朋友
[35:25] 他會漲比較多
[35:26] 或者是你用主動CTF
[35:28] 現在很多還十幾塊錢的
[35:29] 高點就落在這種
[35:31] 十幾塊錢
[35:32] 你就可以讓別人幫你操盤
[35:34] 或者是臺移電的好朋友
[35:35] 可能會漲比臺移電更快
[35:37] 或是有一些
[35:38] 你不要覺得
[35:38] 細光紙現在在休息就沒了
[35:40] 後面還是會有
[35:41] PCB後面還是會有
[35:42] 反而大家的興趣
[35:44] 跑到這個上面來
[35:45] 為什麼
[35:46] 因為我覺得大部分的人
[35:47] 不是隻靠臺積電賺錢的人
[35:49] 都需要聽到另外的資訊
[35:52] 對
[35:52] 這就是我覺得
[35:53] 昨天0098也做這個決定
[35:55] 很smart的地方
[35:56] 因為他就是知道
[35:57] 我現在如果要有足夠臺積電
[35:59] 我要想辦法
[36:00] 我不能束手無策
[36:02] 對
[36:02] 然後如果今天我覺得
[36:04] 我不要那麼多臺積電了
[36:05] 我可能就把這些東西砍掉
[36:07] 去換標股
[36:08] 那最近很多人在說
[36:09] CPU疊什麼
[36:10] 我覺得沒有疊到不可思議
[36:12] 就是一個漲多的回檔
[36:14] 前一陣子紛紛創新高
[36:16] 還有就是前兩天
[36:17] 我跟大家分享
[36:17] 大力光他要做CPU
[36:19] 然後他跟臺積電有結盟
[36:22] 他旗下有家叫來臨科技
[36:24] 那這個事情能不能
[36:25] 會不會讓某一些CPU廠
[36:27] 可能受到排擠
[36:28] 這是有可能的
[36:29] 如果他在臺積電的合作上面
[36:31] 目前沒有拿到進度的話
[36:32] 很有可能
[36:33] 但是他切進來
[36:35] 也許影響到別人
[36:36] 但也代表這個領域
[36:38] 對大力光來說
[36:39] 一定有他參與的價值
[36:41] 所以肯定也是臺積電和輝達
[36:43] 一定要發展的趨勢
[36:44] 所以我覺得這個族群沒有死掉
[36:46] 可是他的競爭會變激烈
[36:48] 因為你要做贏
[36:50] 新加入又有錢的大立光
[36:51] 對對對
[36:53] 好那雲翔哥
[36:53] 最近比較沒有關注CPU
[36:55] 因為最近確實
[36:57] 這幾天的風不在他上面
[36:59] 可是我覺得這裡面
[37:01] 有一個事情很有趣
[37:02] 就是軍工明明就是這一波弱的
[37:05] 但難得雲翔哥到現在
[37:07] 還是對軍工心心念念
[37:09] 對因為CPU大前一波
[37:12] 我大概做了一波
[37:13] 那我覺得說做了一波
[37:15] 剛好現在又轉向
[37:17] 稍微轉向
[37:18] 偏向PCB
[37:21] 載板這些都一直有在動
[37:23] 然後也轉到風策
[37:26] 臺階是蠻相關
[37:27] 可是你剛剛提到軍工
[37:30] 對我想說你怎麼會有
[37:32] 最近沒有風
[37:34] 軍工這一塊來講
[37:35] 無人機這一塊
[37:37] 大家還是有在關注
[37:38] 為什麼會特別關注這一塊
[37:40] 就是說
[37:41] 因為軍工在
[37:43] 當然我們講說
[37:44] 因為去年上半年大概還不錯
[37:48] 整個軍工產業整個拉動的速度還蠻快
[37:52] 從股災之後
[37:53] 整個大概有的拉了兩三倍
[37:56] 從雷虎
[37:57] 我們講說長榮航太
[38:00] 你會發現說像長榮航太這種公司
[38:03] 大家都已經從220
[38:05] 大概拉回到140左右
[38:08] 對我來講當然又是一個甜點價
[38:11] 為什麼
[38:12] 因為對他來講
[38:13] 他不是因為他的這個營收掉
[38:16] 不是因為他的EPS掉
[38:19] 反倒他的EPS也會增加
[38:21] 對不對
[38:22] 今年可能比去年來講可能更好
[38:24] 比如說他EPS去年可能是六七塊
[38:27] 今年可能八塊起掉到十塊
[38:29] 那對我來講
[38:31] 他本質上已經更好
[38:32] 然後又回到這個比較停的價格
[38:35] 那至於說
[38:36] 他現在沒有在動
[38:37] 不代表他今年不會動
[38:39] 所以我覺得說
[38:40] 只要有這個所謂的
[38:42] 這個相關的這種
[38:44] 所謂的地域性的這種題材
[38:48] 對
[38:48] 跟這個軍事有關的題材
[38:51] 那相對於說
[38:52] 有時候這個無人機動得非常快
[38:55] 我們講
[38:55] 所以對我來講
[38:56] 我還是會有這種所謂的佈局
[38:59] 對有這種佈局
[39:00] 因為畢竟在2025年
[39:03] 對不對
[39:03] 你有因為長邏航太
[39:04] 就是有一波大的獲利
[39:06] 所以對於這個族群
[39:08] 難免有一個感情
[39:09] 我還記得2025年
[39:10] 一開始講的題材股是金居
[39:12] 那時候說金居是地表上跑最快的東西
[39:15] 後來就引爆了一波
[39:17] 整體PCB的大行情
[39:19] 我覺得這些都會成為我們
[39:20] 難免在投資上面的一個喜好跟記憶
[39:23] 就是為什麼有些公司在漲的時候
[39:26] 我真的參與不到
[39:27] 可是有些公司在漲的時候
[39:28] 完全掌握得到
[39:29] 那難免
[39:30] 每個人會有自己的
[39:31] 好的一個經驗
[39:33] 對不對
[39:33] 那當然以個股的輪動來說
[39:36] 如果大家覺得很吃力
[39:37] 趙華還是常常提到
[39:38] 有蠻多的ETF可以進行佈局
[39:40] 那像昨天講到這個00830配9塊錢的事情
[39:43] 就有人傳訊息問我說
[39:45] 那他現在有投資這個美股的半導體ETF啊
[39:48] 他難道不是追蹤廢辦指數嗎
[39:50] 因為我有提到
[39:51] 純追蹤廢辦指數的就是00830
[39:54] 那他講的這一檔是SOXX
[39:57] 這一檔他是追蹤美國的半導體指數
[40:00] 但是他不是追蹤廢辦指數
[40:03] 當然你也可以說
[40:04] 我不用那麼拘泥在
[40:06] 我是不是一定要追蹤廢辦指數
[40:08] 那麼完整
[40:08] 因為我有講到
[40:09] 有追蹤廢辦指數里面
[40:11] 可能市值比較大的ETF
[40:13] 又有像這檔SOXX
[40:16] 它其實追蹤的是
[40:17] 另外的美國半導體指數
[40:19] 它裡面也都是半導體的成分股
[40:21] 它們的差別可能只是在
[40:22] 有的公司因應這個指數
[40:24] 它的比重會比較高
[40:26] 會是這樣子的
[40:27] 我覺得都沒有問題
[40:29] 不用像我說執著這樣
[40:30] 但是因為我在臺股買
[40:32] 我在臺股買的話
[40:33] 它就是在臺股掛牌裡面
[40:34] 追蹤廢辦指數的ETF
[40:36] 那如果你已經在美股做副委託
[40:38] 那你的選擇真的非常多
[40:40] 或是你是開這個美股的
[40:41] 網路券商這一種的
[40:43] 你的選擇就會變得非常非常多
[40:45] 不一定要侷限在這邊
[40:46] 你喜歡任何的半導體型的ETF
[40:48] 其實美股有非常多的種類
[40:50] 所以這邊的話也跟大家分享一下
[40:53] 就是很多ETF可以做應用的
[40:56] 例如說這一波
[40:57] 昨天我們看到0050是跑贏
[40:59] 這個00985A
[41:01] 那今天985A又跑贏0050
[41:03] 可能常常會有這樣的一個現象
[41:05] 但是你要理解為什麼
[41:07] 例如說你喜歡很純的臺積電
[41:09] 那就是0052是比較純的
[41:11] 那如果你喜歡的是臺積電比重沒有那麼高
[41:14] 可是可以幫你分配在各個市值裡面的
[41:16] 那可能像這個985A
[41:19] 就會是一個這樣的情形
[41:20] 那如果你喜歡的是像981A那種
[41:23] 我隨時隨地給你換策略
[41:25] 那像我昨天晚上
[41:26] 我們又有聊到一檔是要新發行的995A
[41:30] 那995A就有趣了
[41:31] 它就是有設計一個選股的邏輯
[41:34] 但是主動幫你選
[41:35] 因為你就不會有發生說
[41:37] 我經理人愛買什麼就買什麼
[41:39] 我是告訴你
[41:40] 我這個是有經過篩選之後
[41:42] 可能是前20%的公司
[41:43] 我會從這裡面選
[41:44] 但是我主動選
[41:45] 對
[41:46] 所以現在很多種的變形
[41:48] 就看大家喜歡的是什麼
[41:50] 當然如果你很固守原則
[41:51] 就是我只買市值型
[41:53] 或是我只買高股息
[41:54] 我覺得那個問題也不大
[41:55] 只要你知道
[41:56] 為什麼你是這樣做
[41:57] 或這樣配就好了
[41:58] 像我就是有把這些
[42:00] 我剛剛講的各自組合起來
[42:02] 我覺得也許它不是績效最大化
[42:04] 可是不會變成
[42:05] 長A的時候你都沒有B
[42:07] 長B的時候你也沒有A
[42:08] 這樣子的情形
[42:09] 跟大家再做一次分享
[42:11] 好那今天很謝謝雲翔哥
[42:13] 謝謝謝謝
[42:14] 他對著空中揮手說謝謝
[42:18] 好然後接下來的話
[42:20] 臺股如果繼續往上發展
[42:22] 或是往下發展
[42:23] 那我希望大家像雲翔哥一樣
[42:26] 如果是順勢而為的話
[42:27] 其實都沒有關係
[42:28] 都沒有問題
[42:29] 現在是多頭趨勢
[42:30] 就不要隨便放空
[42:32] 這樣很可惜
[42:33] 那就跟我們古惑仔說拜拜吧
[42:35] 拜拜
