[00:00] 歡迎收聽《照華於股貨載地1181集》,今天是2026年的9月10號。
[40:12] 這策略聯盟有一點點像谷歌跟柏通的策略聯盟,
[40:16] 那一開始聯盟的時候大家就會覺得,
[40:18] 哦,本來Google TPU不是跟聯發科合作嗎?
[40:21] 那博通跟這個發哥都要去做這種幫忙做自研晶片的能力都有嘛,那是不是就是把B換進來之後A就要踢掉呢?那也跟大家當時第一時間分享說不會啦,不會這樣子,你不可能只找一家單押,而且你也不可能跟一個人開發到一半之後,你突然覺得那我再找一個B,然後A就完全作廢不要了,商場沒有這麼無聊啦,應該說他們都是科技的大廠,都是以線大廠,是不可能玩這套的,
[40:51] 除非真的有嚴重的瑕疵,嚴重的進度落後,可是如果是一線大廠,你說要搞到這種程度真的不容易。
[40:59] 所以世芯KY在前兩天也遇到同樣的事情,亞馬遜找了高通,那是不是就不用你世芯KY了,不會,亞馬遜持有世芯的股權耶。
[41:09] 你會自己持有股權,然後你雖然自家子公司爛掉嗎?不會啦,一定還是有一些分工,或說兩邊至少互相有一個底力,
[41:19] 這也很難說明,你不要以為只有你和別人,什麼狀況都可以,但是不要忘記,這種互相合作的關係,不太可能說它增加了一個新的夥伴之後,你就變成都沒有,反而是要想,就是因為這個市場在明後年會越來越大,所以不太可能單靠一家供應商。
[41:39] 大概關於過這個事情,就是蘋果有講你不可能是永遠我的唯一供應商,我要去培養第二家,不管是玉晶光或者像順雨光什麼的,難免的,可是大概關於我們挺過來,還是挺過來啦,因為每一個人的技術都可以用在很多的地方,我們也不是只有亞馬遜這個客戶,也不是只有Google這個客戶啊,而是如果你做進去之後,你要接其他人的,你也有這個能力,大家都是在技術的賽道上面不斷的累積,這也是我們台廠厲害的地方。
[42:06] 很常都會是,其實以前你說這個聯發科一度跟高通比是不能比的喔,然後呢先從什麼山寨機做嘛,對不對,啊人家都是做進一線手機大廠,可是後來聯發科也做進去啦,做到後來高通的效能跟他PK的時候聯發科也不會輸啦,對不對,這些都是我們台廠非常可貴的技術累積,就像在9月大家可能現在覺得略悶略悶,可是如果之後又整個發展出去呢,又整個證實了我們在AI發展上面是一個很重要的一個技術累積。
[42:36] 這些都是非常非常重要的一個角色的時候,又覺得好後悔沒有佈局,對不對?所以我們不要在悶的時候就覺得看到他們的營收出來覺得這是不是不好,不然為什麼市場都不反應,要反過來像黃金右下角的想法,就是正因為他的狀況很好,所以當股價下殺的時候,它是機會,我覺得用這樣的思維比較容易在股票市場上買到低的位階。
[43:00] Aseco晶片其實不是標準品,光是TPU1、TPU2,現在已經發展到TPU3,一直會有新的代要出來,所以不會只找一家廠商在做。
[43:20] 所以我覺得我反倒覺得這個比較像是把餅做大的味道
[43:25] 沒有錯
[43:25] 把餅做大的味道
[43:27] 把餅做大之後大家其實要往比較正面的方向去想
[43:32] 假設有越來越多的一個廠商投入這個ASIC相關晶片的研發
[43:38] 那麼接下來呢晶片研發完之後要幹嘛呢
[43:42] 當然就是要做伺服器啊
[43:44] 當然就是要做伺服器的組裝
[43:45] 那我們這些伺服器的硬體不就是有機會雨露均沾嗎
[43:49] 所以我覺得它可以是一個先行指標的概念。
[43:53] 所以如果是SIC相關的業績會好的話,我基本上覺得,那我們往後面看看這些所謂的AI相關產業的硬體,基本上我們也就會相對比較去樂觀的看待。
[44:05] 阿詩硬KY下午也公布了他的數字喔,他的8月營收87.76億元,年增是273.61%,月增18%。
[44:15] 當然因為他上個月大家也是覺得好像沒有到非常好,但是看得出來他有沒有變得很好,跟去年同期比是一個2.7倍的增長率,我想這沒什麼好說了吧,是真的蠻不錯的吧。
[44:27] 請不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[44:57] MVC 和 企業 也有 超級高的毛利率的公司。
[45:02] 尤其是在自然晶片或先進製程上,各自有技術能力。
[45:09] 能力的我是格外喜歡,因為有一些說實話,大家可能會覺得有些比較弱,不要點名好了,抱歉,對,就是可能信息支撐上切得比較慢一點,或者是有了解是就算有人想要下單,可是在技術的實際上比較落後一點,所以成績的進度就比較慢,大家就以進度好不好,去看那個營收,對,去理解一下,我自己喜歡第一梯隊啦,我自己個人比較喜歡第一梯隊,第一梯隊,然後尤其是第一梯隊有點落難的時候,
[45:39] 這些都是我最喜歡的,這邊的話也分享給大家。
[45:42] 笑什麼笑什麼,我們真的不能亂講話。
[45:46] 像ASIC相關的幾個比較重要的廠商,像力旺,他毛利率100%。
[45:56] 為什麼?因為他就只有在做授權,所以毛利率100%。
[46:01] 創意與市經KY有做到Turkey,就是後段的Turkey,就是我除了幫你設計代工之外,我還幫你下單,等下做到後面。
[46:15] 所以像3661的市經KY,那時候我們不是在節目當中講嗎?
[46:19] 我說就是因為Turkey這一塊的營收比重進來了,看壞的就是說你的毛利率會下滑。
[46:28] 我覺得這個就是我要怎麼講呢?就是可能對產業的這個部分沒有這麼的熟悉啊。
[46:35] 沒那麼熟悉沒有關係嘛,就多看節目嘛。
[46:39] 多聽維泰聊。
[46:41] 好,那我們今天我最喜歡維泰就是會常常幫我們講比較落難的股票啦。
[46:46] 那當然現在是比較悶盤,也有提醒大家第四季的熱鬧不會只在電子股,通常傳產的旺季也會來到電金行。
[46:55] 當然金融股的話我覺得這邊要稍微看一下,因為其實金融股都漲非常多,這一波為什麼指數會這麼樣的接近在歷史新高的附近,是因為我們的金融股非常非常強,可是金融股的強低當然反映到今年在資本市場真的賺了很多錢,像我今天早上也有去某家金控做一個拜訪,聊聊這樣子,他們在7月其實沒有受到什麼很大的影響也,對,法人的部位其實比較穩健,因為他們的部位比較大嘛,也有比較多多空可以避險的管道等等的,
[47:24] 所以他們在目前來說還在一個狀況,看明年也還是一個比較樂觀的情況。
[47:29] 所以金融股今年在資本市場得到的錢是真的真的非常的多,但是你說像受險為主的金融股也漲很多啊,他們也是因為在投資上面,可是你看債券漲成這樣,他們還是會有隱藏的一些壓力的,因為債券上現在帳面可能就會變得比較不漂亮一點,又是一個降息降不太下來的環境。
[47:49] 我覺得這邊的話就要去思考,還有就是金融股在今年的放貸上面利率也越拉越高,事實上他們也自己有在拉警報,很多金融股可能都面臨到要去增加資本額的壓力了,因為大家都瘋狂借錢要買股票,然後房子的錢都借不到了,在尬尬叫了啊,對啊,所以大家都各家現在都很密集的在討論,要不要增加資本額才能再做更多生意,可是增加資本額就跟剛剛我們講到那些科技股一樣嘛,你的股本變大了,
[48:19] 那你將來沒有那麼好的資本市場的時候,它就變成包袱。
[48:22] 所以大家現在很認真在評估這件事情。
[48:24] 但是如果你是買到它是以證券為主體的,投信業務為主體的金融股,那真的是很旺啦,真的是旺到不行。
[48:34] 我覺得大家可以去參酌看看。
[48:36] 那當金融股的撐盤任務到了第四季,maybe,maybe就會由電子股重新拿回去接棒,
[48:42] 或者是像韋泰常常跟我們分享的基歐傳產做一部分的全職接棒,那是蠻有可能的。
[48:48] 我覺得大家可以思考看看這樣的一個資金的流動邏輯。
[48:52] 那我們今天的股貨仔就到這邊囉!
[48:55] 也跟各位股貨仔們說掰掰囉!
[48:57] 謝謝大家!掰掰!
