[00:00] 歡迎收聽趙華於古惑仔第1036集
[23:00] 那波抗其實是聯發科的競爭對手
[23:02] 所以應該聯發科就不會把單下給旺系
[23:06] 好那除非說這個單量大到一個沒辦法
[23:10] 就是他一定要outsocing一部分出來
[23:13] 我們看到聯發科最近有發一個重訊
[23:15] 他跟金測還有跟誰
[23:18] 做了一個很大筆的裝置採購
[23:20] 所以表示什麼
[23:21] 他自己也要開始做探針
[23:23] 在他自己的銀號時做測試
[23:25] 所以表示這個量非常的大
[23:27] 所以它不單單只是outsole型出去
[23:29] 它還要自己要測一部分
[23:31] 所以看起來
[23:33] 旺系
[23:34] 還有宏靜
[23:35] 旺系
[23:36] 還有宏靜
[23:37] 旺系 庸制 金測
[23:39] 都有機會搶食這一塊的訂單
[23:41] 那這個東西基本上
[23:43] 今年的下半年才會開始放量
[23:45] 所以我覺得這邊就是
[23:46] 還有一個很大的成長的空間在後面
[23:49] 可以大家等待
[23:50] 所以你說探針卡現在很貴嗎
[23:53] 我覺得可能貴還會更貴
[23:55] 貴還會更貴
[23:56] 如果用這邏輯去推
[23:58] 其實你像尹威
[23:59] 我覺得五六千塊
[24:01] 應該都不是什麼不可能的事情
[24:05] 那你就知道
[24:06] 如果假設尹威到五六千塊
[24:08] 那金車跟旺系要到哪裡
[24:10] 然後像今天MACI就要進去
[24:13] 就要新的要進去了
[24:14] 好像旺系也在名單之列
[24:17] 應該說名單
[24:17] 對不是今天要調整
[24:19] 那是在名單之列
[24:20] 可能會進去
[24:21] 對
[24:21] 所以今天剛好是南海科進去
[24:23] 還是旺系進去不知道
[24:24] 但是總之這些
[24:26] 基本上就告訴你
[24:27] 他這次就算沒進去
[24:28] 下次也會進去啊
[24:29] 對
[24:29] 所以你就用這角度去想
[24:31] 那就想說
[24:31] 那就是可以先買一點啊
[24:34] 其實剛剛這一題
[24:35] 有點為難凱哥了
[24:36] 因為他年前看好的
[24:37] 自然在放官後也會看好
[24:40] 所以他再重申了一次
[24:41] 但我覺得有一個主軸
[24:43] 是很重要的
[24:44] 也是之前幾乎
[24:45] 天天都有跟大家講的
[24:46] 因為現在
[24:47] 現階段
[24:48] 我們看不到
[24:49] 有所謂大幅轉空或崩盤
[24:52] 當然今天創新高就更沒有
[24:53] 但是這句話不是今天講的
[24:55] 這句話在前幾天
[24:57] 前一陣子
[24:57] 觸到月線
[24:58] 都有跟大家講
[24:59] 對
[24:59] 就是目前沒有看到
[25:00] 這樣的情況
[25:01] 因此只要有壓回到
[25:03] 比較明顯
[25:04] 例如說壓回到月線
[25:05] 大家就要把握機會
[25:07] 那如果在個股上面
[25:09] 例如說
[25:09] 像探針我也覺得很好啊
[25:11] 其實這個
[25:12] 可能旺系不到一千塊
[25:13] 我們就知道它不錯
[25:14] 那講到這邊
[25:15] 你說我會不會有點障礙
[25:16] 我也會有障礙
[25:17] 我也跟大家講
[25:18] 很多事情我看好
[25:19] 但我也有障礙
[25:20] 對不對
[25:21] 光剩兩千塊錢
[25:22] 你說現在再去介入
[25:23] 有沒有障礙
[25:24] 有障礙
[25:24] 我很看好創意
[25:25] 可是創意到快3000的時候
[25:27] 我也有障礙
[25:27] 那怎麼辦
[25:28] 我就會去買那些
[25:29] 敢買這些高價股
[25:31] 敢充的主動ETF
[25:32] 來cover這一塊
[25:33] 那其他比較低位階
[25:34] 右下角的
[25:35] 我比較沒障礙
[25:36] 我可能就會買個股
[25:37] 例如說像凱哥
[25:38] 常常跟我們分享打心財
[25:40] 那很多人就會一直問我打心財
[25:42] 可是有時候會覺得
[25:43] 我們條件真的不一樣
[25:44] 因為我已經把其他積極的事情
[25:46] 交給我信任的人做或是我自己也有做那這種溫吞不長可能要等很久的我就比較有耐心等所以我覺得這件事情也是我們一直在跟大家貫徹的是說你一定要把你的配置配好
[25:57] 你才不會想東想西
[25:59] 當你想東想西
[26:00] 就會做出很奇怪的決定
[26:02] 那剛剛凱哥也特別提到
[26:04] 疊就是買
[26:05] 目前我們的想法
[26:06] 還是圍繞在這裡
[26:07] 我們不知道什麼時候會疊
[26:08] 而且每一次疊
[26:09] 你一定會伴隨一個理由
[26:11] 好 最新的一次是什麼
[26:12] 最新一次就是
[26:13] AI不能回收嘛
[26:14] 又在講這個事情
[26:15] 是不是大家都疊
[26:15] 大家都疊亂七八糟
[26:16] 可是你一想想
[26:17] 大家財報都這麼好
[26:19] 大家都願意撒錢
[26:20] 臺廠明明就是收這些人的單
[26:22] 那當然就是機會
[26:23] 你光從這個方向去想
[26:26] 你有一個核心的想法
[26:27] 你才敢去在跌下來的時候撿
[26:29] 那下一次會發生什麼事
[26:30] 其實我不知道
[26:31] 例如說225要匯打財報
[26:33] 會不會匯打財報
[26:33] 大家又覺得怎麼了
[26:35] 我不確定
[26:36] 但是只要有這個機會
[26:37] 大家切記今天凱哥點兵的
[26:39] 這一些產業
[26:40] 就會是你的首選
[26:41] 你不敢選個股
[26:43] 就選你喜歡的ETF
[26:44] 對啊
[26:46] 其實我覺得現在ETF規模很大
[26:48] 主動ETF
[26:48] 其實我覺得年後還會更大
[26:50] 因為大家拿了年終獎金
[26:52] 那又不敢買股票
[26:53] 可能就去買主動ETF
[26:54] 所以你也可以觀察一下主動ETF
[26:56] 這幾
[26:57] 比如說這一週它的進出的變化
[27:00] 去觀察說它到底在往哪個趨勢走
[27:02] 那剛剛講說有沒有賣飛
[27:04] 有啊
[27:04] 我的信貸也賣飛了
[27:05] 你信貸也賣飛
[27:06] 我也賣飛了
[27:07] 信貸已經一千多塊了
[27:08] 我也跑不見了
[27:09] 我昨天才講
[27:10] 但是就是你的目光都放在AI的時候
[27:11] 其實你就會
[27:12] 很容易就忽略掉它
[27:14] 因為它就不是一個主流的
[27:15] 一個族群的股票
[27:17] 所以麥菲也不要太難過
[27:20] 但是重點是
[27:20] 你隨時要有一鳥在手
[27:23] 你總是要有一些股票
[27:25] 你不能說
[27:26] 麥菲就沒有股票
[27:27] 或是麥菲就亂買股票
[27:29] 其實這樣是比較危險
[27:30] 好因為今天很可愛
[27:32] 我中午跟我們幾個主管
[27:34] 有在聊天拍照什麼的
[27:35] 然後他就突然問我說
[27:36] 因為我們同事也有人
[27:38] 在聽我的podcast
[27:39] 然後就會說
[27:40] 某某編輯說
[27:41] 趙華你說不要再買0050了
[27:43] 我說不是
[27:44] 我不是講這件事情
[27:45] 我這邊好像覺得說
[27:46] 大家雖然很忠誠的每天聽
[27:49] 連我自己的同事都在聽
[27:51] 可是有時候可能會誤解我的意思
[27:53] 我那時候意思是說
[27:54] 我現在例如說像前任達爾月線
[27:56] 我說我選擇加碼的是985A
[27:58] 我就不是選擇加碼0050
[27:59] 我有講理由
[28:00] 這個理由在今天
[28:02] 為什麼可以再講一次
[28:03] 因為有它的道理在
[28:04] 我有講因為985A
[28:05] 它的成立的宗旨是
[28:07] 它要打敗0050
[28:08] 它一樣是選臺灣前50大市值的股票
[28:11] 可是它的權重
[28:12] 不是按照市值的大小
[28:14] 完全這樣排列
[28:15] 如果你買0050
[28:16] 或者006208
[28:18] 那臺積電就是六成以上
[28:19] 對
[28:20] 好
[28:20] 那沒有錯啊
[28:21] 你就是完全follow大盤嘛
[28:23] 那我這人比較積極
[28:24] 所以那時候就覺得
[28:25] 我已經有0050
[28:26] 我也有6208了
[28:27] 所以我現在加碼
[28:28] 我可能就選
[28:28] 稍微比較積極的
[28:30] 這型別的
[28:31] 985A這種變形的
[28:32] 主動式的0050
[28:33] 然後來看看
[28:35] 大家跑得怎麼樣
[28:35] 那你會發現一件事哦
[28:37] 前一陣子
[28:37] 當記憶體在好的時候
[28:39] 因為它有南亞科
[28:40] 什麼的權重比較高
[28:41] 他就跑得比較快嘛
[28:42] 今天誰贏
[28:43] 今天就是0050贏啊
[28:44] 為什麼
[28:44] 因為今天臺積電大漲啊
[28:46] 所以並不是告訴大家
[28:48] 你選了主動型的
[28:49] 你就不要管被動型的
[28:51] 絕對不是
[28:52] 是你要了解
[28:54] 他們每一檔
[28:54] 每一檔的任務
[28:55] 如果你想要完全複製市值
[28:57] 你也不在乎
[28:58] 這個臺積電的比重
[28:59] 佔的這麼高
[29:00] 那你就買0050就好了
[29:02] 那我就是實驗性質比較高
[29:04] 積極一點嘛
[29:04] 我就覺得
[29:05] 我有0050了
[29:06] 我有6208了
[29:07] 那我現在加碼的
[29:08] 我想要看看
[29:08] 這種創新型的會不會贏
[29:10] 他如果長期下來是贏
[29:11] 我就選對了嘛
[29:12] 他長期下來是輸
[29:13] 好哦
[29:14] 那以後我就乖乖去買
[29:15] 零零五零就好了
[29:16] 這就是我的心情
[29:17] 但是你說他輸
[29:18] 他也不會輸太多
[29:19] 因為他一定是
[29:20] 圍繞在臺灣前50大市值
[29:22] 這個能輸到哪裡去
[29:24] 那你說會不會贏很多
[29:25] 也不一定
[29:26] 因為他就是一樣
[29:27] 前50大市值
[29:28] 他有受限
[29:28] 他的pool是長這樣
[29:29] 那如果你要積極的
[29:31] 當然有很多是追求績效的
[29:33] 不管是981 982
[29:34] 甚至最近的993
[29:35] 對不對
[29:36] 他們就是要贏
[29:37] 那他們可能這個
[29:38] 可能500檔他都可以選
[29:39] 甚至1000檔他都可以選
[29:41] 不過規模大了
[29:42] 所以大家也要注意說
[29:43] 當他們的規模越長越大的時候
[29:45] 有時候轉身就沒有那麼靈活了
[29:47] 所以這些都是大家綜合在
[29:49] 配置ETF上的一個考量
[29:51] 對也要說明一下
[29:53] 不可能叫人家說
[29:54] 我現在都不買什麼什麼了
[29:55] 一定有前因後果
[29:58] 但輸個性風險理由
[30:00] 好不好
[30:00] 所以大家可以參考看看
[30:02] 那凱哥的話
[30:03] 當然就是產業達人
[30:04] 所以對凱哥來說
[30:06] 個股一定是他的最愛
[30:07] 而且他很厲害
[30:08] 只有自己現在在研究之外
[30:10] 兒子也在研究
[30:11] 所以就很棒
[30:12] 兒子會跟凱哥一起討論
[30:14] 到底有哪一些的產業跟股票是好的
[30:17] 我覺得像12年尾巴的時候
[30:19] 我也發現到很多新掛牌的公司
[30:22] 也是一發不可收拾
[30:23] 對大家可能看宏鏡
[30:25] 其實不僅宏鏡
[30:26] 什麼萊德光電
[30:28] 麥科
[30:28] 長廣
[30:29] 這些都是掛牌
[30:31] 過了五天
[30:32] 沒有漲聯服限制之後
[30:33] 還是繼續漲的
[30:34] 所以我覺得在臺股多頭氣勢下
[30:36] 真的是有法人青睞
[30:38] 或者是有題材的
[30:40] 這些氣勢都是蠻驚人的
[30:42] 是啊
[30:42] 所以我們上次來就講說
[30:43] 基本上新貴股票都在創新高
[30:45] 這盤應該就安全
[30:46] 就是說我們有時候
[30:49] 在看一個行情
[30:50] 基本上我們會用新貴股票來看
[30:53] 然後再次看月線有沒有下彎
[30:55] 所以如果這幾個都符合條件
[30:57] 基本上就不要太害怕
[30:59] 剛剛我們在講到新貴
[31:00] 其實有家公司是專門做這個
[31:02] 基板翹曲的
[31:03] 叫做塑證
[31:04] 我記得我那時候看到的時候
[31:05] 也才三四百塊
[31:06] 現在已經八百塊
[31:07] 你看很可怕
[31:09] 這個行情基本上嚇死人
[31:10] 還有一家山泰市
[31:11] 你應該也有聽過
[31:12] 也是處理這個
[31:14] 對對對翹曲的
[31:15] 但是這些在新貴股
[31:16] 它因為沒有漲的一幅限制
[31:17] 有時候籌碼也很少
[31:18] 所以大家聽一聽
[31:19] 要按照自己的風眼承受度
[31:21] 我個人是說實話蠻喜歡
[31:23] 像新代我們就是在新貴的時候買
[31:25] 像以前我在新貴有幾檔
[31:26] 我很喜歡像隆德造船
[31:28] 我在新貴買
[31:29] 現在新貴我也有佈局一兩檔
[31:31] 但是千千萬萬要強調
[31:33] 第一是我通常會把它爆到掛牌
[31:35] 對
[31:36] 然後呢
[31:37] 可能掛牌後不久就要看看了
[31:39] 因為通常掛牌後不久的時候
[31:40] 會達到他的一個高峰值
[31:42] 但也有像達明
[31:43] 這個在新貴就漲到800
[31:45] 一掛牌反而消風
[31:46] 所以大家自己要去斟酌
[31:48] 他那個沒有漲跌幅限制
[31:49] 很誘人
[31:50] 可是也很猛啦
[31:52] 就是
[31:52] 我覺得新貴股票不太可能
[31:54] 佔我的比重非常非常高
[31:55] 可是我也會有
[31:56] 因為實在太有趣了
[31:57] 有時候會漲到熔斷這樣
[31:59] 對
[31:59] 可怕
[32:00] 好
[32:01] 所以今天凱哥來
[32:02] 凱哥因為連續禮拜五也來
[32:05] 今天也來
[32:05] 我想他的理念已經跟大家分享的很清楚
[32:08] 那大家對於凱哥的這些鼓勵
[32:11] 也都有看到了
[32:12] 那凱哥其實有他的粉絲頁
[32:14] 那這邊的話
[32:15] 他的粉絲頁不是叫做黃峰凱
[32:17] 凱哥的粉絲頁叫做暖神凱哥
[32:22] 帶你看穿法人手法
[32:24] 後面有一個dash
[32:25] 目前他
[32:27] 我覺得你
[32:28] 我一講出來
[32:28] 應該你的追蹤者會破萬
[32:30] 因為現在是8500多個追蹤者
[32:32] 那怎麼樣辨認他是真的呢
[32:35] 凱哥告訴我
[32:36] 因為他只追蹤13個人
[32:38] 所以大家可以查一下
[32:42] 那貼文量還蠻大的
[32:44] 因為我發現你在上面是審劃一哥
[32:46] 你就貼圖
[32:46] 然後一句評論這樣子
[32:48] 然後有1830則貼文了
[32:51] 所以如果想要找到凱哥的粉絲專頁
[32:53] 是這個名字
[32:54] 目前是8000多個追隨者
[32:57] 希望我們爆出來之後會立刻破萬
[32:59] 這個大家可以認名震聲
[33:02] 因為可能他
[33:03] 凱哥之前沒有非常積極的
[33:05] 在推這個粉絲團
[33:06] 但詐騙卻很積極
[33:08] 這就是我們最頭痛的地方
[33:09] 像我在翠上面
[33:11] 也有人詐騙
[33:12] 他就直接搬我理財達蘭秀的影片
[33:14] 甚至我私人拍的影片
[33:15] 他都通通搬上去
[33:16] 連我跟大家去KTP唱歌
[33:18] 他也搬上去用
[33:19] 氣死我了
[33:20] 而且我後來檢舉非常久
[33:22] 都檢舉不掉
[33:22] 那我也很謝謝來通報我
[33:24] 跟幫我檢舉的人
[33:25] 那最後怎麼弄掉呢
[33:26] 還是得回到
[33:27] 我們有一個數位部門
[33:29] 因為我們數位部門
[33:30] 長期跟臉書YouTube等等的
[33:31] 這些平臺是深度合作
[33:33] 所以還是得走一個
[33:35] 我們這種所謂的大公司通報
[33:38] 最後才會及時就把它拉掉
[33:40] 但我還是非常謝謝
[33:41] 發現跟通知我的人
[33:42] 因為他們通常會做一件事
[33:44] 他們會封鎖本人
[33:45] 他們封鎖本人
[33:46] 我們就發現不了
[33:47] 因為我們根本沒看到他po
[33:49] 然後當你們給我的時候
[33:50] 你給我頁面我也找不到
[33:52] 因為他已經封鎖我了
[33:53] 所以通常要給我連結
[33:54] 給我連結
[33:55] 我們就會知道說
[33:57] 他封鎖我可是我有連結
[33:58] 我就丟給看得到的人
[33:59] 請他幫我去檢舉
[34:01] 所以也很謝謝
[34:02] 幫我檢舉跟通報的人
[34:03] 還有凱哥這邊
[34:04] 請大家支援一下
[34:05] 他的粉絲團
[34:06] 然後讓他變得很壯大之後
[34:08] 一看別人就是仿冒的
[34:10] 對不對
[34:11] 那些仿冒很厲害
[34:12] 有的已經蒐集到
[34:13] 可能兩三千個人了
[34:15] 這很可怕
[34:16] 那今天謝謝凱哥
[34:18] 也跟古惑仔的朋友
[34:20] 說拜拜
[34:20] 拜拜
[34:21] 大家滿年快樂
[34:22] 拜拜
