[00:00] 欢迎收听赵华谀古货载第1102集
[26:05] 講到後年EPS會有多高度
[26:08] 多高的情況下
[26:09] 代表現在的評價看起來還不貴
[26:11] 可是我好像讲
[26:12] 他其实就我的论点
[26:14] 我还是觉得他不能
[26:16] 就以现在的角度
[26:17] 还不能当做AI族群
[26:19] 那这种族群
[26:20] 他的特色就是
[26:21] 以市场氛围下去操作
[26:23] 这种族群
[26:24] 现在是不是高点
[26:26] 会不会再过高
[26:28] 我觉得都有可能性
[26:30] 只要市场氛围不反转
[26:32] 都不会有问题
[26:33] 但是什么时候市场氛围会反转
[26:36] 这个没有人说得准
[26:37] 也许是一个礼拜后
[26:40] 也许一个月后
[26:41] 也许明天就反转
[26:43] 所以我常讲
[26:44] 做这种所谓的
[26:45] 两年前都不是AI
[26:47] 从这一季开始才变AI的
[26:50] 这种族群的投资人
[26:52] 结论来讲就是要顺势操作
[26:55] 记得我会觉得
[26:56] 这种个股不要预设立场
[26:58] 强势就操作
[26:59] 但是如果转弱了
[27:01] 你有赚钱
[27:02] 尤其是如果你今天只是
[27:04] 我简单来讲
[27:05] 我以发哥来做举例好了
[27:08] 如果你买的不多
[27:11] 我就觉得拉回你不用紧张
[27:13] 甚至你可以
[27:14] 因为刚刚提到明年它总会爆发
[27:16] 你慢慢布局到下半年拉回持续买
[27:19] 明年还有很大的动能
[27:21] 我觉得这是一个操作逻辑
[27:23] 但是如果这段时间
[27:25] 因为你操作的对
[27:28] 所以你越压越重
[27:29] 再发哥的比例压得很重的
[27:33] 我就会觉得
[27:34] 如果整个市场的氛围反转了
[27:38] 这种所谓的
[27:40] 大家今年等於說第二季才講的
[27:43] 這些AI族群有反轉的現象
[27:46] 我就會建議你應該要稍微獲利了結
[27:49] 拿出一些資金
[27:50] 因為未來可能要需要比較長線的
[27:53] 拉回之後還需要再去做布局
[27:56] 所以結論就是這種所謂的包含被動元件
[28:00] 我還是覺得因為第一
[28:02] 這種所謂的過去從來不是AI
[28:04] 到這一季才變成這個AI王者的故事
[28:08] 我觉得等到熄火大家就会醒了
[28:11] 然后呢
[28:12] 后续而言要记得
[28:14] 就是如果转弱
[28:15] 如果持股比较高的要稍微退场
[28:18] 用比较长线的角度下去做操作
[28:21] 所以记得就是
[28:22] 这个只能顺势操作
[28:24] 心理来讲可能还是要有一点警觉性
[28:27] 刚刚不是有提到这个
[28:29] 涨时重视跌时重值吗
[28:31] 讲的可能是一个大方向
[28:33] 不过以被动元件来说
[28:35] 也是这样哦
[28:36] 什么意思呢
[28:37] 就是他们在大盘不好的时候
[28:39] 也是逆势上涨
[28:40] 看得出来
[28:41] 这个内资大户主力
[28:42] 或者是有一些外资
[28:43] 是有集中在这个族群上面的
[28:46] 投信和外资
[28:47] 也连买了国际非常多天
[28:49] 好
[28:49] 所以他们的势头就变得很强
[28:51] 势头很强的时候
[28:52] 就两个想法了
[28:53] 第一个是
[28:55] 他其实AI受惠程度高不高
[28:56] 其实这话说不高
[28:57] 对不对
[28:58] 但有没有受惠到一点
[28:59] 有开始受惠到一点
[29:01] 所以在资金轮动的时候
[29:03] 你想来想去
[29:04] 可能之前那些CPU
[29:05] PCB涨价升级题材
[29:07] 都涨了好多倍
[29:08] 记忆体涨了好多倍
[29:09] 在休息了
[29:10] 风现在看来
[29:12] 果然吹到被动元件上
[29:13] 我觉得这个是在
[29:14] 市场的认知上面
[29:15] 我们一定要知道
[29:16] 是这个样子
[29:17] 可是第二个就是
[29:18] 那你要不要做它呢
[29:19] 如果你要做它
[29:20] 请千万不要用
[29:21] 它的营收会三位数成长
[29:23] 它在第二季第三季
[29:25] 到明年会翻倍
[29:26] 就不是这个思维
[29:27] 而是看得出来
[29:28] 风吹到现在这个族群上了
[29:30] 很多的主力在里面
[29:31] 或什么的
[29:32] 每天喷涨停的大有人在
[29:34] 翻倍的大有人在
[29:35] 那大家不要就这个话题
[29:37] 去参与你自己有认同的
[29:39] 例如说像我这边
[29:41] 我比较会提到像信昌店
[29:43] 信昌店跟台达店有合作
[29:44] 又是做上游的陶瓷粉末
[29:46] 或者是说像台庆科
[29:48] 最早就说说他的店感会涨价
[29:50] 他们各自有一些
[29:51] 会让市场觉得OK我买单
[29:54] 但是大家一定要知道
[29:56] 这个是势头
[29:57] 所以就像明汉哥讲的
[29:59] 如果有一天
[30:00] 这个泡沫突然从被动运营上转走了
[30:03] 他们的修正
[30:04] 可能下方就支撑会不一定很强
[30:07] 如果资金真的跑走了
[30:08] 因为他们基本面
[30:09] 不会那么快大幅成长
[30:11] 我觉得这个是要跟大家做提醒的
[30:13] 所以大家不要做这种
[30:14] 势头上的公司就看个人
[30:16] 如果觉得个股掌握不了
[30:17] 产业认同不了
[30:19] 去买主动式ETF也可以
[30:21] 对应该刚刚讲
[30:22] 这也是一个方向
[30:23] 刚刚结论也跟大家提到
[30:25] 刚刚讲那个概念
[30:26] 应该说比较简单举个例
[30:28] 就是说我们抓比较标准的
[30:31] 这个AI族群
[30:32] 比如说鸿海或台积电
[30:34] 慢慢的
[30:34] 尤其是鴻海也提到
[30:36] 就是以現在來講
[30:37] 他AI占他的營收比重
[30:39] 其實都已經來到四五成了
[30:41] 接近一半了
[30:42] 所以這種族群
[30:43] 你不能講他不是AI
[30:44] 但回過頭來
[30:45] 我們剛剛講的這些
[30:47] 所謂第二季才講了
[30:49] 然後才轉強
[30:50] 然後變成這個AI風神的
[30:53] 這些族群
[30:53] 幾乎大部分來講
[30:56] 他們公司不會給說
[30:57] 這個AI占的營收比重
[30:59] 因為確實就很低
[31:00] 就不會太高
[31:00] 對
[31:01] 然後之前有
[31:02] 有一些公司曾經講過
[31:03] 这个比例真的在5%以下
[31:06] 老实讲甚至2%都还不太到
[31:08] 我记得国际是说
[31:09] 今年会提升到10%到15%
[31:11] 确实也不是那么高
[31:13] 是那我刚刚提到
[31:14] 如果这整个族群里面
[31:16] 记得我觉得两党真的就是指标
[31:19] 第一个就是刚刚提到国际
[31:20] 为什么刚刚提到
[31:22] 因为他不是说只有题材
[31:24] 他是就算排除AI好了
[31:27] 他整个产业是在复苏当中的
[31:29] 而且相对而言
[31:30] 数字虽然没有出现喷发
[31:33] 可是他數字是在持續加溫的
[31:35] 所以代表著說
[31:36] 我覺得應該說就算這個AI拿掉
[31:39] 他也不是到說幾乎完全沒動
[31:42] 這是一個指標股
[31:44] 另外一個就是發哥
[31:45] 發哥他的特色跟國巨剛好是顛倒
[31:48] 發哥就是今年來講
[31:50] 獲利是完全持平
[31:52] 到現在營收公布也是持平
[31:53] 完全沒有數字
[31:55] 但是比較特別是
[31:56] 從公司的角度
[31:58] 從上下游的這個所謂供應鏈
[32:01] 都可以明確可以確認
[32:02] 明年喷发这个故事是确认的
[32:05] 所以这两个是比较明显的指标
[32:07] 一个是已经开始加温
[32:09] 一个虽然说现在是平的
[32:11] 可是可以确认明年是不会有疑虑的
[32:13] 所以这两个是最重要的指标
[32:15] 至于其他的部分
[32:16] 如果这个就是代表的
[32:18] 这两档是现在这个市场氛围
[32:21] 我刚刚提到
[32:22] 第二季才突然变成AI族群的
[32:26] 这些个股是很重要的指标
[32:28] 未来如果联发科或国际
[32:31] 开始有出现转弱的迹象
[32:33] 其他个股
[32:34] 我觉得更要流行了
[32:36] 好
[32:37] 那我们光一个背到眼前
[32:40] 就延伸这么多了
[32:41] 好
[32:42] 我们这边反过来
[32:43] 有没有哪一个族群
[32:44] 像我刚刚就有跟明翰哥讲说
[32:46] 像今天有些设备股反攻
[32:48] 也是跌了一段之后
[32:49] 今天有反攻
[32:50] 感觉像设备股
[32:51] 应该会是在你比较认同的范围
[32:53] 因为说实话
[32:54] 真的叫做订单满手
[32:55] 然后年增率也非常惊人
[32:57] 是
[32:57] 因为设备族群
[32:58] 这就比较符合
[33:00] 刚刚提到的AI族群
[33:02] 因为其实好不好
[33:03] 我觉得非常简单
[33:05] 你只要看一下去年财报就好了
[33:07] 而且你不要只看一档股票
[33:09] 你要把整个产业比较标准的
[33:12] 几档个股都拉出来
[33:13] 那其实设备族群应该说
[33:15] 其实24年就已经成长
[33:17] 25年也都还在成长
[33:18] 到现在这个趋势也还没太大的改变
[33:21] 那我觉得这种族群
[33:23] 就是很标准的AI股
[33:25] 那其实AI股的操作逻辑就很简单了
[33:28] 回过头来
[33:29] 今天是不是该买
[33:30] 我答案是否定的
[33:32] 今天要买什么
[33:33] 今天要买
[33:34] 刚刚提到的
[33:35] 今天要买什么
[33:36] 要买国际典发科
[33:38] 就是买市场氛围对的股票
[33:41] 我刚才想说
[33:42] 刚刚还在讲说
[33:43] 这些公司的值还没有好
[33:44] 但是氛围在这
[33:46] 势头在这
[33:47] 大涨的时候
[33:48] 你要去追这种强势族群
[33:50] 但是刚刚提到
[33:52] 基本面好的刚好是颠倒
[33:54] 这对的股票
[33:55] 就像这个一样
[33:57] 设备族群
[33:59] 前几天在跌的时候才是买点
[34:01] 当大涨的时候
[34:02] 其实不是你介入的点位
[34:04] 我们想要买便宜一些
[34:06] 不是追势头
[34:07] 对
[34:07] 如果换句话讲
[34:09] 就像前几天在跌的时候
[34:11] 包含发哥一直开始转弱
[34:13] 在破线
[34:14] 那个时候你要减码
[34:15] 但是你减码
[34:17] 你要去买那个
[34:18] 我刚刚提到
[34:19] 就这两年很积优
[34:20] 在网上的设备族群
[34:22] 结论来讲
[34:23] 就是你前几天
[34:24] 你应该要去买设备
[34:26] 今天大涨时间
[34:27] 也设备不要买
[34:28] 反而现在市场氛围很好
[34:31] 但是相对风险比较高的族群
[34:34] 一结论就很简单
[34:36] 有风险的市场氛围对的
[34:40] 你要顺势操作
[34:41] 但是这两年有数字的
[34:44] 然后很标准的AI股
[34:47] 你要逆势操作
[34:48] 一定是跌的时候
[34:50] 反而是在大涨的时候
[34:52] 你要可以减码去买
[34:53] 刚刚提到的就是市场氛围强势的族群
[34:57] 所以顺势逆势
[34:59] 反而应该要稍微去做区分
[35:01] 那刚刚提到设备族群
[35:04] 长线的部分是这个趋势来讲
[35:07] 仍然在延续当中
[35:09] 尤其刚刚也提到
[35:10] 就是这个只要回答好
[35:13] 他最后他的你要提到
[35:16] 他的未来的展望多厉害
[35:18] 那这个这一季的营收有多少
[35:21] 那些所有的营收换算成
[35:24] 多少的晶片就代表着
[35:27] 他未来的台湾的相关的供应链
[35:30] 都还是要持续大量出货
[35:32] 那目前的角度呢
[35:34] 因为产能还是受到一定的受限
[35:37] 所以代表着目前快速扩张的这个架构
[35:41] 还是不会改变
[35:42] 所以自然设备族群
[35:44] 这个趋势来讲仍然还在
[35:46] 其实这个故事
[35:47] 其实是蛮容易理解的
[35:49] 那图形画出来
[35:51] 他们本来就是这个走势都是一样
[35:54] 所以才会跟大家提到说
[35:55] 如果就刚刚这样角度
[35:58] 就可以理解到
[35:59] 整个设备族群
[36:00] 其实操作逻辑
[36:01] 跟我们前段讲的
[36:02] 这种市场氛围正向的族群的操作逻辑
[36:06] 刚好是呈现颠倒的状况
[36:08] 像今天的话
[36:09] 之前很苦哈哈的散热
[36:11] 也算是有一点点扬眉吐气
[36:13] 但是你说
[36:14] 这个散热里面
[36:15] 建策的阴霾有没有过
[36:17] 我也不敢断定
[36:18] 但它就是这样
[36:18] 迭亭昨天拉一个很长的下影线
[36:21] 今天涨停板等等的
[36:22] 我还记得
[36:23] 昨天还跟大家分享
[36:24] 因为就有人传讯息
[36:25] 这样有点剧透了
[36:27] 就是有去检测
[36:28] 会觉得有点压力
[36:29] 所以这边要跟大家分享的是说
[36:32] 因为建设它是一个事件性的问题
[36:34] 就是大家对它期待
[36:35] 未来会改成两片军热片
[36:37] 后来发现挥打觉得改设计
[36:39] 良率实在太差
[36:39] 成本太高
[36:40] 所以就改回又一片
[36:42] 好梦没有了
[36:43] 梦没有我觉得也没有关系
[36:44] 那就是那个泡沫不见之后
[36:46] 它的筹码需要重新的沉淀
[36:48] 那也有人就回应说
[36:50] 我看到有一些主动式的ETF
[36:52] 没有全部出清建设
[36:54] 那为什么呢
[36:55] 我觉得也没有为什么
[36:56] 就前面一定有砍嘛
[36:58] 然后后面也会
[36:59] 因为有停损
[36:59] 慢压砍一砍
[37:00] 那后面没有留的
[37:01] maybe是还来不及停损的
[37:03] 也有可能
[37:03] maybe是真的觉得
[37:05] 现在砍没什么意思啦
[37:06] 因为大家都已经人踩人玩了嘛
[37:09] 那也许迎来的就是反弹
[37:10] 好我讲这个并不是要去强调说
[37:12] 大家要不要买建策哦
[37:13] 这是两回事
[37:14] 而是我觉得目前在台面上
[37:17] 这些经理人的操作
[37:18] 还是有一定的可靠度啦
[37:20] 像今天的反攻
[37:22] 我看到有几档的主动试ETF
[37:24] 就涨到将近6个百分点
[37:26] 真的蛮惊人的
[37:28] 6个百分点
[37:29] 992A有6个百分点
[37:30] 然后981A也有6个百分点
[37:32] 江海是老的辣
[37:33] 那大家最近讨论的
[37:34] 非常凶的同门师兄弟
[37:36] 00403A
[37:37] 今天是只有涨到3点
[37:38] 大概6 7个百分点
[37:40] 那但是怎么样
[37:41] 回到发行价了
[37:43] 回到10块钱了
[37:44] 不过也可以看得出来
[37:46] 原本就部件在里面
[37:48] 已经熟悉这一套市场逻辑的人
[37:50] 像991A
[37:51] 今天也是将近6个百分点
[37:53] 这一些在过去几个月
[37:55] 绞出很好绩效的
[37:57] 这种赛马前段班
[37:59] 我们常常讲
[37:59] 他们其实互相有时候领先
[38:02] 不是说永远都是谁第一名
[38:04] 但他们都在领先群
[38:05] 差异都很小
[38:06] 一旦发生像这样子
[38:08] 大涨的时候
[38:09] 就可以看得出来
[38:10] 大家在真绩效上面
[38:12] 还真的是蛮厉害的
[38:13] 所以才会讲说
[38:14] 我们会讲很多的族群
[38:16] 那有的人会认同
[38:17] 有人会觉得想要抄底
[38:18] 结果抄到蛮熟悉
[38:19] 有的会怕怕的
[38:20] 那就其实目前主动CTF
[38:22] 掌握盤面上AI股的輪動
[38:24] 我覺得算還是蠻厲害的啦
[38:26] 好
[38:27] 那我們就看看接下來
[38:29] 有沒有再回檔
[38:30] 因為我覺得
[38:31] 明翰還是比較希望
[38:32] 回檔的時候來
[38:34] 是是是
[38:35] 像今天我們剛剛看這些股票我一翻一翻我真的還不曉得我能講什麼對啊對 我能講什么今天真的是百花齐放所以并没有特定的族群那我刚刚赵怀提到
[38:47] 确实就是说
[38:48] 这个主动型ETF
[38:50] 目前因为市场多头架构
[38:53] 没有太大的改变
[38:54] 所以他们本来就是一个
[38:56] 蛮好的一个投资方向
[38:58] 当然了我也觉得说
[39:00] 你要记得一件事情
[39:02] 就是市场上没有什么商品
[39:04] 是绝对的对与错
[39:06] 那这个一分钱一分火
[39:08] 就是他们今天呢
[39:10] 这个在这个指数上扬的时候
[39:13] 能够有这么强势的表现
[39:15] 代表当指数回挡的时候
[39:17] 他们压力也会非常的沉重
[39:18] 就是这个是我刚刚提到一分钱
[39:21] 只是说现在的趋势是多头
[39:24] 尤其刚刚我们最早的提到
[39:26] 因为回答了财报
[39:27] 虽然我们不管他股价涨不涨
[39:30] 我们就从基本面角度出发就是好
[39:32] 这是不真的事实
[39:33] 所以代表这个趋势
[39:35] 还是不会有太大的改变
[39:37] 所以当然说
[39:39] 我之前在这种节目
[39:41] 一直跟大家讲
[39:42] 不代表说每个人
[39:43] 都一定要买这种
[39:44] 风险最高的商品
[39:46] 就是说如果你今天
[39:48] 你原本是
[39:49] 比如说高股息的
[39:51] 在这段时间
[39:52] 这一两年之内
[39:53] 因为持股
[39:55] 因为高股息的持股
[39:57] AI的比例相对比较低
[39:58] 所以绩效一直相对落后
[40:00] 那你又看到这个
[40:02] 比如说刚刚提到的
[40:03] 主動型尤其403感覺又波動很大
[40:06] 人家又講是不是有什麼問題
[40:08] 那你又不敢這個直接介入主動型的
[40:12] 那其實四指型也是一個很好的方向
[40:15] 就是跨入多單一點點的風險
[40:18] 把自己的這個報酬率稍微拉高一些
[40:21] 另外我要講我也想講一下這個403
[40:25] 就是說我個人的概念
[40:27] 就我自己的感受啦
[40:28] 我還是覺得真的講一句白話
[40:31] 就是主动型真的落差没有想象那么大
[40:35] 就是不用说哪一档真的特别厉害
[40:38] 因为你把这个大家的持股打开
[40:41] 其实八九不离十啊
[40:42] 能差多少
[40:43] 这个很多东西都是节点
[40:46] 你什么时候算到什么时候的不同点而已
[40:49] 我觉得403跟981
[40:51] 其实并不会有太大的差别
[40:53] 但记得一件事情就是
[40:55] 市场太疯狂
[40:57] 溢价的时候不要去追高
[40:58] 因為ETF就有它該有的價值
[41:01] 那如果真的溢價
[41:03] 你就放它去吧
[41:05] 去買別的沒有溢價的ETF就好
[41:07] 其實並不會落差太大
[41:09] 那長線而言
[41:11] 記得買ETF就是買指數
[41:13] 所以常常人家講
[41:15] 為什麼403會破發
[41:17] 純粹只是因為
[41:18] 它剛好掛上去的時候
[41:19] 剛好指數要回檔
[41:20] 一掛就10塊錢
[41:21] 掛完剛好跌破8
[41:23] 我覺得本來就是很正常的現象
[41:25] 又不是說這段時間只有它跌
[41:28] 大家是漲的
[41:29] 大家本來就是跌
[41:30] 那加上他本來就是主動型
[41:32] 波動幅度相對就是比較大
[41:34] 那所以呢相對來講
[41:36] 只要未來是多頭格局
[41:38] 等到過一段時間再直接講白一點
[41:41] 萬一指數再漲個5%10%之後
[41:45] 403人家要覺得哇好厲害好厲害
[41:48] 當時10塊錢沒買很可惜
[41:49] 因為其實他買的就是一個指數而已
[41:52] 那剛剛提到他會比指數強
[41:55] 最重要的關鍵點還是因為
[41:57] 现在所有你能够看到的主动性
[42:00] 几乎人人都是满手AI了
[42:03] 他几乎没有人会敢报个传产
[42:06] 报个金融
[42:07] 几乎都不会有
[42:08] 就是百分之百AI
[42:09] 好像听到有人想发金融的主动性
[42:11] 好像隐约听到
[42:13] 对
[42:13] 我再研究一下
[42:14] 但是我不知道
[42:15] 就是他的市场热度能不能这么高
[42:18] 因为我会觉得
[42:19] 现在市场胃口被养大了
[42:21] 对不对
[42:21] 所以大家都
[42:22] 因为这很明显的
[42:24] 现在就是AI就是趋势
[42:26] 所以AI就是领头羊
[42:28] 所以现在几乎主动型的
[42:30] 你不管哪一家操作摊开
[42:32] 几乎不是说前段是AI
[42:35] 几乎全部都是AI
[42:36] 大家才跟得上脚步
[42:38] 所以我刚刚提到
[42:39] 就是说大家也不用那么在意说
[42:41] 哪一档就会特别厉害
[42:44] 真的有
[42:44] 我太对不起他了
[42:45] 他叫主动付法金融股息
[42:48] 00998A
[42:49] 但股息啦
[42:50] 可以理解
[42:50] 主动的也有高息型的
[42:52] 是是是
[42:53] 就是说他不会完全去强调
[42:55] 它的绩效存在
[42:57] 因为你一开始是金融
[42:59] 你就不可能绩效去
[43:00] 就是要股息
[43:01] 对对对
[43:02] 相对来讲
[43:03] 它可能它有它的这个
[43:05] 它有它的标准要去超越
[43:07] 但它的标准并不是
[43:08] 现在市场最夯的主动性
[43:11] 那我只能跟大家讲
[43:12] 就是记得就是
[43:13] 所谓买ETF就是买方向
[43:16] 那大家其实落差不会太大
[43:18] 只要记得一件很重要的事情
[43:21] 当溢价的时候
[43:23] 不要去买相关的ETF就可以了
[43:25] 我突然
[43:27] 刚刚米汉哥讲一个事情
[43:28] 我突然想到
[43:28] 为什么会讲到主动式ETF
[43:31] 因为大家不是很担心
[43:32] 所谓人踩人
[43:33] 就是说
[43:34] 如果一旦这个下跌
[43:35] 大家要赎回
[43:36] 要卖出的时候
[43:37] 什么什么的
[43:37] 那只要不是崩盘
[43:40] 我觉得不太容易出现这个状态
[43:42] 这个事情我强调非常非常多次
[43:44] 就是我不认为
[43:45] 现在主动式的ETF的规模
[43:47] 有足以到让市场崩溃
[43:50] 而是反过来说
[43:52] 还是得看到这个市场有出现崩溃
[43:54] 他们可能才会有出现超卖
[43:57] 或是超额赎回的问题
[43:58] 才会有看到什么人才人之类的
[44:00] 我觉得他的主从关系
[44:02] 还是要搞清楚
[44:03] 因为第一刚刚讲到AI的
[44:05] 从汇达的财报
[44:06] 我们短线上实在是看不到
[44:09] 有任何要崩盘的理由
[44:11] 就是一个资金的来来回回
[44:13] 所以你说在这样的情况下
[44:14] 因为主动CTF发的很大
[44:16] 大家都很疯狂的募什么的
[44:18] 就会产生一股很特别的效应
[44:21] 导致股灾
[44:22] 我个人是觉得
[44:23] 不太应该是这个样子
[44:25] 好
[44:26] 这个是刚刚为什么
[44:27] 讲到主动CTF
[44:28] 我突然想到的一个灵感
[44:30] 然后后来刚刚
[44:31] 敏汉哥又特别提到说
[44:33] 现在主动是有很多
[44:34] 有的就是告诉你绝对绩效
[44:36] 可是有的其实
[44:37] 他是希望比被动的高息
[44:38] 再好一点的高息
[44:40] 就主动高息
[44:41] 那我昨天看到一篇文章
[44:43] 在我网上讨论
[44:44] 他就是在讲缴税
[44:44] 因为最近大家都在缴税
[44:46] 然后他就讲到说
[44:47] 他的鼓励200多万
[44:49] 他的鼓励里面
[44:50] 因为并不是全部都是纯鼓励
[44:51] 有的是资本利得配发出来的等等的
[44:53] 加上有这个扣底额8.5%等等的
[44:56] 他就没有想到算完最后
[44:58] 他还有退了一些税回来
[45:00] 他就很开心
[45:01] 然后呢大家就开始问说
[45:02] 哇你零股利200多万
[45:04] 那你的本金多少
[45:05] 他的本金1800多万
[45:07] 那他也没有都买高股息
[45:09] 他会买现在其实有一些
[45:10] 不是标榜高股息
[45:12] 可是还是高配息的
[45:13] 因为他把资本利得折出来给大家
[45:15] 像之前费城半导体
[45:16] 就00830那一档
[45:18] 就配息率十几%
[45:19] 对不对
[45:20] 好把资本利得配出来
[45:21] 他说他就看谁发的多
[45:23] 他就配了一组这样的东西
[45:25] 然后下面就
[45:25] 下面就是那种
[45:27] 就是怎么讲
[45:28] 羡慕连连
[45:29] 我忽然就觉得好奇怪
[45:30] 我想说
[45:31] 之前不是把股息
[45:32] 当作是那种洪水猛兽吗
[45:34] 说高股息都不会涨什么的
[45:36] 可是现在人家领了很多股息
[45:38] 大家又羡慕连连
[45:39] 觉得说一年
[45:40] 如果有两三百万的股息
[45:41] 我好像就可以退休了什么的
[45:43] 很奇妙对不对
[45:44] 因为我看这回思考说
[45:46] 1800、900万
[45:47] 可以配到200多万股息
[45:48] 真的不错耶
[45:50] 怎么弄的
[45:50] 可是后来反过来想
[45:52] 我这个人好像是很喜欢
[45:54] 追求资本利得的
[45:55] 干嘛去管人家怎么弄的
[45:57] 我这样讲
[45:58] 我不断强调
[46:00] 这世界上没有这种所谓的
[46:03] 指数强势
[46:04] 不然应该说你投资的
[46:06] 能够赚这个资本利得
[46:08] 但是平常又能够获利
[46:10] 就是拿到这个所谓的吸收
[46:12] 这两个是
[46:13] 简单而言这两个是
[46:15] 不可能同时最大化
[46:17] 应该这么讲
[46:17] 不可能同时最大化
[46:19] 就是有点违背常理
[46:21] 有可能单一最大化
[46:22] 不可能同时最大化
[46:23] 对对对
[46:24] 然后回过头来
[46:25] 以刚刚那个举例
[46:27] 我觉得这个有
[46:28] 可是看了就突然羡慕
[46:30] 怎么对
[46:31] 两百多万就单领
[46:32] 那种感觉
[46:33] 可是我会觉得
[46:34] 我觉得我还是不断强调
[46:36] 我觉得台湾投资人
[46:37] 一直存在这个迷思
[46:39] 什么迷思
[46:40] 就是很喜欢
[46:42] 就是固定能够领多少
[46:44] 其实我不喜欢领袭
[46:45] 可是不让我们看了
[46:46] 就突然心动
[46:47] 然后就告诉我自己
[46:48] 不对啊我就不是这一派的
[46:49] 对啊我会觉得好
[46:51] 今天刚刚提到
[46:52] 他一年能够领200万
[46:54] 我先说什么概念
[46:56] 就是说假设他可以领200万
[46:58] 那确实他就是没有其他的收入
[47:01] 他整个生活就是靠这200万在过生活
[47:04] 那我觉得这个
[47:05] 这个真的是对他最最最好的一个投资了
[47:08] 没有别的选择
[47:10] 但是有一个问题
[47:11] 因为可能这我举一个例就是
[47:14] 这个人其实他本身他有他自己的工作
[47:16] 他有平常固定的收入
[47:18] 最后这个两百万
[47:20] 其实他领来之后
[47:21] 几乎没什么用到
[47:22] 然后因为我遇到很多投资人
[47:25] 大部分都是这样
[47:26] 就是配一配之后
[47:28] 比如说月领两万
[47:30] 然后他觉得很开心
[47:32] 但是两万最后每个月固定
[47:34] 进到他的户头里
[47:35] 但是实际上他那个两万
[47:37] 根本就没有在用
[47:38] 我会觉得这个是极度没有效率的事情
[47:41] 我懂你意思
[47:43] 对啊
[47:43] 因为最后他可以
[47:45] 他可以第一会怎么样
[47:47] 第一他自己会很开心
[47:49] 因为每个月有领两万
[47:50] 第二呢他可以讲给别人听
[47:52] 别人会很羡慕
[47:54] 所以他也会很开心
[47:55] 但实际上这是一个极度没有效率的事情
[47:59] 所以我常常
[48:00] 我遇到台湾投资人
[48:01] 常常会有这样的问题
[48:02] 实际上根本不需要那个钱
[48:05] 但是一直想要有一个稳定的收入
[48:07] 但记得一件事情就是
[48:09] 当你每个月拿回那两万
[48:11] 代表一件事情就是
[48:13] 你这两万就没有投资了
[48:15] 但实际上我刚刚提到
[48:17] 他可能投入1800万
[48:19] 他每年有200万
[48:21] 如果200万根本用不到
[48:22] 其实他放在里面滚更恐怖
[48:25] 一年两年你是看不出效应
[48:27] 但十年后落差大到
[48:30] 你是不可思议的一个架构
[48:32] 所以我常常讲的
[48:33] 就我个人角度
[48:34] 理论上我还是会尽量选择
[48:38] 不配息的商品
[48:40] 因为结论很简单
[48:41] 尤其现在本来就可以零股交易
[48:44] 所以当你需要两万块的时候
[48:47] 前一天
[48:48] 对
[48:48] 前两天卖掉两万块
[48:51] 两天后拿到钱
[48:52] 两万块拿去花
[48:53] 永远都有效率
[48:55] 其中只要用不到
[48:57] 就放在里面
[48:58] 让它持续滚动
[48:59] 这才是最有效率的方式
[49:01] 所以我常常听到
[49:03] 要真的要必须跳脱这个思维
[49:06] 最后你只还到两件事
[49:08] 第一个就是自己心情很愉快
[49:09] 第二就是讲给大家羡慕
[49:11] 你心情很愉快
[49:12] 最后实际上
[49:14] 你的投资效率是在降低
[49:16] 就我个人角度
[49:18] 我第一
[49:19] 我不会因为
[49:20] 假设我真的领袭
[49:21] 我不会因为这样而开心
[49:23] 第二
[49:23] 讲到说谁谁谁
[49:26] 领到多少股息
[49:28] 对我而言
[49:29] 我是完全不会有
[49:30] 任何羡慕的眼光
[49:31] 给我第一个感觉
[49:33] 我会觉得
[49:34] 你有需要钱吗
[49:35] 这个是很没有效率的行为
[49:37] 这是我个人的感受
[49:39] 明暗是匆匆匆派的
[49:41] 但是我看完
[49:42] 我那时候的想法是说
[49:44] 确实每个人有
[49:45] 每个人自己想要的生活模式
[49:47] 跟收益的方式
[49:49] 因为我身边也有很厉害的人
[49:51] 都会讲一句说
[49:52] 你把它放在那边
[49:53] 要是你跟着我买什么什么
[49:55] 你现在就不是付房子头期款
[49:57] 你可能就是再买一栋房子
[49:58] 也会有这种
[49:59] 完全就是百分之一百充的
[50:01] 然后你天天也会很羡慕
[50:02] 对不对
[50:02] 对啊
[50:04] 头上都是一千万
[50:05] 为什么他一千万很快
[50:06] 就变成三千万了
[50:07] 可是我一千万可能只多了两百万
[50:08] 虽然也觉得不错
[50:10] 但是看看人家
[50:11] 人家是说
[50:11] 已经可以再买一间房子
[50:12] 这种人也在我旁边很多
[50:14] 然后那刚刚看到林鼓熙那个
[50:16] 我会觉得
[50:17] 对啊什么都不用做啊
[50:19] 两千万放在边上就零两百万
[50:20] 但是冷静想想
[50:23] 大家到底是要当哪一派
[50:25] 只要你觉得心安理得就好
[50:27] 就像刚刚明汉哥讲的
[50:28] 有人就觉得
[50:29] 我搞不好本业已经没收入了
[50:31] 我退休在家
[50:32] 所以我现在什么都不用做
[50:33] 我也不用超凡
[50:34] 每天进进出出
[50:35] 我就是有薪水这样进来
[50:37] 我觉得很够用
[50:38] 那也OK
[50:38] 但你也喜欢说
[50:40] 冲冲冲
