[00:00] 歡迎收聽趙華盈古貨載第1046集
[23:00] 那剛剛講到帝國衛星
[23:02] 在這一波里面
[23:03] 甚至扮演了軍工的角色
[23:04] 所以今天純軍工反而長不太動
[23:07] 都開高走低
[23:07] 但地委訓就越長越高
[23:09] 因為它牽涉到了有科技新題材
[23:12] 再加上有國防的想法
[23:14] 所以它就變得很強
[23:15] 所以現在可能有多題材
[23:17] 而且這些多題材都是熱門題材加持的
[23:19] 就會是盤面上
[23:20] 在熱門股裡面你比較可以放心的
[23:23] 對 所以我覺得其實延續剛剛趙華所說的
[23:26] 軍工股單今天有點開高走低
[23:28] 是因為訊息面的影響
[23:29] 因為大家說出來
[23:31] 美國的軍購的採購案
[23:34] 暫時停擺
[23:35] 就是因為川普要去中國大陸訪問
[23:38] 所以擔心習近平反感
[23:40] 所以看起來相關的美國軍購
[23:42] 會等到川普訪華之後
[23:46] 才會繼續進行
[23:47] 所以對於整個軍工股
[23:48] 看起來就是原本期待的一個利多
[23:51] 採購利多
[23:51] 好像又有一點熄火的一個狀態
[23:54] 但整體上來看
[23:55] 我覺得軍工股基本上來說
[23:57] 應該也是大家可能就是
[23:59] 小量資金去配置的一個一環
[24:01] 今天雷虎一度衝高
[24:02] 但翻跌
[24:03] 然後全訊原本大家預期說
[24:05] 看起來這個
[24:06] 不要再講了
[24:07] 這跟他抖了
[24:08] 今天也是有反應上來
[24:12] 我覺得軍工股單的心態
[24:13] 就是你配置它
[24:15] 然後小量去等它
[24:16] 等它發酵
[24:17] 那我覺得軍工股
[24:18] 也會是今年的重點題材之一
[24:20] 只是說因為時間點
[24:22] 不是掌握在我們投資人身上
[24:23] 是掌握在政府機關的手上
[24:25] 所以你就是相信
[24:27] 今年軍購預算一定會執行的話
[24:29] 我覺得壓軍工股單
[24:31] 不是一個壞事情
[24:32] 那但是你可以看到
[24:34] 如果你要做這些相關的個股
[24:36] 還是要回歸到多題材
[24:38] 比方軍工股當中
[24:39] 有一檔股票叫安吉
[24:40] 安吉就是無人機家太陽能
[24:43] 所以他股價就會強勢的上漲
[24:46] 所以你如果以這種多題材去選擇的話
[24:49] 我覺得其實盤面上有很多的個股
[24:51] 都有這種多題材的一個想象空間
[24:53] 比方說像今天的記憶體
[24:55] 你看記憶體當中
[24:56] 今天有兩檔股票創下歷史新高
[24:58] 一檔是旺宏
[25:00] 那旺宏我覺得也是一個非常厲害的一家公司
[25:03] 對那因為他自結一月的單月獲利是0.15元
[25:08] 哇好不容易看到賺錢的情況
[25:10] 所以股價到今天來到121塊的歷史新高
[25:14] 另外一檔我覺得是我們比較認同的是宜鼎
[25:17] 對那宜鼎他就是所謂的雙題材
[25:19] 第一個是有所謂的記憶體的一個模組
[25:22] 那他本身有低價庫存
[25:24] 那又因為他做的是所謂工業的記憶體
[25:27] 所以我們看到宜鼎他在這個
[25:29] 上個禮拜是公佈出來
[25:31] 他的2025年的年報
[25:33] 是賺了21.72元
[25:35] 然後如果去單猜他的第四季來看的話
[25:39] 大概只賺差不多10塊錢
[25:40] 其實是有點不如預期的
[25:42] 那為什麼這樣的狀況
[25:43] 就是因為他主要出工業用的一個機體模組
[25:47] 那這個跟消費型的機體一樣
[25:49] 他不太敢跟下游的廠商大幅度的漲價
[25:51] 所以他會比較偏向細水長流
[25:54] 那為什麼今天比較強
[25:55] 就是因為他除了工業用的記憶體模組以外
[25:58] 他本身還有子公司切入到一些機械視覺啊
[26:01] 一些所謂邊緣運算啊
[26:03] 那大家也不要忘了
[26:04] 雖然說輝達股價很弱
[26:05] 但3月16號就是機器人
[26:07] 應該說GTC大會
[26:09] 所以還是有這樣的一個想像題材
[26:11] 所以你看到今天的儀鼎在記憶體當中
[26:13] 我覺得就是那種逆勢的往上衝高到掌印板
[26:16] 那我記得來到856塊啦
[26:18] 那我覺得他也跟群聯有一定的比價效應
[26:21] 那再來可以看到就是說
[26:23] 整個記憶體今天當中
[26:24] 像金浩科啊
[26:26] 像在所謂華邦電啊
[26:27] 甚至南亞科也力圖翻紅
[26:29] 那甚至在所謂的相關的一些
[26:32] 之前南茂漲多有點休息整理
[26:34] 但我覺得記憶體這一塊
[26:35] 既然在盤勢在輪動的過程裡面
[26:39] 他們還是維持有創高的股票
[26:41] 也是大家可能在接下來
[26:42] 你可以期待的
[26:44] 因為我們講說臺股
[26:45] 而又營收很多應該都會有這種
[26:47] 月減
[26:49] 那年增可能有一點
[26:50] 會出現衰退的情況
[26:52] 但是記憶體我覺得就沒有這樣的問題
[26:54] 應該他們報價
[26:55] 能夠讓股價維持在相對的高檔區
[26:57] 只是說你要去選擇哪一些公司
[27:00] 我覺得到現在為止
[27:01] 你儘量去選擇有附加價值
[27:03] 或有雙題材的個股去操作
[27:05] 其實是比較有機會在短線上賺到價差的
[27:08] 那再可以看到今天剛剛提到的
[27:11] 既然大家都還反映到三月的題材
[27:14] 所以今天除了矽光子
[27:15] 除了低軌衛星以外
[27:16] 也有部分的基線股票轉強
[27:18] 上癮漲停板
[27:20] 對那上癮漲停板
[27:21] 我覺得也是這種
[27:22] 第一個我跟大家講
[27:24] 今天的機器人不是整齊在往上走高
[27:27] 所以代表說他還是孤軍奮鬥
[27:29] 那上個禮拜是新貸
[27:31] 股價來到我記得1400多塊
[27:33] 但是也沒有帶動整個機器人的一個比價效應
[27:37] 所以上癮的一個漲盈版
[27:39] 我覺得第一件事情應該是在於說
[27:41] 因為最近的匯率市場變化比較大
[27:45] 今天台幣是走扁
[27:46] 然後日元是走深
[27:47] 然後再加上說整個所謂的關稅的議題
[27:50] 大家也會認為說工具機雖然有受到衝擊
[27:52] 但接下來還是有好轉的一個餘地
[27:55] 那上銀我覺得股價未接
[27:56] 經過創高之後拉回整理
[27:58] 先發動往上
[27:59] 那帶動誰
[28:00] 帶動大銀尾的一個轉強
[28:02] 但是你會發現到
[28:03] 不是整個機器人全面性的走高
[28:05] 所以我覺得機器人股票
[28:06] 在三月份應該是有機會
[28:08] 因為我記得月底還有工具機大展
[28:10] 然後GT大會
[28:12] 還有這個馬斯克
[28:13] 理論上他如果沒有開公投支票的話
[28:16] 他應該在三月份會發表
[28:19] 他的阿特曼斯機器人的第三代
[28:21] 那這些我覺得都是相關的重點題材
[28:23] 所以上癮我覺得
[28:24] 他的表態最少也代表說
[28:26] 機器人的多方的輪動火種
[28:28] 也還沒有結束
[28:29] 大家也可以從這方去尋找一些相關的標的
[28:32] 那機器人股票
[28:33] 但很多都是所謂多題材的一個相關個股
[28:36] 比方說你可以看到
[28:37] 像在有鈣鈦礦題材加太陽能的是蒙利
[28:40] 那這樣股票
[28:42] 但股性我覺得也不太好
[28:43] 不太好
[28:44] 對你講到蒙利
[28:46] 對啊
[28:46] 他真的是有蒙利鈣鈦礦
[28:48] 但奇怪就比較不漲它
[28:50] 對 但是太陽能都漲過了
[28:52] 極限也漲過
[28:52] 我覺得它雙體材價值
[28:54] 總會有輪到它的一天
[28:56] 只是說大家要去耐心等待
[28:57] 也就是說
[28:58] 你一定要去做一個選擇
[29:00] 如果你要選擇那種
[29:01] 馬上立竿見影
[29:03] 買進去就見效的
[29:04] 你就必須要去追
[29:05] 盤面上最強的指標性的個股
[29:07] 那如果說你個性上比較保守
[29:10] 你願意用等等檔的方式
[29:12] 去等它發動的
[29:13] 我覺得你就不妨去找
[29:14] 這種雙體材的
[29:15] 那股價位積也不太高
[29:17] 可能月線附近
[29:17] 可能基線附近去等它的發動
[29:19] 我覺得都會等到
[29:20] 它的一個發動的一天
[29:22] 好就是
[29:23] 當然大家如果喜歡蹲點
[29:26] 這件事情沒有錯
[29:27] 可是真的是要評估一下
[29:29] 自己的耐力
[29:30] 和自己的心態面
[29:32] 因為我收到很多的訊息
[29:34] 問其中有蠻多都是
[29:36] 自己的股票是沒有漲的
[29:37] 但這些股票
[29:38] 你說是不是有很大的問題
[29:39] 也不一定有很大的問題
[29:41] 就是風頭完全不在他們上面
[29:43] 大概就這個樣子
[29:44] 甚至有一些股票也是
[29:46] 可能我們有聊過說
[29:47] 在籌碼上或什麼
[29:48] 他可能都是需要
[29:49] 等待相當久的
[29:51] 那如果還是選擇他們
[29:52] 那等待相當久這件事情
[29:54] 就不能當做好像只是一個
[29:56] 聽過就算了
[29:58] 因為當你開始等的時候
[29:59] 你的心情就會受到影響
[30:01] 但當你忘記他
[30:03] 像剛剛
[30:04] 像剛剛那個
[30:04] 漢偉哥講到全訓
[30:06] 我其實沒有注意
[30:07] 今天全訓有沒有漲
[30:09] 因為大家都知道
[30:09] 我當初買他就是
[30:10] 我支援國家自制飛彈
[30:12] 而且他在飛彈上的技術
[30:14] 應該是蠻不錯的
[30:15] 而且他有基本獲利
[30:17] 他不是美互利
[30:18] 他EPS我記得都有四塊多五塊
[30:20] 而且他還會配那個哦
[30:21] 股票鼓勵哦
[30:22] 所以我就沒關係
[30:23] 我就一直抱著
[30:24] 然後抱到後來變怎樣
[30:25] 抱後來連他有漲我都不知道
[30:27] 那但是心裡面覺得
[30:29] 他將來會不會漲
[30:30] 其實心裡面當然是覺得
[30:31] 他有一天一定會變成
[30:32] 很厲害的公司啊
[30:34] 對
[30:34] 可是什麼時候是那一天
[30:36] 我不知道
[30:36] 那既然在我不知道的時候
[30:38] 他永遠都會是一個
[30:39] 就是持股了
[30:40] 放在那裡了
[30:41] 那我也沒有再去多買他了
[30:43] 那可是我可能就會去買
[30:44] 比較有動能的股票
[30:46] 或者大家知道
[30:47] 我可能會讓這個主動行李貼服
[30:49] 幫我做跑步
[30:49] 幫我做賽馬
[30:50] 我就不會自己再去買
[30:52] 那麼多個股等等之類的
[30:53] 所以如果大家喜歡
[30:56] 手上有這一種
[30:57] 剛剛講要蹲點
[30:57] 要猛力啊
[30:58] 我也覺得不錯啊
[30:59] 要蹲點
[30:59] 其實是可以蹲
[31:00] 因為像智盛我也在蹲之前
[31:02] 啊現在噴起來了
[31:03] 對不對
[31:04] 那光盛其實之前你說有蹲
[31:06] 但後來賣飛了
[31:07] 只剩下一咪咪
[31:08] 一咪咪就沒有
[31:09] 沒有差了嘛
[31:10] 他要飛到兩千三
[31:11] 他要飛到三千
[31:13] 對
[31:13] 隨便他啊
[31:14] 那所以大家如果
[31:16] 今天要賣股票
[31:17] 你會覺得有點捨不得怕賣飛
[31:18] 其實你也可以賣一半
[31:20] 或是用零股賣也可以
[31:21] 你就留一秘密在手上
[31:23] 就看它飛到哪裡去
[31:24] 那如果很剛好的
[31:26] 你賣掉之後它回擋
[31:27] 你又會覺得
[31:27] 嘿太好了
[31:28] 對不對就賣對了
[31:29] 我要講的是
[31:30] 大家要知道自己的配置
[31:33] 配成什麼樣子
[31:35] 會讓你自己的心裡面最安定
[31:36] 例如說剛剛講主動性的
[31:38] 我有一個東西要補充
[31:39] 因為現在的量真的很驚人
[31:41] 其實今天早上
[31:42] 一直到中午的時候
[31:43] 那個量都幾乎呈現是要一兆
[31:46] 就預估今天沒有MACI的調整
[31:48] 都有一兆
[31:49] 就代表今天的參與
[31:51] 比上個禮拜四還要多人
[31:53] 因為上禮拜四有MACI的進入調整
[31:55] 扣掉今天還是將近一兆
[31:58] 你就知道這樣的一個上市量
[31:59] 它可以為納到非常多的資金
[32:02] 我們以前看到像981
[32:03] 因為它長得非常的大
[32:04] 它的規模已經到五六百億以上了
[32:07] 都會說它可能
[32:08] 接下來它的轉身會比較不容易
[32:09] 但今天大家也可以注意到
[32:11] 它的表現是蠻不錯的
[32:12] 我覺得還有一個好處是說
[32:14] 雖然五六百億
[32:15] 或是甚至以後更高
[32:16] 像有的被動式的ETF
[32:18] 不是兩三千億嗎
[32:19] 可是因為現在臺股的
[32:20] 這個成交量變得非常的巨大
[32:23] 所以我覺得
[32:23] 擁有這些資金的人
[32:25] 他可能不能算大型
[32:27] 搞不好只能算中型
[32:29] 那他在中型有個好處
[32:30] 就他能夠操縱一些公司的股價
[32:33] 就會更明確
[32:33] 例如被他買上去
[32:35] 那你今天盤的氣氛
[32:36] 像今天早上一開盤殺下來
[32:38] 可是開始拉
[32:38] 那大家發現
[32:39] 有些拉特別快的
[32:40] 可能心裡面就慌了
[32:41] 我看很多人都說
[32:42] 我用市價就跟著一起買
[32:44] 他反而有帶動大家
[32:45] 跟他一起追股票的那個效果
[32:47] 所以我覺得現在
[32:49] 在這樣的情況裡面
[32:51] 個股有很多好玩的事情
[32:53] 但是像ETF
[32:54] 我覺得也會有他厲害的地方
[32:56] 我一直持續的在觀察他們
[32:57] 並沒有因為規模變大了
[33:00] 反而出現遲鈍的狀況
[33:02] 我覺得這是蠻厲害的
[33:04] 對所以呼應剛剛趙老師所說的
[33:06] 第一個就是蹲點的狀況
[33:08] 我們就舉深達科為例
[33:10] 深達科也是很多人
[33:11] 蹲點很久很久很久的股票
[33:13] 那真的很久
[33:14] 對
[33:14] 但你蹲了
[33:15] 你說蹲了三年
[33:16] 你最近只要這半年
[33:18] 基本上在車上的人都非常的開心
[33:20] 我覺得就是說
[33:21] 其實你可以從一些所謂臺股
[33:23] 真的有很多厲害的公司
[33:25] 他們有些具備獨到的技術
[33:27] 很多在產業深耕了很久
[33:29] 那剛好在一個所謂的景氣迴圈
[33:31] 或在產業的一個起飛期的時候
[33:34] 他卡到一個關鍵技術的成長
[33:36] 就會有這種爆發式的上漲
[33:37] 比方像矽光子這樣的情況
[33:39] 你說上旋到現在
[33:40] 到底有賺了多少錢
[33:42] 還是沒有
[33:42] 但股價也是600多塊
[33:44] 就是因為他卡住了一個關鍵技術
[33:46] 大家都認為說
[33:47] 未來一定會有他的一個一席之地
[33:49] 所以我覺得你從這個臺股當中
[33:52] 當然很多人會覺得說
[33:53] 我很多股票等好久都沒有發動但是隻要整個臺股的狀況是一個多頭迴圈我覺得都會有輪到他的一天那當然你剛剛像趙法所說的你不管是主動型ETF 被動型ETF
[34:06] 最好的優勢在於說
[34:07] 他會讓你等待的時候等得比較舒服
[34:10] 不會讓你真的是感覺苦手寒腰18年
[34:13] 結果最後輪到你的時候
[34:15] 你的水安水寶就跟人家跑了
[34:17] 所以我覺得這個就是一個
[34:19] 讓大家我覺得股票其實不難
[34:21] 但是最難的是持有的心態
[34:23] 心態
[34:24] 跟你在等待時間裡面
[34:25] 能不能耐得住
[34:26] 那種股票的一個
[34:27] 上下的洗刷
[34:29] 所以我覺得
[34:29] 透過所謂的
[34:30] 金融的工具
[34:32] 去取代
[34:33] 或說去
[34:34] 做一些所謂相關的佈局
[34:35] 是一個比較舒服的方法
[34:37] 那也在跟大家講到
[34:38] 你看到今天
[34:39] 你會發現到老AI股票
[34:41] 也有一些網上表態
[34:42] 像廣達
[34:43] 像微影
[34:44] 那上個禮拜四禮拜
[34:46] 我其實美股的AI股票
[34:47] 真的跌得還蠻慘的
[34:49] 對
[34:49] 因為揮打兩天跌10%
[34:51] 所以我本來以為
[34:52] 今天老爺還會繼續辛苦
[34:53] 但也還好
[34:54] 對那因為有亮點嘛
[34:56] 因為所謂的戴爾電腦
[34:57] 他就交出一個非常亮眼的財報
[34:59] 那雖然說有提到一些隱憂
[35:01] 但不管怎麼樣
[35:02] 他股價還是漲了22個百分點
[35:04] 所以在整個禮拜五的美股盤面當中
[35:07] 他也是當中的亮點指標
[35:08] 所以戴爾上來
[35:09] 你看到今天的廣達
[35:10] 今天的微銀
[35:11] 我覺得也是還他公道
[35:12] 因為股價畢竟位階都很低嘛
[35:14] 那不管是配息的政策
[35:16] 或獲利的一個角度來看的話
[35:17] 我覺得都會有輪到他的一天
[35:20] 甚至說大家今天蠻多人
[35:21] 也等到這個航運股的一個復甦
[35:23] 因為又說這個赫姆治海峽
[35:25] 因為戰亂的關係
[35:26] 有可能會避港
[35:27] 所以今天其實蠻多券商
[35:29] 有出航運的報告
[35:30] 也有券商已經調高
[35:31] 我目前看到長榮跟陽明
[35:33] 就是比較歐洲航線的
[35:36] 已經有調高他們的目標價了
[35:38] 對因為第一個
[35:39] 我們很久沒有看到報價
[35:40] 所謂的歐線期貨報價
[35:42] 這些全面性的漲停板
[35:44] 所以今天看起來
[35:45] 就是赫姆治海峽
[35:46] 因為沒有物理性的封港
[35:49] 但已經心理上已經封港
[35:51] 大家已經不敢過了
[35:52] 所以這個當然會造成未來所謂的航線的部分
[35:55] 會有一些塞櫃塞港的狀況慢慢產生出來
[35:58] 所以航運股其實今天都是低檔低跟上來
[36:01] 那只是說今天大部分都流上影線
[36:03] 就是因為今天其實臺股的大盤比較強
[36:06] 所以大家會覺得
[36:06] 搶航運不如去搶一些電子主流股
[36:09] 那但是如果接下來你看到報價上漲了
[36:12] 然後所謂的荷姆澤海峽繼續有封鎖的狀況的話
[36:15] 我覺得貨櫃三雄也會是短向的自行避風港
[36:18] 但是你要複製向前兩年那種洪海被封鎖的大幅度上漲
[36:22] 我覺得以現在臺股資金的狀況來看
[36:25] 我們會說它是一個跌身反彈跟補漲的行情
[36:27] 但是要大幅度的上漲
[36:29] 還是要看後續報價的發展跟地緣政治的發展
[36:33] 但是整體上來看
[36:34] 他們也都是具備駕駛群的公司
[36:36] 所以你之前有蹲點蹲他們的
[36:38] 應該有機會在近期有一些反彈的動能
[36:41] 那我如果說以這個當中
[36:43] 最直接收回應該是這個新興
[36:45] 是
[36:45] 對因為目前來看
[36:47] 散裝航運的新興
[36:47] 對 散貨商與新興
[36:49] 那當然這個載板新興也是很強
[36:51] 你不小心買錯
[36:51] 我覺得沒關係
[36:52] 難得這兩種新興都很強
[36:55] 對 兩種都很強
[36:56] 有時候表現真的差很遠
[36:58] 對 那新興我覺得當然
[36:59] 第一個就是國內散貨商裡面
[37:01] 唯一有郵輪就是新興
[37:02] 所以新興它會變成說
[37:04] 在這一段時間裡面
[37:05] 因為郵輪的運價大幅度的上漲
[37:07] 所以這個我覺得
[37:08] 它是在短線裡面
[37:09] 是一個可以參考的指標性的股票
[37:12] 甚至你看到今天報價漲的
[37:13] 類似所謂的加隆
[37:14] 這些所謂黃金概念股
[37:16] 也是大家可以做一個參考的標的
[37:18] 那這些所謂的非電子
[37:20] 非AI股票
[37:21] 就會跟整個地緣政治
[37:22] 有一定的聯動
[37:23] 所以大家如果說
[37:25] 真的很擔心伊朗的問題
[37:26] 說會不會未來反反覆覆
[37:29] 你可以從這方向去尋找一些
[37:30] 有受惠的標的
[37:32] 好
[37:32] 當然這個都很吃所謂的股性
[37:35] 我記得上一次在過年期間
[37:38] 也是有這個朋友的媽媽就說
[37:39] 那他貨櫃行業
[37:40] 其實我沒有知道他報哪一檔
[37:42] 如果大家報的是長榮
[37:43] 可能感覺是差很多的
[37:45] 因為我們也常常講說
[37:46] 長榮在上一次
[37:47] 做完大幅的減資
[37:48] 以及這個新船上面
[37:50] 都符合所謂的環保標規
[37:52] 等等的
[37:52] 對於長榮的體質
[37:53] 是很有幫助
[37:54] 將來他現金滿手
[37:55] 好 抱長榮
[37:56] 可能感覺是好的
[37:57] 但抱萬海跟楊敏
[37:59] 就不一定
[38:00] 當時就說
[38:01] 如果媽媽真的這樣覺得
[38:02] 她想要轉檯移電相關的
[38:04] 0052或臺移電都可以
[38:05] 後來我見到
[38:07] 黃峰凱凱哥
[38:08] 就講了一句說
[38:08] 你等等那個長榮
[38:10] 如果是長榮的話
[38:11] 等他除息完
[38:12] 然後到期再說
[38:13] 我覺得這些都是一個很好的參考
[38:15] 為什麼呢
[38:16] 因為講到除息
[38:16] 昨天韋影公佈了他的除息政策
[38:19] 除了配現金還配股票
[38:21] 就等於說他對未來的成長性
[38:23] 是有一定的把握的
[38:24] 所以他給他今天股價也很大的激勵
[38:26] 那因為現在快要進入到三月份了
[38:28] 除了剛剛講到的這個通訊大展
[38:30] 會有效的刺激跟通訊相關的
[38:32] 或AI相關的
[38:33] GTC大會也跟AI有關之外
[38:36] 接下來會有很多的董事會
[38:38] 可能就會開始公佈所謂的鼓勵政策
[38:40] 我覺得這個大家也可以留意一下
[38:42] 因為三月到四月
[38:43] 就會有一批出席
[38:44] 早尿先出席
[38:45] 那我知道過去兩年
[38:47] 大家對高股息
[38:47] 可能會覺得很惻心
[38:48] 什麼的
[38:49] 可是最近高股息
[38:50] 其實也是有在動
[38:51] 而且如果著眼在股息
[38:53] 那他這個有股息
[38:55] 又能搭上AI題材的話
[38:57] 我覺得相較之下
[38:58] 他就會有相當高的
[39:00] 一個保護力跑出來了
[39:01] 所以我覺得這個
[39:02] 有息這件事情
[39:04] 在近期
[39:05] 我覺得大家也是可以來關注
[39:07] 當然有的傳產有息
[39:08] 然後可是真的跟AI
[39:10] 一點毛關係都沒有的
[39:11] 也許會相對辛苦
[39:13] 可是我們從微影看得出來
[39:15] 有息這件事情
[39:16] 加上他是AI的一線軍
[39:18] 還是有幫助
[39:19] 對啊
[39:19] 所以我覺得老AI股票
[39:21] 其實我覺得時間點到這邊
[39:23] 是真的可以開始適度佈局的
[39:25] 因為我們講
[39:26] 現在接下來當然就是
[39:27] VIA RUBI的一個正式的量產
[39:29] 那你可以看到去年
[39:31] 如果大家發現到
[39:32] 所謂GB200 G300 delay
[39:34] 在上半年老AI也是相對很低迷
[39:36] 但在低迷的時候
[39:38] 你有佈局一些
[39:38] 到下半年整個開始出貨的時候
[39:40] 股價拉很快
[39:41] 你就不會錯過那個行情
[39:43] 所以我會跟大家講
[39:44] 老AI現在如果大家覺得
[39:46] 等待很痛苦的話
[39:48] 很多高股息有他們
[39:49] 所以也是可以佈局的一個方向
[39:52] 因為很多事情
[39:54] 交給高股息處理也不錯
[39:55] 還有配息
[39:57] 可以安慰一下
[39:58] 這邊還是強調一下
[40:00] 高股息不要認為
[40:01] 好像就是萬惡的
[40:02] 我覺得那真的是
[40:03] 從兩年前
[40:05] 我們就不停的跟大家講
[40:06] 高股息的設計就是給大家
[40:08] 他去幫你一網打盡
[40:10] 所有好的有股息
[40:11] 有殖利率的公司
[40:12] 以穩定配息為主
[40:14] 可是因為當時他撈進來的公司
[40:16] 例如偉創廣達等等的
[40:17] 都是一個AI的起漲點
[40:19] 所以你會有一種
[40:20] 息差一定要雙賺的感受
[40:22] 那誰適合高股息
[40:23] 其實有人就是想要穩定現金流的
[40:26] 他比較就適合高股息
[40:27] 因為高股息在設計的時候
[40:29] 他們也會去衡量說
[40:31] 他們發的股息不能忽高忽低
[40:33] 那為什麼要這樣設計呢
[40:35] 就是為了要穩定有現金流進來的人
[40:37] 如果今天是一個快要退休了
[40:39] 你已經算好了
[40:40] 我一個月從高股息
[40:41] 一個月可以拿個五萬塊錢好了
[40:43] 忽然一個月配一萬
[40:44] 忽然一個月配九萬
[40:46] 其實對大家來說是困擾的
[40:48] 所以高股息它有這些的特質
[40:50] 大家就不妨當作是
[40:52] 你有沒有這個需求
[40:53] 因為如果你什麼事情
[40:55] 都要跟人家比說
[40:56] 它不是績效最好的
[40:57] 它績效怎樣怎樣
[40:58] 如果你什麼事情都要比績效
[41:00] 那不好意思
[41:00] 你就去全部all in在
[41:02] 所有的股票型的商品上面
[41:05] 而且要最積極的
[41:06] 就是你應該把細光紙補滿
[41:07] 你應該把載板補滿
[41:09] 對不對
[41:09] 你應該當充隔日充
[41:11] 當然就是不能這樣比
[41:13] 就不能這樣比
[41:14] 那當然如果有人說
[41:15] 又穩健
[41:16] 然後也會有一定股息的選擇
[41:18] 就是臺灣的市值型
[41:19] 我覺得這也是一個好的想法
[41:20] 因為臺灣就是一個
[41:22] 發股息很厲害的地方
[41:23] 連臺積電
[41:24] 它都能一邊調高資本支出
[41:26] 一邊獲利變得更好
[41:27] 一邊發給股東的錢更多
[41:29] 連臺積電本人
[41:30] 都擔負了這樣的一個責任的時候
[41:32] 你就知道說
[41:33] 那你買臺灣的市值型
[41:35] 如果你真的很喜歡有息
[41:37] 那它也是一個選擇
[41:38] 對不對
[41:39] 甚至有現在有很多
[41:40] 連主動型基金
[41:41] 都把那個價差配給大家
[41:43] 那這個要不要
[41:44] 非常取決於個人
[41:46] 像也有人是
[41:47] 很喜歡像最近發什麼9816
[41:49] 或者是去買基金
[41:50] 因為基金有那種所謂
[41:51] 連結到0050
[41:53] 但是不配洗的基金
[41:54] 或者是TESA
[41:55] 現在這個基富通
[41:56] 它有TESA基金
[41:58] 全部裡面都是不配洗的
[41:59] 有人也喜歡說
[42:00] 你不要給我洗
[42:01] 我現階段的
[42:02] 我這個人
[42:03] 我就是要獲利
[42:03] 所以你就是滾進去
[42:04] 滾進去
[42:05] 你幫我滾進去
[42:06] 我也不想要領到洗
[42:07] 我還要自己滾進去
[42:07] 很麻煩
[42:08] 所以我覺得這個市場上
[42:10] 真的有非常多元性的商品
[42:12] 那是如果你是一個
[42:13] 什麼事情都要跟人家比績效
[42:15] 比到第一名的
[42:16] 那不好意思
[42:16] 你可能真的不會有適合你的商品
[42:18] 而且搞不好會換得換失到不行
[42:20] 因為會做期貨選擇權人
[42:22] 可能賺的還比你更多
[42:23] 那我要這樣講是
[42:25] 像最近我不得不說
[42:26] 如果手上有在券型ETF的朋友
[42:29] 因為現在十年期的公債殖利率
[42:32] 已經當到3.96%
[42:33] 它完全是源自於避險的需求
[42:36] 那如果你抱這個東西
[42:38] 已經抱得很不耐
[42:39] 那現在可能會是相對
[42:42] 你可以去換掉的一個時機
[42:44] 但是以我來說
[42:45] 我不會在這個時候
[42:46] 去動我的債券部位
[42:48] 因為說實話
[42:48] 這一波臺股上來
[42:49] 我加貸股票部位的比例
[42:52] 已經越來越高了
[42:53] 我非常需要這一塊
[42:55] 是我的穩定平衡避險的部位
[42:57] 所以我不會去動它
[42:58] 但是如果一直在抱怨說
[43:00] 早知道我的錢
[43:01] 全部都去買臺積電
[43:02] 我不應該買這個爛東西的話
[43:04] 如果是這樣想
[43:05] 最近你就有一點點解套
[43:06] 可以拿走的機會
[43:07] 因為我看了各個
[43:08] 不管是公債的ETF
[43:10] 或是這個頭等債的ETF
[43:11] 它幾乎都是來到了
[43:13] 一年多的高點
[43:14] 而且是不含習
[43:15] 若把習歡迎回去
[43:17] 我想沒有人賠錢
[43:18] 只是你會覺得資金效率不好
[43:19] 那如果真的那麼不爽的話
[43:21] 就把它稍微賣掉
[43:22] 我是講真的
[43:23] 我想很多人現在都很懶的
[43:25] 跟大家提債券
[43:26] 其實我也是
[43:26] 因為大家的觀念都不太對
[43:28] 可是我看到這兩天
[43:29] 債券漲得比較多
[43:31] 所以才會提醒大家說
[43:32] 如果你真的是
[43:33] 對這個商品極度的點點的人
[43:35] 你現在可以適度的調節一些
[43:37] 可是一定要記得一件事
[43:38] 不要過一陣子股市因為
[43:40] 現在一些風風雨雨
[43:41] 突現大跌
[43:43] 然後債券反漲的時候
[43:44] 又開始很錯愕
[43:45] 說我好像做了錯的決定
[43:47] 永遠在比
[43:47] 譏笑這個事情
[43:48] 我覺得這個是要提醒大家
[43:51] 不要用這種心態在操作股票
[43:52] 對啊
[43:53] 所以我覺得像趙老剛所說的很好
[43:55] 就是說你要了解每個商品的特性
[43:57] 那債券的部分
[43:58] 它當然就是類現金
[44:00] 而且流動性好
[44:01] 有避險的屬性
[44:02] 所以當然你現在如果說
[44:03] 債券來到相對解套高點
[44:05] 那你要把它這個換股操作的話
[44:08] 我覺得第一個你要先想好
[44:10] 那你換的東西
[44:11] 不要比你的債券一定會更差
[44:13] 如果一換過去
[44:14] 發現到股票跌了
[44:15] 那你債券在漲
[44:16] 當然就會覺得
[44:17] 好像是做錯事情了
[44:19] 所以你要回歸到
[44:20] 就是說你這個債券
[44:21] 假設真的這邊
[44:22] 覺得要跟他分手了
[44:24] 那下一個有沒有更好
[44:25] 有沒有更適合你的商品
[44:27] 所以還是要把這個商品研究透測
[44:29] 如果你適合四值型
[44:30] 適合主動型
[44:31] 適合股在配的
[44:32] 那我覺得都可以去找到相關的商品
[44:34] 只要花一點時間而已
[44:35] 好
[44:36] 那今天也謝謝漢偉來到現場
[44:38] 這個
