[00:00] 歡迎收聽趙華語股貨載第1037集
[24:59] 因為他可能報過整個股災
[25:01] 也報到不對的股票之類的
[25:03] 所以不一定賬面能翻紅
[25:04] 那這真的蠻辛苦
[25:06] 好 現在去做轉換
[25:08] 並不能保證馬年就一定賺很多
[25:11] 因為當然現在相對是
[25:12] 收在一個歷史的最高檔
[25:14] 可是隻要記得一件事
[25:16] 你就剛剛講的
[25:17] 在回檔的時候切記要加碼
[25:20] 因為股票不會從第一天
[25:21] 漲到第365天
[25:23] 這中間我們都歷經過回檔
[25:25] 去年甚至有一度
[25:27] 是打到季限的位置
[25:28] 當然季限比較少
[25:30] 通常因為很強勢多頭
[25:32] 月線的位置比較容易看到
[25:34] 這時候都記得
[25:35] 這個時候加碼
[25:36] 你就可以累積你的部位
[25:37] 或是像我的同事
[25:38] 他就說他就一直在定期定額
[25:40] 也可以
[25:41] 雖然大家會覺得定期訂額
[25:42] 好像有時候很貴
[25:43] 我還在扣
[25:43] 你就不要猜
[25:45] 你看現在三萬三千多
[25:47] 去看兩萬七千多八千多
[25:48] 是不是那時候很便宜
[25:50] 可是在兩萬七兩萬八
[25:50] 每個人都覺得
[25:51] 已經非常非常的貴了
[25:52] 所以用定期訂額
[25:53] 也是一個方式
[25:54] 既然喜歡我不厭其煩的叮鈴
[25:56] 我就不厭其煩的
[25:57] 再繼續叮鈴
[25:58] 那剛剛講到的當衝
[25:59] 我們身邊的達人
[26:00] 也有很多會當衝
[26:02] 小哥會當衝
[26:04] 影響各位當衝
[26:04] 但他們確實都輔助於
[26:06] 例如說天天看盤
[26:08] 然後緊叮
[26:09] 小哥都盯到那個
[26:11] 如果去看他的粉專
[26:12] 你就知道
[26:13] 他都去做手術
[26:14] 他久坐
[26:14] 就他從早上
[26:16] 可能八點就坐在那裡
[26:17] 然後一直下單
[26:18] 一直敲單
[26:18] 那雲翔哥也喜歡敲單
[26:20] 上飛機的都還在敲單
[26:21] 像這樣的人
[26:22] 做當充可能比較適合
[26:23] 例如說像朱老師
[26:25] 他以前在我們這邊
[26:26] 有一個單院
[26:27] 那我們在敲的時候
[26:28] 就很多人敲碗
[26:29] 說朱老師
[26:30] 你可不可以教我們當充
[26:31] 朱老師就跟我講說
[26:32] 其實他很不喜歡教當充
[26:33] 可是很多人想學
[26:35] 他說因為學當充
[26:36] 你就要在那邊看
[26:37] 你就要看的是分鐘的K棒
[26:40] 而且後面又加入了很多人
[26:42] 是用電腦做高頻交易的
[26:44] 你常常就會輸給這些人
[26:45] 所以他很不喜歡交
[26:47] 可是他後來有一集
[26:48] 勉為其難的交了
[26:50] 那一集的點閱爆充之外
[26:51] 下面就罵聲一片
[26:53] 說什麼趙偉在分毛會死掉
[26:55] 什麼什麼的
[26:55] 對啊
[26:56] 所以他才不想交
[26:57] 對
[26:57] 因為他就是一個
[26:59] 比較更高超的技術
[27:00] 所以我覺得大家
[27:01] 真的要稍微調整一下
[27:04] 就是我相信
[27:06] 比較普羅大眾
[27:07] 99%的人
[27:08] 真的比較適合
[27:10] 就是交給專家操作也好
[27:11] 然後分散配置佈局
[27:13] 然後加上一個中場線
[27:15] 我覺得都是比較適合大家的
[27:17] 對
[27:17] 因為
[27:18] 在股市獲利的方法
[27:21] 有很多種
[27:22] 那我想除了技術之外
[27:23] 重點是心態
[27:24] 那我想賺錢
[27:26] 大家都喜歡
[27:27] 畢竟
[27:27] 如果在股市獲利
[27:29] 你可以改善你的生活
[27:30] 改善家裡人的生活
[27:32] 當然大家希望能夠
[27:34] 這個股市賺越多錢越好
[27:36] 不過換個角度想
[27:38] 如果股市操作這麼容易的話
[27:40] 我就常常舉個例子
[27:41] 那為什麼有的人要
[27:42] 凌晨三點起來開早餐店
[27:44] 賣早餐給你吃
[27:45] 或者說早上凌晨就有人起來
[27:47] 這個送報紙啊什麼
[27:49] 這麼辛苦的工作
[27:50] 還是有人願意去做
[27:51] 為什麼
[27:51] 因為呢
[27:52] 這市場上
[27:53] 還是需要各行各業的人
[27:55] 那當然了
[27:56] 這種極短線的交易
[27:58] 就我剛前面強迫
[27:58] 它不是不好
[27:59] 但是呢
[28:00] 第一個你要有時間釘盤
[28:02] 在第二個你要有相關的工具
[28:04] 而且特別是現在AI時代
[28:06] 很多短線的高手
[28:08] 其實他們可能手上有好幾套程式在跑
[28:10] 就是今天如果什麼股票串出來
[28:13] 他們第一時間就可以鎖定
[28:14] 然後透過程式交易的方式
[28:16] 大量的把單打進去
[28:18] 還有再來就是心態的問題
[28:20] 就我們常常講的
[28:21] 當你這個心態還不成熟之前
[28:25] 你漲了你會賣
[28:27] 賠了你就當做傳家寶
[28:29] 就我剛剛前面舉的例子
[28:30] 就是馬桶的汙垢
[28:32] 你都不去清理它
[28:33] 那所以呢
[28:34] 你長期下來就會發現
[28:36] 我每次賺個三五千
[28:37] 賣掉
[28:38] 當天就很開心
[28:39] 可是呢
[28:39] 庫存表一開啟來
[28:40] 很多都是賠三五萬
[28:42] 而且不止一檔
[28:43] 所以長期下來你會發現說
[28:45] 好像我印象中我有賺錢
[28:47] 可是為什麼庫存開啟
[28:48] 然後或者說
[28:49] 你把一整年的
[28:50] 那個損利表調出來
[28:52] 其實你是賠錢的
[28:53] 因為你是感受到
[28:55] 當下那個多巴胺的刺激
[28:58] 你已經實現了
[28:59] 但是呢
[29:00] 你就選擇性的
[29:01] 把那些賠錢的就先不理他
[29:03] 那當然如果大多頭的時候呢
[29:06] 或許他後面一波有機會漲回來
[29:09] 可是像我自己在市場
[29:12] 二十幾年我慢慢可以發現
[29:13] 現在時代跟以前不一樣
[29:15] 十幾年前的話呢
[29:17] 大概只要是行情好
[29:19] 反正就是大家都會漲
[29:21] 漲多漲少的差別而已
[29:23] 但是呢
[29:24] 特別是近三五年疫情之後
[29:26] 你可以發現
[29:27] 漲的就是會漲
[29:28] 不漲的就不會漲
[29:29] 就是你買錯
[29:31] 可能大盤創新高跟你連關係都沒有
[29:33] 就是產業的分化會越來越大
[29:36] 就像大家會覺得說
[29:38] 好像今年景氣很好
[29:39] 哇什麼GDP創新高
[29:41] 這個政府已經有公佈了
[29:43] 或者說什麼外銷出口創新高
[29:45] 可是如果你去問傳產業的
[29:46] 每個人都苦啊
[29:47] 為什麼沒訂單
[29:48] 那之前那個所謂
[29:51] 這個關稅的議題
[29:53] 或者說消費型產品的復甦
[29:56] 也比較緩慢
[29:57] 所以跟過去一樣
[29:59] 就是隻要大盤好景氣好
[30:01] 大家都雨露均霑是不一樣的
[30:03] 這個疫情之後
[30:04] 這三五年以來
[30:05] 基本上你有搭上新一個
[30:08] 產業轉型潮流的公司
[30:10] 或產業才有辦法
[30:11] 那沒有的話
[30:12] 我想去年如果
[30:13] 你壓在一些所謂過去
[30:16] 我看到很多人喜歡
[30:17] 做一些所謂的價值型投資
[30:20] 我遇到一些高手
[30:22] 他們就覺得說
[30:22] 他們去年的績效都
[30:24] 比他們預期的還要差一點
[30:26] 為什麼
[30:26] 因為你所謂的價值呢
[30:29] 其實好公司是好公司
[30:30] 可是他剛好沒有AI
[30:32] 他剛好沒有AI
[30:34] 除非說像前一陣子什麼土方之亂
[30:36] 那個突然他可以回收費息
[30:39] 不然的話其實他股價已經躺在那個地方很久很久
[30:42] 那突然一個利多才讓他股價突然衝出來
[30:45] 但是你可以發現絕大部分沒有AI的公司
[30:48] 其實去年的股價都是躺平的
[30:50] 都是躺平的
[30:51] 甚至盤好的時候他不漲
[30:52] 盤一不好他可能先給你破底
[30:55] 先殺一波再說
[30:56] 甚至有些AI的受惠股
[30:57] 我看最近雖然有點反彈
[31:00] 可是你可以發現像什麼華碩
[31:01] 技嘉
[31:02] 維星這些
[31:03] 你會發現
[31:04] 如果你報到這些股票
[31:06] 什麼股市一直創新
[31:07] 我的股票一直在破底
[31:09] 那你那心情上可能就會更欲足
[31:11] 你沒有玩就算
[31:12] 或沒有投資就算了
[31:13] 但是你會發現
[31:15] 我已經有買
[31:16] 可是為什麼別人賺錢我賠錢
[31:18] 那心裡面失落感會更大
[31:21] 那主要原因就是因為
[31:23] 這些電子業的關鍵材料
[31:26] 像什麼記憶體
[31:27] PCB全部都被AI搶走了
[31:29] 所以消費型產品
[31:31] 特別是NB PC
[31:33] 當然就消費者漲價的
[31:37] 接受程度就會比較低
[31:39] 所以我還是建議大家
[31:41] 挑對產業
[31:42] 再來的話
[31:43] 不然就是交給專業的
[31:45] 這些經理人
[31:45] 買個ETF也是不錯的選擇
[31:47] 因為這個真的是叫做不厭其煩
[31:51] 有跟大家分享
[31:52] 你說趙華買個股
[31:53] 當然趙華也買了蠻多個股的
[31:56] 因為身邊的達人多嘛
[31:58] 那自己在產業界
[31:59] 也有認識不少的朋友
[32:00] 個股我也蠻喜歡
[32:02] 所以真的是可以體會到
[32:04] 為什麼大家會比較執著在個股
[32:05] 個股真的新鮮感
[32:07] 刺激感比較夠哦
[32:08] 那如果一旦你今天抓到一個
[32:10] 漲停板的那種感受更好嘛
[32:12] 可是說實話
[32:13] 就算我有手上有
[32:15] 可能矽光子或者載板
[32:17] 這型別的標股
[32:18] 也不代表我的整體報酬率
[32:20] 就等於這些標股的報酬率
[32:22] 因為也會有往下飆的哦
[32:25] 對不對
[32:25] 我們雖然看到今天台移電很棒
[32:27] 今天大盤指數是在一個創高收盤
[32:30] 可是就剛剛如幸福哥講的
[32:31] 其實一二月還好一點
[32:33] 要是在這個去年的十一月之前
[32:35] 其實大盤的那個寬度是很窄的
[32:38] 什麼意思
[32:39] 就只漲一些些股票
[32:40] 大部分股票都不好
[32:42] 當然你說我有抓到PCB
[32:44] 我有抓到細光子
[32:45] 我有抓到低軌道衛星
[32:47] 好像你抓到一個我有抓到記憶體你有抓到這幾個似乎是你會中對不對可是你會發現信心有時候不夠因為之前盤的那個成交量還沒有那麼大的時候有一段時間
[32:58] 其實是你可能長記憶體
[33:00] PTB就休息
[33:01] 你長PCB
[33:02] 那可能低軌衛星
[33:03] 或是記憶體就在休息
[33:04] 然後你常常會抓龜走鱉
[33:06] 就是它在長去追
[33:08] 然後結果你就放掉你原來的
[33:10] 結果你原來又長起來
[33:10] 你又跑去原來
[33:11] 居然跑來跑去跑來跑去
[33:12] 這種經驗
[33:13] 我們也聽到蠻多人分享的
[33:15] 所以能夠從一而終
[33:17] 緊緊的抱住某一檔標股
[33:19] 我想那也是少數人中的少數人
[33:21] 但是至少到了12月
[33:23] 1月2月
[33:24] 我覺得市場的寬度
[33:25] 是有把它開啟的
[33:26] 就等於是
[33:27] 因為現在資金量真的很充沛
[33:28] 你看今天要封關了
[33:29] 還有這個6700億的上市成交量
[33:33] 所以就會變成有好幾個族群
[33:34] 或是中小型股
[33:35] 它會一起漲
[33:36] 然後加上臺積電也在漲這樣子
[33:38] 所以被剝奪感
[33:39] 也許會稍微輕一點點
[33:40] 可是如果又回到去年
[33:42] 可能11月之前那個樣子
[33:43] 你就會患得患失
[33:45] 對不對
[33:45] 所以我才會講說
[33:46] 個股很棒
[33:47] 如果你有非常喜歡的產業個股
[33:49] 加上我們的達人
[33:50] 報價天王也會講報價
[33:51] 對不對
[33:52] 記憶體他也講很早
[33:53] 記憶體講了快一年了
[33:54] 那如果你很相信
[33:55] 這個事情抱很長
[33:57] 我覺得沒有問題
[33:57] 但是另外一邊
[33:58] 如果你會發現
[34:00] 你有這樣的問題
[34:00] 在整個十年
[34:01] 一直有失落感
[34:03] 那你真的就是要
[34:04] 做好所謂的配置
[34:05] 這邊真的是碎念
[34:06] 是因為我自己上面
[34:07] 我必須講
[34:08] 我也是這些配ETF的
[34:10] 或是大盤跌到月季線的時候
[34:12] 去撿的ETF
[34:13] 讓我覺得最沒有煩惱
[34:15] 它雖然沒有什麼驚喜
[34:16] 可是他也不會有煩惱
[34:18] 而且你們去看他的線圖
[34:19] 他就是幾乎就是
[34:21] 像這些主動式
[34:22] 只要經理人稍微比較
[34:24] 比較
[34:24] 我說實話
[34:25] 操盤力比較強的
[34:27] 幾乎都是往右上角
[34:28] 慢慢慢慢上去
[34:29] 慢慢慢慢上去
[34:29] 沒有那種個股
[34:31] 會給你一個
[34:31] 來一個大山形
[34:32] 一下打回原點
[34:34] 又漲上去
[34:35] 這樣的一個大怒神行情
[34:37] 在ETF上面比較不會有
[34:39] 所以我會覺得
[34:40] 都封關日了
[34:41] 還是不免俗的
[34:43] 跟大家分享說
[34:44] 在新的一年
[34:45] 想想看你手上的配置
[34:46] 但我看到很多人
[34:47] 已經做了挪移
[34:48] 我相信在馬年
[34:50] 會有好的成效
[34:51] 也要像剛剛留言
[34:52] 那一位朋友一樣
[34:53] 莫忘初衷哦
[34:55] 莫忘初衷
[34:56] 我們在股市學到的經驗
[34:57] 真的非常重要
[34:58] 不要只是一時之間
[35:00] 覺得學到了
[35:01] 因為過去的經驗不舒服
[35:02] 所以你學到
[35:03] 其實不舒服的經驗
[35:04] 才會學到好的方向
[35:05] 然後結果
[35:06] 等到之後
[35:07] 又有一個什麼樣的狀況
[35:08] 有人跟你爆牌什麼的
[35:09] 又亂了陣腳
[35:11] 希望我們大家都能
[35:12] 彼此勉勵啦
[35:13] 那在過年期間
[35:14] 因為美股還有開盤
[35:15] 所以我們還是密切注意一下
[35:17] 美股的一些變化
[35:18] 因為在去年
[35:19] 就是有這個所謂的
[35:20] DPC的事件
[35:21] 讓美股的AI科技股是大跌
[35:23] 那這個
[35:24] 這一次過年比較特別是
[35:26] 我們比較晚
[35:27] 所以美股的一些
[35:28] 重量級財報
[35:29] 事實上都已經出來了
[35:30] 那我覺得這些財報
[35:31] 看起來都是好的
[35:32] 對
[35:33] 即使解讀會一系數變
[35:35] 一下說資本支出給那麼多
[35:37] 亂花錢都不會回收
[35:38] 一下說資本支出這麼多
[35:40] 代表AI不會泡沫
[35:42] 還會繼續
[35:42] 這個都隨華爾街在說
[35:45] 但是且記臺灣就是來吸收他們這些的訂單
[35:49] 所以資本支出肯定是對我們有利的
[35:51] 目前以這樣的態勢來看
[35:53] 美股如果只要穩穩的
[35:55] 臺股現在是領先美股的一個狀況
[35:57] 也許還會持續下去
[35:59] 再來就是因為美國現在有一些些總經資料
[36:02] 我們要留意
[36:03] 昨天晚上是美國的零售銷售資料是不如預期
[36:06] 所以美股他一直在一個
[36:09] 好像就是AI好AI投入
[36:11] 但其他的部分
[36:12] 有沒有真的來跟上
[36:14] 雖然他們製造業指數
[36:15] 也來到一個擴張
[36:16] 但這個疑慮
[36:17] 大家心裡面還是有
[36:18] 所以美股反而是反映在什麼呢
[36:20] 降息預期有點拉高
[36:22] 降息預期有點拉高
[36:24] 那反正現在美國就是
[36:25] 希望漲啦
[36:26] 這個氣氛還是在
[36:27] 所以如果降息預期拉高
[36:29] 其實市場還是高興
[36:30] 就覺得還是會有前進來
[36:32] 我們目前就在一個
[36:34] 多頭的恐怖平衡上
[36:35] 繼續往上走
[36:36] 但臺灣比較有利的地位是
[36:38] 我們就收人家的單
[36:40] 所以人家有沒有回收
[36:41] 我們不用管
[36:42] 我們有收到就好
[36:43] 但有一天當然
[36:44] 如果美股出現
[36:45] 比較大幅的劇烈回擋的時候
[36:48] 那就是我們可能
[36:49] 可以把現金拿出來
[36:51] 更做大幅加碼的時間點
[36:52] 那我相信它還是會出現的
[36:55] 所以大家現在也不要太心急
[36:57] 也不要FOMO
[36:58] 好好的放個年假就對了
[36:59] 對
[37:00] 其實我們常常講
[37:02] 投資你不要太追求短線的
[37:07] 短線快速的獲利
[37:09] 因為常有人講說
[37:11] 你如果你的那個base不夠
[37:15] 我們講的base
[37:16] 就是說如果你是
[37:17] 比如說像中樂透
[37:18] 我常常舉這個例子
[37:19] 如果你不是天生有帶財的
[37:22] 你中樂透
[37:23] 天生有帶財的
[37:24] 雖然一次讓你中很多錢
[37:26] 可是很多人到最後
[37:27] 還是把那個錢都花光光
[37:30] 或輸光光
[37:30] 就像我記得我上次來
[37:32] 我舉那個NBA球星的例子
[37:34] 有四五十趴以上的
[37:36] 這個當初可能年收入
[37:38] 百萬千萬美金的
[37:39] 那些NBA頂級的球員
[37:41] 退役之後很多
[37:43] 可能五年十年之內就申請破產
[37:46] 為什麼
[37:47] 他有賺到那些錢
[37:48] 但是他守不住那些錢
[37:50] 所以如果說你不具備
[37:52] 這些專業的知識
[37:53] 跟這些專業的一些
[37:56] 相關的技巧的話
[37:58] 即便可能讓你某一次
[37:59] 賭隊的一次大行情
[38:02] 就像當年海運股大漲
[38:05] 其實很多人都有賺到錢
[38:06] 可是也很多人在後面海運股回檔的時候
[38:09] 把之前賺的都賠光了
[38:12] 甚至還倒禿回去
[38:14] 為什麼
[38:14] 因為行情已經變了
[38:17] 那這個時候如果你還是一直
[38:20] 用過去的規則說
[38:22] 我就是幾塊錢買
[38:23] 後來它就漲回去幾塊
[38:25] 那可能就越套越深了
[38:26] 所以我是覺得市場是不斷的在進化
[38:29] 就像我們以前早期的時候
[38:33] 可能那時候上市
[38:34] 成交量2000億就算大量了
[38:38] 現在動輒五六千
[38:40] 有時候還快8000億一兆
[38:41] 那跟我們十幾年的時候
[38:43] 今天2000億爆大量
[38:44] 完全不可同日而已
[38:45] 現在上櫃就2000億了
[38:47] 對上櫃就2000億了
[38:48] 所以今年證券股不錯
[38:51] 我們聽到蠻多的一些證券公司
[38:54] 除了交易量放大之外
[38:55] 這個手續費的收入比較多
[38:57] 還有就是很多券商的
[38:59] 這個自營部門
[39:00] 獲利也都不錯
[39:01] 所以這就告訴我們說
[39:03] 其實在市場上
[39:05] 如果遇到多頭行情
[39:07] 你當然有參與的機會
[39:10] 但是第一個
[39:11] 當然你還是要用對工具
[39:13] 依照每個人的方法
[39:14] 每個人的心態
[39:15] 每個人的個性
[39:17] 去選擇你的交易工具
[39:18] 有的人就是短線很厲害
[39:20] 他可能除了個股之外
[39:21] 還可以做個股期
[39:23] 現在還有什麼個股選擇權
[39:26] 而且還周結算
[39:27] 更刺激
[39:28] 很多人就短線高手
[39:30] 就遊刃有餘
[39:30] 但是如果說
[39:32] 你是比較屬於中長線規劃
[39:33] 也沒有辦法實時盯盤
[39:35] 老闆可能常常找你去開會
[39:37] 或者說可能中途有事
[39:39] 會離開一陣子
[39:40] 那我是建議
[39:41] 就是採取中長線的操作
[39:43] 或者說連個股都懶得挑的話
[39:44] 其實買這個ETF
[39:47] 其實根據美國的統計
[39:49] 長年二三十年平均下來
[39:51] 其實每年的投報率平均都有10%以上
[39:54] 平均
[39:55] 即便當年可能是大空頭
[39:57] 比如說遇到08年
[39:58] 2022年這種
[39:59] 但是你只要抱得住
[40:01] 平均線來節都有10%以上
[40:02] 那或者說一些
[40:03] 比較特別的年份
[40:05] 你剛好相對高點
[40:07] 你有先賣掉
[40:08] 後面你再接回來之後
[40:09] 這個報酬率一定會更高
[40:11] 那重點就是說呢
[40:12] 任何產業都一樣
[40:15] 今天如果你進來這個產業
[40:17] 你在裡面二三十年了
[40:18] 你當然一定相對是比較有經驗的
[40:20] 如果說今天公司進來一個新人
[40:22] 他進來三個月就說
[40:23] 哎呀
[40:24] 你會的我都會了
[40:26] 那我可能很快就工作上把你幹掉
[40:29] 你當然會覺得說
[40:29] 那有可能
[40:30] 我在這行業都一二十年二三十年了
[40:32] 你怎麼可能一個新人進來兩三個月
[40:35] 你就把所有的東西都會了
[40:36] 但是在股市裡面就很奇怪
[40:38] 很多人新進來就覺得
[40:39] 我兩三個月了
[40:40] 我看了一個什麼什麼什麼什麼影片
[40:43] 我買了一本書
[40:44] 好像就覺得這個開竅了
[40:46] 我覺得我就就只賺不賠
[40:49] 其實都是需要時間的累積
[40:51] 時間經驗累積下
[40:54] 你才慢慢慢慢找到最適合你的方法
[40:56] 就怕說明明你不吃辣就硬要吃辣
[40:59] 有時候吃到拉肚子
[41:00] 那也真的沒辦法
[41:01] 所以還是建議大家就說
[41:03] 如果你是節奏比較慢的人
[41:05] 那你當然就採取一些
[41:06] 比較穩健的方式會比較好
[41:08] 那有時間盯盤
[41:09] 有工具有策略
[41:10] 而且呢重點是心態
[41:12] 敢停損敢停利的
[41:13] 那短線操作呢
[41:15] 這個方法才會比較適合你
[41:16] 好
[41:17] 今天呢就拉著幸福哥
[41:19] 跟我一起說教
[41:20] 好開玩笑
[41:22] 是真的很切身的體驗啦
[41:23] 對不對
[41:24] 因為我們也是天天都在
[41:25] 股票市場裡面的人
[41:27] 其實很多人跟我們回饋的
[41:29] 是這段期間才特別去講
[41:31] 這個持股轉換的事情
[41:32] 在之前真的很喜歡
[41:34] 就是說某某老師
[41:35] 講的某某股票真的很厲害
[41:37] 可是那檔股票下去的時候
[41:38] 又會來
[41:39] 某某老師講的那檔股票
[41:40] 現在怎麼了
[41:41] 怎麼了
[41:42] 我怎麼辦這樣子
[41:43] 所以那時候我就很心情
[41:44] 會有點欲足
[41:45] 會覺得說
[41:46] 其實大家在講一檔股票的時候
[41:48] 一定有講
[41:49] 看好這家公司的原因
[41:51] 可是看好跟這家公司的股價
[41:53] 能不能永遠在高檔是兩回事
[41:55] 它有輔助於很多當時的氣氛
[41:58] 甚至說像我有提到
[42:00] 去年這個對等關稅股災的時候
[42:02] 所有的股票都趴到地上
[42:04] 可能很少數的防禦股
[42:06] 才會在天上走
[42:08] 當時就有人問我說
[42:10] 為什麼某某股票跌那麼多
[42:12] 我就說不是你的股票跌那麼多
[42:14] 是所有的股票都跌那麼多
[42:15] 所以大家對於盤感
[42:17] 或是對於個股的掌握
[42:18] 說實話
[42:19] 看了一整年之後會理解
[42:20] 是真的比較薄弱一些
[42:22] 所以才會提醒
[42:23] 在最後的時間點跟大家講
[42:26] 其實做好配置
[42:27] 你愛玩一些個股
[42:28] 是沒有問題的
[42:28] 但是你做好配置
[42:29] 不要讓自己的心情再不好咯
[42:31] 因為現在看起來
[42:33] 臺股就是在一個
[42:34] 極佳極棒的一個結果
[42:36] 不要讓自己是
[42:37] 呈現一個失落的結果
[42:39] 我覺得這個可能會是
[42:40] 整個12年給我們
[42:41] 最寶貴的一個禮物
[42:43] 倒不是說真的賺到盆滿缽滿
[42:46] 因為剛剛又有人在統計了
[42:47] 平均這個12年好像是
[42:50] 可以賺240幾萬還幾萬
[42:52] 這種統計都會被罵
[42:54] 對我也不喜歡拿來用
[42:55] 平均是沒有意義的
[42:57] 但是有的人可能會覺得
[42:59] 我在這個年末的時候
[43:00] 因為做了一些轉換
[43:01] 賬面由虧變成賺
[43:03] 賺十萬二十萬我也高興
[43:04] 有人可能遠遠賺
[43:06] 差不多過這個數字
[43:07] 我看到很多人說
[43:08] 他部門有同事
[43:09] 又賺了幾千萬
[43:09] 沒有關係
[43:10] 重點在
[43:11] 你有沒有從這樣的過程裡面
[43:13] 得到你的進步
[43:14] 和下一次你規劃的策略
[43:16] 我覺得這個才會是
[43:17] 真的是最寶貴的新年禮物
[43:20] 好那今天非常謝謝幸福哥
[43:21] 陪著我們一起看臺股最強風光
[43:24] 那也祝福所有股破仔的朋友
[43:25] 在馬年來的時候
[43:27] 這個萬馬奔騰
[43:28] 都馬你轉
[43:30] 這樣好不好
[43:30] 對
[43:31] 那幸福哥們要祝福
[43:33] 我們的谷貨仔朋友
[43:33] OK
[43:34] 也預祝大家
[43:35] 這個新的一年
[43:36] 這個新年快樂
[43:38] 這個家庭平安
[43:39] 那也預祝大家
[43:40] 馬上發財
[43:41] 好
[43:42] 那就跟谷貨仔的朋友說
[43:43] 拜拜咯
[43:44] 拜拜
