[00:00] 歡迎收聽趙華宇古惑仔第1019集
[22:34] 還有法人的角度在看股票
[22:35] 所以也不太一樣
[22:36] 但是我覺得如果說
[22:37] 我們今天三個人都講說
[22:38] 這個主權會不錯
[22:39] 應該就真的會不錯
[22:41] 是
[22:41] 不過無論如何
[22:43] 這個貫穿在AI裡面
[22:45] 我覺得這個是一個基本
[22:46] 但今天剛好凱哥來
[22:48] 我們也可以講一個另外的事情是
[22:49] 今天盤面上有人是因為在2025年關稅中
[22:53] 受傷慘重
[22:55] 所以一整年無法表現
[22:56] 例如工具機族群
[22:58] 那汽車零元件族群
[22:59] 其實我覺得他們已經很厲害了啦
[23:01] 因為北美改了這個保險法之後
[23:04] 說實話他們的市場是變大了
[23:05] 可是他們也遇到關稅的問題
[23:07] 所以他們就一直長不太動
[23:09] 但今天或說像這個
[23:11] 應該說2026年以來
[23:13] 汽車零元件是有在回溫的
[23:15] 那今天盤面上工具機跟汽車零元件就有表態了
[23:18] 因為這關稅15%嘛
[23:19] 就會比當初預期的好
[23:20] 去年又低機期
[23:21] 但是能不能延續
[23:23] 以及像汽零件
[23:24] 它的旺季可能已經快要過去了
[23:26] 凱哥怎麼來看
[23:28] 這些所謂的關稅受害傳產股
[23:30] 而且可能跟AI真的沒有直接關係的
[23:33] 對我覺得基本上你要看就是說
[23:35] 它是純粹只是因為關稅
[23:38] 然後它沒有什麼對手
[23:39] 因為臺灣有這樣的產業
[23:41] 譬如說像腳踏車就是
[23:42] 臺灣腳踏車基本也算是業界算很強的
[23:47] 而且臺灣在量產的技術上非常的強
[23:50] 所以其實有個笑話
[23:51] 就是有人到海外去買國外的腳踏車
[23:54] 就其他都是臺灣代工的
[23:57] 所以其實它真的是很強
[23:59] 但是你仔細看它的價量的關係
[24:02] 其實他們都還是上面有大量
[24:04] 就是基本上是反彈
[24:05] 但是因為這些股票基本上已經很久沒有人過問了
[24:08] 就好像我們剛剛講的土方之亂
[24:10] 它就是因為之前都沒人過問
[24:12] 所以一下漲就啪啪就漲上去了
[24:14] 所以一樣這些股票也會有這樣的狀況
[24:18] 就是說一個反彈就讓他們漲一大段
[24:21] 但是我剛剛講
[24:22] 就是你還要看他有沒有競爭對手
[24:23] 如果像工具機
[24:25] 你就還要看日本的競爭
[24:26] 因為日本跟臺灣在工具機是強烈競爭的
[24:30] 那我們過去強的就是因為我們的價效比很高
[24:33] 如果你今天關稅又沒有跟他差很多
[24:35] 基本上你就會有一個難處
[24:37] 所以為什麼上銀之前很弱
[24:39] 我就很想說上銀就沒有AI
[24:41] 就不能挨就沒有辦法挨
[24:43] 就不會漲
[24:44] 但是你看今天這個氣氛有點改變
[24:48] 而且我覺得
[24:48] 航母已經在這個位置了
[24:51] 你再爛的股票應該都要漲一下
[24:54] 對臺灣的股民怎麼交代
[24:56] 就是說人家在開心
[24:58] 然後你這邊在流眼淚
[24:59] 對啊
[25:01] 至少我們如果後面有聽到說
[25:03] 原本的這個可能
[25:04] 無薪假從三天變兩天
[25:07] 或變一天
[25:08] 基本上對他們可能就是
[25:09] 非常正面的訊息
[25:11] 因為之前他們
[25:12] 不是隻有修一兩天
[25:14] 是已經修三到四天了
[25:16] 就跟你說真的沒訂單
[25:17] 對
[25:18] 如果這個有跟著改變
[25:19] 我覺得那就是一個實質的力度
[25:21] 所以你也可以多觀察一下
[25:23] 14的這個變化
[25:25] 對
[25:26] 好凱克講的非常中肯
[25:28] 是一件事情是說
[25:29] 他們現在是反彈
[25:30] 為什麼
[25:30] 因為如果你要高速的成長
[25:32] 那當然還是要看回AI的部分
[25:35] 但他們是不是委屈呢
[25:36] 委屈的股票會反彈
[25:37] 對
[25:38] 但是委屈鬼怪會不會說
[25:39] 回到一個大多頭大漲的話
[25:41] 他完全要看環境
[25:43] 可惜現在所謂的K型經濟
[25:45] 或K型產業的狀況
[25:46] 似乎一時半刻之間
[25:48] 並沒有看到反轉
[25:50] 對
[25:50] 所以剛剛講到的腳踏車
[25:52] 包括我自己也有一些
[25:53] 很好的朋友在腳踏車產業
[25:54] 都自己跟我講說
[25:55] 不要碰我們產業哦
[25:56] 我們在中國內部的狀況
[25:58] 真的非常的糟糕
[25:59] 他說沒有
[26:00] 完全沒有辦法好轉
[26:01] 一定要把產能
[26:02] 就是再一看看
[26:03] 有沒有別的東西可以做
[26:04] 這樣子
[26:05] 那當然工具機
[26:06] 因為日幣也好弱啊
[26:08] 我們一直希望說美國在降息美元走弱嗎那可是日幣更弱日幣真的有夠弱好奇怪他們要升息他們也要圍通捧可是他們日幣超級弱所以可能跟他們的競爭上我們現在也不見得
[26:19] 非常之有優勢
[26:20] 對那七零件
[26:21] 其實我一直都還
[26:22] 蠻喜歡的原因是
[26:23] 汽車我覺得再怎麼說啦
[26:25] 將來也會有自駕車嘛
[26:27] 或者是電動車
[26:28] 或者是原本的汽車
[26:30] 他們都停滯非常非常久
[26:31] 那現在這一波關稅
[26:33] 還沒有講到汽車關稅
[26:34] 很多想買車的朋友都在說
[26:37] 怎麼沒有講到汽車關稅呢
[26:39] 據說大概會講
[26:41] 但是不會是近期
[26:43] 可能年後
[26:44] 因為我聽到是幾周以後吧
[26:45] 對
[26:46] 那如果那個時候也拍定
[26:47] 以及全世界的汽車的景氣
[26:49] 如果稍微回暖的話
[26:50] 我倒是覺得千行健
[26:52] 是有它一定的競爭力啦
[26:53] 只是它也是被我視為是基優股
[26:56] 比較是基優
[26:57] 像韋泰會喜歡的
[26:58] 基優股可能有殖利率
[27:00] 那它要爆發性成長
[27:02] 可能就要看個別公司的表現
[27:03] 對
[27:04] 這小小的一個想法這樣子
[27:07] 對
[27:07] 再來就是在這一塊
[27:08] 其實還有點可以想的
[27:09] 就是我之前講過
[27:10] 就是特斯拉未來會把中國的製造基地
[27:13] 慢慢的規模降下來
[27:15] 那它的重心會放到美國去
[27:17] 其實臺灣的這些領土建廠
[27:19] 其實有這個大的力度
[27:20] 因為在中國製造的特斯拉
[27:22] 基本上它很多的component
[27:24] 都是中國自制的
[27:25] 因為在當初就是要讓
[27:27] 中國的領土建可以在地化
[27:30] 所以一旦它開始做這個動作的時候
[27:33] 基本上那就是整個都會上來
[27:35] 而且所謂的這個
[27:37] 汽機車零元件的這一塊
[27:40] 其實它還卡了一部分
[27:41] 是機器人的零元件
[27:42] 是
[27:42] 所以我覺得也不完全是沒有題材
[27:45] 對
[27:46] 也是會有機會
[27:47] 所以我上次講
[27:47] 2233的羽龍
[27:48] 基本上它也是有這一塊
[27:51] 對
[27:51] 而且就上次來的時候
[27:52] 我說像臺灣經紀人都在懂
[27:53] 對
[27:54] 所以我覺得基本上
[27:55] 感覺有點要開始反彈了
[27:57] 是
[27:57] 反彈
[27:58] 但是你就說
[27:58] 你要拿來跟記憶體比
[28:00] 但是不能比
[28:01] 是
[28:01] 不一樣的族群
[28:03] 不一樣的族群
[28:04] 但是如果你還在裡面
[28:05] 凱克教你就是要繼續的忍耐
[28:08] 因為他們開起來就是
[28:09] 慢慢開始回溫了
[28:11] 最冷就過去了
[28:12] 雖然過一天可能又要更冷
[28:14] 但是總會越來越暖和的
[28:16] 機器人
[28:17] 我覺得如果有拉到機器人題材
[28:19] 還是有的
[28:20] 因為這個很明確是
[28:22] 黃仁勳跟馬斯克都要發展的產業
[28:24] 對
[28:24] 那也有一個說法是說
[28:26] 這些大廠還蠻有機會來臺灣
[28:28] 就是可能會下到更多的訂單
[28:30] 因為我們之前常常講說
[28:31] 臺灣就是做一些零件
[28:33] 比較沒有做到
[28:34] 這個人型機器人
[28:35] 我們都送餐的服務機器人
[28:36] 但這個是有機會改變的
[28:38] 真的不要小看臺灣廠商的厲害
[28:41] 臺灣廠商是很厲害的
[28:43] 所以只要這個東西有商機
[28:44] 雖然也許我們會比一些
[28:46] 美國大廠
[28:46] 甚至中國廠商慢一點點
[28:47] 或什麼都好啦
[28:48] 但最終會拿到一個
[28:49] 屬於我們的利基點
[28:51] 尤其是必須講
[28:52] 現在雖然這個關稅拍板
[28:54] 還有一個東西
[28:55] 一直在影響大家
[28:56] 當然就是中美之間的競爭
[28:57] 剛剛講到
[28:58] 委內瑞拉的這個領導人被抓走
[29:00] 這些其實都是中美角力中
[29:03] 繼續擴散的一環
[29:04] 那在這種情況下
[29:06] 為什麼大家會對於
[29:08] 投這個美國5000億美元
[29:09] 好像反而就沒有什麼感覺了
[29:11] 這是過去一年給我們的洗禮
[29:13] 過去一年給我們的洗禮
[29:15] 一開始說3000億
[29:17] 大家就已經氣炸了
[29:18] 4000億就覺得很離譜了
[29:19] 現在說5000億
[29:20] 安安靜靜
[29:21] 對
[29:21] 所以想說
[29:22] 你說這個川普的關稅
[29:24] 有沒有違法
[29:25] 我說這不重要
[29:25] 因為他重要的是
[29:27] 大家要來美國投資
[29:29] 對
[29:29] 他達到他的目的了
[29:31] 你看日韓連臺灣
[29:34] 最終大家都已經是認輸了
[29:37] 就是乖乖的來美國設廠
[29:39] 乖乖的來美國設廠
[29:40] 那其實當然對美國就是
[29:42] 美國再次偉大
[29:44] 就是把所有的人都收編了
[29:47] 包括所有技術各方面
[29:48] 但是我之前提過
[29:50] 其實這對臺灣未必是壞事
[29:52] 尤其是像臺積電這樣的公司
[29:54] 因為你過去完全的請助壓力在臺灣
[29:58] 當然這個就有個風險
[30:00] 但為了要講的話
[30:01] 我覺得有些東西也不完全是真的
[30:03] 就好像他講說什麼日本二廠
[30:05] 可能又要開始動作啊什麼的
[30:07] 沒有啦
[30:08] 日本二廠基本上就停在那裡
[30:10] 是
[30:10] 日本二廠基本上就停住了
[30:12] 所以大家知道
[30:13] 目前的臺電的重心
[30:14] 就是在美國
[30:16] 還有臺灣
[30:16] 臺灣
[30:17] 美國還有臺灣
[30:18] 還有強調臺灣產能會增加更多
[30:19] 所以這個是
[30:20] 板上釘釘
[30:22] 板上釘釘
[30:23] 所以裝置廠基本上
[30:23] 我覺得它今天沒有漲
[30:24] 也不是結束
[30:25] 只是今天因為老大在漲
[30:28] 所以他們先降溫在旁邊看一下
[30:31] 畢竟他們也漲很多了
[30:32] 那接下來就是我說過了
[30:35] 二奈米還有Corpus
[30:36] 基本上都會是持續要推進的
[30:39] 所以我覺得臺電供應鏈
[30:42] 我覺得是會貫穿整個2026年
[30:45] 不會是隻有年初漲一下而已
[30:47] 所以你從這個角度來看
[30:49] 基本上如果你覺得你記憶體
[30:51] 它純粹只是因為報價到這邊
[30:53] 你也覺得你不太敢追了
[30:54] 那我覺得你可以把重心放到
[30:56] 整個臺積電們的這一塊
[30:59] 因為他已經告訴你了
[31:01] 他要持續的擴長
[31:02] 而且這擴長不是隻有今年
[31:03] 甚至到明年都還會持續的擴長
[31:05] 而他的擴長的製程在改變
[31:08] 所以其實這就是一個很大的商機
[31:10] 你在很早
[31:11] 在這時候看
[31:12] 到了年底再來看
[31:13] 你就發覺
[31:14] 當初凱哥在講的好準
[31:16] 為什麼我們又沒有抓到這一筆
[31:18] 對不對
[31:19] 那如果對各股實在是覺得
[31:22] 就是常常就是剛剛講到的
[31:25] 你賣了AA就漲
[31:26] 賣了BB就漲
[31:27] 一直抓不到那個輪動的話
[31:29] 我還是會建議說
[31:31] 大家試試看用ETF做介入
[31:33] 現在大家市場的接受度也越來越高了
[31:35] 每次回答都還蠻多
[31:36] 聽眾朋友會留言說
[31:38] 謝謝有回答到
[31:39] 例如說前一陣子有回答這個
[31:41] 主動是ETF
[31:42] 其實在今年來可能會跑輸
[31:44] 市值性
[31:44] 就是因為臺積電太猛
[31:45] 所以主動是ETF
[31:47] 當他那些高價的股票
[31:49] 例如說什麼川湖
[31:50] 茂聯KY
[31:51] 智邦
[31:51] 臺光電
[31:52] 再回檔
[31:53] 他們就會相較比較辛苦
[31:54] 可是我也提醒
[31:55] 如果他是一支追求績效型的
[31:58] 主動式ETF
[31:59] 他要自己想辦法
[32:00] 他必須自己想辦法
[32:02] 就像這個981A
[32:03] 為什麼要去買0052
[32:04] 為什麼要增加臺電部位
[32:06] 這是一種想辦法
[32:07] 但更好的想辦法
[32:08] 一定要找到
[32:09] 重新起來的主流股票
[32:11] 我記得他們也跑去買華通
[32:13] 對不對
[32:13] 當時買華通
[32:14] 也是因為華通還在第一位階
[32:16] 所以這個是主動式
[32:17] 如果是追求績效型的ETF
[32:19] 要去努力的方向
[32:21] 我們就不用為他們擔心了
[32:22] 我們只要在旁邊
[32:23] 如果你覺得買一檔
[32:24] 這個壓力大
[32:26] 反正現在發行的
[32:26] 都才十幾塊
[32:27] 你就買個兩三檔
[32:29] 讓他們像賽馬一樣
[32:30] 看最後誰跑出來
[32:31] 只要是這家公司
[32:32] 過去的團隊
[32:33] 基金績效不錯
[32:34] 應該都不會太差
[32:35] 對不對
[32:36] 那像最近安聯也要發
[32:38] 主動式ETF
[32:38] 是993A
[32:40] 那993A很多人就問我說
[32:41] 它發在這個三萬一千點
[32:43] 會怎麼樣
[32:44] 我覺得也不會怎麼樣
[32:45] 它就是要從三萬一千點
[32:47] 去想辦法
[32:47] 那ETF的好處是什麼
[32:49] 就是當你今天大盤
[32:50] 或者說像某些
[32:52] 像熱門族群在大回蕩的時候
[32:54] 它一定會受傷
[32:54] 可是通常如果你信任這個操盤團隊
[32:58] 他能夠再上去的時候
[32:59] 你就是要趁他受傷的時候
[33:01] 多進一點部位
[33:01] 這個道理實在簡單到不行
[33:03] 對那喜歡臺積電的
[33:05] 我常常講0052的分拆是一個福音啊
[33:08] 大家就可以有72%的臺積電
[33:10] 或是對因為很多人不喜歡零股
[33:11] 喜歡一張張買嘛
[33:13] 那還有就是如果剛剛凱哥講的
[33:15] 像裝置股或是整個半導體
[33:17] 臺電講成這個樣子了
[33:19] 那臺灣有很多的半導體ETF啊
[33:21] 很多的對
[33:22] 那也有市值型的
[33:23] 例如說他選擇半導體股裡面最大的前30檔
[33:26] 我記得星光的半導體30吧
[33:28] 或者是他有去精選
[33:29] 是IC設計類的
[33:30] 是研發金用費用特別高
[33:32] 叫護城河類的都有
[33:33] 我覺得說臺灣現在可以選擇的這型別商品
[33:36] 真的非常非常非常多
[33:38] 所以如果你不敢用個股
[33:40] 你就用ETF幫自己做一下配置
[33:42] 我就不會有這種
[33:44] 如入寶山空手而回
[33:46] 如入寶山卻還賠錢離開
[33:49] 你每次單押這次就不等
[33:51] 那你就趕快去買ETF好了
[33:52] 因為反正它是一籃子
[33:54] 是
[33:54] 好
[33:55] 那這個
[33:56] 最近網路上
[33:58] 就是主動式投資
[33:59] 被動式投資
[34:00] 要不要追求績效
[34:02] 跟追求市值
[34:03] 炒翻
[34:03] 其實真的不用炒
[34:04] 對
[34:05] 認清楚自己是適合什麼的
[34:07] 你也可以兩邊都做
[34:08] 像趙華就是屬於
[34:10] 有配了蠻多ETF
[34:11] 甚至還有債券
[34:11] 對不對
[34:12] 那我常常講說
[34:13] 2025年你配債券
[34:14] 哎呀你績效就輸了
[34:15] 不是
[34:15] 它就是你配置的一環
[34:17] 你當然也可以把你
[34:18] 所有的安全部位
[34:20] 全部放在高峰線
[34:21] 可是你的心臟就要夠大顆
[34:23] 所以呢
[34:24] 最好的就是
[34:25] 你覺得可以跟進大盤的買一些
[34:27] 那你想要小小試試看
[34:29] 我能不能超越大盤的
[34:30] 你也買一些
[34:31] 那你就會在臺股這樣的
[34:33] 一個瘋狂的過程中
[34:34] 至少達到安心又賺錢的一個角度
[34:38] 那我也要在這邊很謝謝凱哥
[34:40] 陪我們一路走到了31500點
[34:42] 因為凱哥對產業的研究
[34:44] 真的是非常深入
[34:45] 相信也有很多投入朋友
[34:47] 有得到很大的幫助
[34:48] 好那就跟各位股貨仔們說
[34:50] 週末愉快拜拜咯
[34:51] 拜拜
