[00:00] 欢迎收听赵华与古货载第1105集
[26:01] 現在就是時候了
[26:03] 這幾天指數在大漲
[26:04] 台積電是沒漲的
[26:06] 你現在反過頭來
[26:07] 台積電是不是落後了
[26:08] 那这个时间点
[26:09] 买台积电就是一个很好的时间
[26:11] 好 我们花了一些篇幅来跟大家聊
[26:14] 其实这个分红对于成长型的公司
[26:17] 或者是说景气循环型的公司
[26:20] 都是一个很要慎重考量的
[26:22] 因为钱到底要花在资本支出
[26:25] 还是要拿来发给员工
[26:26] 还是要拿来发给股东
[26:27] 这些事情都会是一个综合考量
[26:29] 我们常常以前
[26:31] 我自己看到一个例子
[26:32] 像以前大力光在高速成长
[26:33] 然后变成股王的时候
[26:35] 他每次在股东的这个配息上面
[26:37] 他都比较小气
[26:37] 因为他要留下来做研发
[26:39] 那这次分红
[26:41] 其实一开始炒最凶是三星
[26:42] 因为海力士就很大方分了
[26:44] 那三星没有像海力士这样大方
[26:46] 如果今天我们都在同一个国家
[26:49] 做同样的产业
[26:49] 同样赚钱
[26:50] 人家说什么海力士的员工
[26:52] 在相亲市场
[26:53] 现在水涨船高
[26:54] 然后刚刚明翰跟我说
[26:56] 还有人去买海力士的制服
[26:58] 走在路上都觉得很骄傲
[26:59] 这跟我们有时候
[27:00] 会买台积电的周边商品
[27:02] 好像心情是一样的
[27:03] 但三星后来有成功争取到
[27:05] 刚刚有看一些报道说
[27:07] 最高的单笔分红
[27:08] 可能会有1300万台币
[27:10] 就至少可以分到这样的钱
[27:12] 好厉害
[27:12] 那台移电炒分红这件事情
[27:14] 前两天我本来没有很在意
[27:16] 但这两天啊
[27:17] 就相关业界的朋友
[27:18] 就一直说
[27:19] 这次的分红
[27:20] 可能还是高层分的比较多
[27:22] 但基层一点的
[27:24] 就会觉得相对之下比较少
[27:26] 所以感觉很不舒服
[27:27] 然后又跟明翰刚刚讲的一样
[27:29] 三星可以罢工
[27:30] 韩国的工会很强悍
[27:32] 那台湾的工会
[27:33] 这个也是我们的信与不信
[27:37] 我们有像人家每次讲台积电
[27:39] 就说台积电的杆比别人好用
[27:41] 我们的杆比较耐
[27:42] 然后我们的工会
[27:43] 又比较不会帮劳工
[27:44] 争取那么大权益等等的
[27:46] 所以可以创造出
[27:48] 这么好的毛利率跟效率
[27:49] 这个我们就今天
[27:51] 没有办法好好讨论了
[27:53] 但是综合来说
[27:54] 三星今年会因为记忆体
[27:56] 赚非常多钱
[27:58] 会赚银台积电
[27:59] 这个毋庸置疑的
[28:00] 那Intel由美国政府
[28:02] 所以我想在国际局势上
[28:05] 以及大家对台积电的信心上
[28:07] 难免就会摇摇摆摆
[28:09] 浮浮沉沉
[28:10] 但是米汉哥刚刚讲的那一系列
[28:11] 就是要提醒大家
[28:13] 信心摇摆跟浮沉的时候
[28:15] 就是乘一点比较好的介入点
[28:17] 要不然一路往上涨
[28:19] 都是垃圾盘的时候
[28:20] 大家就反而不知道该怎么办
[28:21] 那当然我觉得还有另外一个想法
[28:23] 今天不管是Intel要扩厂好了
[28:26] 三星拿到钱要扩厂
[28:27] 大家都要扩厂
[28:28] 那我们台湾的设备供应链
[28:30] 现在根本就是一个得天独厚
[28:33] 不只是要接台积电的生意
[28:35] 未来也要接这些竞争对手的生意
[28:38] 讲一个最简单的
[28:39] 我今天要赢台积电
[28:40] 我除了制程要赢台积电
[28:41] 我建厂成本总不能输给台积电太多
[28:44] 那这些有帮台积电建厂的
[28:47] 应该就会是我的首选
[28:49] 所以我反而觉得设备类股
[28:51] 真的是后面还有蛮多的想象空间的
[28:54] 对应该这样讲
[28:56] 确实刚刚也提到这几个角度
[28:58] 公司赚了钱
[29:00] 这要怎么分
[29:01] 其实他们有他们的智慧
[29:02] 那确实我也认同
[29:04] 第一个就是
[29:05] 这个所谓的
[29:06] 这个研发的部分
[29:08] 或扩敞
[29:09] 这一定是排在最前段
[29:10] 然后再来就是员工的分红
[29:12] 那股东我觉得
[29:13] 其实高成长个股
[29:15] 对我来讲真的分不分
[29:17] 真的无所谓
[29:18] 那其实我会觉得
[29:21] 高成长个股
[29:22] 帮我多赚点钱
[29:24] 让股价
[29:25] 其实我就简单而言
[29:27] 你要买成长股
[29:28] 你要赚的是资本利得
[29:29] 而不是要去赚他的鼓励
[29:31] 所以我觉得那些钱确实就是再投资
[29:35] 然后员工分红
[29:37] 尤其我们刚刚也提到
[29:38] 整个台积电的资产就是技术跟人才
[29:44] 人才刚刚也提到
[29:46] 讲来念来确实就是现实就是如此
[29:49] 台湾就是这个人就是很耐操
[29:53] 所以相对而言可以完成不可能任务
[29:56] 所以非常好用
[29:57] 当然就是他们该给的钱
[30:00] 一直以来也都没少
[30:02] 所以我觉得这个还是蛮正向的
[30:05] 刚才提到
[30:06] 确实台积电的资本支出
[30:08] 远比其他家甚至家总都还明显的高
[30:11] 但无论如何
[30:13] 现在这个是趋势就已经确立了
[30:17] 我们刚才也提到
[30:18] 就是说台积电这几年的特色
[30:21] 就是它是双重的
[30:23] 其实它一直以来就是全产全销
[30:26] 它现在能够持续增长
[30:28] 靠的都是扩产
[30:30] 那扩产加上每年的年初
[30:33] 调涨一次价格
[30:34] 大概就这样子而已
[30:35] 它的个性它也不是那个说
[30:38] 你拿不到对不对
[30:39] 来开始大家来竞标
[30:41] 看谁买的贵我就卖给谁
[30:43] 他们家一直以来也不是这样的个性
[30:45] 就是年初到了
[30:47] 就一次调涨该调的价格
[30:49] 也在合理的范围内
[30:50] 所以大家客户也都非常满意
[30:53] 就只有调涨一次
[30:54] 跟当年度的扩产
[30:56] 所以每年呢
[30:57] 获利这几年来讲
[30:58] 就是一直维持在
[31:00] 接近四成左右
[31:01] 是一个非常夸张夸张的数字
[31:04] 那你要记得就是说
[31:05] 今天三星
[31:07] 不管赚多少钱
[31:09] 或者是Intel
[31:10] 到底能赚多少钱
[31:12] 跟台积电能赚多少钱
[31:14] 这三件事情是没有关系的
[31:16] 因为他们现在并不是说
[31:18] 一块大饼
[31:19] 大家谁吃比较大
[31:21] 现在是这块饼成长速度太快
[31:23] 然后大家都在哀嚎
[31:25] 不夠晶片
[31:26] 所以就變成是大家一起快速成長
[31:29] 大致上那個概念
[31:30] 回過頭來
[31:31] 剛剛提到的就是大家只好開始拼擴敞
[31:36] 因為確實就是這個需
[31:38] 目前來講需求遠比這個供給要大很多當然啦我覺得這個第一件事情就是回過頭來就是設備或者是這些工程族群
[31:51] 業績面其實我也要講的概念就是
[31:55] 這個族群也不是新產生出來的
[31:59] 從兩年多來24 25年一直以來業績面都很好
[32:03] 但是相對而言我個人給我感受
[32:07] 就是我会觉得设备族群相对来讲
[32:10] 是有一点点比较委屈一点点
[32:13] 它有一个特色
[32:15] 就是它每次都走一段
[32:16] 然后休息很久
[32:17] 休息到大家都觉得设备族群
[32:20] 根本不要看了
[32:21] 而且有时候回答很深
[32:23] 我记得那时候很多千元股
[32:24] 一下就回三成四成
[32:26] 但是回过头来
[32:28] 你会发现它业绩面其实没有掉
[32:30] 一直都很好
[32:31] 对
[32:31] 然后就是很奇怪的现象
[32:32] 就是当资金一退潮
[32:34] 就是要休息蛮久的事情
[32:36] 因为我觉得设备股
[32:36] 有一个很讨人厌的地方
[32:38] 就是我们都知道
[32:38] 他们接单可以到
[32:39] 2028 2029都有
[32:41] 可是他们入账的时间
[32:42] 有时候会很讨人厌
[32:44] 就别人在创历史新高
[32:45] 你偏偏这个月没入账
[32:46] 就很难看
[32:47] 是
[32:48] 这个类似就是
[32:50] 就像以前的
[32:51] 银建股类似的感觉
[32:52] 就是入账的时间
[32:53] 有时候比较不稳定
[32:54] 但是长期而言
[32:56] 拉长其实你会发现
[32:57] 它是不断走高的
[32:59] 所以长期而言
[33:00] 如果遇到它单月营收
[33:02] 有点状况的时候
[33:03] 反而要在那个时候
[33:04] 考虑介入
[33:05] 因为如果他接单很慢
[33:07] 那就是早晚问题
[33:08] 是
[33:08] 所以结论来讲
[33:09] 我还是强调
[33:11] 就是设备族群是
[33:12] 如果你把这个AI族群纳进去
[33:15] 我觉得设备族群绝对是
[33:17] 所谓很纯的AI
[33:18] 我个人觉得
[33:19] 虽然说他不是真的卖AI的东西
[33:22] 可是他业绩面一直以来
[33:23] 跟AI非常有直接相关
[33:25] 到底我常常讲
[33:27] 真假其实很容易
[33:28] 就是如果两年来
[33:30] 业绩面都很强的
[33:31] 就不用怀疑了
[33:32] 因为就是AI就是这两年了
[33:35] 那你这最近才转强
[33:37] 我们再来讨论
[33:38] 如果两年来一直都很好的
[33:40] 其实就是扎扎实实的AI股
[33:42] 所以设备族群
[33:44] 我觉得是没有问题
[33:45] 只是投资人要理解
[33:47] 就是刚刚提到
[33:48] 它有一个特性
[33:49] 就是这个有时候一休息
[33:52] 就是蛮久
[33:52] 甚至中间还会拉回
[33:54] 那如果就比较长线投资的投资人
[33:57] 我觉得说把握这个两个原则
[34:01] 第一个部分来讲
[34:02] 就是我会建议设备族群
[34:04] 占你的投資比重不要太大
[34:06] 因為他一休息
[34:07] 可能就是蠻長的時間
[34:09] 老實說你不見得有辦法
[34:12] 度過那段時間
[34:14] 但是長期而言
[34:15] 其實他的報酬率也沒比較低
[34:17] 那所以第一就是說
[34:19] 比例不要太大
[34:20] 第二就是要投資多少
[34:22] 也不要一次歐盈
[34:24] 因為他有時候休息的時間點
[34:26] 你就應該等著拉回的時候
[34:28] 下去布局
[34:29] 像剛剛趙華講的
[34:30] 現在業績好
[34:32] 他在轉強
[34:32] 你先買一些
[34:34] 未来一段时间
[34:35] 刚好这个入账的时间没有到
[34:38] 业绩面相对比较弱的时间点
[34:40] 转弱那个时间点再加码
[34:42] 后续只要一回升
[34:43] 你就有比较大的获利空间
[34:45] 好 设备师
[34:46] 我和明翰应该算是很有共识的
[34:49] 我们今天多讲
[34:50] 我们来讲细光子一下好不好
[34:53] 好啊
[34:53] 对
[34:53] 因为我刚刚本来想要请明翰
[34:56] 先讲这个记忆体跟被动元件
[34:58] 因为很奇妙
[34:59] 晚上打篮球
[35:00] 我早上看提纲的时候
[35:01] 他们说明翰今天要讲记忆体
[35:03] 我说他为什么要讲记忆体
[35:04] 他不是没有那么喜欢记忆体吗
[35:06] 但我们先讲你以前爱过的戏光子
[35:09] 最近看来有回神
[35:11] 那光盛昨天开股东会
[35:13] 这边也要跟各位听众提醒
[35:14] 现在进入到股东会的旺季了
[35:17] 每天可能都有十几二十家
[35:19] 甚至多的话数十家上百家
[35:22] 都可能有这样的记录
[35:23] 重点是对股东说话的时候
[35:26] 大家真的都是说好话
[35:28] 大部分
[35:28] 因为你对法人说话
[35:30] 有时候你还有点艺术
[35:32] 因为反而要去写报告
[35:33] 你对股东说好话就好了
[35:34] 你对股东没有必要说什么大道理
[35:37] 就是说好话
[35:37] 甚至有人会吵着说
[35:39] 股利要加码
[35:40] 什么要加码
[35:40] 有的没的
[35:41] 股东会上讲的话还蛮正面
[35:43] 所以这段时间有开股东会
[35:45] 大部分都是上涨
[35:47] 昨天是光盛开股东会
[35:49] 今天光盛久违地
[35:51] 又来了一根涨停板
[35:52] 而且占回所有均线
[35:53] 所以细光子这一波的洗刷
[35:56] 是不是已经结束了
[35:57] 重新棒子要回到细光子身上了
[36:00] 好我们先来讲两点
[36:02] 先讲一下这个股东会
[36:04] 我来跟大家提一下
[36:05] 因为我以前做法人
[36:07] 我讲一下这个跟法术会有什么差别
[36:11] 这样讲股东会确实
[36:13] 就像刚刚赵老讲
[36:14] 只会有利多
[36:15] 不会有利空
[36:16] 为什么
[36:16] 这跟法术会差别在哪里
[36:19] 法术会去的听的是法人
[36:22] 非常的严厉
[36:24] 你沿路都讲好的
[36:26] 问题没有用
[36:27] 他会举手
[36:27] 他会去问你那些很关键刁钻的问题
[36:31] 他会说你讲那些营收的来源
[36:34] 到于哪里
[36:34] 你要给我一个证明
[36:35] 或者说你现在毛利率走低
[36:37] 你到底要怎么样
[36:38] 他会去challenge你一些很关键的问题
[36:41] 所以你是没办法避重就轻
[36:43] 但是股东会不一样
[36:45] 去的都是持有的
[36:47] 我去挖你墙角对我有什么好处
[36:49] 我只是希望你对我好
[36:51] 你多发一点给我
[36:53] 或者是你讲得很棒
[36:55] 然后我帮你拍手
[36:56] 然后让大家都知道
[36:57] 隔天股价转强
[36:59] 大家都是好的
[37:00] 所以这个一开始概念就不一样
[37:02] 所以记得股东会就是暴利多
[37:04] 但是这样的情况下
[37:06] 通常第一就是股价有回档
[37:10] 第二确实讲出一些
[37:12] 还算生动的内容
[37:14] 然后它就涨了
[37:15] 这是每一次
[37:16] 当然要记得一件事情
[37:18] 就是他讲的再生动
[37:19] 跟液晶片怎样
[37:21] 也不见得有直接相关
[37:22] 这是两件事情
[37:24] 所以先了解这个架构
[37:26] 再来就会讲到整个细光子的概念
[37:30] 我结论就是
[37:31] 对我而言就是
[37:33] 怎么讲
[37:34] 有点类似
[37:35] 我刚刚讲的就是
[37:36] 它比较标准要对应的个股
[37:38] 就有点类似像联发科
[37:41] 就是说
[37:42] 就是说真正的动能
[37:44] 其实都是明年爆发
[37:45] 这是第一点
[37:46] 第二点就是
[37:47] 这个爆发理论上应该是
[37:50] 就是出财
[37:51] 出财的几率很低
[37:53] 就是说理论上明年爆发的
[37:55] 把握度是非常高
[37:57] 但是有一个共同的缺点
[38:00] 就是涨了非常多
[38:02] 就会导致你很难操作
[38:04] 对不对
[38:05] 因为涨到这里到底合不合理
[38:07] 你根本没有一把尺
[38:08] 根本就
[38:09] 就是很多人说
[38:10] 现在这东西本益
[38:11] 比如说有的族群
[38:12] 已经完全无法看本益比
[38:13] 对呀你根本没有办法本益比
[38:14] 甚至拿到明年后年都来了
[38:16] 对不对
[38:17] 所以我常常讲就是说
[38:19] 这个族群
[38:20] 它有几个特色
[38:21] 我常常讲结论就是
[38:23] 你要做的情况下
[38:26] 现在因为位阶真的不算低
[38:29] 那加上真正的这个爆发期有点远
[38:33] 所以你这两点去交集之后
[38:36] 你就要大致上的结论就是
[38:38] 短线可以操作
[38:40] 因为市场热度是高的
[38:42] 所以你要赚价差是可以的
[38:45] 可是一开始如果你就
[38:47] 要用长线的角度
[38:49] 现在位阶是有点高
[38:51] 我先讲这个问题
[38:52] 所以代表就回过头来
[38:54] 短线OK
[38:55] 赚价差没问题
[38:56] 长线如果你真的要进去
[38:59] 你就绝对不可能在这个时间点就all in
[39:02] 你可以先布局一点点
[39:04] 然后慢慢的
[39:05] 我个人觉得
[39:06] 甚至如果我觉得你现在
[39:10] 包含矽光子或刚刚讲联发科
[39:12] 这种就是明年非常稳
[39:14] 但是今年已经涨得乱七八糟的个股
[39:17] 你如果要投资
[39:19] 我会建议你
[39:21] 用现在的角度
[39:22] 最起码分成三四个月下去投资
[39:25] 它真正等到第四季
[39:28] 再来真正的那个喷出段
[39:31] 可能就会不回头
[39:33] 可是你现在呢
[39:35] 你觉得会从现在一路涨到明年吗
[39:38] 我是觉得不太可能
[39:39] 尤其是这些
[39:40] 刚刚提到无论是矽光子
[39:42] 或联发科
[39:43] 其实都已经涨幅很大
[39:44] 所以不太可能就从现在
[39:46] 就一路涨到这个明年
[39:49] 所以中間最後熄火整理時間拉長
[39:53] 我覺得是合理的
[39:54] 所以我會建議說
[39:56] 如果你簡單來講
[39:57] 就短線投資沒問題
[40:00] 技術面操作
[40:01] 如果轉弱
[40:02] 你就獲利了結先退場
[40:04] 長線的分成
[40:05] 我覺得最起碼三四個月下去慢慢投資
[40:09] 那你可以這個用
[40:11] 回過頭來一樣問題
[40:13] 因為現在到底多少錢是合理的
[40:16] 已經沒辦法判斷
[40:17] 所以結論來講
[40:18] 也不要去用空间下去做投资
[40:21] 一样用时间
[40:22] 用三四个月慢慢投资
[40:25] 到第四季开始起涨的时间点
[40:28] 相对来讲会比现在要安稳的很多
[40:31] 好
[40:31] 因为我刚刚有看到一个长期听众
[40:33] 有传讯息来说
[40:35] 因为听我们的节目
[40:35] 真的已经赚非常多钱了
[40:37] 但是呢
[40:38] 也注意到一件事情
[40:39] 也呼应我们刚刚讲
[40:40] 所以这边临时来
[40:41] 那个插一个问题进来
[40:43] 他说也因为就已经不知道
[40:45] 怎么评估本益比了
[40:46] 所有的手上持股
[40:48] 如果标上去的
[40:49] 都已经超过他当初觉得
[40:50] 本益比的高标了
[40:51] 那如何做停利
[40:53] 对我想这个明翰
[40:55] 一定有非常多的想法
[40:56] 可以跟大家讲
[40:57] 那停利我自己有好几种方法
[40:59] 我再简单的讲一下下
[41:01] 如果是我的核心部位
[41:03] 不一定要停利
[41:04] 我常常跟大家讲说
[41:05] 你不要东买一点西买一点
[41:06] 其实你没有核心部位
[41:08] 核心部位就是让你可以变成
[41:10] 你这个资产稳稳长大的中间
[41:12] 你不用太过担心
[41:13] 真的要大用钱再来说的那一种
[41:16] 所以一般我会觉得
[41:16] 像什么市值型的
[41:17] 类似直行的
[41:19] 或是像刚讲台积电
[41:21] 它可能就会形成一个核心部位
[41:23] 你不一定说非要停利不可
[41:25] 但也有一些
[41:26] 我本来就知道比较活泼的
[41:28] 我常常举例
[41:28] 这个什么费城半导体
[41:30] 纳斯达克
[41:32] 纳斯达克最近没有那么强
[41:33] 费半是很强的
[41:34] 或是有一些科技型的ETF
[41:36] 科技型的基金
[41:37] 它真的是涨很快
[41:38] 所以有时候我会做部分停利
[41:40] 就是例如说20%
[41:41] 100万赚到120万
[41:43] 我就先把20万拿回来
[41:44] 当然你也说
[41:46] 这样不就有可能卖飞
[41:47] 对啊这就是选择
[41:48] 你可以不要卖费
[41:49] 你就不要卖
[41:50] 可是你也不要一直反说
[41:51] 赚那么多都一直没有拿回来
[41:53] 你一直这样犹豫就很莫名了嘛
[41:55] 所以有一套法则还是重要的
[41:57] 那另外例如在个股的部分
[41:59] 有的个股真的离自己的成本
[42:01] 非常非常远
[42:02] 我觉得那就叫随心所欲
[42:04] 你知道吗
[42:05] 就是我觉得
[42:06] 好例如说我的锦硕
[42:07] 现在今天看到700块钱
[42:09] 怎么停利
[42:10] 我觉得我也不知道怎么停利
[42:11] 可是有一天我会觉得
[42:12] 700块真的很离谱
[42:13] 好卖掉好了
[42:14] 这可能是一个随心所欲
[42:16] 那也有可能就随着像朱老师讲的
[42:18] 一直飙一直飙
[42:19] 好抖
[42:19] 破五日均了
[42:21] 回档了
[42:21] 已经快要破月线了
[42:23] 干脆卖一趟好了
[42:24] 这我也有可能
[42:25] 或者是说
[42:25] 我就会700块
[42:27] 我就可能
[42:28] 假设10张
[42:29] 先卖两张
[42:30] 8张抱子
[42:31] 再挂800块
[42:33] 再卖两张
[42:34] 搞不好800又回700
[42:35] 再卖两张
[42:36] 用这种方式
[42:37] 各自有各自获利入贷的方法
[42:40] 也没有人规定
[42:41] 你手上的股票
[42:42] 一定要在停利的时候
[42:43] 全部卖光光
[42:45] 对不对
[42:45] 我们一直很诉求
[42:46] 你最好有个东西
[42:47] 是可以握在手上
[42:48] 长也不怕
[42:49] 跌也不怕
[42:49] 可以累积资产的
[42:51] 我觉得这边
[42:51] 稍稍讲一下
[42:52] 但是我可以理解
[42:53] 大家的困扰
[42:54] 然后这边你用价值去评估
[42:56] 已经很困难了
[42:57] 好
[42:58] 我讲到这个问题
[42:59] 就是以前
[43:00] 这个也有一些
[43:02] 这个所谓的
[43:03] 大家这个粉丝留言
[43:05] 问我这个问题
[43:06] 就是说
[43:06] 我想你一定很多
[43:07] 对
[43:07] 因为常常会跟我讲说
[43:09] 这个我跟大家讲了很多股票
[43:12] 然后怎么买
[43:12] 怎么买
[43:13] 好像很少教大家
[43:15] 怎麼賣
[43:15] 那我的概念就是
[43:18] 為什麼會這樣講
[43:19] 這是我個人的投資邏輯
[43:22] 通常我在
[43:24] 我有時候
[43:25] 我如果去演講
[43:27] 或什麼比較有時間
[43:28] 我會跟投資人講說
[43:30] 有時候你會覺得
[43:32] 我會介紹股票
[43:34] 感覺都不是很標
[43:36] 那我說為什麼原因
[43:38] 是因為
[43:38] 我無論上節目
[43:41] 或者是這種演講場合
[43:42] 我告訴你的股票
[43:44] 我不太可能告诉你一个
[43:46] 一两个礼拜的事情
[43:47] 就是我现在告诉你
[43:49] 然后你买了赚两个礼拜
[43:51] 你不知道下车
[43:52] 然后后来就一直下去
[43:54] 然后三个月之后
[43:56] 你再见到我
[43:56] 然后你就问我说
[43:57] 老师你看这档
[43:59] 上次听你买的
[44:00] 现在腰斩了
[44:01] 你要怎么办
[44:01] 然后我这个时候
[44:03] 我不知道怎么回答
[44:04] 有一些没赚钱的股票
[44:05] 很容易这样
[44:06] 对对对
[44:06] 所以理论上
[44:07] 我在讲
[44:09] 无论上节目
[44:10] 或者是演讲股票
[44:11] 一定都是有基本面
[44:12] 我最起码有自信说
[44:13] 三个月之后或半年
[44:16] 你见到我的时候
[44:17] 就算你套牢
[44:19] 我不代表说
[44:20] 我跟你讲的股票一定赚钱
[44:22] 但是你套牢的时候
[44:23] 我可以告诉你说
[44:24] 你不用怕
[44:25] 不用担心
[44:26] 你现在有钱就这样
[44:28] 不然你就继续等
[44:29] 因为我跟你讲的
[44:30] 一定是基本面OK的
[44:32] 所以既然我讲的股票
[44:35] 就是基本面好
[44:36] 那长线一直往上走
[44:38] 代表着它不会是很飙的股票
[44:41] 类似这样的架构
[44:42] 回过头来
[44:43] 这种股票有一个
[44:44] 这个很大的问题
[44:46] 就这几年
[44:47] 这是我自己的感受
[44:49] 会有一个问题
[44:50] 就是你卖掉之后
[44:51] 很难买回来
[44:52] 就是最后你又克服不了
[44:55] 你那个人性
[44:56] 就是1000块卖掉
[44:58] 然后跌到950很开心
[45:00] 但是你一去上个厕所
[45:03] 它超过1000
[45:03] 然后最后1100 1200
[45:06] 然后你就
[45:06] 你最后就有一个
[45:08] 你的那个
[45:09] 你的那个逻辑就定在1000块
[45:12] 然后最后就放飞了
[45:13] 然后你这个时候
[45:15] 我觉得又是人性很奇怪的地方
[45:17] 这档基本面没比较差
[45:19] 1000卖掉
[45:20] 1200不敢买
[45:21] 但是这件事情
[45:22] 你就要去买一档
[45:23] 你没买过
[45:23] 哪怕2000你没买过
[45:25] 你都觉得
[45:25] 我买这个2000块
[45:27] 因为我没买过
[45:27] 没有一个既定原本的印象
[45:30] 那个成本的概念
[45:32] 但是
[45:32] 所以我常常讲就是
[45:34] 回过头来
[45:36] 就我那时候的举例
[45:37] 就像我以前
[45:38] 我自己也会定期定额扣
[45:41] 所谓的指数ETF
[45:43] 然后我以前也会
[45:44] 可能是来到一定的比例获利之后
[45:48] 我就固定下车
[45:49] 再重新投入
[45:50] 我也是这一派
[45:52] 当初这一派训练的
[45:53] 我以前也曾经这样过
[45:55] 但是我后来到二三年有AI之后
[45:57] 我就没有再做这个事情
[45:59] 因为我就觉得
[46:00] 会卖飞
[46:00] 现在就在喷出洞
[46:03] 我为什么要下车
[46:05] 这是我自己的概念
[46:06] 所以我很少不断的去强调说
[46:09] 这个要该怎么下车
[46:12] 这是一件事情
[46:13] 就是说这件事情
[46:13] 没有标准答案
[46:15] 它不是一条线
[46:16] 说这样做就对了
[46:17] 是
[46:17] 然后回过头来
[46:19] 我要又要讲到说
[46:20] 那代表都不能卖
[46:22] 也不是
[46:23] 我会建议啦
[46:24] 就是说
[46:25] 就像前一段时间
[46:27] 也有投资人
[46:28] 我会讲说
[46:28] 乖离率真的来到
[46:30] 这个最高点
[46:31] 他就问我说
[46:32] 这样子可不可以
[46:33] 先卖掉一些
[46:34] 然后拉回再买
[46:35] 我说可以
[46:35] 可是我会建议啦
[46:37] 就是说
[46:37] 因为他跟我讲
[46:38] 他持股几乎已经超过9成
[46:40] 主要是满水位的问题
[46:41] 对对他满水位
[46:42] 他说可不可以
[46:43] 我说可以
[46:43] 但是记得一件事情
[46:45] 我说建议
[46:46] 就是你先不用
[46:47] 如果你现在持股接近满
[46:49] 我会建议最多就是2到3成左右
[46:52] 你还是要后超过三分之二的部位
[46:55] 因为长线的趋势是没有改变
[46:58] 所以就这几年
[47:00] 我自己的感受就是
[47:02] 记得一个原则就是
[47:04] 你什么时候可以卖
[47:05] 乖离很大的时候
[47:06] 第一指数乖离很大
[47:08] 或者是你这档个股的乖离很大
[47:11] 个股乖离
[47:13] 因为我们有数字可以跑
[47:15] 我正常我所谓的乖离很大
[47:17] 因为还有一个问题
[47:18] 就每一档的乖离率不一样
[47:20] 所以你很难做一个界定
[47:22] 因为我自己有稍微跑一下
[47:23] 过往台积电可能乖离率来到一层
[47:26] 就是跟月线差距接近一层就很大
[47:29] 但有些AI个股可能会差到接近三层才叫很大那我觉得应该說乖離很大你自己去看一下就是把月線畫出來你自己的現在股價
[47:41] 距離月線的距離
[47:42] 你把它往前一兩年抓
[47:44] 現在真的是距離月線的那個距離
[47:47] 你就算不用算
[47:48] 你用肉眼看
[47:49] 肉眼都看得出來
[47:50] 對肉眼看得出來
[47:51] 它真的那個距離
[47:52] 你把那個月線放大變粗
[47:54] 然後很容易就看到兩個中間的差距
[47:57] 如果真的是來到這一兩年來
[47:59] 真的很高的水位
[48:00] 我会说刚刚提到
[48:02] 减码个两三成
[48:04] 我觉得是合理的
[48:05] 而且你要记得
[48:06] 就不要觉得说两三成
[48:08] 如果真的拉回
[48:09] 你再重买
[48:10] 两三成其实是会有感的
[48:12] 就是说最后中间的价差
[48:15] 绝对值得你去做这个事情
[48:17] 但是要做的时候
[48:18] 要几个先决条件
[48:20] 第一个你就是
[48:22] 所谓的停损点要做好
[48:25] 这些卖股票也有停损点
[48:27] 结论停损点
[48:28] 就我剛剛提到
[48:29] 你1000塊賣掉
[48:31] 你要有個停損點
[48:32] 比如說這個1150
[48:34] 真的超過
[48:36] 我就認錯重新買回來
[48:38] 這就是你的停損點
[48:40] 就是萬一賣飛了
[48:41] 你一開始要先訂好一個價格
[48:44] 不然如果你不能接受
[48:45] 你就不要跑
[48:46] 不然就是要先訂好你的停損點
[48:49] 如果超過多少
[48:51] 我又剛剛提到
[48:52] 1000塊
[48:53] 我如果跌150
[48:54] 往下跌150
[48:55] 我就重新買回來
[48:56] 如果真的不行
[48:58] 最後發現沒什麼跌
[48:59] 它漲超過150
[49:01] 我就認輸重新買回
[49:03] 那一開始你就要有一個
[49:04] 既定的一個原則
[49:06] 然後按表超客
[49:08] 不要時間到了超過1150
[49:10] 又說沒關係我再等一下
[49:11] 搞不好又會回1000
[49:13] 我要1000才買
[49:14] 最後就1300 1500 1800
[49:16] 就持續上去
[49:17] 所以回過頭來
[49:19] 剛剛提到
[49:20] 我會覺得會有很多的問題
[49:23] 比如說剛剛提到
[49:24] 多少%的獲利該下車
[49:28] 或者是剛剛提到
[49:29] 本益比已經來到一個
[49:31] 不可思議的水位之類的
[49:34] 其實套用
[49:35] 二三年以前的邏輯
[49:37] 這些都是應該要獲利了結下車的
[49:41] 但是我常常提到
[49:43] 就是有AI以來
[49:44] 很多的故事都變成不一樣
[49:47] 結論為什麼故事不一樣
[49:49] 是因為基本面
[49:50] 台積電一年成長四成
[49:52] 連續三年
[49:53] 这也是从来历史没发生的
[49:55] 所以会导致股市
[49:57] 整个一万点
[49:59] 用几个月就可以达成
[50:01] 所以结论就是刚刚提到
[50:03] 很多的旧思维
[50:05] 不要再套用在现在
[50:08] 而且我还是不断重申
[50:10] 就是这两年以来
[50:12] 只要把握就是持股靠拢AI
[50:16] 第二就是维持高持股
[50:18] 其实这两个
[50:19] 你只要做对
[50:21] 其实就是赢家
[50:22] 中间的
[50:24] 我觉得这个应该这样
[50:26] 拆分成两块
[50:27] 如果你有心力研究
[50:28] 而且有心力操作
[50:30] 而且第三个
[50:31] 刚刚提到
[50:31] 纪律你可以乖乖的遵守
[50:34] 那你中间可以再多
[50:36] 再多赚一点价差
[50:37] 让报酬率更好
[50:38] 这绝对没问题
[50:39] 那如果刚刚提到几点
[50:41] 你做不到
[50:43] 你研究也没什么研究的功力
