[00:00] 歡迎收聽,照華語股貨載地1182級AI半導體大爆發,選對投資標的要靠真功夫咯。
[31:35] 我們不妨就等等看聯準會要不要9月給我們一個痛快。
[31:39] 剛剛提到預報,我覺得他們確實是蠻可憐的,因為他的東西好,他國內沒有什麼同業的對手,
[31:49] 所以他不像立容店有金山店,他們有同業可以比較,或是像國俊可以看華清科。
[31:55] 反而不能比較就孤單了對不對?
[31:57] 他沒有得比較,所以你就覺得他蠻孤單的。
[32:00] 再來就是他們之前比較願意講的這個總經理已經退休了。
[32:05] 這也是有影響。
[32:06] 辦了一個新的總經理。
[32:07] 那我猜現在總經理可能剛上來,他可能也覺得既然你們投薪都在賣,我還講什麼呢?沒有什麼好講的嘛。
[32:12] 既然你們要賣,你們就去賣好了。
[32:14] 所以我想說,他投薪在賣,外資是在買的喔。
[32:17] 所以我覺得你還是可以留意一下。
[32:19] 而且我看他的價位其實我個人覺得也跌不太深了。
[32:23] 他扎扎實實就是有賺那麼多的錢,他也不是沒有賺,而且感覺還在持續的擴,而且他會是這個AI Server相對來講比較用得到的,除了M6CC以外的這個固態電容,而且他是台廠,相對來講我覺得會比較有競爭力,而且應該是全球的前兩大囉,其實我們常常在買公司,我們常常看我們買到底是業界的龍頭還是老二,老二我們不買老三老四,
[32:52] 因為老三老四相對比較委屈嘛
[32:55] 就像我們剛才講ABF一樣啊
[32:57] 你看錦碩之前就很委屈嘛
[32:58] 因為他就是老三老四啊
[32:59] 市場上誰在看他?沒有人在看他
[33:01] 大家就只看南電新星
[33:03] 那是因為他現在開始很積極說他要擴廠
[33:05] 他未來的產能可以跟南電一較高下
[33:09] 市場用比較多的目光放在他的身上
[33:11] 所以我們在投資上面
[33:13] 我們通常要買的是龍頭或者是老二
[33:16] 基本上其他的下面真的就不用看了
[33:19] 因為那都是要很多出來的資金
[33:21] 他才會去偏好這個股票,或是他就特別的逆曲。
[33:25] 所以行情裡面,雖然你看我們常常在講在講,但是我們其實老實講就是龍頭,或是老二,或是大的族群。
[33:34] 這個族群在動了,那也許老三老四或許可以有機會看一下。
[33:38] 那如果說這個族群,大族群沒有在動,基本上你就很少聽到我們在講老三老四,大概就是講老大老二。
[33:44] 大族群如果整體在動資金動能很充沛的時候,老二、老三、老四會越長越多,他們可能會長超過龍頭。
[33:54] 像之前我們看矽晶圓在好的時候都是合金漲最多,然後環球晶反而是相對之下漲幅最少的,可是你買它可能相對比較安心。
[34:03] 不過像現在的話,你一定要非常非常強悍的才有可能是盤面上的要角,要不然就是你有避風的本錢,例如說像今天還是有拉金融股。
[34:12] 可是其實金融股說真的評價已經不是很便宜,這個真的要坦白講,就是,但他們就是顯然在目前美國也要選舉,我們也要選舉的情況下,比較好的一個資金逆風港。
[34:29] 因為金融股在升息的概念上面,他們相對是比較受惠的啦,所以只要講到升息,大家就會想說要去買一些金融股了,但是你說升息的金融股它到底是能夠賺多少錢,基本上也不會增加太多。
[34:41] 但是形態上我印象最深刻的就是凱基金
[34:44] 我看到25塊的時候就說其實是可以買的
[34:47] 他已經從25漲到3級
[34:49] 但是其實他也是慢慢慢慢慢慢墊高
[34:52] 所以你慣性買電子股的人
[34:54] 基本上你不會去青睞金融股
[34:56] 慣性買金融股的人
[34:58] 那你就是屬於純股族的一族
[35:00] 你基本上也不太會去買電子股
[35:02] 所以應該是說青菜、蘿蔔各有所好
[35:05] 你就是看準你自己比較擅長的那一塊
[35:08] 並且,在每個月的每天,我們會在每個月的每天,將所有的活動,包括在每個月的每天,都做到最好的成果。
[35:18] 我們會在每個月的每天,都做到最好的成果。
[35:24] 當你決定買一個族群的時候,你可能要先想到那你出場的策略是什麼?
[35:30] 像現在整個夜盤還有小娜的這個所謂的美棋狀況有比較好哦,但晚上會不會一翻兩瞪眼?
[35:36] 我們還是繼續的且走且觀察,對我來說這麼黏的一個盤啊,那麼悶盤的情況,我反而會希望它是比較明顯的下挫。
[35:45] 因為明顯下挫就是明顯機會,這個事情比較容易判斷。
[35:49] 反而是他如果現在又噴冷了,那你可能會覺得早知道前幾天在疊我就又減。
[35:55] 你永遠在這樣的巡迴的話就會蠻辛苦的。
[35:57] 好,星期五啦,我們還是抱持著比較輕鬆的心情。
[36:01] 天氣有一點秋意囉,有點涼了,那所以身邊感冒的朋友好像最近變多了,請大家務必要保重自己的身體。
[36:10] 是,在這個禮拜五啊,應該是大家好好的檢視一下手中的持股啦。
[36:15] 因為現在重疊的其實搞不好未來就是會強漲的這個族群
[36:21] 因為你要知道目前因為大盤是從第一檔融資砍完之後拉上來一波
[36:26] 所以這地方基本上它就是一個洗腹的階段
[36:29] 所以反而是殺低原本基本面就好的公司
[36:32] 反而這時候是一個好的再做加碼的點位
[36:36] 而不是這個時候你去做把它除清的動作
[36:39] 特別強調基本面好的
[36:41] 那如果說基本面本來就沒那麼好
[36:43] 你也沒那麼有信心,那就把它順勢做調節。
[36:47] 明天我們還有一個安聯投信的講座,在台北國際會議中心。
[36:54] 有報名的朋友記得去看一下,我們有寄信件和簡訊到您的收件夾,很多人說可能掉到垃圾郵件,所以記得看一下。
[37:02] 明天我們就現場見囉,那也祝大家週末愉快,拜拜。
[37:07] 拜拜。
[37:13] MING PAO CANADA MING PAO TORONTO
