[00:00] 歡迎收聽趙華宜古惑仔第1025集
[24:38] 你原本只是想要去做
[24:40] 領襲的一個動作
[24:41] 但是沒有想到
[24:43] 終於給我稱到他的一個題材
[24:45] 春天來臨了
[24:46] 他就會開始出現一個非常好的一個反應
[24:49] 這是我們在做不同型別存股的時候
[24:52] 你要去注意到的一個現象
[24:53] 應該說大前提是存股
[24:55] 如果大家要抓到動能的話
[24:57] 可能多多少少要搭配於一些技術形態
[25:00] 做存股本來就是存一存
[25:03] 你沒想到我的存股變標股
[25:04] 這是常常有可能的
[25:06] 可是你的起心動念是存股
[25:08] 所以一開始他就要符合你存股的條件
[25:10] 那現在盤面上
[25:11] 你說那些不會動的老Ai
[25:13] 有沒有符合存股的條件
[25:14] 其實我覺得部分是有的
[25:15] 就如果殖利率
[25:16] 有到4個百分點以上
[25:17] 穩穩的它還有
[25:19] 些許的營收成長
[25:20] 年增
[25:21] 我覺得那些都會是
[25:22] 一個好的標的
[25:23] 只是你就可能不能寄望說
[25:24] 看到人家現在
[25:26] 那個機體都漲翻了
[25:27] 那個低軌衛星都漲翻了
[25:29] 為什麼沒有輪到
[25:30] 我PCB上游
[25:30] 沒賺錢也漲翻了
[25:31] 那本來就是一個
[25:32] 不一樣的一個概念
[25:34] 抓成長股跟
[25:35] 這個存股是不一樣的概念
[25:37] 那剛剛也提到
[25:38] 現在很熱
[25:39] 所以有一些人
[25:40] 也會把他手上的股票
[25:41] 假如說波動性不大的
[25:43] 乾脆拿去質押嘛
[25:45] 對不對
[25:45] 然後再借錢出來
[25:46] 雖然我們都會覺得
[25:48] 現在槓桿已經開得有點大了
[25:49] 不過最近最新呢
[25:51] 這個基富通這個平臺
[25:53] 我們常跟大家介紹
[25:54] 買基金的好朋友
[25:55] 據說也有可以用基金來做質押
[25:59] 給大家多一個管道
[26:00] 沒有錯
[26:01] 這個我先問你啊
[26:03] 你有沒有做過
[26:04] 類似這種質押買股票
[26:05] 或是再去買基金的做法
[26:08] 其實我比較少去參與到用質押的方式去做股票的一個投資
[26:15] 因為像我們過去在做投資的過程當中的話
[26:20] 我的做法的話是會準備一筆的加碼金
[26:26] 然後等市場出現一個可以加碼機會的時候
[26:30] 然後從加碼金裡面的話去做一個投入
[26:33] 不過我們必須要跟我們的投資朋友去講一件事情
[26:38] 這樣子的一個投入
[26:40] 其實很容易去受限於說
[26:43] 你加碼金準備的%數是多少
[26:45] 因為以我過去的一個教學來講的話
[26:49] 我都會建議我的學員朋友
[26:50] 你在加碼金至少要準備20%
[26:53] 就是比如說你投了100萬的話
[26:55] 那你的加碼金至少要準備20萬的一個水準在這邊
[26:59] 不然的話你加碼金
[27:00] 你投100萬
[27:02] 結果你加碼金只有5萬塊
[27:03] 那其實你這個投入是沒有感覺的
[27:06] 所以我在過去的實踐的過程當中
[27:09] 我發現到至少要有20%的一個比例
[27:11] 這個投入呢才會讓你有感
[27:13] 可是呢我們也必須呢
[27:15] 去瞭解到一件事情
[27:16] 很多人呢在投資的這個過程當中
[27:20] 你叫他去準備20%的一個加碼金
[27:22] 他是不願意的
[27:23] 因為他會覺得啊
[27:25] 我這20%放在那裡
[27:26] 就是一個閒置
[27:27] 就是呢我錯過了市場上漲的一個機會
[27:30] 那他呢就會想要把他手上所有的資金
[27:35] 全部都投到市場當中
[27:37] 可是呢當市場真的回擋的時候
[27:39] 他又會痛恨自己
[27:41] 手上沒有一分一好的一個加碼金
[27:43] 可以呢讓他呢來做補強的一個動作
[27:46] 所以你看像現在市場上的一個工具啊
[27:50] 他等同是非常的彈性跟靈活
[27:53] 那現在比較主流的一個做法的話呢
[27:56] 比如說我們比較常聽到的是
[27:57] 你用房地產用掛式的一個方式
[28:01] 去做一個理財式的房貸
[28:04] 然後呢他可以去做投入的一個動作
[28:07] 可是呢你從送件申請審查透過到最後拿到錢
[28:11] 這中間是要一段時間的
[28:14] 那還有另外一種的話呢
[28:16] 是做股票的一個質押
[28:18] 那股票質押的話呢
[28:20] 你可能會透過證金公司或是證券商
[28:23] 然後呢去做抵押的一個動作
[28:25] 那像這種方式呢
[28:28] 它的好處是什麼
[28:29] 你可以比較快
[28:30] 就可以拿到錢
[28:33] 比如說你跟證券那邊抵押
[28:35] 或是證金那邊抵押的話呢
[28:36] 大概一兩天左右
[28:37] 你的錢就可以入賬
[28:39] 你就可以趕快來做
[28:40] 投入的一個動作
[28:41] 那其實以前我們過去在談投資啊
[28:44] 大家比較不太
[28:46] 願意去討論這塊的一個議題
[28:49] 因為感覺像借錢去投資
[28:51] 這開槓杆
[28:52] 大家就會覺得有一點點怕怕的
[28:54] 但是我覺得現在投資人的觀念
[28:56] 有點被開啟了
[28:57] 我們還蠻常被問到
[28:59] 就是股票質押的問題
[29:00] 因為會覺得就像你講的
[29:02] 如果今天是高波動股票就算了
[29:04] 對不對
[29:05] 如果他就在那邊
[29:06] 我也就是長期存股不會動
[29:07] 那何不利用他去再帶出一筆錢
[29:10] 投幣
[29:10] 沒有錯
[29:11] 其實我們過去在看這種投資
[29:15] 去做質押的動作
[29:17] 以前大概是隻有像股票的部分
[29:21] 還有像ETF的部分
[29:23] 可以來做質押
[29:25] 可是我們在這個工具上面的話
[29:28] 你有沒有發現
[29:28] 其實一直少了一塊
[29:30] 就是我們共同基金的這個部分
[29:33] 因為你看
[29:34] 我如果今天我在證券那邊
[29:38] 去買了這個ETF跟股票
[29:40] 我是可以做質押的
[29:41] 可是各位不要忘記了
[29:43] 我們還有很大的一群人
[29:45] 他是在銀行的通路當中
[29:48] 或是像我們基富通的通路里面
[29:50] 去買的這個所謂的共同基金
[29:52] 那共同基金的話呢
[29:54] 他其實過去是沒有這種好的一個管道
[29:57] 他可以來做質押的一個動作
[30:00] 所以呢你就變成說
[30:01] 共同基金的這一票人
[30:03] 他好像在遇到市場
[30:05] 有好的加碼機會的時候
[30:07] 他的反應的速度
[30:09] 會變得比較慢一點
[30:11] 因為他沒有辦法很靈活的去
[30:13] 去做變現的一個動作
[30:15] 你總不能說我為了去做加碼
[30:17] 就把一些我覺得
[30:18] 比較不好的標的物
[30:20] 然後把它賣掉
[30:21] 然後等他錢贖進來之後
[30:23] 我再去做加碼
[30:24] 這樣子你有可能最好的時間點
[30:26] 早就已經不知道跑到什麼地方去
[30:28] 所以像現在
[30:30] 我們有看到說像是
[30:33] 基布通這個平臺
[30:34] 他最近推出了一個非常
[30:37] 特殊的一個功能
[30:38] 叫做基金的
[30:41] 質押的一個功能
[30:43] 叫做好想貸
[30:44] 對沒有錯
[30:45] 那這個好想貸的功能
[30:46] 他其實他就是背後的話
[30:50] 跟元大政經這間公司
[30:52] 他去做合作的
[30:54] 其實很多的投資朋友的話
[30:55] 可能都有在元大政經那邊
[30:58] 去做開戶的一個動作
[31:00] 因為你開戶完之後的話
[31:01] 他的好處就是說
[31:03] 哪一檔股票
[31:04] 或是哪一檔ETF
[31:05] 然後你可以去做
[31:08] 可不可以做質押
[31:10] 然後利率是多少
[31:11] 上面的話
[31:12] 他都是處於一個
[31:13] 明碼標價的一個狀況
[31:15] 所以你比較不會說
[31:16] 等我借了錢
[31:17] 我才發現說
[31:17] 因為我要支付的利息這麼高
[31:19] 那像基普通這個好想戴的功能啊
[31:23] 他就是跟元大證金去合作的
[31:25] 所以呢他就等同說
[31:27] 他跟元大證金去合作之後的話
[31:31] 他基金如果要去值借
[31:33] 他也是一個明碼標價的一個狀況
[31:36] 投資朋友他可以去看到說
[31:37] 我如果今天我投資的這一檔的基金
[31:40] 那我可不可以去做值押的一個動作
[31:44] 以及呢我去做值押的話呢
[31:46] 我的利率是多少
[31:47] 那他都可以很清楚的在上面是可以查得到的
[31:51] 所以就是等同是非常清清楚楚的去做查詢的一個動作
[31:55] 好因為基金的話我們知道小資入門真的比較簡單
[31:58] 對不對
[31:59] 那我們也常常訴求說最好你就定期定額扣下去
[32:02] 不要想太多
[32:03] 可是如果第一是不管是要為了加碼
[32:06] 還是短期我要用錢
[32:07] 他都可能讓這樣的事情做中斷
[32:09] 所以這個好想帶他就是要解決這個問題
[32:12] 不管你是希望是拿來加碼
[32:14] 或是你希望現在想要變現
[32:17] 可是你不要把原本
[32:18] 你今天在定期定額
[32:19] 非常固定
[32:20] 有規律在做的事情
[32:21] 給中斷掉
[32:22] 那這些都是好的一個方式
[32:24] 那他是所有的基金都適用嗎
[32:27] 剛剛講到一個很重要的
[32:28] 基金有明碼標價
[32:30] 如果你買的基金有符合的話
[32:32] 他就會直接告訴你
[32:33] 拿去質押
[32:34] 是多少利率
[32:35] 對不對
[32:35] 那他是什麼樣型別的基金適用呢
[32:38] 其實他現在基富通
[32:41] 這個好想戴的功能他是針對臺股的基金他來做開放的一個動作那因為我們基金的種類的話事實上蠻多的有臺股基金啊
[32:52] 國外基金啊
[32:53] 債券基金啊
[32:54] 貨幣基金啊
[32:55] 那目前呢
[32:56] 在哪些種類的基金
[33:00] 可以來借貸的話
[33:01] 目前是限制呢
[33:02] 是放在臺股基金的
[33:04] 的這個部分
[33:05] 那目前在
[33:07] 基富通的平臺上面的話
[33:09] 大概有209檔的一個產品
[33:11] 他可以來做質押的一個動作
[33:14] 那當然我們再看
[33:15] 第一個是看他的數量
[33:18] 到底有哪一些東西可以來做質押
[33:21] 然後第二個的話
[33:22] 我們今天質押這件事情
[33:24] 本質上他還是借錢
[33:27] 那借錢的話
[33:28] 有兩件事情是很重要的
[33:30] 首先第一個
[33:31] 你去質押的時候
[33:33] 有沒有手續費
[33:35] 然後第二個的話
[33:37] 是你的利率
[33:39] 如果今天利率很高的話
[33:41] 那你去借
[33:43] 那你就要去思考
[33:44] 就是說我做這件事情
[33:45] 我拿到了一個報酬
[33:47] 有沒有機會
[33:48] 把他利息給賺回來
[33:50] 所以你看在基富東的
[33:52] 這個好想貸裡面的話
[33:53] 他當然會有幾個限制
[33:55] 跟幾個優點
[33:56] 那限制的話
[33:57] 就是他只能夠用臺股的基金
[33:59] 然後但是呢
[34:00] 他的優點的話
[34:01] 是第一個
[34:02] 你去申辦這個過程的話
[34:03] 他是零手續費
[34:05] 你不需要額外再支出
[34:06] 其他的一個費用
[34:08] 然後呢
[34:09] 第二個的話呢
[34:09] 是他的利率
[34:10] 那其實
[34:12] 你如果今天有去做過
[34:14] 股票的質押
[34:15] 你會發現在
[34:16] 證金質押
[34:18] 跟你在證券公司質押
[34:20] 或者說你拿到銀行去做質押
[34:22] 你的利率的變化
[34:24] 是會很大的
[34:25] 那你如果今天呢
[34:27] 是在銀行
[34:28] 或是在證券公司的話
[34:30] 你有可能利率是7%
[34:31] 9%甚至到15%
[34:33] 那你要去思考
[34:34] 我在投資的過程中
[34:36] 我有沒有機會賺到這麼高的一個報酬率
[34:40] 如果賺不到
[34:41] 其實你去做
[34:42] 質押把錢套出來
[34:44] 做投入這件事情是不划算的
[34:46] 可是呢
[34:46] 他今天他選擇的是跟元大證金去合作
[34:50] 元大證金的特色是什麼
[34:52] 就是他的利率
[34:53] 非常非常的低
[34:55] 所以呢
[34:56] 我們目前去看到像
[34:58] 基富通好想戴功能裡面
[35:00] 他所列出來的這些
[35:01] 可以去質押的共同基金的產品
[35:04] 他的利率的話呢
[35:05] 基本上全部都壓在3%以下
[35:08] 就是代表說
[35:09] 我今天去做共同基金的投資
[35:13] 那我如果今天臨時需要資金
[35:16] 你也不一定說
[35:18] 我需要資金這個過程
[35:19] 一定是為了去做投資
[35:21] 那比如說
[35:22] 有些可能我家裡
[35:23] 臨時有一些狀況
[35:24] 我需要有一筆錢
[35:26] 要過年了
[35:26] 很多人還是會想要拿到一些錢
[35:28] 對對對
[35:28] 比如說過年的時候
[35:29] 我需要拿到一點錢
[35:31] 來處理家裡的一些
[35:32] 事務上面的一個處理
[35:34] 或是說家人有一些狀況的話
[35:36] 我臨時需要一筆錢
[35:37] 可是我又不想要把我過去辛辛苦苦
[35:40] 累積的這共同基金的部位
[35:42] 把它給賣掉
[35:44] 因為有時候是這個樣子
[35:45] 你的習慣紀律跟部位建立起來之後
[35:49] 你如果把它給一口氣處理掉
[35:52] 你要重新再build up回來
[35:53] 是很困難的
[35:55] 所以你把它去做一個直壓週轉的話
[35:58] 它是可以去解決你這個時間點
[36:01] 發生的一個問題
[36:02] 但是呢
[36:03] 他又不會破壞掉你原本的一個紀律
[36:05] 所以呢
[36:05] 這是我們在看
[36:07] 職業的這件事情上面來講的話
[36:10] 他其實如果是透過
[36:13] 好想戴的這個功能上面來做的話
[36:15] 他的優點算是非常多的
[36:17] 一個費率夠低
[36:19] 第二個的話呢
[36:21] 他的利率的話又非常的一個便宜
[36:23] 然後第三個的話呢
[36:25] 這個算是隱藏的一個優點
[36:27] 他今天所有的這個動作
[36:29] 全部都在基富通的APP上面
[36:33] 就可以完成了
[36:34] 因為你看以前
[36:36] 你如果今天要去做股票質押
[36:38] 趙華我跟你講
[36:40] 真的是一件很麻煩的事情
[36:42] 比如說你在證券公司
[36:44] 買了股票
[36:46] 然後你要拿到元大證金
[36:48] 去做質押的動作
[36:50] 你要先跑到證券公司的櫃檯
[36:54] 然後申請所謂的匯撥
[36:56] 把你的股票先匯到
[36:58] 元大增進的指定戶頭裡面去
[37:00] 他才能夠開始去做質押
[37:02] 所以你為了要去做借貸的話
[37:05] 其實你中間有些流程
[37:07] 你要自己去跑
[37:08] 是比較複雜的
[37:09] 對可是這一次的一個基富通
[37:12] 他不僅
[37:13] 我應該這樣子講
[37:15] 基富通這個平臺
[37:17] 有點做的太over了一點
[37:19] 你看他
[37:20] 其實我們過去在介紹基富通
[37:22] 這個平臺的話
[37:23] 你看他已經想辦法幫投資朋友
[37:25] 把一些相關的一些費率
[37:28] 儘可能都壓到最低最便宜
[37:30] 那後面又推了一個
[37:32] 什麼TESA的一個基金
[37:33] 又再壓了一輪
[37:35] 他連管理費都把它壓下去了
[37:37] 全部都壓下去了
[37:38] 然後現在呢
[37:39] 這個好想帶的這個平臺的話呢
[37:41] 他又完全的去抓到投資朋友
[37:44] 在做直壓借貸的一個痛點
[37:47] 就是你要自己去做匯波
[37:49] 實在是太麻煩了
[37:50] 我在基富通這個平臺上面
[37:52] 他就可以呢
[37:53] 直接呢在一個平臺裡面去
[37:55] 操作完成這整件事情
[37:58] 而不需要再跑到
[37:59] 其他的平臺裡面
[38:00] 切來切去的
[38:01] 所以我想在
[38:02] 這個部分來講的話
[38:04] 我們是有感受到
[38:05] 像基富通
[38:06] 這個平臺的話
[38:08] 它是怎麼樣去
[38:09] 從投資人的一個角度去思考
[38:11] 去設計它平臺的一個功能
[38:13] 讓投資朋友的話
[38:15] 可以非常便利的
[38:16] 來做相關的一個運用
[38:18] 好等於在這個
[38:19] 每天營業日
[38:20] 上午九點到下午一點之間
[38:22] 到這個基富通的APP去
[38:24] 那它中間如果你要做這種基金擔保的話
[38:27] 會到元大增進的iMoneyAPP
[38:29] 去幫你再進行一次最終的驗證
[38:31] 重點在如果你擔心你的基金配息
[38:33] 你會不會拿不到
[38:34] 不會的
[38:34] 在這個質押期間
[38:36] 配息還是屬於你的
[38:37] 那這個最長期限可以借多久呢
[38:40] 最長期限
[38:41] 其實這個部分的話
[38:43] 就跟股票是一樣的
[38:46] 你股票去做質押的話
[38:47] 通常是一起大概是六個月的時間
[38:51] 但是你可以展延兩次
[38:53] 所以你在展延的這個過程
[38:57] 如果兩次全部都壓滿的話
[38:59] 你等同是每一次的借款週期
[39:02] 大概是可以到18個月
[39:04] 然後這裡面的話
[39:06] 有一點它是跟證券公司
[39:10] 還有銀行是不太一樣的
[39:11] 什麼事呢
[39:12] 如果你今天跑去跟證券公司
[39:14] 或是跟銀行去做質押的一個動作
[39:17] 那通常他會跟你講說
[39:19] 那你今天質押給我之後
[39:21] 不好意思
[39:21] 是請你下個月開始
[39:22] 就要去做繳利息的一個動作
[39:25] 那但是呢
[39:27] 你如果今天呢
[39:28] 是跟基富通的這個
[39:30] 好想帶的平臺
[39:31] 來做這件事情的話
[39:33] 沒有他的特點是
[39:34] 他在你最後呢
[39:36] 還本的時候
[39:37] 再來做一併的繳息
[39:39] 也就是說
[39:40] 假設呢
[39:42] 你今天借六個月
[39:43] 你在這六個月
[39:45] 第一個月
[39:46] 第二個月
[39:46] 第三個月
[39:47] 第四個月
[39:48] 第五個月
[39:48] 這中間呢
[39:49] 你是不用繳任何的一個利息的
[39:51] 但是你第六個月如果你不展演了
[39:54] 那你要把本金做歸還的話
[39:56] 你在第六個月的時候
[39:58] 你才需要把你的本金還有利息
[40:00] 一口氣做歸還的一個動作
[40:02] 那當然你在中間這個質押的過程當中的話
[40:06] 你想要去把你的維持率提高的話
[40:10] 你也可以去做到一個
[40:12] 那個隨借隨緩的一個動作
[40:14] 當然都是可以的
[40:15] 它是一個非常彈勁的一個平臺
[40:18] 可以讓你來做一個運用
[40:20] 不過我們在這邊有一個小小的東西
[40:22] 要來跟投資朋友做一個提醒
[40:24] 請你不要忘記
[40:26] 它畢竟還是質押
[40:27] 然後質押的標的物
[40:30] 它中間這個價格
[40:32] 它是會有上下波動的
[40:34] 擔保品的波動
[40:35] 對不對
[40:35] 因為剛剛講到
[40:36] 它是臺幣計價的臺股基金
[40:38] 臺股基金波動也不能算是小歐
[40:40] 對
[40:41] 所以你看
[40:42] 如果今天我用股票去做質押的時候
[40:44] 會有維持率的問題
[40:46] 所以我剛才講說
[40:47] 穩定的股票比較重要
[40:48] 對
[40:48] 那你今天基金去做質押的話呢
[40:51] 它一樣是會有維持率的一個問題啦
[40:54] 所以呢
[40:55] 它那個維持率的部分
[40:56] 跟股票的一個要求
[40:58] 基本上是一樣的
[40:59] 你剛質押完的話呢
[41:00] 你的維持率大概是在160以上嘛
[41:03] 那隨著呢
[41:04] 價格的一個波動
[41:05] 如果呢
[41:06] 它在波動的過程中
[41:08] 它是往下走的
[41:09] 所以你的擔保品的價值下降
[41:11] 當你的維持率呢
[41:13] 到150的時候
[41:14] 它會呢
[41:15] 開始來跟投資朋友來做一個提醒
[41:17] 當你來到140的時候
[41:19] 那不好意思
[41:21] 你就得補錢
[41:22] 你要去補錢
[41:24] 把你的維持力
[41:25] 恢復到160以上
[41:26] 那你如果沒有補錢的話
[41:28] 他可能就會
[41:29] 做一些強制處分的一個動作
[41:31] 那我想這個部分
[41:32] 跟你去做股票質押
[41:35] 會是一樣的一個道理
[41:36] 不過我們這邊
[41:38] 會有一個小小的提醒
[41:39] 要跟投資朋友講說
[41:40] 雖然你是透過
[41:43] 基富通的好想貸的功能
[41:45] 到元大證金那邊
[41:47] 去做質押
[41:48] 對
[41:48] 但是呢
[41:49] 如果你本身也有股票
[41:51] 在元大證金那邊
[41:53] 去做質押的話
[41:54] 那你們的維持率是一起算的
[41:56] 這個你千萬不要想說呢
[42:00] 我今天元大證金
[42:01] 是我自己開戶去辦的
[42:03] 整戶維持率
[42:04] 大家記得這件事
[42:06] 他看的是整戶
[42:07] 不是看你說呢
[42:08] 我是用不同的平臺進去
[42:09] 所以呢
[42:10] 我的不同平臺的維持率
[42:12] 是分開算
[42:12] 沒有沒有不是不是的
[42:14] 他看的是你在
[42:15] 元大證金裡面的整戶維持率
[42:18] 這是我們要特別跟
[42:20] 投資朋友來做提醒的一個地方
[42:23] 千萬不要想說
[42:23] 我今天基金是透過基普通的平臺
[42:26] 所以他今天的話
[42:27] 就幫你獨立做計算
[42:29] 並不是這個樣子的
[42:30] 好那當然還是不免俗
[42:33] 跟大家講說
[42:34] 現在行情正熱
[42:35] 想要開點槓桿
[42:36] 是人之常情
[42:37] 是的
[42:38] 是人之常情
[42:39] 那之前的話
[42:40] 大家可能想到都是股票跟ETF
[42:42] 現在因為基普通的關係
[42:44] 基金也加入了這個行列
[42:46] 對沒有錯
[42:47] 那至少是基金
[42:48] 基金再怎麼樣
[42:49] 波動也很難比
[42:50] 股票大很多
[42:51] 所以相較之下
[42:53] 這個大家注意風險的同時
[42:55] 如果您是基金部位
[42:57] 比較大的朋友
[42:58] 那你也有一個融資的管道了
[43:00] 那看你是要短期
[43:01] 這個變現來使用
[43:03] 或是長期你看準的標的要加碼
[43:05] 可以不妨試試看
[43:06] 而且手續又相當的簡便
[43:08] 是的沒有錯
[43:09] 利率年息的話也會盡量
[43:10] 就是應該都壓在三趴以上
[43:12] 因為反正基金每一檔
[43:13] 都有他的牌架嘛
[43:14] 所以大家都可以很清楚一目瞭然
[43:16] 是的
[43:17] 所以這個基普通真的做很多事情
[43:19] 我覺得這個提供給有需求的聽眾朋友
[43:22] 因為最近問的人真的相當多
[43:24] 風險要控管哦
[43:26] 要記得這是整戶維持率哦
[43:28] 對沒有錯
[43:28] 那我們今天這個古厚仔也就到這邊了
[43:31] 希望大家一樣啦
[43:32] 古海平安但有賺錢
[43:34] 是
[43:34] 好大家拜拜
[43:35] 拜拜
