[00:00] 欢迎收听赵华宇古货仔第1153集
[24:58] 公司不管公司怎么讲
[25:00] 大人怎么讲
[25:01] 报告怎么说
[25:03] 那都是一回事
[25:04] 有数字没数字看就知道
[25:06] 你不用一直告诉我说
[25:08] 之后有多厉害
[25:09] 因为我常常讲的就是
[25:11] 我就说以前再没有AI以前
[25:13] 我很在意
[25:15] 公司告诉我说
[25:17] 他未来会多厉害
[25:18] 我就要一直去猜
[25:19] 猜测到底可能性
[25:21] 那我可能抓出个八档十档
[25:24] 觉得很有机会
[25:25] 我再排序
[25:26] 把几率越高的排越前面
[25:28] 我就会买前段的这些公司
[25:30] 可是我现在这种
[25:32] 告诉我说
[25:33] 之后有多厉害的公司
[25:34] 我老实讲
[25:34] 我都会连懒得看
[25:35] 因为现在
[25:37] 好到不可思议的公司这么多
[25:39] 为什么要去买一个
[25:41] 可能下半年明年
[25:43] 会有多厉害的公司
[25:44] 然后尤其有一个问题
[25:45] 重点是这些股价
[25:47] 通常在公司讲
[25:48] 或打人讲的时候
[25:49] 他都不是在低档了
[25:51] 他都已经涨了很多
[25:53] 大家都是涨了很多之后
[25:55] 才告诉你
[25:55] 其实他未来有很厉害
[25:57] 所以我觉得老实讲
[25:58] 这些族群也不是没有风险
[26:00] 就是风险
[26:01] 其实我个人觉得蛮高的
[26:03] 那他就会倒
[26:04] 再有一个问题
[26:06] 在第二季每天涨的时候
[26:08] 其实你是没有感觉
[26:09] 那时候是大家市场
[26:10] 是没有任何的风险意识
[26:12] 所以你第二季的风险
[26:14] 就是你没参与
[26:16] 每天就是要想办法
[26:17] 压的越高
[26:19] 就是我们收到的讯息
[26:20] 都是觉得自己参与不够
[26:21] 对
[26:22] 自己恨不得all in
[26:23] 开档感
[26:24] 就是那个时候
[26:24] 所以那时候会有一个现象
[26:26] 我们那时候在讲
[26:27] 一倍跟两倍ETF的问题
[26:29] 我讲两倍的
[26:31] 我说
[26:31] 那个不是核心持股就有些人就一直留言说这是我不懂其实以前回溯兩倍永遠比一倍厲害現在下跌是知道兩倍的差異在哪裡就是這世界上沒有絕對的答案
[26:44] 就是在上漲的時候
[26:46] 不管再樂觀
[26:47] 你不能完全沒有風險意識
[26:49] 那我剛剛講了
[26:50] 當然結論就是
[26:52] 整個股市在大幅波動的情況下
[26:55] 漲太多一定會有比較明顯修正
[26:58] 當回到大家覺得壓力很沉重的時候
[27:02] 当所有人都受不了
[27:04] 都要出脱的时候
[27:05] 其实常常就是低点的
[27:08] 这个接近的一个时间点
[27:09] 两倍
[27:10] 我觉得可以呼应
[27:12] 刚刚明翰讲的一件事情
[27:13] 如果你只看几天
[27:15] 没人说的准
[27:16] 当然超长线
[27:17] 因为我们讲过
[27:18] 像所谓的0050
[27:19] 从2014年发行
[27:21] 如果以这样来累积
[27:22] 来跟0050做对比的话
[27:23] 它当然报酬率是超过很多
[27:25] 但如果大家是用报10年的心
[27:27] 我觉得问题不是很大
[27:29] 甚至在下跌的时候
[27:30] 勇敢去加码
[27:31] 而不是吱吱叫的话
[27:32] 我觉得问题不是很大
[27:33] 可惜大多数人
[27:34] 都是在一波下跌的时候
[27:36] 有的开杠感受不了
[27:37] 有的看到账面
[27:38] 突然少太多受不了
[27:39] 被扫出去
[27:40] 我觉得那个时候
[27:41] 问题就变得很大
[27:42] 因为它会放大
[27:43] 大家的亏损跟不信任
[27:44] 因为在股市是这样
[27:46] 一旦受到重创出去
[27:47] 就跟刚刚讲被动的一件一样
[27:49] 你要再回到往日荣景
[27:50] 需要相当长的时间
[27:52] 跟心理建设
[27:53] 所以我们常常会讲说
[27:55] 我有看到一些
[27:56] 听众观众会留言说
[27:58] 他还挺得住
[27:59] 反正他是现股
[28:00] 对不对
[28:00] 可是也有分哦
[28:02] 如果你的现股是像明翰
[28:03] 他觉得他抱的是
[28:04] 对基本面高度的有信任心的
[28:07] 和你只是在忍耐
[28:08] 忍耐到谈回来说
[28:10] 我终于解脱了
[28:12] 我可以把它卖掉
[28:13] 或说我经过这次我吓死了
[28:14] 我再也不敢再这样子弄了
[28:16] 这是不一样的结果
[28:18] 我觉得这个是在心态上面
[28:19] 大家要非常留意的
[28:21] 所以你的持股是什么特性
[28:22] 你真的要有承受它的本事
[28:24] 就呼应一下
[28:25] 杠杆银行商品我也有
[28:27] 就证人我也有
[28:27] 可是我的心情就会是
[28:29] 他就算跌个50%
[28:30] 我可能也不会很紧张
[28:32] 如果能够这样的话
[28:34] 我觉得那当然就很健康
[28:35] 但是大多数人是不行的
[28:38] 我觉得重点在这边
[28:39] 好 讲了两个产业了
[28:40] 我们回到财报的身上
[28:41] 因为呢
[28:42] 明太太出国的时候
[28:43] 第一个让市场吓到的财报
[28:45] 反而是谷歌
[28:47] 明明就非常好
[28:48] 可是他的自由现金流
[28:49] 从2004年以来
[28:51] 第一次由正转负这件事情
[28:53] 被大肆的踏伐
[28:55] 就是说代表AI
[28:57] 你调高资本支出
[28:58] 可是你赚不回来
[28:59] 再来呢
[29:00] 是Meta跟微软
[29:01] Meta的获利表现
[29:03] 有一点点低于期
[29:04] Meta把那个
[29:05] 民汉的粉丝团停权了
[29:07] 在边呼吁一下
[29:08] 他不是诈骗账号
[29:10] 可能有人乱检举
[29:12] 或者我们不知道
[29:13] 现在民汉的粉团
[29:14] 是一个停权的状态
[29:16] 所以有私讯他的
[29:16] 他都看不到
[29:17] 先跟大家呼吁
[29:18] 我们正在努力的抢救中
[29:20] 目前还没有抢救回来
[29:21] 好
[29:22] 那Meta也要再提高资本支出
[29:24] 再来是微软
[29:25] 他就做了一个
[29:26] 当下看起来很smart
[29:28] 决定他缩减了他的资本支出
[29:30] 说他会保持他的自由现金流为正
[29:33] 微软涨了
[29:35] 但是我觉得最奇妙是亚马逊
[29:37] 亚马逊昨天晚上股价创高
[29:39] 他要扩大资本支出
[29:41] 他说他从去年
[29:43] 应该是06年
[29:44] 就今年开始
[29:44] 他的资本支出就已经转负了
[29:46] 他不在意
[29:47] 他觉得这样是对的
[29:49] 市场
[29:49] 不是很错乱吗
[29:51] 等一下
[29:52] 哪边我看错了
[29:53] 大家都是云端
[29:55] AI这边大幅成长
[29:56] 大家都觉得我应该要加大投资
[29:58] 有人看到市场
[30:00] 好像不喜欢我投资就缩手
[30:01] 可是到底要投资还是不投资
[30:03] 还有就是
[30:04] 我觉得有个结论
[30:05] 我是没有变过
[30:05] 应该明翰也是这样想
[30:06] 他们要投资就是我们的订单
[30:09] 这件事情应该没改变
[30:10] 是
[30:10] 好
[30:11] 这个我觉得这个是
[30:13] 整个观察很重要的重点
[30:15] 先讲一下那个Meta
[30:17] 就是
[30:17] 确实我在出国前两三天
[30:21] 我这整个粉丝业
[30:22] 应该说粉丝业
[30:24] 其实现在看起来都是很长
[30:25] 但是我只有一个管理员
[30:28] 就是我当时开的账号
[30:29] 去创造这个粉丝页
[30:31] 结果那个账号
[30:32] 现在被Meta锁
[30:33] 他说我这个是
[30:34] 诈骗假账号
[30:36] 被人家检举
[30:37] 那我就说
[30:37] 我也给他我的所有证件
[30:39] 我也给他我的照片
[30:41] 最后他还是
[30:42] 现在就是不解禁
[30:43] 所以我现在很诡异的现象
[30:46] 就是他说我诈骗
[30:47] 但是我的网页都还在
[30:49] 但是我现在已经
[30:49] 没办法进去更新
[30:50] 那未来我们会想办法
[30:52] 再去处理
[30:53] 那另外就讲到
[30:54] 这个整个架构呢
[30:56] 就是讲到
[30:57] 我觉得四大云端业者
[30:59] 我们会或者是回过头来
[31:01] 我以前都常常讲
[31:02] 在这种财报的时间点
[31:04] 通常有连续剧
[31:06] 它就是有三段
[31:07] 第一段一定是台积电
[31:08] 第二段就是四大云端业者
[31:10] 第三段就回答
[31:12] 这几从有AI以来
[31:13] 我们就是重点都在这三段
[31:15] 那我上一次就提到
[31:17] 这一次的架构
[31:19] 跟大家回去看一下
[31:20] 2024年第二季
[31:22] 曾经完全发生过一样的事件
[31:24] 就是年初开始
[31:26] 一二三月每天也是闭着眼睛涨
[31:29] 当然涨幅没有
[31:30] 这个今年第二季这么夸张
[31:32] 我就说这一次是超个历史纪录
[31:34] 上一次也是一二三月每天都是涨
[31:36] 它就是一条斜线
[31:38] 到四月开始公布财报前
[31:40] 还没公布就开始慢慢的修正
[31:43] 不好意思在修正的过程当中
[31:45] 就会发生一个现象
[31:46] 不管你说的再好都是错
[31:48] 然后每天就是直接下跌
[31:50] 从台积电的法说
[31:51] 说完就杀
[31:52] 然后就一路杀
[31:54] 突然一样有一天隔开
[31:56] 前一天还在讲资本支出扩张
[31:59] 然后前一天就大家的说法就是
[32:02] 花那么多钱到底赚不赚的回来
[32:04] 就突然变脸了
[32:05] 对然后就要跌了
[32:06] 隔天又说我一样资本支出突然就大涨
[32:08] 就表示他看到订单满满
[32:11] 跟现在一样
[32:12] 对就是我那时候讲过
[32:14] 我上次提到说
[32:15] 从这一次从台积电的法
[32:18] 说到Google的财报
[32:20] 很明显就是这个架构
[32:21] 你也不用去花太多时间去拆解说
[32:24] 他到底错在哪里
[32:27] 老实讲他没有错
[32:28] 就是我们意思说
[32:30] 你四大云端业者
[32:31] 你还可以硬挑毛病
[32:32] 台积电几乎无懈可击
[32:34] 还不是照跌
[32:35] 隔天跌7%
[32:36] 我会说你就算能够勉强找出毛病所在
[32:40] 也不可能跌7%吧
[32:42] 所以很明显
[32:43] 现在就是不用讲那么多
[32:44] 反正我就是要修正
[32:46] 大家就我这样回过头来
[32:48] 他的利基点在哪里
[32:49] 就是我刚刚讲
[32:50] 就是上半年就涨了100%
[32:53] 它就是最该万死的
[32:55] 最重要的理由
[32:57] 所以它就是一路修正
[32:58] 所以中间就是等什么
[32:59] 等市场的氛围改变
[33:01] 改变了吗
[33:02] 最重要的重点就是赵华刚刚提到的
[33:05] 很明显的就是从Amazon就看到
[33:07] 微软我觉得还不算真的
[33:10] 因为微软它选择的是
[33:12] 它资本支出持平
[33:13] 我老实讲这四家里面
[33:16] 微软是有点缩手的
[33:18] 或者是我们这样讲
[33:19] 可是我覺得他縮手後來盤後大漲
[33:21] 市場那時候高興
[33:23] 微軟縮手其實也不是這一次
[33:25] 這兩年來
[33:26] 有一段時間只要資本支出
[33:29] 沒有調升的就是微軟
[33:32] 但是後續會發生什麼現象
[33:34] 過去他曾經有過兩季不調
[33:37] 另外三家調
[33:38] 到第四次
[33:40] 就是突然三家都繼續調漲
[33:43] 但是微軟突然大幅調升
[33:45] 他把前兩次沒調的一次往上拉
[33:47] 所以结果大家都是一样
[33:50] 就是不动往上拉
[33:51] 我是说这次微软的
[33:52] 这个借镜还不够明显
[33:54] 重点是在Amazon
[33:56] 因为Amazon
[33:56] Google的问题
[33:59] 它全部都有
[34:00] 资本支出拉高
[34:01] 自由现金流转负
[34:03] 而且它的负的金额
[34:04] 比Google更高
[34:05] 76亿美元
[34:06] 它比Google还高
[34:08] 结果它是大涨
[34:09] 它创新高
[34:10] 所以就很明显
[34:12] 我当时就讲了
[34:13] 什么时候叫做市场翻转
[34:14] 就是市场的氛围翻转
[34:16] 我那时候就讲
[34:17] 台积电确认就是出局
[34:19] 那时候翻转不了
[34:20] 再来就等着
[34:21] 就是四大云端业者
[34:22] 是最好的时间
[34:23] 如果连这一次都不行
[34:25] 就必须等灰打
[34:26] 那时间点就有点久了
[34:28] 中间如果这样叠
[34:30] 大家可能会受不了
[34:31] 还要再叠20天
[34:32] 对 所以我就说
[34:33] 其实这个其实是一个连续剧
[34:36] 就因为Amazon的一个角度
[34:38] 能够大涨
[34:39] 所以带动礼拜五的这个行情
[34:41] 就有一个比较明显的
[34:43] 这个市场就直接做追逐的动作
[34:45] 因为就可以知道
[34:46] 明显的翻转
[34:47] 或者是我刚刚讲的
[34:49] 就是
[34:49] 投资人一个概念
[34:51] 就是我们切三个点
[34:52] 一个是上半年
[34:54] 一个是七月
[34:55] 一个是礼拜五之后
[34:57] 你会把这三个时间点
[34:59] 第二季大涨
[35:00] 第七月呢
[35:01] 是不管任何原因
[35:03] 就是得修正
[35:04] 一直到上礼拜五
[35:05] 到现在
[35:06] 每天很多跌深的沿路涨停
[35:08] 在这个三个过程当中
[35:10] 基本面没有任何改变
[35:12] 完全就是市场的心情
[35:14] 那这个我刚刚讲了
[35:15] 就是漲多就得修正
[35:17] 我覺得是合理的
[35:18] 所以最後結論就是
[35:20] 大家本來在樂觀的時候
[35:22] 就必須要去一路的
[35:24] 這個掌控市場的風險的部分
[35:27] 那我常常講
[35:28] 就我個人的角度
[35:29] 我就是沒錯
[35:31] 我就是維持
[35:32] 一直來就是維持高持股
[35:34] 我應該這樣講
[35:35] 因為我後來經過多次的教訓
[35:37] 我就是有個中心原則
[35:39] 我自己抓不準短線
[35:41] 而且我看了這麼久的市場
[35:44] 我从来没看过有一个人
[35:46] 长期而言短线是准确的
[35:48] 所以我没办法去抓准短线的情况下
[35:50] 我最后就直接放弃短线
[35:52] 很多族群大涨
[35:54] 我早就麻痹了
[35:56] 跟我没关系我也不追
[35:57] 然后我还是持续关注
[35:59] 我觉得对的股票
[36:01] 而且我关注的是它的基本面
[36:03] 它的营收
[36:04] 它公司的说法
[36:05] 至于它股价提前转弱
[36:08] 我也不在意
[36:08] 因为每个人
[36:09] 这个市场的心情变化
[36:12] 我懒得去管它
[36:14] 但我觉得没有错
[36:15] 你市场情绪会有好坏
[36:17] 但终究只要它的获利能够创高
[36:20] 其实后续代表的
[36:21] 它股价还是有高点
[36:23] 所以回过头来
[36:24] 最重要的重心就是
[36:26] 我为什么提到
[36:26] 没有错
[36:27] 赵华一开始讲
[36:28] 经过这次破坏
[36:30] 到底后面要怎么办
[36:31] 我会讲破坏的是股价
[36:34] 获利面完全没有任何修正
[36:36] 记得台积电这次的法说才讲
[36:39] 它的营收的目标
[36:40] 从原本的成长超过三成
[36:42] 直接拉到四成
[36:43] 所以代表的是什么
[36:45] 就是下半年你掐指一算
[36:46] 就是它获利会沿路创历史新高
[36:49] 它获利能够创历史新高
[36:51] 它股价为什么不会创历史新高
[36:53] 所以我觉得这是蛮合理的现象
[36:55] 台积电能创高
[36:56] 代表指数自然就能创高
[36:58] 回过头来我刚刚讲
[36:59] 为什么要检查自己的手中个股
[37:02] 上半年的营收状况
[37:03] 因为如果你要很有把握
[37:06] 就是你持有的个股
[37:07] 下半年当台积电获利创高的时候
[37:11] 能够带简单而言就是AI
[37:13] 其实代表AI还是在创高的
[37:15] 那你的个股到底有没有跟上这班列车
[37:18] 我觉得是很重要
[37:19] 如果你也在这班车上
[37:21] 那你绝对不要因为这段时间
[37:23] 它股价跌了七成八成
[37:25] 而你就砍
[37:26] 你就必须往下砍
[37:28] 我就常常讲
[37:29] 就算上礼拜在下跌的过程当中不改砍
[37:32] 你只要检查它的营收
[37:36] 是维持高度成长的
[37:37] 大家都看得到台积电会带动整个AI情况下
[37:41] 你的个股下半年获利也会创高的情况下
[37:44] 哪怕上礼拜再跌不敢买
[37:47] 我到现在只要没有
[37:49] 只能说涨幅稍微比较告一段
[37:53] 段落之后震荡甚至有再拉回
[37:56] 其实都还是一个加码的时候
[37:57] 因为台股的波动真的是还是蛮大
[38:00] 当然美股和韩股这一次也是蛮厉害的
[38:03] 尤其是韩股也加入这个波动的市场
[38:06] 因为杠杆型的商品
[38:07] 我们要记得一件事情
[38:08] 当第二季你看了这个股票说
[38:10] 这也太离谱了吧
[38:11] 这涨到哪里去了
[38:12] 那它跌下来就可能同样的离谱
[38:14] 就这到底要哪里
[38:16] 跌到地狱了也还在跌
[38:17] 所以上去下来
[38:19] 都会有离谱跟情绪性的东西
[38:22] 它本来不应该涨到那
[38:23] 可是它涨到那是因为情绪很热
[38:25] 它本来不应该跌那么深
[38:26] 但跌到这边因为情绪很悲观
[38:28] 从财报明明就没有变
[38:31] 或者财报都很好
[38:32] 做的事情也一样
[38:33] 那为什么A在跌
[38:34] B不跌还创新高
[38:35] 可是B的创新高
[38:36] 我觉得有意义
[38:37] 代表当市场的情绪
[38:39] 恢复一个合理的状态的时候
[38:40] 好成绩是会被表彰的
[38:42] 我觉得这件事情
[38:43] 在亚马逊给了我们一个信心
[38:45] 亚马逊会创高
[38:46] 就代表刚刚也讲
[38:47] 台股其实今天大家去看看
[38:49] 有一些股票
[38:49] 也是创新高
[38:50] 在这么大的风浪中
[38:52] 不过我这边有个问题
[38:53] 也想要请教明翰
[38:54] 就是上一次
[38:55] 其实婉婷来的时候
[38:57] 我们也有聊到一个事情
[38:58] 我一直都有点担心
[39:00] 第二季很好没有错
[39:01] 可是第三季会不会有旺季不够旺的问题
[39:04] 原因就在于第三季很多零组件的涨价幅度
[39:08] 它很难像第一季第二季这么高
[39:10] 然后再来是我自己知道
[39:12] 有些产业界的朋友有提到
[39:13] 在采购的步伐上
[39:14] 他们也会有点觉得
[39:16] 都让你涨四倍五倍了
[39:18] 那我现在可能要跟你均衡一下
[39:20] 我有点受不了了
[39:22] 所以可能放缓了一些采购的脚步
[39:24] 这些是我在想
[39:25] 到底这一波的修正跟这个有没有关系
[39:28] 它反应完了吗
[39:29] 还是当大家看到七八九月
[39:31] 如果营收或是获利不如预期的时候
[39:32] 又会再失望一次呢
[39:34] 我觉得整体架构应该说
[39:37] 这个有没有提前再反映这个
[39:38] 我觉得不能讲没有
[39:40] 但是我个人觉得
[39:41] 这个对后续的影响幅度
[39:43] 并不会有想象这么大
[39:45] 结论也很简单
[39:46] 就是应该说
[39:48] 这是市场本来就认同
[39:50] 可能会有这样的架构
[39:51] 或者是换个角度讲就是说这个股市的一个部分它有一個很特別的現象如果就產業的業績面假設以前沒有AI
[40:01] 它一定是一二三季越來越強
[40:04] 那把第四季要的這個
[40:07] 所謂的電子商品的出貨
[40:08] 全部都在第三季出
[40:09] 所以每一次的第三季
[40:11] 就是業績面的高點
[40:12] 可是股價
[40:13] 通常第三季表現的並不好
[40:16] 這是一個過往的經驗
[40:17] 可是通常
[40:18] 在修正都是第三季的比較尾段
[40:21] 八九月
[40:21] 但这一次是七月就直接开杀
[40:24] 那回过头来
[40:25] 这个之前我也讲
[40:27] 我也觉得说
[40:28] 我自己的想法也觉得
[40:30] 如果要开杀
[40:30] 最起码要等台积电过后
[40:32] 结果台积电还没开法说就在跌
[40:35] 一开完法说直接继续崩
[40:37] 所以很明显的就是
[40:38] 确实就是有提早反应
[40:40] 那这个故事
[40:41] 其实也有点
[40:43] 之前在这个这两年曾经也发生过
[40:46] 就回到当时
[40:47] 我刚刚提到
[40:48] 2024年也一样
[40:49] 就是上半年涨太多
[40:51] 财报的时候再修正
[40:52] 就后续呢
[40:54] 等待这个第三季的时候
[40:56] 反而并没有明显的修正
[40:59] 所以我个人觉得
[41:00] 结论这个
[41:01] 应该这样讲
[41:03] 股市是一个市场心情的一个总和
[41:07] 但是很特别的
[41:08] 就是股市的走势
[41:10] 刚好跟大家的心情的想法
[41:12] 几乎都是颠倒
[41:12] 就是过度乐观跟贪婪的时候
[41:15] 就要崩了
[41:16] 对对对
[41:16] 就是说回过头来
[41:18] 我们把今年的这个情绪来演一下
[41:21] 就是年初的时候
[41:22] 演一下
[41:23] 大家都在讲说
[41:24] 我看你怎么演
[41:24] 应该这样
[41:25] 我常常讲就是
[41:26] 有些记者后来在问我说
[41:28] 这个指数为什么多强
[41:30] 我说大家都看到哪里
[41:31] 看到哪里
[41:32] 我说我只能说
[41:34] 因为我去年底我还在国泰
[41:36] 那时候反正券商每年底
[41:39] 都要做一个明年的展望
[41:41] 那我当时我要负责主导这个case
[41:45] 然后我要负责去讲这个高点在哪里
[41:48] 我记得那时候抓三万四千多快三万五
[41:51] 那时候已经算市场很乐观了
[41:54] 没错吧
[41:54] 结果现在发现胡说八道
[41:56] 这个就是概念
[41:58] 所以我常常讲
[41:58] 这个东西真的没有人可以知道
[42:01] 只能边走边看
[42:02] 确实上半年的获利比市场好
[42:04] 导致一开始大家
[42:06] 第一季大家有点怕怕的
[42:08] 会觉得前两年涨这么多
[42:10] 今年到底还行不行
[42:11] 然后三万五都还不知道能不能遇得到
[42:14] 结果没想到第二季就喷出
[42:15] 在喷出过程当中
[42:17] 突然从来没看过这么强势
[42:19] 所以所有人都发现
[42:21] 没有任何的风险意识
[42:24] 再来就是看谁能够买得多
[42:26] 突然一修正到这里
[42:28] 又有一个特色了
[42:29] 几乎杠杆都被抬出去
[42:30] 然后突然到了上礼拜之后
[42:33] 所有人都保守
[42:34] 现在的反弹是不可能
[42:36] 把这个情绪完全翻转
[42:38] 所以我常常讲
[42:39] 上礼拜应该说7月受伤的人
[42:41] 这段时间再怎么跟你讲
[42:43] 你也不信了
[42:44] 你就会觉得一切都骗取
[42:46] 我已经被打了这么多次
[42:48] 被修理了
[42:48] 我都已经赔钱了
[42:50] 对
[42:50] 那有什么好处
[42:51] 就是我个人觉得
[42:53] 我觉得很有几率的
[42:56] 就是第三季本来该修正的
[42:58] 就是这一次
[42:59] 所以代表着
[43:00] 每年九月会修正
[43:01] 过往经验
[43:02] 就我刚刚讲的
[43:03] 你可以回头看
[43:04] 由AI以来也是一样
[43:05] 九月如果之前已经修正
[43:07] 九月每年会修正
[43:09] 反而又不修正了
[43:10] 所以我刚刚讲
[43:11] 这完全就是市场情绪的总和
[43:13] 但结果通常跟你想的不一样
[43:15] 当你7月被修理之后
[43:17] 你就说算了
[43:18] 我就不适合赚股票的钱
[43:21] 我就决定那个
[43:22] 切心准备走了
[43:24] 然后以后再也不玩了
[43:25] 结果我发现就后来
[43:27] 而且人家有讲
[43:28] 第三季本来就是不好的时候
[43:29] 我干脆休息
[43:30] 结果他就慢慢慢慢
[43:31] 不断往上走
[43:33] 等到你觉得乐观的时候
[43:35] 通常进来又是容易去见到高点
[43:38] 所以我常常讲就是说
[43:40] 第三季到底业绩有没有可能
[43:42] 因为涨价太多之后
[43:44] 动能减弱
[43:45] 这个是我个人觉得
[43:46] 几率是很高的
[43:48] 尤其是
[43:48] 其实老实讲
[43:50] 最大的凶手
[43:51] 大家也知道
[43:51] 就是记忆体
[43:53] 因为记忆体的价格
[43:55] 真的是涨太多了
[43:56] 然后我刚刚讲的就是
[43:58] 我本来是认为
[44:00] 在AI伺服器因为单价高
[44:02] 可能影响还没有层级那么大
[44:04] 消费性电子影响比较大
[44:06] 现在不是
[44:07] 连AI伺服器都受不了了
[44:09] 所以到最后
[44:10] 到底还要涨到哪里去
[44:12] 那多少都还是会受到一定的影响
[44:16] 可我个人觉得
[44:17] 我还是觉得这个动能会减缓
[44:21] 这是必然的现象
[44:22] 但不代表股价就会
[44:24] 一定会反映这个利空
[44:25] 因为这个是大家都能够推估的事情
[44:28] 我觉得应该说最重要的关键点
[44:30] 是需求到底还在不在
[44:32] 因为如果需求在
[44:33] 只是觉得这个贵
[44:35] 然后呢
[44:36] 暂缓这个拉货的部分
[44:38] 有稍微动能减缓
[44:39] 应该这样讲
[44:40] 营收你不会看到修正
[44:41] 你会看到的是营收本来在快速成长
[44:44] 它的协率慢慢变缓了
[44:46] 然后呢
[44:47] 这样的情况下
[44:48] 我觉得股市是影响是非常有限
[44:50] 或者是我们这样讲
[44:51] 如果七月没有这一波修正
[44:53] 那这个会是一个非常大的一个因子
[44:57] 但是因为重点是因为七月修正了
[45:00] 所以这个就是变成小额颗
[45:02] 这个我是觉得很明显的
[45:03] 因为七月这种跌势
[45:05] 绝对可以把刚刚提到的利空明显消化掉
[45:09] 所以我要就是持续重申
[45:11] 也不用太在意
[45:12] 你要还是要关注
[45:13] 不断关注整个市场的需求营收状况
[45:17] 还有你持有的个股的营收需求状况
[45:20] 那我要常讲
[45:21] 第三季是可以允许成长的幅度变缓
[45:25] 但不代表可以往下
[45:27] 不代表可以衰退
[45:28] 对不代表可以衰退
[45:29] 不代表可以往下翻
[45:30] 往下翻就是不同故事
[45:32] 现在大家的预期是
[45:34] 那个增长的协力会变缓
[45:36] 但这个情况我觉得是可以接受
[45:38] 但不能往下弯
[45:40] 大家还是要留意
[45:41] 为什么要跟明翰对答案呢
[45:43] 因为我觉得这件事情
[45:44] 对我来说
[45:45] 对判断后事是蛮重要的
[45:47] 因为刚刚我们前面讲了一件事
[45:48] 大家都在军备竞赛
[45:49] 微软是这样
[45:50] 收手两季
[45:52] 最后第三季或第四季
[45:53] 我要追上对不对
[45:55] 撒出来的钱
[45:56] 当然需求很重要
[45:57] 那我们以前也猜解过
[45:59] 其实像挥打他的客户
[46:00] 不只是这些云端业者而已了
[46:02] 他可能各国政府
[46:03] 中小企业
[46:04] 都已经AI的渗透率
[46:06] 开始往上跑了
[46:07] 所以需求如果还在的话
[46:09] 他们撒出来的钱
[46:10] 有人愿意去换成
[46:12] 他们的收入回来的时候
[46:13] 好
[46:14] 这就对我们台厂
[46:15] 是绝对有利的
[46:16] 所以有一坨的订单
[46:17] 在那边等
[46:18] 第三季的放缓
[46:20] 如果能够在第二季的修正
[46:21] 得到一定的疏解
[46:22] 就算再反应一下好了
[46:24] 也不认为
[46:25] 后面的订单会不见
[46:26] 对不对
[46:27] 所以堆积如山的
[46:28] 以及微软要追上来的订单
[46:30] 他就在那里等
[46:31] 所以他就是
[46:32] 第四季到明年的底气
[46:33] 所以大家为什么会去估
[46:35] 2027 2028
[46:36] 可以估得越来越高
[46:38] 就是因为这些东西还在
[46:39] 所以我觉得不要忘记这件事情
[46:41] 不要因为第二季
[46:42] 我们历经了
[46:43] 我觉得有点提早来到的修正
[46:45] 本来还想说再撑一下的
[46:47] 撑到第三季那个涨价放缓
[46:49] 大家突然吓到的时候
[46:51] 但没想到事情就是很难预料
[46:53] 提早修正之后
[46:55] 我们从第四季看明年
[46:56] 有这些的资本支出订单加持的话
[46:59] 亚马逊就做示范了
[47:01] 就是我相信公司会有
[47:04] 再创高的能力
[47:05] 我是相信的
[47:06] 可是我们个人
[47:07] 不要因为在这一场的战役里面
[47:09] 受到太大的伤害
[47:11] 反而到那个时候
[47:12] 又着着急急
[47:13] 慌慌忙忙的去追高
[47:14] 我觉得他就会重演
[47:16] 不断的重演
[47:17] 别人在赚的时候
[47:18] 你好羡慕
[47:18] 然后人家快赚完来的时候
[47:20] 你才跳进来的这个问题
[47:21] 对 应该这样讲
[47:23] 我觉得这个世界是公平的
[47:25] 如果你一直以来的
[47:26] 其实你就是
[47:27] 这个没有杠杆
[47:28] 那稳健抱
[47:30] 抱着比较稳健的股票
[47:32] 应该说说
[47:33] 应该这样
[47:34] 以我的角度好了
[47:35] 我就是没有杠杆
[47:36] 而且我抱的股票
[47:37] 相对比较平稳的
[47:39] 會有一個現象
[47:40] 其實第二季我是明顯不如隊伍的
[47:43] 就是大家都去追強勢股
[47:45] 我其實我都沒有特別去追逐強勢族群
[47:48] 所以第二季的我的績效
[47:50] 其實是不如整體平均的
[47:52] 就第二季如果抱著台積電
[47:53] 就覺得悶悶的
[47:54] 為什麼不抱飛動呢
[47:56] 台積電第二季是連
[47:58] 不要說這些強勢族群
[48:00] 他連指數都摸不到
[48:01] 說給指數
[48:03] 因為連發科太厲害了
[48:04] 所以我的意思是說
[48:05] 我當時我也不在意
[48:07] 我也不會因為那些人強
[48:09] 所以导致7月在修正的时候
[48:11] 我一样可以度假出去
[48:12] 出国去玩
[48:13] 因为我就觉得还好啊
[48:14] 因为对我影响不是很大
[48:16] 我常常讲的就是
[48:17] 你要自己拿捏你自己的属性
[48:19] 如果你长期而言
[48:21] 如果我们回过头来
[48:22] 大家检视一下
[48:23] 如果你第二季该赚的时候
[48:25] 你都有赚到
[48:25] 该跑的时候
[48:26] 你几乎也差不多也都有跑
[48:28] 应该说累积这一段
[48:29] 你要记得
[48:30] 就是第二季涨这么多
[48:32] 才修正的幅度
[48:33] 说修正9000
[48:34] 但是今年以来
[48:35] 指数还是有涨超过4成
[48:37] 如果你的赚钱的幅度
[48:40] 其实没有想象的大
[48:41] 几乎回吐的差不多
[48:43] 那代表着
