[00:00] 欢迎收听赵华宜古惑载第1137集
[23:30] 所以預估這個像美光他的毛率大概是84%
[23:35] 然後這個南亞科的毛率大概79.5%但是海力士大家預估他可能這次公布出來毛率大概77%左右所以大家就觉得这个比较起来就有失望性的卖压所以今天还是跌得非常的重
[23:51] 那我觉得也因为这个消息
[23:52] 也让今天的所谓的全球基底股票
[23:55] 都出现大跌
[23:56] 所以就会变成说
[23:57] 如果礼拜五的纳尔科法说会
[24:00] 理论上来讲
[24:01] 那一天如果没有台风架的干扰的话
[24:04] 应该股价是会转强
[24:05] 那我觉得今天就遇到一个
[24:07] 刚好遇到市场上的一个氛围不佳
[24:09] 让它股价拉回
[24:11] 但我们回归到
[24:11] 纳克法规
[24:12] 大家讲的好不好
[24:13] 其实非常好
[24:13] 79.5%的毛利率
[24:16] 而且纳克总经理讲说
[24:18] 第三季的报价
[24:19] 还会再上涨
[24:20] 而且他们有五成的
[24:22] 产能是签了长约
[24:24] 所以代表
[24:25] 他已经跟大家预告了
[24:27] 到2027年
[24:28] 大概他们的毛利率
[24:29] 都可以维持在相对高档
[24:30] 所以代表说
[24:31] 这一次的法规出来之后
[24:32] 有很多的法人
[24:33] 上修了纳克目标价
[24:35] 那我觉得就代表说
[24:37] 当然你对记忆体
[24:38] 有兴趣的话
[24:39] 你可以趁他们落难的时候进场
[24:41] 如果说你觉得
[24:42] 基底很难做
[24:43] 不要碰的话
[24:44] 那我觉得也不一定
[24:45] 一定要去做这样的一个股票
[24:46] 但是跟大家讲
[24:47] 就是说
[24:47] 目前来看
[24:48] 我觉得基底他们本身的
[24:50] 一个成长性跟市况
[24:51] 跟营收表现
[24:52] 都还是交出好的成绩单
[24:54] 那甚至说
[24:55] 你可以去找多题材的
[24:56] 像我们之前
[24:57] 有跟大家分享过的预创
[24:58] 今天股价反而是
[24:59] 创下26年的新高
[25:01] 因为他之前股价非常弱
[25:03] 我们有跟大家分享过
[25:04] 预创在所有的题材里面
[25:06] 他都会跑出来说他有
[25:07] 但他的本体是基底
[25:08] 所以現在是他的主場
[25:09] 對
[25:10] 因為他有記憶體的營收
[25:12] 這個墊底
[25:13] 然後搭配他有機器人
[25:15] 又有AI眼鏡的題材
[25:17] 今天機器人也算是低檔部長上來
[25:19] 對
[25:20] 所以我覺得就是變成說
[25:21] 你可以從這個所謂記憶體當中
[25:24] 不一定一定要做那種很純的記憶體
[25:26] 你可以找他延伸出去的相關的一些
[25:28] 個股我覺得都有些布局的狀況
[25:30] 比方說你看到最近的記憶體封測
[25:32] 又慢慢上來的
[25:34] 像所謂力晨
[25:35] 福茂科
[25:35] 華東
[25:36] 那甚至说像基体的通路
[25:38] 什么昆长
[25:40] 秦亚这些的
[25:42] 我觉得其实都还是有相关的族群可以操作
[25:45] 但因为整个族群的气氛没有特别的好
[25:49] 所以尽量大家就集中
[25:50] 不要像以前一样
[25:51] 就是说你觉得基底模组
[25:52] 你可能就买到什么广影
[25:54] 创建这些的
[25:56] 可能他们就不会是这一波的一个反弹的主流
[25:59] 我觉得还是回归到
[26:00] 既然你要减便宜
[26:02] 那就减当中比较核心竞争力比较好的公司
[26:05] 我觉得反而是比较好的一个选择
[26:07] 那就不像之前一样
[26:09] 你可能被动元件在涨的时候
[26:10] 你是从这个所谓国巨
[26:11] 一直买买买到金山店
[26:13] 买到可能什么预帮等等的
[26:15] 其实我觉得都回归到
[26:16] 其实现在在台股
[26:18] 说真的你要去捡一些好的公司
[26:20] 就从龙头去着手
[26:22] 我觉得是一个比较好的选择
[26:24] 好那当然难做的时候
[26:26] 为什么我常常会讲说
[26:27] 我真的很在意的是配置
[26:29] 对不对
[26:30] 还有就是在破线的时候
[26:31] 如果捡个股
[26:32] 有时候会捡到手软
[26:33] 可是我用ETF加码的时候
[26:35] 我就觉得比较容易
[26:36] 而且比较信任
[26:37] 这种感觉很奇怪
[26:39] 就是可能这些像主动式ETF的操盘人
[26:42] 买的也都是一些很厉害的热门股
[26:44] 可是你就会觉得他们经得起
[26:46] 跌我经不起
[26:47] 然后他们的净值如果有跌
[26:50] 他也不容易像个股的波动这么大
[26:52] 反而让人家觉得比较放心
[26:54] 那还有很有趣的一件事情是
[26:56] 我们也观察
[26:57] 例如说在发行的时候
[26:58] 台股一片大好都在喷
[27:01] 那可能搞不好发行之后还要短套一下
[27:03] 因为实在是位置比较高
[27:06] 可是像现在有很多的中小型股
[27:08] 已经回挡一大段
[27:08] 那这个时间才开始做募集或发行的
[27:11] 搞不好就捡到一个相对好的
[27:13] 位置上的股票
[27:15] 我觉得这个是我会观察的
[27:17] 那当然这礼拜我想中头戏试看台积电
[27:20] 可是呢
[27:20] 如果说扣除台积电
[27:22] 是不是就只剩垃圾盘
[27:24] 其实这两年也不是
[27:25] 其实有蛮多公司的绩效表现
[27:27] 尤其是热门的科技产业的
[27:28] 它的平均的报酬率是会赢台积电的
[27:31] 所以为什么赵华一直很喜欢科技型的产品
[27:35] 就是以长线来看
[27:37] 科技形式这种虽然波动大
[27:39] 可是如果你抓对司机去做加码的时候
[27:42] 后面给的报酬也相对高
[27:44] 今天像台塑集团
[27:45] 有很明显的避风的资金跑进去
[27:47] 或者像军工
[27:48] 可是像这类型的我通常就抱不长
[27:50] 但是科技股很奇妙
[27:52] 虽然它波动那么大
[27:53] 但是我就是会对他们长线来看相对有信心
[27:56] 对啊
[27:57] 所以目前来看
[27:58] 但大家就像刚刚所提到的
[28:00] 你会对下半年
[28:01] 现在大家一律又开始明显的升温起来了
[28:04] 因为刚刚提到
[28:06] 就是说你看台股的现行
[28:07] 或全球股市的状况
[28:08] 那大家就想说上半年涨这么多了
[28:10] 下半年还有没有希望
[28:12] 那我觉得其实最简单去看
[28:14] 那台积电你对他下半年有没有信心
[28:16] 我觉得目前来看
[28:18] 应该全市场的人
[28:20] 不只台湾
[28:20] 全球的投资人对台积电下半年
[28:23] 甚至说未来两年到三年成长
[28:25] 还是非常有信心的
[28:26] 那大家要知道说台积电是全球
[28:28] 应该是AI的重要的制造的厂商
[28:31] 所以他如果未来三年会好
[28:33] 那当然你对AI的一个成长性
[28:35] 就不用有太大的问题
[28:37] 因为除非是
[28:38] 大家对AI需求放缓了
[28:40] 那台积电才会有出现明显的转弱
[28:41] 所以这时间点
[28:42] 我觉得大家就可以回归到
[28:44] 那你过去在上半年
[28:46] 觉得台股天天涨
[28:47] 都不会拉回的时候
[28:48] 我觉得反而这时候
[28:49] 是一个比较好的一个介入的时间点
[28:51] 因为主要来到
[28:52] 所谓台湾本身的一个基本面
[28:54] 不管是今年的GDP成长
[28:56] 会超过10个百分点
[28:57] 或出口年增率来到22个百分点以上
[29:00] 所以目前来看的话
[29:01] 只要台积电好
[29:03] 我觉得对于台湾电子股
[29:04] 你就不用看得太淡
[29:05] 那反而是趁着现在台股
[29:08] 很多像刚刚提到的
[29:09] 好的股票跌到季线
[29:11] 跌到半年线的关卡
[29:12] 如果这时间点
[29:13] 你有介入的方法跟工具的话
[29:16] 那下半年只要台股
[29:18] 因为目前蛮多人还是看台股
[29:19] 下半年有机会到5万点嘛
[29:21] 所以这个空间拉出来之后
[29:23] 反而你这时间点敢勇敢布局的
[29:26] 我觉得都能够在下半年
[29:27] 交出好的成绩单
[29:28] 而且目前来看的话
[29:30] 大家觉得说
[29:30] 那现在盘面上会不会
[29:32] 资金都跑到台积电去
[29:33] 但我觉得如果说
[29:35] 大家把这个过去这三年
[29:37] 相关的电子股跟台积电涨幅
[29:39] 去拉出来看的话
[29:40] 会发现到
[29:41] 其实过去这几年台积电单
[29:42] 一直交出非常好的成绩单
[29:44] 但是在台股当中
[29:46] 有很多的电子股
[29:47] 它的平均涨幅
[29:48] 是超越台积电很多的
[29:50] 举例像2024年台积电
[29:52] 当年涨幅是84.85个百分点
[29:54] 但当年超越台积电
[29:56] 一些电子股涨幅来到168.46个百分点
[30:00] 所以代表说其实这时间点里面
[30:02] 如果可以选到好的股票
[30:04] 选到一些能够超越大盘的股票的话
[30:07] 反而趁着拉回
[30:08] 而有更好的一个报酬率
[30:10] 那大家也会关注到就是说
[30:12] 那到底有没有一些比较好的
[30:15] 所谓的一些操作的工具
[30:17] 跟选择的一个方法
[30:18] 那大家可以看到从去年开始
[30:20] 所谓主动型ETF的发行非常热络
[30:23] 那到现在为止
[30:25] 也还有非常多的一些投信
[30:27] 开始在发行一些新的主动型的ETF
[30:29] 主要原因在于说
[30:30] 因为过去这十年
[30:32] AI的成长让台湾吃到很大的红利
[30:34] 所以我们去统计了过去这十年
[30:37] 如果你选的是排行前二分之一的
[30:41] 科技型的主动型基金
[30:43] 它的报酬率可以高达1006%
[30:46] 是比台湾50%
[30:48] 整体的441%来得更高
[30:50] 甚至说比高股息的188%来得更高
[30:53] 也代表说
[30:54] 其实这十年当中
[30:55] 如果你是透过
[30:57] 可能投信发行的基金
[30:59] 去参与AI的成长性的话
[31:00] 可以赚到十倍
[31:02] 而且是过去平均二分之一的
[31:04] 就代表说有一些投信
[31:06] 它的一个绩效
[31:07] 比这个成绩来得更好
[31:09] 那我觉得在这样情况当中
[31:11] 可能大家就可以特别去留意到
[31:13] 那有没有一些新的ETF
[31:15] 可以做一个参考
[31:16] 那我觉得在今天刚好
[31:17] 有一档ETF开始正式募集了
[31:19] 它就是永丰台湾科技趋势
[31:22] 主动式的ETF
[31:24] 代号是00410A
[31:26] 那目前市场把它称为是
[31:28] 台版主动的QQQETF
[31:31] 主要在于说
[31:32] 因为它的选股
[31:33] 就是以科技趋势为主的
[31:35] 所以类似所谓的
[31:36] 像纳达克100指数当中
[31:38] 这些所谓成长性非常好的公司
[31:39] 都会被纳入到
[31:40] 它相关的一个选股的标的
[31:42] 那我们举例说
[31:44] 它可能当中包含
[31:45] 哪一些重要的一些产品
[31:46] 或说哪一些科技股的类别
[31:48] 像在所谓的
[31:49] 辉达供应链
[31:50] 也是必备的
[31:51] 不管是在Rubin的架构
[31:53] 或说新的TPU晶片的相关的概念股
[31:56] 都是他选股的一个逻辑
[31:57] 甚至说到所谓的台阶二奈米先进制程
[32:00] 到高阶先进封装
[32:02] 像所谓的载板
[32:03] 探针卡的一个测试界面
[32:05] 还有高速通讯
[32:07] 一冷散热跟AI的实体应用
[32:10] 像所谓的智慧车
[32:11] 机器人等等
[32:12] 都会是他选股的一个标的
[32:14] 那比较特别的是
[32:15] 这一档所谓的00410A
[32:18] 永丰台湾科技趋势主动式ETF
[32:21] 他的经理人
[32:22] 我们有去调查他的背景
[32:24] 说他过去曾经是我们台湾知名的
[32:27] 龙头风策厂的工程师出身的
[32:29] 对所以对产业相当的了解
[32:32] 所以刚刚提到的那些所谓跟AI相关的产业
[32:34] 都是过去他在业界里面非常熟悉的
[32:37] 也是他选股的重点的一个目标
[32:39] 那大家可能会觉得说
[32:40] 那这个新挂牌的00410A
[32:44] 他有没有一些过去的绩效可以做一个参考
[32:46] 那我们大概去整理了一下
[32:48] 就是永丰投信过去的一个绩效
[32:51] 可以看到
[32:51] 其实今年来永丰的
[32:53] 永丰基金
[32:55] 它今年绩效
[32:55] 已经高达到73.9%
[32:57] 如果是永丰中小的话
[32:59] 来到88.27%
[33:01] 大概在今年的
[33:02] 所谓的一个
[33:03] 主动型的基金当中
[33:05] 可以排到前五名当中
[33:07] 所以代表说
[33:07] 如果以这样的一个
[33:09] 永丰投信
[33:09] 今年的一个操作绩效
[33:11] 来看的话
[33:11] 可能004A的挂牌
[33:13] 又刚好在台股
[33:15] 相对低迷的时间点
[33:16] 也许大家就可以期待
[33:18] 它后续的一个表现
[33:19] 对 因为我们知道说
[33:21] 这个募集时间的持股组合
[33:23] 真的是很重要
[33:24] 对那这档是科技趋势嘛
[33:26] 就完全打中我喜欢的一个领域
[33:29] 那台湾呢
[33:31] 其实现在市值啊
[33:32] 全世界的市值
[33:33] 已经是四五名之间来回跑
[33:36] 就是有时候会赢印度
[33:37] 我们就第四名
[33:38] 如果稍微输我们就第五名
[33:40] 因为现在的市值两边
[33:41] 非常非常接近
[33:42] 但可以看到会有这么好的市值
[33:45] 以所谓的国家人口数来说
[33:47] 我们真的很厉害耶
[33:49] 第一名是美国嘛
[33:50] 第二名我记得是中国的阿鲁马
[33:52] 然后第三名的话是日本
[33:53] 对
[33:54] 再来就是印度跟我们两个在争
[33:55] 那印度的话
[33:56] 它其实在这种所谓的科技上面
[33:59] 就比重在印度股市的市值
[34:01] 没有那么高
[34:02] 他们还是以这种
[34:03] 大型传产集团为主
[34:04] 所以我真的是觉得
[34:06] 这件事情我们是很厉害的
[34:08] 那最近周晓晴我在回答
[34:09] 刚刚我也讲到
[34:10] 如果你是用自己的钱
[34:12] 在往下加码
[34:13] 你可能也加不了几档
[34:15] 甚至钱会就打光了
[34:16] 可是如果你去买的是
[34:17] 这种快要挂牌的
[34:19] 可以参加募集
[34:20] 或者挂牌后
[34:21] 对它稍微将它青睐
[34:22] 因为它是10元的挂牌价
[34:24] 对就等于用小资
[34:25] 就可以开始做布局
[34:26] 我觉得它就又帮市场提供了一个
[34:29] 所谓科技趋势型的
[34:31] 主动ETF的选项了
[34:32] 对啊
[34:33] 所以我觉得当然大家可以留意到
[34:34] 因为它是今天才刚开始募集
[34:37] 那预计募集到这个7月17号为止
[34:40] 那预计到这个8月初
[34:42] 会正式挂牌上市
[34:44] 所以如果说你现在
[34:45] 在台股相对低迷区的时候
[34:47] 去募集他的一个相对的低档的持股
[34:50] 那等到8月份挂牌的时候
[34:52] 你就可以知道说
[34:53] 如果现在台股相对低档
[34:55] 那8月份如果台股回到
[34:56] 比较创高的轨道的话
[34:58] 你这时候进场
[34:59] 其实反而可以吃到
[35:00] 相对低档布局的一个红利
[35:02] 所以我觉得大家就可以留意到
[35:04] 既然是在募集期间
[35:05] 又刚好搭配这个礼拜台股比较低迷
[35:07] 我觉得大家不妨去参考
[35:09] 这样这个ETF募集的状况
[35:12] 而去做一个相关适当的
[35:14] 一个资产的配置
[35:15] 像刚刚提到的
[35:16] 因為既然它是以這種主動式的科技趨勢ETF為主
[35:20] 也代表說現在我們剛剛提到
[35:22] 所有的熱門題材都能夠南瓜在中
[35:25] 而且有透過專業的基金經理人幫你做個選股
[35:28] 幫你做個把關
[35:29] 我覺得不妨也是這個時間點裡面
[35:31] 去做資產配是一個好的選擇好 尤其這個操盤人有科技背景趙華還認識蛮多业内大户出身的都是因为有科技背景真的对所谓科技新趋势的发展
[35:44] 会比较有把握
[35:45] 加上他们有人脉
[35:46] 去打听的时候
[35:47] 也可以打听的比较仔细
[35:49] 不过还是要提醒大家
[35:51] 投资一定有风险
[35:52] 基金的投资是有赚有赔的
[35:54] 申购前应该要享悦公开说明书
[35:57] 好那最后的话
[35:58] 来回答一个问题
[35:59] 我想这个朋友的问题
[36:00] 就是刚刚我们在上半段
[36:01] 有特别聊到的一个心情
[36:03] 他说呢
[36:04] 他年纪稍长
[36:05] 但是是投资韭菜啦
[36:06] 有本业收入是蛮稳定的
[36:08] 那这三年来
[36:10] 有听了我们的podcast
[36:11] 也有找到投资节奏跟配置
[36:13] 每年稳定大概10%左右的获利
[36:15] 虽然不多
[36:16] 可是因为之前
[36:17] 听我们之前都在亏损
[36:19] 已经非常满足了
[36:20] 也很喜欢我们不厌其烦的碎碎念
[36:23] 但是今天受到考验了
[36:26] 受到考验了
[36:27] 他说因为账面上
[36:29] 前两周获利大幅回吐
[36:30] 这个在一开场
[36:31] 我有跟大家聊
[36:32] 我自己也是
[36:33] 自己也是
[36:34] 你说心情上
[36:35] 会不会有点闷呢
[36:36] 会有一滴滴啦
[36:37] 会一滴滴
[36:37] 可是我心里面会觉得说
[36:39] 刚好两个礼拜前
[36:40] 我也告诉我自己
[36:41] 张面创新高
[36:42] 是不是要获利了解一些
[36:43] 或者是有一些股票
[36:44] 我确实因为说
[36:45] 要降低压力
[36:46] 为我卖掉嘛
[36:47] 所以有一些获利入袋
[36:48] 获利入袋
[36:49] 缺点就是
[36:50] 也许后面卖飞
[36:51] 哎呀好呕哦
[36:52] 优点就是现在看
[36:53] 幸好那时候有获利入袋
[36:55] 所以事情没有绝对的好坏
[36:57] 只有到底
[36:58] 你给自己制定的策略
[37:00] 跟你可以承受的压力到哪里
[37:02] 我觉得这个是
[37:03] 每个人需要去练习的
[37:05] 那这位朋友就讲的
[37:07] 今天的情况比较严重了
[37:08] 他说因为
[37:09] 现在回吐了几十万
[37:11] 心情非常糟糕
[37:13] 严重到头晕
[37:15] 拉肚子
[37:16] 生理影响到心理的状态
[37:18] 超后悔
[37:19] 为什么前几周没有获利了结呢
[37:21] 例如说他有国剧
[37:22] 奇邦台谣这样子
[37:24] 赵华有过这样的经验吗
[37:25] 如何说服自己
[37:27] 度过这样的低潮呢
[37:28] 我比较没有
[37:32] 我又比较赔的多的有
[37:36] 可是我对于赔的多
[37:38] 我的反应没有到这么严重
[37:41] 我觉得会沮丧
[37:42] 就是获利回吐会沮丧
[37:44] 卖飞也会沮丧
[37:45] 对不对
[37:46] 赔钱自然也会沮丧
[37:47] 但是因为我一直觉得
[37:49] 投资是一个长期抗战
[37:51] 对
[37:51] 我也有赔的比较多的年
[37:54] 然后我有一次是怎么做呢
[37:55] 我甚至把我所有的股票
[37:57] 在一见初清
[37:58] 就是我真的有这样做
[38:00] 那一见初清
[38:01] 并不是为了任性
[38:02] 我不是说
[38:04] 现在这位朋友
[38:04] 你要这样做
[38:05] 等一下台股在多头市场
[38:06] 你只是获利回吐
[38:07] 那个时候
[38:08] 真的怎么做都怎么不顺
[38:10] 然后都乱买
[38:11] 甚至还当充
[38:12] 就是今天买
[38:13] 今天看到赔钱
[38:13] 就立刻把它卖掉
[38:14] 不是说没有钱交割
[38:16] 是可以的
[38:17] 可是就是觉得
[38:18] 整个心情很浮躁
[38:19] 所以后来那个时候
[38:20] 我有把我所有的股票
[38:21] 全部卖掉
[38:22] 全部重新布建这样子
[38:25] 那时至今日
[38:26] 我已经不需要这样子了
[38:27] 你说看到获利回吐
[38:28] 会不会很不舒服又骂
[38:29] 所以一开场我就讲了
[38:30] 早知道对不对
[38:32] 也会有这个心情
[38:33] 早知道那时候获利创新
[38:35] 告诉我怎么不卖一点
[38:36] 可是这中间
[38:37] 其实我也有跟大家分享
[38:38] 我有没有卖
[38:39] 有啊
[38:39] 我有跟大家讲说
[38:40] 我有在获利回吐的一开始
[38:42] 我可能就有卖掉一些
[38:44] 因为我觉得大盘给我有压力
[38:46] 所以我觉得这件事情
[38:47] 因为毕竟
[38:48] 可能听我们节目三年
[38:50] 或者之前有一些操作
[38:51] 还没有上手
[38:52] 股龄不能算是很重
[38:54] 股龄不能算是很重
[38:55] 我觉得先不要想的是
[38:57] 获利回吐
[38:57] 而是你没有让自己陷入到
[39:00] 例如说套牢完全走不掉
[39:02] 或者是说
[39:03] 你没有让自己陷入到
[39:05] 杠杆到
[39:06] 要违约交割
[39:07] 我觉得至少你没有做到这件事情
[39:09] 你只是获利回吐
[39:11] 所以刚刚我们有讲了一些方案
[39:13] 例如说把步调先慢下来
[39:15] 然后再来是
[39:16] 有没有什么东西
[39:17] 是除了回吐之外
[39:18] 你本来就应该整理的
[39:20] 例如说前几天
[39:21] 我跟大家分享
[39:22] 我觉得牌面这样闷闷的怪怪的
[39:24] 我就把试吃牌全部都卖掉
[39:26] 我记得那天来云翔哥来
[39:28] 因为云翔哥最喜欢给试吃的
[39:30] 好 试吃牌卖掉
[39:32] 因为我对他们的掌握其实不强
[39:34] 对 掌握不强的话
[39:35] 我觉得那么杂乱的持股组合
[39:37] 有一次好像是汉伟哥在
[39:38] 我看我有六七十档持股
[39:40] 他也觉得这样是怎样
[39:42] 我都因为试吃太多了
[39:43] 好 所以那时候就整理了
[39:45] 可能有十几档股票整理掉
[39:47] 然后还有就是获利了结掉一部分
[39:49] 像我今天早上一开盘
[39:50] 事实上我看到被动很弱的时候
[39:52] 我有部分处理掉台庆科
[39:54] 台青科是被动元件里面
[39:56] 涨比较慢的
[39:57] 那时候有买它的原因是因为
[39:59] 它是很低一批
[40:00] 就率先公布
[40:01] 它要涨价的电感厂商
[40:02] 所以我就买它
[40:03] 但是后来它涨的
[40:04] 其实比别人慢很多
[40:06] 慢很多也没关系
[40:08] 那今天我看
[40:09] 整个盘是被动比较弱
[40:10] 其实处理它已经有点慢了
[40:12] 但是因为我的持股成本很低
[40:14] 我还是站在一个减压的想法
[40:16] 所以我就卖掉一部分
[40:18] 先强调我也不想卖光
[40:20] 一部分的台青科就卖掉
[40:21] 回首我一看
[40:22] 我就跟汉玮哥讲说
[40:23] 哇他也从高档下来快要到季限
[40:25] 哇如果一张哦
[40:27] 一张你就少赚
[40:28] 少赚十万哦
[40:30] 但是因为我是少赚
[40:31] 我不是说我买在高档我赔十万
[40:34] 所以我觉得没有关系啦
[40:35] 我就换一点现金回来
[40:36] 那我今天也有低挂一些所谓的ETF
[40:39] 有一两档有成交在季限的
[40:41] 那他有成交就成交吧
[40:43] 就算明天有更低
[40:45] 我觉得那也没有关系
[40:46] 对啊我觉得其实这个问题
[40:48] 应该每一个在投资路上的人都会遇到
[40:51] 就是获利回吐
[40:52] 那回吐到一定的幅度的时候
[40:55] 你就开始不知道该怎么办了
[40:56] 因为其实一般来讲
[40:58] 我们在说
[40:59] 这行情当你拉出一段的获利之后
[41:01] 正要用技术面去做一些
[41:03] 严格的停利的出场
[41:05] 比较不会像遇到这样
[41:06] 可能抱过一座山
[41:08] 那不动它会不会过几天
[41:10] 变成赚钱变赔钱
[41:12] 那又更痛苦
[41:13] 如果这时候忍痛把它停损掉
[41:16] 会不会又喷出去
[41:17] 所以我觉得目前很多投资人
[41:19] 应该都像这位朋友一样
[41:20] 面到这样的困难
[41:21] 那这样困难
[41:22] 我觉得第一件事情是
[41:24] 你可能就要慢下来来检视
[41:26] 因为刚刚的状况是
[41:27] 他已经开始出现身体不舒服的情况
[41:30] 那代表说整个部位
[41:32] 会让他有感受到压力太大
[41:34] 压力太大没错
[41:35] 我会觉得说
[41:36] 如果遇到这种情况的时候
[41:37] 可能就要考虑
[41:38] 第一个是减码降档
[41:40] 那减码降档
[41:41] 不是叫你把股票通通都把它卖掉
[41:43] 而是说你可以去检视一下
[41:45] 比方你手上去扫一下
[41:46] 我手上可能有被动元件
[41:47] 有一些主动元件
[41:49] 他可能是市值很大
[41:51] 又某一些ETF有
[41:52] 比方说你手上有记忆体
[41:53] 那你不然会把记忆体卖掉
[41:54] 去买记忆体的ETF
[41:55] 那就会去做一些所谓资金的转换
[41:58] 又不会让你的资金过度集中
[42:00] 在某些少数个股上面
[42:02] 当它遇到连续下跌的时候
[42:03] 你可能压力就很大
[42:04] 你换到ETF上面去
[42:06] 同时持有它
[42:07] 但也能够参与整个大盘的反弹
[42:09] 又没有选股的问题
[42:10] 我觉得就可以降低你的持股的压力
[42:13] 也就是说
[42:13] 你不要去把你的股票停存在相对地两区
[42:16] 但你也没办法确定后面会怎么走
[42:18] 那最好的方法就是说
[42:20] 把你的资产
[42:21] 集中到一些
[42:22] 你可能可以放的
[42:23] 比较舒服的股票
[42:24] 波动又不会那么大
[42:25] 你可能你的身体的
[42:26] 跟心理的压力降低之后
[42:28] 你后面就可以用
[42:29] 比较平静的心态
[42:30] 来看后续行情的变化
[42:31] 所以我觉得目前
[42:32] 大家可以去
[42:33] 透过这样的方法去检视
[42:35] 如果你手上很多都是
[42:36] 热门股票
[42:37] 然后高涨创高没卖
[42:38] 那你现在什么
[42:40] 跌破无线要走
[42:41] 跌破越线要走
[42:41] 可能都已经太慢了
[42:42] 所以我觉得这时间点
[42:44] 你可能就是
[42:44] 比方说我可能手上
[42:45] 像过去
[42:46] 大家可能有遇过
[42:47] 那种老外爱回档
[42:48] 老外爱有什么股票
[42:49] 有高股CTF有吗
[42:50] 所以你可能那时候
[42:51] 比方说你可能有
[42:52] 广达伟创鸿海的
[42:54] 你可能破了
[42:55] 越线破了基建
[42:56] 卖掉一些
[42:57] 转换到高股CTF
[42:58] 你后来发现到
[43:00] 广达鸿海伟创股价
[43:01] 在相对低一名
[43:02] 但你换过高股CTF
[43:03] 又有这三档股票
[43:05] 同时它又有联发科
[43:06] 联电等等的
[43:07] 股价反而上去了
[43:08] 你的感受就会不一样
[43:10] 你这时候你可能就会觉得
[43:11] 我当时
[43:11] 我并没有把股票
[43:13] 砍在低档
[43:13] 我只是换到一个相对波动比较小
[43:16] 那未来可能上涨空间比较大的
[43:18] 比较稳定的一些ETF上面
[43:20] 我觉得可能是一个
[43:21] 可以降低你的持股压力的一个操作的方法
[43:25] 那什么时候可以做一个资金重新再加码
[43:28] 也就是说你可能要等到这些
[43:30] 你所要套牢比较深的股票
[43:32] 或说获利回赌很深的股票
[43:34] 那他们出现可能就是
[43:36] 股价重新回到重要均线之上
[43:39] 或说短线五日均线弯头向上的时候
[43:42] 你真的要再逢低加码
[43:43] 或是你把你换过去的ETF换回来
[43:46] 我觉得才是一个
[43:47] 比较好的时间点
[43:49] 那目前来看的话
[43:51] 因为就是你可能心理压力比较大
[43:53] 所以很容易会做错误的选择
[43:55] 所以我还是觉得说
[43:56] 如果大家遇到这样的情况的时候
[43:58] 你可能还是要适度把你的资金
[44:01] 再做一个缩减的情况
[44:02] 让你可能每天的损益不会那么大
[44:04] 那可能大家就可以比较平静来看待
[44:06] 这行情的波动
[44:07] 对
[44:08] 虽然我自己没有高度痛苦的经验
[44:11] 但是有无数次
[44:12] 为痛苦的经验累积起来
[44:15] 痛苦才会改变
[44:17] 我必须讲
[44:18] 顺风顺水
[44:19] 或者是凹单又赢的时候
[44:21] 是不会改变任何事情的
[44:23] 虽然这句话讲起来
[44:24] 好像太理性
[44:25] 有点不近人情
[44:26] 可是这是事实
[44:27] 就是说
[44:28] 我也没有一直都很开心
[44:29] 这样讲好了
[44:30] 是没有痛到
[44:31] 说什么头晕
[44:32] 呕吐不舒服
[44:33] 没有到这样
[44:34] 可是有没有不舒服
[44:35] 一定有不舒服
[44:36] 一定有那种
[44:37] 想要大叫的那种不舒服
[44:39] 好
[44:40] 无数次的这种
[44:41] 想要大家不舒服
[44:42] 但是就会去改变
[44:43] 就去调整
[44:44] 然后那个调整
[44:45] 你不一定是
[44:46] 一时半刻可以看得出来
[44:47] 我举一个最
[44:48] 简单的小例子
[44:49] 做一个ending
[44:50] 我觉得坊间
[44:51] 应该没有人像我
[44:52] 会一直跟大家分享
[44:53] 债券的进度
[44:54] 虽然不是非常密集
[44:55] 但时不时我想到
[44:57] 我就会忍不住讲一下
[44:58] 即使我讲到的时候
[44:59] 都会有
[45:00] 真的是会有人
[45:01] 跑来攻击我说
[45:02] 什么当初在那边推
[45:03] 什么结果你看
[45:04] 没有降息就没有涨了
[45:06] 什么害人家钱都困难了
[45:07] 我还是不厌其烦地说
[45:08] 它就是配置的一部分
[45:10] 它就是配置的一部分
[45:12] 每一次当中小型股在跌
[45:14] 我的股票的账面在缩水的时候
[45:16] 我就会回头看看
[45:17] 我那一块债券的部分
[45:18] 我会想说
[45:19] 当初为什么我要布置这一块
[45:21] 就是我要有一块
[45:22] 不会输的资产
[45:23] 它不会输
[45:24] 因为我明年要交屋了
[45:26] 我没有办法在股票市场
[45:28] 因为这两年是大多头
[45:29] 没有错
[45:30] 所以你会觉得
[45:31] 如果你有一块钱不动
[45:32] 甚至你把当初
[45:33] 你认为要降息
[45:34] 然后债券会让你大赚
[45:36] 把很多钱压在那里
[45:37] 你会觉得非常非常痛苦
[45:38] 可是当初我就不是这样想
[45:39] 当初我就觉得我要一块不会输
[45:41] 有一块我可能可以投在股市
[45:43] 可是如果股市不是这两年大多头
[45:45] 它如果又下去的话
[45:46] 我也不会输到哪里去
[45:48] 其实当初我的立场就是这个样子
[45:50] 那这中间过程中
[45:52] 随着台股的基本面越来越好
[45:53] AI的发展越来越兴旺
[45:55] 市场往上走的时候
