[00:00] 欢迎收听赵华与古破在地1081集
[23:16] 我自己是比较着重在个股
[23:17] 可是如果是要对广大的听众负责
[23:21] 个股真的很看
[23:23] 大家有没有一个好的管道
[23:24] 跟他的认知
[23:26] 就对他的认知到哪里
[23:28] 最近还是会有不少人
[23:30] 传讯息来是在讲
[23:32] 对 例如错过标股
[23:33] 觉得好痛苦
[23:34] 然后明明听我们的话
[23:36] 买的ETF都有赚钱
[23:37] 可是对应起自己选错的股票
[23:39] 就是打平
[23:40] 那看到别人都一帆风顺
[23:42] 可能ETF也涨
[23:43] 个股也涨
[23:43] 都要赚好多
[23:45] 我觉得说
[23:46] 这有一个现象发生
[23:48] 就是传给我的人
[23:50] 因为常常知道我们在讲
[23:51] 你认知到哪里就赚到哪里
[23:52] 就说对
[23:53] 那些标股我也知道
[23:54] 我可能赚不到
[23:55] 可是就是没有办法
[23:56] 摆脱那个情绪
[23:57] 那我觉得
[23:58] 现在问题来了
[24:00] 你知道你赚不到
[24:01] 可是你无法接受
[24:02] 你赚不到的现实
[24:04] 是不是
[24:05] 而你也提出了
[24:07] 就是在ETF上
[24:08] 其实大部分的人
[24:09] 写信给我都有写
[24:10] ETF上都有赚到钱的
[24:13] 那既然这件事情有
[24:15] 为什么你就不往有的方向走呢
[24:17] 我懂啦
[24:18] 那个不甘愿
[24:19] 当然就是别人都可以赚到
[24:20] 涨停板的好几根的
[24:21] 为什么我就只能跟着ETF
[24:23] 可是就像刚刚我们讲到的
[24:26] 有一些小标股
[24:27] 没有获利没有业绩的
[24:28] 还有一些稳扎稳打的优质股
[24:31] 都在涨
[24:32] 可能小标股一开始涨得比较快
[24:33] 可是如果你时间线拉长
[24:35] 你会发现
[24:36] 你没有办法掌握小标股的话
[24:37] 怎么来怎么去
[24:38] 可是你能掌握这些优质成长股的话
[24:41] 你抱了一年
[24:42] 就算中间你都不做任何动作
[24:43] 你最后的总报酬还是赢的
[24:45] 我觉得要想这件事情
[24:46] 是比较重要
[24:47] 不要在这段时间换得换失
[24:49] 所以我才会说
[24:50] 像我今天为什么跟大家分享
[24:52] 是我平转
[24:52] 我也不是去转个股
[24:54] 我是把债券ETF换成
[24:55] 主动式ETF
[24:56] 那我没有加新的钱进去
[24:58] 可是我内部这样一转
[25:00] 那刚好我今天也在观察
[25:02] 一件很重要的事情
[25:02] 就是刚刚讲到的
[25:04] 溢价有没有收敛
[25:05] 我是在溢价收敛的时候
[25:07] 才进去
[25:08] 千万不要去买那个
[25:10] 昨天992被买到
[25:11] 一价快两个百分点
[25:12] 都是不正常
[25:13] 它是台股ETF
[25:14] 我觉得这些观察点
[25:16] 提供给大家
[25:17] 在FOMO情绪
[25:18] 或是觉得自己没跟上的时候
[25:20] 可以做的一些想法跟策略
[25:22] 对啦
[25:23] 其实我们如果你
[25:24] 听我们的节目
[25:25] 很早我们就讲台达电了
[25:27] 对
[25:27] 凯哥多久以前就讲台达电
[25:29] 我是说不要看台积电
[25:31] 认真的看台达电
[25:32] 你从那时候买台达电到现在
[25:34] 我相信应该赚了很多了
[25:36] 其实它不是小股票
[25:38] 它也是你闭着眼睛就可以买得到
[25:40] 闭眼睛就可以卖掉你的股票
[25:42] 它没有流通性的问题
[25:43] 这样股票会比你去追那些标股
[25:46] 其实我觉得
[25:47] 你会更容易更好睡觉
[25:49] 对真的
[25:50] 操作上要记住一件事情
[25:52] 就是尽量不要让自己患得患死
[25:55] 这个很重要
[25:56] 因为这样你的路才会走得远
[25:57] 那这位朋友
[25:59] 有一位朋友
[26:00] 他应该也认识我们相当久
[26:01] 时不时也会传一些讯息给我
[26:03] 看起来也是爱动物的人士
[26:05] 因为有一次
[26:06] 现在应该可以讲
[26:08] 有一次其实有那个
[26:09] Garmin的运动手表
[26:10] 有找我帮忙做宣传
[26:12] 那因为我平常运动
[26:13] 就是确实带Garmin
[26:14] 所以那时候我就确实
[26:16] 接了那个宣传
[26:16] 后来这个朋友
[26:17] 就有留言跟我说
[26:18] Garmin以前有出了一款商品
[26:20] 但没有真正上市
[26:21] 这边就闲聊
[26:22] 希望Garmin不要生气
[26:24] 就是没有上市
[26:25] 只是在公布
[26:26] 他们在测试的阶段
[26:27] 被骂爆是什么呢
[26:29] 就好像是狗的
[26:30] 那个电极的训练项圈
[26:32] 但是后来因为
[26:34] 一有这个念头
[26:35] 或是好像有这个消息出来
[26:36] 那市场就骂爆
[26:38] 就说你怎么可以
[26:38] 用电极项圈
[26:39] 怎么可以一个大品牌
[26:40] 做这些事情
[26:41] 他们后来那个产品
[26:42] 就没有上市了
[26:43] 其实这是十年前的事
[26:44] 然后这个朋友
[26:45] 就有留言跟我说
[26:46] 刚明那时候做那件事
[26:47] 怎样怎样
[26:47] 我说你看
[26:48] 喜欢动物的人
[26:49] 真的对一点点这种事情
[26:51] 是真的不能接受
[26:52] 当然真的
[26:52] 训练动物真的不要用
[26:54] 这种虐待的方式
[26:55] 非常认同
[26:56] 不过就原谅他们
[26:57] 因为后来那个商品
[26:58] 是真的没上市
[26:59] 他们再也没有
[27:01] 这类型的商品了
[27:02] 真的有点吓到
[27:03] 这朋友有传讯息给我
[27:04] 他有提到说
[27:06] 他第一次学到
[27:07] 资产配置的观念
[27:08] 就是在我的节目里面
[27:10] 他说真的有用
[27:11] 降低风险
[27:12] 稳定心情
[27:13] 也许在现在大多头
[27:14] 你感觉是牺牲了一点获利
[27:16] 但是你就当做缴保费
[27:18] 对不对
[27:19] 整体来说一定是划算的
[27:21] 他说配置的方法很多
[27:23] 也没有标准答案
[27:24] 他现在是市值型ETF
[27:25] 高股息ETF
[27:26] 债券型ETF
[27:27] 主动型ETF
[27:29] 都各占10个百分点
[27:31] 然后还有买台积电
[27:33] 当做他的核心
[27:34] 也不错
[27:35] 就像他跟我们讲说买保险
[27:37] 因为他的债券跟高股息
[27:38] 肯定是这波跑不赢台积电
[27:40] 或者是主动行
[27:41] 可他觉得没有关系
[27:43] 对不对
[27:43] 因为他的心情是稳定
[27:44] 就像赵华常常跟大家讲
[27:46] 我有一块债券
[27:47] 那今天我做的事情
[27:48] 就是稍微减码一些
[27:49] 一道积极的东西
[27:51] 因为我觉得我可以承担
[27:52] 可是原本还是有一块
[27:53] 我是没有把它全卖掉的
[27:55] 因为就像这位朋友讲的一样
[27:56] 你放在那边稳定领袭
[27:58] 它就是一个买保险的概念
[28:00] 他说未来的计划
[28:03] 是慢慢在增加ETF的占比
[28:04] 降低自己选股操作的比重
[28:07] 毕竟现在专业经营人的选股能力
[28:09] 一定比我好
[28:09] 以上心得有帮助的话
[28:11] 跟大家分享
[28:12] 大家有没有注意到
[28:13] 现在的ETF很厉害的一点
[28:15] 从基金跨到ETF
[28:17] 我想这个凯哥看得最清楚
[28:18] 基金以前100亿
[28:19] 就是非常大规模了
[28:21] 现在ETF都是往千亿规模冲
[28:23] 那刚开始我也觉得
[28:24] 有点犹豫是说
[28:25] 一千亿的基金
[28:26] 会不会在转身上面
[28:28] 会有点迟钝拉迟缓
[28:29] 后来发现他们厉害了
[28:31] 他们变成了一只
[28:32] 可以控制台湾股市的手
[28:35] 现在这些主动式的ETF加起来
[28:38] 可能一千多
[28:39] 可能两千
[28:40] 对不对
[28:41] 慢慢的他们快要变成一个
[28:42] 外资一样的平衡的状态
[28:45] 而且也许在规定上
[28:47] 不像以前
[28:47] 买什么都要做报告
[28:49] 我看他们就是很快的
[28:50] 今天买明天卖都有
[28:51] 这个弹性上
[28:53] 比以前基金我看是灵活非常多
[28:55] 所以从担心他是不是不能转身
[28:57] 变成他到底现在在买什么
[29:00] 因为他随时可以换
[29:01] 随时可以买
[29:02] 他们变成一股台股的新势力
[29:05] 而他们的业绩越好
[29:06] 投资人就会把钱给他们
[29:07] 他们规模越来越大
[29:08] 现在变成一个很奇特的正循环
[29:12] 其实这比较像国外的市场
[29:14] 其实国外的资本市场
[29:16] 大概是法人的资金
[29:17] 是占比较高水位的
[29:18] 台湾是比较前底
[29:20] 就是散户的市场太大了
[29:21] 所以现在就是慢慢
[29:23] 有点在调整过来
[29:24] 就是说慢慢的
[29:25] 法人的资金不会拉大
[29:26] 散户的部位慢慢降低
[29:28] 那这样我觉得有好处
[29:29] 就是不会有疯狂去乱追的现象
[29:32] 但是因为行情过热
[29:33] 其实很多的隔日冲的主力
[29:35] 也是每天都很high
[29:37] 每天都在那边乱冲
[29:38] 所以但是你要知道说
[29:39] 所以我们刚才讲
[29:40] 今天涨停的标的
[29:41] 到底是不是你所想要的
[29:44] 那我们建议你
[29:45] 当它涨停
[29:46] 你要去看一下
[29:46] 今天的法人到底在做什么
[29:48] 如果今天法人是站在加码的方向
[29:50] 我真的觉得你就可以尝试一下
[29:52] 如果今天连续五天
[29:53] 这股票一大涨
[29:54] 法人连买都不买
[29:55] 那就告诉你说
[29:56] 其实他也没有你想的那么好
[29:58] 因为我们刚刚讲了
[29:59] 法人的消息
[30:00] 毕竟还是比一般散户
[30:01] 来的灵通的很多
[30:02] 对
[30:03] 如果他都闻不到
[30:04] 这个风向球
[30:05] 那我觉得
[30:05] 你就鼻塞好了
[30:07] 你不要去闻
[30:07] 对
[30:08] 真的
[30:08] 你就鼻塞好了
[30:10] 是
[30:11] 那因为我们看到的
[30:14] 热门族群
[30:15] 都还是差不多的
[30:16] 今天刚刚有讲
[30:17] 多了一个
[30:18] 就是IT设计的部分
[30:19] IT设计的部分
[30:20] 我想只要发哥
[30:21] 和这个IP股续强的话
[30:23] 确实有机会
[30:24] 把大家继续带动上去
[30:25] 因为有很多
[30:26] 不管是CPU相关的
[30:28] 或者MCU相关
[30:28] 或者消费性电子相关
[30:29] 都闷蛮久的
[30:31] 但大家可能还是要留意
[30:33] 接下来公布营收的时候
[30:34] 他们有没有一个
[30:35] 比较明显的成长
[30:36] 我想这个还是
[30:37] 一个蛮重要的事情
[30:38] 为什么
[30:38] 因为我们常常讲
[30:39] 这一波台股
[30:40] 为什么赵华一直讲
[30:41] 是多头回党而已
[30:42] 因为我们缴出来的
[30:43] 上市柜公司的营收
[30:45] 我们的出口数据
[30:46] 我们的外销订单
[30:47] 就是一直在一个
[30:48] 大成长的历史新高
[30:50] 历史新高
[30:52] 所以我才会说
[30:53] 这么强的景气
[30:54] 那凯歌也常常讲
[30:55] 美国的资本支出
[30:56] 就是台湾的订单
[30:58] 这件事情到目前为止
[30:59] 都没有改变
[31:00] 这才是支撑我们的底气
[31:02] 所以在这样的前景下
[31:04] 最好还是买
[31:05] 他们有营收的
[31:06] 因为我们本来就有基本面
[31:08] 你何必去硬要买
[31:09] 那些没有基本面的呢
[31:11] 我觉得这个是最重要的
[31:12] 那看好的热门族群
[31:13] 都没有改变
[31:13] 就像今天CPU虽然回档
[31:15] 可是它的势头
[31:16] 看起来就是没有散掉
[31:17] 就看你敢不敢买这个族群
[31:20] 那如果不敢
[31:21] 我觉得大家也可以去把
[31:22] 很多主动式ETF的持股看一下那有人买了一坨CPU的你就去买它你等于在买CPU好那今天还有一个东西是记忆体大家都知道我跟凯哥在这段时间对于记忆体是比较站在观望的
[31:34] 如果长期有听
[31:35] 股货仔的朋友
[31:36] 可能就会知道
[31:37] 我们在记忆体
[31:38] 见高回荡的时候
[31:40] 我们真的都是
[31:40] 站在比较保守的立场
[31:41] 可是今天他们
[31:42] 有比较大的消息
[31:43] 就是三星有宣布
[31:45] 这个DDR4
[31:46] 是真的不要做了之外
[31:47] 还有就是韩股美股的记忆体
[31:49] 当然美光
[31:50] 如果看到你PO
[31:51] 你说美光
[31:52] 在接近高点的附近
[31:54] 他有一点犹豫了
[31:55] 这些是要观察的
[31:57] 但我们毕竟现在落后韩美
[31:59] 说实话蛮远的
[32:00] 但是我在讲
[32:01] 我说美光在高点犹豫
[32:03] 但是我说大量低不可以破
[32:05] 就是看起来他是要往前走
[32:08] 所以我们常常讲说
[32:09] 在势头上
[32:10] 他要努力的往前走
[32:12] 他不能回头的
[32:13] 一样台股其实今天
[32:15] 整个IC
[32:16] 整个记忆体里面
[32:17] 其实最强的其实是旺宏
[32:19] 但其实你说旺宏
[32:20] 跟LPDDR4什么关系
[32:22] 沒有關係
[32:22] 但其實最關係密切的是
[32:25] 這個南亞科華邦店
[32:27] 可是他們也只有漲半根漲停半根
[32:29] 所以他們比較感覺像是反彈
[32:31] 不是真正的多頭
[32:32] 因為畢竟現在現貨價
[32:35] 價格就是拉不開來
[32:36] 雖然他說他的LPDR4要停產了
[32:40] 可是你沒有感覺到
[32:41] 其實我覺得現在在傳的很多消息
[32:43] 其實都是你已經知道了
[32:44] 例如說就是很缺
[32:46] 所以消費品就是被迫要減產
[32:48] 或是要漲價
[32:49] 其實這個我們應該在
[32:51] 不是现在
[32:52] 现在是应该是去年底
[32:53] 我们就在讲了
[32:53] 他就在反映这个东西
[32:55] 其实现在就在反映了
[32:56] 所以你就要看就是
[32:57] 股价到底是领先反映呢
[32:59] 还是落后反映
[33:00] 现在看起来是有点在落后反映了
[33:02] 所以我们
[33:03] 我记得一次我来节目
[33:04] 我讲说其实现在
[33:05] 记忆体其实在修正本益比
[33:07] 就是他们本益比已经拉起来
[33:09] 可是你就在修正本益比
[33:10] 现在是那些新贵公司
[33:12] 他们在调整本益比
[33:14] 他们本益比已经有点非常可怕
[33:17] 新贵公司
[33:18] 因为其实你根本就没有确切的数字
[33:20] 而且都是谣言
[33:21] 就是你传他什么
[33:23] 接单什么什么
[33:24] 根本就没有
[33:25] 根本就没有
[33:26] 我们也不太想讲什么
[33:29] 但是新贵的股票
[33:30] 有一些我以前听到
[33:33] 因为我这个频道有点大
[33:35] 我就不点名了
[33:36] 但是营收
[33:37] 月营收
[33:38] 就是电子公司
[33:40] 还不是生技公司
[33:41] 有的生技公司
[33:41] 也没有月营收
[33:42] 可以理解
[33:43] 他可能就在等一个
[33:44] 新药的借吗
[33:45] 等一个东西的认证
[33:46] 有些电子公司的营收
[33:48] 就是可能几千万
[33:50] 几千万都算多
[33:51] 可能一整年下来几千万的都有
[33:54] 然后可能单月就几千万
[33:56] 没有赚钱
[33:57] 或是赚一点点钱
[33:58] 也可以涨到就是四五倍以上
[34:01] 就从我发现它
[34:02] 这样我真的不行
[34:04] 你在讲是不是今天也涨停板的一家公司
[34:06] 幸亏没有涨跌幅限制
[34:08] 你讲谁
[34:09] 我虽然有很知情的人士说
[34:14] 未来有多好多好
[34:15] 未来如果怎么样的话
[34:16] 这个EPS几十块
[34:18] 上百块
[34:19] 说实话这个EPS
[34:20] 搞不好还没有
[34:21] 现在的机体公司来的温度
[34:23] 现在机体公司倒霉的是
[34:24] 他们的筹码
[34:25] 跟刚刚凯哥讲的
[34:26] 可能未来的story
[34:27] 大家有点知道了
[34:29] 市场很残忍
[34:30] 就不一定愿意
[34:31] 把风聚集过来
[34:32] 当然今天的反弹
[34:33] 我觉得是一个好的讯息
[34:34] 是现货价拉不开
[34:36] 合约价还在涨
[34:37] 所以有一些模组公司
[34:39] 也有反映说
[34:40] 事实上确实
[34:41] 到2026年的年底
[34:43] 都可以确定
[34:43] 虽然库存
[34:44] 他们可能买进来的
[34:45] 新的价钱是贵的
[34:46] 可是因为合约价涨
[34:47] 所以未来的一季
[34:49] 还是会优于下一季
[34:50] 就每一季的获利
[34:51] 还是往上跑
[34:52] 就看筹码
[34:53] 愿不愿意回来
[34:55] 集中在他们身上
[34:56] 其实就是欠一个筹码东风
[34:58] 那如果还没有的话
[34:59] 可能就会像凯哥讲的
[35:01] 反弹
[35:01] 没有办法立刻缩藏停
[35:03] 可能都是比较
[35:04] 目前看来
[35:04] 是比较弱势的状态
[35:06] 对
[35:06] 因为像机体的公司
[35:08] 很多其他的散户的数量
[35:10] 都还在增加
[35:11] 所以这个就变成是筹码
[35:12] 没有适度的洗干净
[35:15] 对
[35:15] 所以我想说
[35:16] 你看像CPU这样
[35:17] 它的资金跑到IP
[35:18] 那些CPU他可能就降溫
[35:20] 他降溫完之後可能又回來又是一檔好的股票
[35:23] 其實我覺得啦
[35:24] 其實20分盤其實是最容易洗籌碼的
[35:27] 就是很多人會在20分盤最後就受不了了
[35:29] 因為你就覺得說我還是賣一賣好了
[35:32] 一開始你可能前幾天都覺得忍得住
[35:34] 可是忍一忍可能會
[35:36] 怎麼就下去你就覺得
[35:37] 還有更強的股票
[35:38] 你就去換到更強的股票
[35:40] 所以我們在看CPU的族群
[35:42] 其實他有一點點也是在擴散
[35:44] 就是你像什麼飯泉這種
[35:47] 这种你看
[35:48] 它有一点点的CPU而已
[35:50] 其实就已经从两三百涨到八百了
[35:53] 不得了
[35:53] 你看所以这股票真的是CPU的元年
[35:57] 你只要有做到CPU的
[35:59] 基本上都会涨
[35:59] 那当然今天的话
[36:02] 有很多人在问低轨卫星
[36:04] 因为刚好这一波低轨卫星
[36:07] 就相较之下略无发动
[36:09] 尤其是它的指标股华通
[36:10] 有很多人说华通这样一直下来
[36:13] 就算赚钱的都觉得获利被侵蚀了
[36:15] 想卖掉
[36:16] 好 这边的话请凯克帮我们分享一下
[36:18] 你对低轨卫星的想法
[36:19] 我觉得基本上他们的基本面
[36:22] 没有什么太大的变化
[36:23] 就好像我上次跟赵老师讲
[36:25] 我说如果石英元建是真的这么好
[36:27] 其实在上一波的低轨卫星
[36:29] 他们就应该大涨了
[36:30] 为什么没有
[36:31] 所以其实他们不是真的在涨低轨卫星
[36:33] 也一样是筹码问题
[36:34] 对 其实他们其实是
[36:36] 我认为他们还有做别的东西
[36:38] 只是可能比较偏地面端的
[36:41] 对 比较偏地面端的
[36:42] 那你现在就是说
[36:43] 他们回来降温之后
[36:45] 其实也未必不是一个
[36:46] 好的在进场的位置
[36:47] 只是我刚刚讲
[36:48] 你还是要看一下
[36:49] 它的月均加线
[36:50] 有没有翻下来
[36:53] 如果是翻下来
[36:54] 那就要整理比较久
[36:55] 如果没有翻下来
[36:56] 基本上那就是找一个
[36:57] 好的买点重新的进场
[36:59] 那当然大家也观察一下
[37:01] 晚上美股
[37:02] 因为这一波
[37:03] 我们可以这么样的续强
[37:05] 跟美股后来反攻
[37:06] 有很大很大的关系
[37:08] 之前一直跟大家提醒说
[37:09] 台美股的乖离太大了
[37:11] 对不对
[37:11] 美股都破年线了
[37:13] 然后我们还在继线
[37:14] 对不对差很多
[37:15] 后来美股一通通上来了
[37:17] 通通上来了
[37:18] 可是刚刚有讲到一个观念
[37:19] 大家还是要记得
[37:20] 同样创新高
[37:21] 但是位阶是长不一样的
[37:23] 把线形打开来看就知道了
[37:25] 我们创新高
[37:26] 创新高又创新高
[37:27] 又创新高的上去
[37:28] 人家是下去了上来创新高
[37:30] 就跟刚刚举例台达电
[37:31] 跟联发科的那个形态
[37:33] 是长一样
[37:34] 所以美股现在位阶上
[37:35] 虽然是创新高
[37:36] 可是事实上还是比台股低
[37:38] 我们再观察一下
[37:39] 如果因为接下来有一些事情
[37:41] 台移电4月22号
[37:42] 有所谓的技术论坛
[37:43] Google也有技术论坛
[37:45] 也是4月22号
[37:47] 非常之巧
[37:48] 这些事情都有可能在AI
[37:50] 或者是说像刚刚讲到
[37:51] 细光子
[37:52] Cowles
[37:52] 任何任何跟AI
[37:54] 环绕在这个上面的题材
[37:57] 都可能在那个时候
[37:58] 还会有些新的东西跑出来
[37:59] 如果美股能够续强
[38:01] 我认为台股续强的动能
[38:03] 就会相当的强
[38:04] 对
[38:05] 那这边的话
[38:06] 刚有特别提到
[38:07] 我目前
[38:08] 因为黑天鹅是我们预测不到的
[38:10] 但是只能说
[38:11] 最大的那一只
[38:12] 飞出来的
[38:13] 每一站
[38:13] 现在市场没有人要管它
[38:15] 没有人要管它
[38:16] 就等下一个
[38:17] 那在等下一个的过程中
[38:19] 就很可能小股乱涨
[38:20] 那大家如果个股掌握不到
[38:23] 那造华今天做的事情
[38:25] 就是把一些
[38:26] 比较不会动的资产
[38:27] 转到我觉得
[38:29] 可以帮我赚钱的资产
[38:30] 但又不是很冒险
[38:31] 不是去重压
[38:32] 就今天才突然喷出来的
[38:34] 这些低价一期设计什么的
[38:36] 不是重压在上面
[38:37] 我觉得这个是我的做法
[38:39] 给大家做一些参考
[38:40] 那没有投薪的钱
[38:41] 就是因为创高后压回也是很正常
[38:44] 那有压回
[38:45] 我再把新的钱投进去
[38:46] 我觉得这样会比较有效率
[38:48] 好
[38:48] 这边的话
[38:49] 这是个人今天小小有做一些动作
[38:51] 那也希望各位股货仔们
[38:53] 不一定要参考
[38:54] 不一定要学
[38:55] 可是一定要记得一件事
[38:56] 如果这段时间你是觉得很难过
[38:59] 而你的股票都没有跟上什么的
[39:01] 那你一定要思考
[39:02] 到底为什么在配置上
[39:04] 会出现这样的问题
[39:06] 不用先急着羡慕别人或懊恼
[39:08] 去调整就对了
[39:09] 调整就对了
[39:11] 因为大家一定也有做对的事情
[39:13] 往对的方向移动就好了
[39:15] 是
[39:15] 再就是要认真听我们
[39:17] 我记得我上次有来讲过
[39:19] 我说其实当市场那时候
[39:21] 正在这个美伊战争的时候
[39:23] 我说AMD已经默默地往上走了
[39:25] 我那时候特别讲
[39:26] 它的月线已经勾起来了
[39:28] 果然在这一段时间
[39:29] 它就是领先所有的这些
[39:31] AI的这些公司领先往上
[39:34] 那NVIDIA是最近也开始往上
[39:36] 所以已经从本来
[39:38] 这个小虎先长到现在是
[39:40] 大虎小虎一起长的格局
[39:42] 所以你看见我们老AI
[39:43] 其实也跟着动起来
[39:45] 所以告诉你说
[39:45] 其实
[39:46] 资讯总是在观察里面
[39:50] 你就是多观察
[39:51] 你就可以找到标的
[39:53] 其实也没有那么的难
[39:54] 对
[39:55] 好
[39:55] 最后就小小再分享
[39:56] 一个小总结
[39:58] 好不好
[39:58] 有一个朋友
[39:59] 也是传私讯给我
[40:00] 他说呢
[40:01] 他是古惑仔的忠实听众
[40:03] 下班时间就固定收听的
[40:04] 他说很感谢日更
[40:06] 而且不同的达人解盘
[40:08] 所以可以专心上班
[40:10] 那不用盯盘下班的时候听一下
[40:11] 就知道最近的主流题材
[40:13] 跟今天的盘式了
[40:14] 我想这个我们确实做的
[40:16] 应该是还不错了
[40:17] 好几年以来都是定期定额
[40:19] 买00500830
[40:20] 那偶尔选股
[40:21] 主动的
[40:22] 但是都小赚小赔
[40:23] 好去年开始决定怎么样呢
[40:25] 从台湾50里面
[40:26] 自己选10档
[40:28] 不同产业的个股
[40:29] 两三个月
[40:30] 他自己做ETF
[40:32] 两三个月去调整一次
[40:33] 除了了解股性之外
[40:36] 也避免自己有所谓的卖飞情绪
[40:38] 常常买卖它呢
[40:40] 其实对损益慢慢的
[40:41] 你就会无感
[40:42] 然后会理性的操作
[40:44] 卖到转弱的
[40:45] 把资金放在转强的股票上
[40:47] 长期是有赚钱的就好哦
[40:50] 然后非常认同您说过的
[40:51] 认知到哪就赚到哪
[40:52] 也希望透过节目分享我的做法
[40:54] 给其他人参考
[40:55] 因为他一定觉得
[40:56] 我都上班没看盘了
[40:57] 光是这样做
[40:58] 我就长期赚钱了
[40:59] 大家真的不要想得太复杂
[41:01] 也不要老是懊恼
[41:03] 有没有卖飞
[41:04] 这样做长期赚钱
[41:05] 就是一个最幸福的事情了
[41:07] 我们在讲说
[41:08] 如果你把0050挑10档出来
[41:09] 那你就要观察
[41:10] 这10档是不是他的月均价线
[41:12] 都是持续向上
[41:13] 其实这是很重要的
[41:15] 很重要的一个技巧
[41:16] 其实你只要掌握这个技巧
[41:18] 基本上你一定是大赚小赔
[41:19] 真的
[41:20] 只要常常听我们古货仔
[41:21] 你就可以把资讯掌握在手上
[41:24] 结论都是导到这个
[41:26] 好 非常谢谢凯哥
[41:27] 真的
[41:28] 这很重要
[41:29] 要记住
[41:29] 你的个股不要月均价线是往下的
[41:31] 你的月均价往下
[41:33] 再怎么听我们节目
[41:34] 你的钱都赚不来
[41:35] 真的很辛苦
[41:36] 我们常常分享一些简单的心法
[41:39] 不会很难
[41:41] 没有很花俏
[41:42] 也许我们也不会是市场上赚最多的那一个
[41:44] 但是都希望大家是市场上可以赚最长
[41:47] 赚最久的那一位
[41:48] 那我们今天国会到这边了
[41:50] 大家拜拜
[41:50] 拜拜
