[00:00] 欢迎收听赵华依古惑仔第10101集
[22:32] 其实所谓的AI眼镜
[22:33] 最早是Google眼镜
[22:34] Google Glass
[22:35] 但是那时候红不起来
[22:37] 就是又比较重啊
[22:39] 然后又很贵啊
[22:40] 可是现在在推出的
[22:42] 这个AI眼镜
[22:43] 是不是就能普及化
[22:44] 我觉得那个是一个可以观察
[22:45] 我们回到
[22:46] 严生刚刚讲的
[22:48] 成熟制成的涨价
[22:49] 是有机会的
[22:50] 好
[22:50] 今天其实要升奖的是国巨
[22:52] 因为呢
[22:53] 国巨最近外资的报告
[22:55] 是给到650
[22:56] 那我会觉得他很冤枉
[22:58] 因为呢
[22:59] 我们刚刚讲了嘛
[23:00] 今天发哥1000多块
[23:01] 就可以喊到五千
[23:02] 大立光两千多块
[23:04] 可以喊到快四千
[23:05] 然后像宏靖
[23:06] 好像五千块就喊一万
[23:08] 大家的听到外资会兴奋的
[23:11] 都是这一种很离谱的
[23:12] 可是国剧涨到五百多
[23:14] 然后目标价六百五
[23:15] 是最高
[23:16] 为什么
[23:17] 可是它是最近排名上最呛的
[23:20] 这个就讲到
[23:22] 我很爱讲就是
[23:23] 目标价这件事情
[23:25] 它其实是一个艺术
[23:27] 它是一门艺术
[23:29] 为什么就不能给国剧一千呢
[23:31] 大家不就是很开心了吗
[23:33] 对就是
[23:33] 为什么不行
[23:34] 大家可能会以为
[23:35] 目标价是科学跟算术
[23:37] 不是吗
[23:38] 它是艺术
[23:39] 为什么要强调
[23:41] 因为所谓的艺术就是
[23:42] 你要看创作者
[23:45] 这个画这个艺术的作者
[23:48] 他是怎么想的
[23:49] 其实你要怎么给
[23:50] 都有机会给
[23:52] 对吧
[23:52] 例如说你喊五千的
[23:54] 你是怎么算出来的
[23:55] 或者是最近
[23:56] 我们刚刚讲到联电
[23:57] 他目标价给138
[23:59] 他怎么算出来的
[24:00] 其实任何的目标价
[24:02] 都有方式可以算出来
[24:03] 那为什么国巨不喊个1000
[24:06] 对啊
[24:07] 或是多喊个大一点的
[24:08] 而且我记得国巨涨到快500的时候
[24:11] 有很多都是到价的报告
[24:13] 就才推出来没多久
[24:15] 没想到国巨会比较急的涨
[24:17] 就通通到价
[24:18] 应该说
[24:19] 650拿出来讲
[24:20] 只是因为他还没到价
[24:21] 但是也很近
[24:22] 很多人在出
[24:23] 但了不起就是在那一个区间
[24:26] 对很多人在出
[24:27] 你说对了
[24:28] 就是他有法说又有论坛嘛
[24:30] 就出的都没有什么
[24:31] 跟他现价没有太大的差别
[24:34] 我有一个好答案
[24:35] 时机还没到
[24:37] 什么时机还没到
[24:38] 你说调高的时机
[24:39] 就是OK
[24:40] 我觉得
[24:40] 含很夸张的数字的时候
[24:42] 他通常必须就是
[24:44] 如日中天的时候
[24:46] 我觉得现在他还是偏
[24:47] 刚开始
[24:49] 大家还不敢含这么高
[24:51] 就例如说
[24:52] 基本上你要
[24:54] 大家会以为目标价
[24:56] 算是用数学
[24:57] 是因为我们会知道嘛
[24:58] 你要算预估今年
[25:00] 对啊
[25:01] 获利2027 2028
[25:03] 大概多少
[25:04] 你去给出一个倍数嘛
[25:05] 对
[25:05] 那650我看它是用
[25:07] 2027年的25倍
[25:09] 其实没有很夸张对吧
[25:11] 因为被动元件
[25:12] 一直拿到的本益比都不高
[25:14] 对
[25:14] 然后所以你已经算到
[25:15] 2027年的感觉
[25:16] 也是已经仁至义尽
[25:18] 对
[25:18] 然后这种时候大家
[25:19] 第一个会先做
[25:21] 他一定会先去看
[25:21] 2018年的那时候顶点
[25:24] 是怎么给的
[25:25] 所以现在一定就是抓那个差不多
[25:27] 但如果呢
[25:29] 大家预估了这个数字
[25:30] 开始往上喷的时候
[25:32] 你就可以去
[25:33] 把这个艺术
[25:34] 就是大大的调整一下
[25:38] 因为我觉得还有另一个点
[25:40] 就是你刚刚
[25:41] 赵刚刚提到的
[25:41] 联发科
[25:42] 对
[25:43] 宏镜
[25:43] 这些都是你要往国际的这个成交金额的排行去看他們都是對最大的對Google或者是宏敬是跟那個
[25:54] 日股也是成交金額前幾名的一家
[25:58] 是一樣
[25:59] 你對這種大的
[26:00] 來對比的
[26:01] 來對比的
[26:01] 他的想象觀就很大
[26:03] 但是
[26:04] 國際可以啊
[26:05] 跟春田製造所
[26:06] 對可是春田製造所在日本的
[26:08] 日股的成交金額
[26:09] 好的時候了不起
[26:11] 跑到前20而已
[26:12] 但宏敬刚的另一家的
[26:14] 日本的同一家
[26:15] 它是前五名的存在
[26:16] 你这样讲很有道理
[26:18] 因为联发科是IC设计
[26:21] 这是一个很夯的
[26:22] 没错
[26:23] 很夯的题材
[26:24] 不管它本人有没有成长
[26:25] 可是在世界上IC设计
[26:27] 就是非常非常重要的存在
[26:29] 所以你如果
[26:29] 大厂多
[26:30] 如果你回去看记忆体的初期
[26:32] 它也不敢这样给目标价
[26:34] 但是后面就
[26:35] 进入AI超级循环
[26:38] 已经不是原本的记忆体了
[26:40] 对吧
[26:40] 而且有美光啊
[26:42] 有Fendisca啊
[26:43] 对啊
[26:43] 然后India还有Seagate
[26:44] 然后还有那个什么
[26:45] 那个海力士三星
[26:46] 就是他在国际上面的大厂
[26:48] 真的蛮多的
[26:49] 对
[26:49] 刚还有那个日股还有凯霞
[26:50] 跟鬼一般的存在
[26:52] 日股凯霞一天的成交金额是
[26:55] 五六千亿
[26:56] 是
[26:57] 然后第二名可能是一千亿吧
[26:59] 是
[27:00] 所以其实国剧在全世界
[27:03] 也排得上前三哦
[27:04] 但我这边也斗胆的问一下
[27:07] 你觉得外资对国剧啊
[27:08] 他们有一点点怕
[27:09] 因为呢
[27:11] 我之前啊
[27:11] 在国际掌上之前
[27:12] 我有跟我的听众分享
[27:14] 我以前觉得最牛的是日月光
[27:16] 对不对
[27:16] 后来日月光上来
[27:17] 可是我觉得日月光
[27:17] 没有什么好讲的
[27:18] 它就是全世界最大的风策场
[27:20] 我可能对它有点意见
[27:21] 是因为它久久以前
[27:22] 我在高雄排放沸水的事件
[27:24] 弄得蛮大的
[27:25] 我们在上课的时候
[27:26] 有一次老师在讲日月光
[27:27] 现在都是这个符合ESG啊
[27:30] 什么的
[27:30] 然后我就说
[27:31] 老师可是我对它那个
[27:32] 排放沸水的事情
[27:34] 就印象很深
[27:35] 然后老师就跟我开导说
[27:36] 他说
[27:37] 你看得出来是个正义感很强的人
[27:39] 但是呢
[27:39] 但后来就是因为这样才改善
[27:41] 那改善的话
[27:42] 也算是一个不错的进步
[27:44] 总不希望永远是那个样子
[27:46] 题外话
[27:47] 回到国巨身上
[27:49] 那后来我就说
[27:51] 国巨我自己比较不敢
[27:52] 是因为会忽然合并了很多公司
[27:55] 去买支付
[27:57] 在之前更多
[27:58] 然后买一买之后
[27:59] 又会把那公司吐出来
[28:00] 把它独立出去好了
[28:02] 诟病了然后又吐出去
[28:03] 所以它的股本就忽大忽小
[28:05] 忽大忽小
[28:05] 营收就会忽
[28:06] 营收进来
[28:08] 你配合股本
[28:08] 你截到的EPS就会很不稳定
[28:11] 你会有点看不出来
[28:12] 然后像这次是一拆四
[28:14] 那你会像我们在对应
[28:16] 他去年营收的时候
[28:17] 你就要很注意这件事情
[28:18] 就是你的税后盈余
[28:19] 现在股本是一拆四的
[28:21] 不是之前原来的
[28:22] 我知道
[28:23] 所以我会觉得在这样的前提下
[28:25] 大家去算国际的model的时候
[28:26] 就会有点搞不清楚
[28:28] 搞不好你明年你又诟病谁
[28:29] 搞不好后年你又拆了谁
[28:31] 我觉得会有这个问题
[28:32] 因为他的财务操作太强了
[28:34] 强到我们看不太懂
[28:37] 我必须讲
[28:38] 我对他就有这样的一个问号
[28:40] 可是后来因为整体
[28:41] 被动元件都起来
[28:42] 我觉得被动元件
[28:43] 他就是需要有龙头骨的带领
[28:45] 所以还是必须肯定他
[28:46] 应该我觉得
[28:48] 我们都知道
[28:49] 台湾的通常产业上来看
[28:52] 台湾都不是起点
[28:53] 源头永远都是国际的大厂
[28:55] 大部分都是
[28:56] 台湾就跟上
[28:57] 为什么大家会说
[28:58] 被动元件是复制记忆体
[29:00] 因为其实我们讲到国际
[29:02] 你看外资报告有写
[29:03] 国际这个好
[29:06] 因为受惠MLCC
[29:07] 什么AI的那个排挤啊
[29:09] 涨价啊
[29:10] 这些都是差不多的
[29:11] 可是有个很大的重点
[29:12] 他说
[29:12] 如果这个状况持续好下去的话
[29:15] 国具或许
[29:16] 或许也会做进AI的MLCC
[29:19] 所以他目前还没有嘛
[29:21] 是
[29:22] 对吧
[29:22] 所以他就是跟记忆体状况是一样的
[29:24] 但是我们就要看
[29:25] 现在外资在过的数字
[29:27] 是不是已经把这个或许都算进去了
[29:29] 那我觉得如果现在的数字提不上去
[29:33] 是
[29:33] 就代表他应该是把这个也算进去的发现
[29:36] 怎么好像就差不多在这边了
[29:39] 好
[29:39] 不过我觉得这个也是成也公司
[29:41] 败也公司
[29:42] 因为你说外资是不是在联发科开法说前
[29:45] 就直接调5千
[29:45] 没有
[29:46] 是因为法说会上面高层明白的表示
[29:49] ASIC的营收会翻倍
[29:51] 在今年就会看到了
[29:53] 好
[29:53] 那如果国具某一天
[29:55] 可能跟外资也释放类似的讯息
[29:57] 我们打入了AI哪一个供应链
[29:59] 或是我们哪一个AI相关的产品
[30:01] 确定会涨很多价
[30:02] 或者是会出很多量
[30:03] 我觉得那个时候就会有
[30:05] 完全不一样的风格跑出来
[30:07] 没错所以我说
[30:07] 时机还未到而已
[30:09] 毕竟目标家这个艺术就是
[30:11] 好在锦上添花就好了
[30:14] 是
[30:14] 但是其他的小型的真的猛
[30:16] 我想你从所谓的金流图来看的话
[30:19] 所谓的成交值排行
[30:21] 因为这几天应该很多
[30:22] 在上面的都是被动元件吧
[30:24] 其实被动元件的股票超多的
[30:26] 就是应该不比记忆体少
[30:29] 对
[30:29] 就你一列下来
[30:30] 哇二十几档
[30:31] 所以对我觉得一般投资人来说
[30:33] 很难去选
[30:34] 你会说国际可能长很多了
[30:36] 又很大
[30:36] 那大家会知道
[30:37] 就是国际滑行科
[30:38] 后面就是
[30:39] 都是被动元件
[30:41] 你也搞不清是电容
[30:42] 还是电阻
[30:43] 还是MCC还是什么
[30:44] 没错
[30:44] 所以我会推荐大家
[30:46] 有一个比较简单的方式
[30:47] 因为我们小朋友学投资
[30:48] 比较喜欢做的都是
[30:49] 跟大家说
[30:50] 干什么在那边打广告
[30:51] 没关系来打
[30:52] 习惯说法
[30:54] 我们都做得到的事情
[30:56] 那如果我们挑不出被动元件
[30:59] 我觉得有两个方式
[31:00] 我喜欢第一个方式
[31:02] 我会优先去选
[31:04] 成绩排行高的
[31:05] 所以很早
[31:06] 资金的流向在这里
[31:08] 所以例如说四月初
[31:08] 你最优先选的就是国巨码
[31:10] 好
[31:10] 这边布鲁口中的成值
[31:12] 就是成交金额
[31:13] 因为他习惯简称成值
[31:15] 我怕我怕可以听众
[31:16] 比较不熟悉
[31:17] 成交金额就是
[31:18] 每天成交的金额
[31:20] 所以不是成交量
[31:21] 是成交的总金额
[31:23] 因为成交量
[31:24] 就是跑出一堆低价股
[31:25] 对啊
[31:25] 但是成交金额
[31:26] 例如说台股平均第一名的
[31:28] 每天成交金额
[31:29] 大约是落在500到700亿
[31:31] 是
[31:32] 就是有一买一卖成交700亿
[31:34] 所以这是最多钱拒绝的地方
[31:36] 然后往下排下去
[31:38] 可能一天成交100亿的
[31:39] 可能会排到第十几名吧
[31:41] 最近的话
[31:42] 国际基本上都排第一名
[31:43] 比台积电的成交金还高
[31:46] 好 这是第一个方式
[31:47] 因为我比较懒
[31:48] 我喜欢选简单的方式
[31:49] 第二个方式就是
[31:51] 这么多被动元件
[31:52] 我要怎么知道谁是真的好
[31:54] 而且谁有机会涨更多
[31:57] 我就会去看营收的状况
[31:59] 我们都知道
[32:00] 其实可能要够有年纪才知道
[32:03] 2018年
[32:04] 我不敢相信
[32:04] 就是被动元件那时候
[32:06] 是涨到一个历史高峰
[32:08] 上一个循环的高点
[32:09] 上一个循环的高点
[32:10] 没错
[32:10] 也好久了
[32:11] 8年了
[32:12] 完了
[32:12] 我已经不小心可以讲出
[32:13] 这种8年前的话
[32:14] 你在外资10年不废话
[32:15] 对
[32:16] 当然可以讲得出来
[32:17] 所以2018年很好
[32:19] 对吧
[32:19] 但是你要看
[32:20] 现在有很多的被动元件公司
[32:22] 它已经营收
[32:23] 开始创历史新高
[32:24] 没错
[32:24] 就赢过那时候了
[32:26] 对
[32:26] 所以比2018还要好
[32:28] 没错
[32:28] 那现在已经创历史新高的
[32:30] 我觉得他们就更优先值得被相信
[32:32] 是是是
[32:33] 他之后会更好
[32:34] 没有错
[32:34] 因为在初期
[32:35] 他就已经先创新高了
[32:37] 是
[32:37] 那你掏出来看
[32:38] 其实这些公司不少
[32:39] 例如说国巨
[32:40] 昨天开法说的日电茂
[32:43] 丽龙店
[32:44] 然后玉帮
[32:45] 其实你大概挑出来不到十档
[32:48] 还有我可能之前有分享
[32:50] 就是跟台达店合作
[32:51] 比较密切的台庆科和信昌店
[32:53] 对对对
[32:54] 就是营收已经创新高了
[32:56] 我觉得这些
[32:57] 其实是最容易注意到
[32:59] 它也会吸引到更多的资金
[33:02] 注意到它
[33:02] 好
[33:03] 因为被动元件这一波
[33:05] 真的是有跟大家提醒说
[33:07] 虽然在AI的红利
[33:08] 它不是吃到最多
[33:09] 也不是第一波的
[33:11] 可是台股就是因为
[33:12] 要有一个交棒的动作
[33:13] 所以现在交棒到被动元件
[33:15] 我也必须讲
[33:16] 有一些已经涨得超出
[33:17] 超出我觉得理解
[33:19] 例如和声堂
[33:20] 对
[33:20] 不是不好
[33:21] 它也是营收创新高的一元
[33:23] 然后像最近这个日电冒开法
[33:26] 说前就已经涨两根
[33:27] 今天继续涨第三根
[33:28] 真的猛啦
[33:29] 那之前有讲过像金山电
[33:31] 跟这个也是跟电源BBU比较相关的
[33:33] 信商店这个是做比较上游陶瓷粉末等等的
[33:36] 他们各自有他们自己产业的位置
[33:38] 真的不容易分辨
[33:39] 有人是电感
[33:40] 有人电阻
[33:40] 有人电容
[33:41] 还有像最近有一档也慢慢变比较强了
[33:44] 他是做热敏电阻的心情
[33:46] 他真的比较冷门
[33:47] 这也是创新高的
[33:48] 对
[33:48] 他很冷门
[33:50] 可是他的东西在所有的被动元件里面
[33:52] 就相对比较特别哦
[33:53] 然后也会是在电力是AI的很重要的一环里面
[33:57] 热门店主其实蛮重要的
[33:59] 我觉得大家可以去了解一下
[34:01] 怎么在笑什么
[34:02] 没有我只是在想说
[34:03] 因为这些
[34:03] 如果今天你是一个
[34:08] 不知道店主或店友
[34:09] 长怎么样的人
[34:11] 那不如就去看陈教授
[34:12] 跟您说吧
[34:13] 对对对
[34:14] 因为我又进入到产业的部分
[34:16] 因为我以前有跑产业的关系
[34:17] 那就是有一些公司
[34:19] 我是有亲自拜访过
[34:20] 对对对
[34:21] 所以就会觉得
[34:22] 忍不住会分享起来
[34:23] 就是他们可能各自在产业里面
[34:25] 确实有他的位置
[34:26] 可是就像不如讲的
[34:27] 我们哪分得清楚
[34:29] 有没有跟台达电合作
[34:30] 搞不好我也不知道
[34:32] 从成交金额
[34:33] 市场的钱会告诉你
[34:35] 就是他
[34:36] 对 大家都在买他了
[34:38] 对
[34:38] 那刚刚提到说
[34:40] 一般的投资人
[34:41] 如何用你刚刚讲到的
[34:42] 除了看成交金额之外
[34:44] 去捞出来世界上的脉动
[34:46] 你刚刚讲的东西很好
[34:47] 联发科是IC设计
[34:49] 像我觉得大立光
[34:50] 可能也小吃力
[34:51] 因为大立光
[34:52] 如果以光学镜头来看的话
[34:54] 就比较没有办法
[34:55] 对标到更厉害的
[34:56] 我觉得他已经真的是非常厉害
[34:58] 可是如果对标到
[34:59] 他未来要发展CPU
[35:00] 可能他就可以去跟美股的CPU做对标
[35:03] 这也是一个很有趣的
[35:04] 那国巨就是因为他对标的
[35:06] 春田制造所太阳优电
[35:08] 他在全世界的成交
[35:09] 并不是那么的巨大
[35:10] 所以呢
[35:10] 如何让一般的投资人
[35:12] 用现在的AI工具
[35:14] 能捞到这些东西
[35:16] 你是我要讲说
[35:16] 要怎么做这件事情吗
[35:18] 就是有没有比较简单的方法
[35:19] 像我们最近都有在讨论说
[35:21] 现在是不是有很多学
[35:23] 我们都叫学长学姐
[35:24] 做报告都用AI做
[35:26] 现在应该全部都是
[35:27] 全部都是
[35:28] 我觉得那很失去
[35:29] 做功课的乐趣
[35:30] 我看现在的大学生也是
[35:31] 也对
[35:32] 对啊
[35:33] 我可以跟大家
[35:34] 大概分享一下
[35:35] 但我自己有尝试过
[35:36] 我觉得现在的AI
[35:38] 虽然大家看
[35:39] 好像都很容易做
[35:40] 但自己做起来
[35:41] 还是蛮花时间的
[35:42] 所以我是让团队
[35:43] 去帮我做
[35:44] 因为我自己做了一个晚上
[35:45] 我想说奇怪
[35:45] 为什么我做了一个晚上
[35:46] 我的进度只有大概
[35:48] 一到一
[35:50] 所以还是花时间的
[35:51] 对
[35:51] 但基本上呢
[35:52] 我去抓这些事情
[35:53] 我是用Cloud
[35:55] 我跟Cloud比较合得来
[35:57] 我喜欢他就帮我整理一下
[35:59] Cloud也不错
[36:00] Cloud他就会教你
[36:02] 你要怎么用Anthropic
[36:04] 去写
[36:05] 怎么去TradingView上面
[36:07] 抓这些资料
[36:08] 然后每天跟我回报
[36:10] 每天日股收盘回报
[36:12] 今天的日股的成交金额
[36:14] 长怎么样
[36:14] 韩股收盘回报
[36:15] 那正确性高吗
[36:16] 正确性很高
[36:17] 好 正确性很高
[36:18] 这个很重要吗
[36:19] 因为是可以去看的
[36:19] 因为我以前的看法就是
[36:21] 去日本的网站看
[36:22] 然后是日文的
[36:23] 然后去韩文的
[36:24] 就是憨我真的看不懂
[36:26] 所以以前就会
[36:27] 就是变成看一下
[36:29] 偶尔看一下这样子
[36:30] 但现在就可以每天去看
[36:32] 那你就可以发现
[36:33] 从三月以来
[36:35] 唯一贯穿国际的
[36:38] 成交金额排行的族群是
[36:40] 记忆体跟广通
[36:41] 其他成职那些
[36:43] 就不一定在每个国家
[36:45] 因为每一个国家的产业
[36:46] 组成不一样
[36:48] 那题外话我提一个
[36:49] 你知道为什么港股
[36:50] 今年那么弱吗
[36:51] 我没有注意到
[36:52] 今天的港股
[36:52] What happened
[36:53] 因为大家现在都不太注意港股了
[36:55] 因为港股的成职排行
[36:59] 应该说港股的全职股
[37:02] 大多数都跟AI没太大的关系
[37:04] 对啊
[37:05] 因为他们那时候就是地产金融啊
[37:07] 这个地方他们有制造的成分嘛
[37:11] 所以就地产金融啊
[37:12] 如果你摊开港股的成交金额排行
[37:14] 就会什么
[37:15] 腾讯阿里巴巴小米美团
[37:18] 对就是消费型的
[37:21] 所以他们就跟AI无关
[37:22] 所以为什么钱都在
[37:24] 韩股日股台湾
[37:26] 因为都是AI硬体的
[37:27] 不会讲到港股
[37:28] 现在还是有诈骗
[37:30] 是利用买港股的先股
[37:31] 就是那种低价股
[37:32] 真的
[37:33] 你不知道吗
[37:34] 你果然是外国人
[37:35] 没有就是
[37:36] 就是很多人会叫大家去加赖
[37:39] 我最近有一个诈骗超嚣张
[37:41] 我就趁着刚好讲到
[37:42] 现在没人理港股
[37:43] 谁会理港股
[37:44] 诈骗会理港股
[37:45] 就是最近有一个账号很烦
[37:47] 就是会到处去私讯对方说
[37:49] 他是赵华
[37:50] 然后希望大家可以加赖
[37:51] 这个真的是老手法
[37:53] 千万不要
[37:54] 我不会叫任何人
[37:55] 加我的LINE
[37:55] 这应该是超多个造法账号
[37:57] 不是只有这一个
[37:58] 没有
[37:58] 这两天有一个特别勤劳的
[38:00] 因为会有人私讯我说
[38:01] 看到你的诈骗
[38:02] 或者是有点怀疑
[38:03] 说到底是不是你
[38:04] 光是这样的私讯
[38:05] 可能有20个
[38:05] 你同学一定超多
[38:07] 对
[38:08] 很烦的
[38:08] 那个人是很
[38:09] 就是那个诈骗账号
[38:10] 很勤劳去骚扰
[38:11] 我所有的粉丝跟同学
[38:12] 然后重点来了
[38:14] 我绝对
[38:14] 先来空中再度声明一下
[38:16] 绝对不可能
[38:17] 我是一个连
[38:18] 自己认识的人
[38:19] 我都不会发交友邀请的人
[38:21] 更何况是不认识的
[38:23] 以及我不会叫任何人
[38:24] 去来加我的LINE
[38:25] 除非我今天站在你面前
[38:27] 是因为有在社交场合
[38:29] 什么认识才有可能
[38:30] 所以网路上的邀请
[38:31] 请千万不要
[38:32] 然后港股诈骗是一个老手法
[38:34] 但现在还是有人上当
[38:36] 我前两天看到翠
[38:37] 有人上当是因为
[38:38] 可能太多新手加入了都会请你先报几只给你然后你就会先看你不信没关系你先看或者是你就买了赚钱是港股哦赚钱最后就再抱你一只的时候
[38:49] 他就趁着大家一起买
[38:51] 拉上去的时候
[38:51] 他们放空
[38:52] 因为那一只
[38:53] 一定是没有什么体质的嘛
[38:54] 然后等到买盘捷径掉下来的时候
[38:57] 他们就赚那个放空的钱
[38:58] 而去买的人
[38:59] 就被套在里面
[39:00] 血本无归
[39:00] 我真的觉得这个呼吁
[39:02] 有时候
[39:02] 讲再多好像
[39:03] 不行不行
[39:04] 还是要讲一下
[39:05] 所以最近我在推上面
[39:06] 也有看到
[39:07] 我忘了哪一支股票啊
[39:09] 对
[39:09] 都是不贵的股票
[39:10] 然后在搞这个事情
[39:11] 所以这个是老手法了
[39:13] 几年前就有了
[39:13] 希望大家不要再上当了
[39:15] 我觉得你今天不好
[39:17] 不小心
[39:17] 误信加了赖群
[39:19] 替人家爆牌都没关系
[39:20] 可是有一个事情很重要
[39:22] 第一是
[39:23] 不要汇钱到你
[39:24] 不认识的账户去
[39:25] 例如他说他帮你代钞或什么
[39:27] 第二
[39:27] 那个股票
[39:28] 你真的不认识
[39:29] 尤其是港股的
[39:31] 美股的
[39:31] 你就不要买
[39:33] 他如果乱爆台股的
[39:34] 有时候乱枪挡鸟
[39:34] 还会涨
[39:35] 其实只要主动私讯你的
[39:37] 百分之百都有问题
[39:39] 我们没有
[39:40] 而且像我的粉丝专页
[39:42] 是当初跟Google申请蓝勾勾
[39:44] 不是像现在个人粉丝专页
[39:45] 也可以买蓝勾勾
[39:46] 我们那时候是公开的
[39:47] 往粉丝专页去申请蓝勾勾
[39:50] 它是没有私讯别人的功能的
[39:53] 真的吗
[39:53] 真的
[39:54] 它不能私讯别人
[39:55] 我看任何人的页面
[39:57] 我都不能讯息给对方
[39:58] 所以这个事情是
[40:00] 不可能发生在我上面的
[40:02] 有时候我们自己
[40:03] 我打开IG
[40:03] 查询小朋友学投资
[40:05] 然后就出来几十个账号
[40:06] 想说奇怪怎么这么多
[40:08] 对啊很烦
[40:08] 封都封不完
[40:09] 好继续回到
[40:10] 刚刚讲到
[40:10] 现在没有人关心港股
[40:12] 因为港股上面的成分
[40:13] 跟AI观点太低了
[40:14] 但是你看像A股就不一样
[40:16] 因为A股很多
[40:17] 他们的中国制的AI
[40:20] 所以就是
[40:21] 变成说你看最近
[40:22] 只要你的成交金额
[40:24] 上面涨的都是AI相关的东西
[40:27] 资金就是在那边
[40:28] 其实到现在还是
[40:29] 因为这件事情已经
[40:31] 一两年了吧
[40:32] 那就只是一直在不同的阶段轮动
[40:35] 从最一开始组装到后面
[40:37] 现在轮到一直到备用元件了
[40:39] 那接下来要轮去哪里
[40:40] 我觉得只要市场有下一个族群接棒
[40:43] 就像你讲的
[40:44] 有接棒的话
[40:45] 其实市场的状况
[40:46] 我们就不太需要担心什么崩盘
[40:48] 它就变成震荡以后
[40:51] 再看看谁要接棒
[40:52] 好就是我们都会觉得
[40:54] 现在股市很热
[40:55] 可是并不是所有的国家的股市都很热
[40:58] 这一波刚刚讲到港股
[40:59] 其实就冷搜搜
[41:00] 但是台股韩股就相对热
[41:03] 那日股就有部分热
[41:05] 对
[41:05] 然后美股如果当然是
[41:07] 整体的这个美衣局势
[41:09] 没有那么严峻的时候
[41:10] 美股也是热在
[41:11] 所谓的高科技股上面
[41:12] 那明天的话
[41:14] 有挥打的财报即将要公布
[41:16] 那昨天
[41:17] 应该说今天的凌晨
[41:18] 就是Google的这个开发者大会
[41:20] 这些其实都在提醒大家
[41:23] 在AI的路上
[41:24] 这些大厂都还是持续的做投入
[41:26] 昨天我们有邀请一位来宾
[41:28] 就是以前的国泰投信董事长
[41:30] 张希来上节目嘛
[41:32] 我就有跟他
[41:33] 逼问他
[41:34] 他现在东海大学
[41:35] 教财务金融系
[41:36] 多头总司令
[41:37] 而且那个
[41:37] 对
[41:38] 没错
[41:38] 叫多头总司令
[41:39] 而且因为他的教课内容
[41:41] 我觉得超级实务的
[41:42] 就是例如说教大家
[41:43] 你现在来自组ETF
[41:45] 真的
[41:46] 然后做资产配置规划
[41:47] 让他来评论
[41:48] 然后教大家
[41:49] 如何成为一个
[41:50] 称职的研究员
[41:51] 然后现在排面上
[41:53] 热的股票
[41:54] 如果你要推荐他的时候
[41:55] 你要如何帮他建立一个模型
[41:57] 然后例如说
[41:59] 也要去推估
[41:59] 未来的EPS那些的
[42:00] 你知道嗎? 因為他那顆要爆掉
[42:03] 好像他有限額來
[42:04] 然後我說 哇 要是以前大學教這個 多讚啊
[42:08] 對啊 超棒的 怎麼會講到上面去
[42:12] 就這些實務的內容其實是非常的重要
[42:15] 但是我就問他通膨
[42:17] 通膨這件事情現在看來是很有機會殺傷AI的
[42:23] 那他就有講到一件事是
[42:25] 他覺得川普還是會有能力去把通膨給壓下來
[42:28] 包括油价
[42:29] 包括增量
[42:30] 就是美国自己生产的
[42:33] 这个燕油
[42:33] 或是石油类的东西
[42:35] 来去平衡这个通膨
[42:37] 他也不认为川普会
[42:38] 真的搞到要升息
[42:40] 所以他觉得在下半年
[42:41] 通膨是有可能
[42:42] 逐步的抑制下来
[42:44] 当然他包含了
[42:45] 很多世界性的因素
[42:46] 可是他是往这个方向走
[42:48] 因此他觉得
[42:48] 这一波修正之后
[42:50] 到Q4
[42:51] 还是一个往上的态势
[42:52] 相信川头顾就对了
[42:54] 你对通膨的想法呢
[42:56] 我自己是觉得
[42:58] 像通膨这种
[42:59] 就是我们必须去猜
[43:00] 它之后有没有可能会怎么样
[43:02] 看金流最快
[43:03] 如果真的金流都开始不行了
[43:05] 例如说我们看接下来
[43:06] 如果我讲如果
[43:08] 如果外资报告继续出
[43:10] 然后资金都不反应了
[43:12] 那你就知道
[43:13] 市场的资金再担心这件事情
[43:15] 但目前看起来
[43:17] 好像没有到很担心
[43:18] 因为还是
[43:19] 还是有很明确的一些东西在涨
[43:22] 那就要看
[43:23] 接下来如果这个接棒的状况
[43:25] 可以维持的话
[43:26] 那我觉得都不用太担心
[43:27] 这个布鲁的事情
[43:30] 也是化繁为简
[43:32] 大家发现照好比较啰嗦
[43:33] 可能东扯西扯
[43:35] 然后产业讲一讲
[43:36] 然后这个总经讲一讲
[43:37] 但布鲁觉得事情很简单
[43:39] 因为这个世界上
[43:40] 钱就是最实际的东西
[43:43] 然后有太多比我们聪明
[43:45] 厉害有钱的人
[43:47] 在操控这个市场
[43:48] 所以钱往哪走
[43:50] 我们就不要逆势
[43:51] 就是看那个方向
[43:52] 我们也不要自己瞎担心
[43:54] 或者瞎高兴这样子
[43:55] 那最后呢
[43:56] 因为我们很久没有分享
[43:58] 这个听众的有一些疑问
[44:00] 刚好有一个疑问
[44:02] 应该说两个疑问
[44:03] 都很切中
[44:04] 我们想要讨论的一个议题
[44:06] 对就是在股票市场里面
[44:08] 像刚刚我讲这么多
[44:09] 可是不如觉得
[44:10] 他就看金流
[44:11] 以及做好对应的规划
[44:13] 其实我觉得做好对应的规划
[44:15] 是问题整个解决的核心
[44:17] 好我来讲一下
[44:19] 像早上就有人问我说
[44:20] 前一阵子不是03A大溢价吗
[44:22] 就有跟大家呼吁说
[44:24] 你就算要买
