[00:00] 歡迎收聽趙華宜古貨載第1045集
[25:17] 都非常有興趣
[25:18] 當然這是現在
[25:20] 可能兩年前那時候在講說
[25:22] 券商對他們都沒有興趣
[25:23] 都只能想要找小一點的券商
[25:25] 願意輔導就好了
[25:26] 現在不是
[25:26] 所以現在就是有沾到探針兩個字的
[25:29] 看來都會是一個險學
[25:31] 雖然這個族群不大
[25:32] 對
[25:33] 同樣的原因就是因為
[25:35] 這塊就是剛提到美國不做嘛
[25:38] 然後日本有
[25:40] 但是日本在半導體這一塊
[25:42] 我想大家在新聞媒體
[25:44] 大概都有看過或是聽過
[25:47] 就是日本在半導體
[25:48] 在過去的十年
[25:50] 二十年
[25:50] 甚至三十年
[25:51] 其實他們並沒有
[25:52] 花太多的精神
[25:53] 在研究跟開發
[25:54] 所以這部分
[25:56] 反而就成為
[25:56] 臺灣廠商的一個利基
[25:58] 好
[25:59] 我只是想跟大家講說
[26:00] 如果接下來
[26:01] 你還在尋找一些
[26:02] 未來三年跟五年
[26:03] 可以觀察的產業
[26:05] 我們剛剛提到這些
[26:06] 我覺得是可以
[26:07] 去做留意跟關注
[26:09] 雖然說他們的股價
[26:12] 說真的
[26:12] 其實也漲到
[26:13] 就是右上角的一個地方
[26:16] 但是股價本來就是
[26:17] 有漲有跌
[26:19] 有起有落
[26:20] 可以請大家在它跌回來的時候
[26:25] 可以去優先去做關注
[26:27] 探針真的是相對強
[26:29] 連回檔都有限
[26:30] 不過就跟我們的二月份一樣
[26:32] 你說股市會不會回檔
[26:34] 我想因為這個開春這四天
[26:36] 真的叫做天天漲
[26:38] 今天雖然只漲一點也是漲
[26:40] 因為今天還有創歷史新高
[26:41] 所以會有一個感覺
[26:42] 是不是不跌了呢
[26:43] 但沒有
[26:44] 大家如果回首二月
[26:45] 其實二月的交易日是少的嗎
[26:47] 因為我們中間有一個年假
[26:48] 其實二月的開盤第一天就跌了
[26:50] 就是二月二號其實就跌了
[26:52] 我們二月二號那一天
[26:54] 開盤是32008開出來的
[26:56] 那我們今天收盤中間
[26:58] 盤中最高有到25579
[27:00] 所以這中間就三千多點
[27:01] 所以等於二月的第一天
[27:03] 如果跌願意去介入的話
[27:05] 就已經是三千點
[27:06] 那你說二月第一天不準的話
[27:08] 二月六號那一天
[27:09] 其實我們是整個破月線
[27:11] 我不曉得大家還有沒有印象
[27:12] 那一天我們在古破仔
[27:13] 也有跟大家聊說
[27:14] 破月線就是先減
[27:15] 不然呢
[27:16] 如果繼續破
[27:18] 那就繼續減
[27:18] 但至少破月線是一個
[27:21] 在強勢多頭裡面
[27:22] 我覺得算是一個減便宜的時候
[27:24] 當然如果你是技術形態的老師
[27:26] 可能會告訴你
[27:27] 你的持股破月線是長線
[27:29] 應該要中長線
[27:30] 應該要稍微拔檔的
[27:32] 那當然你很積極的短線
[27:34] 看五日線
[27:34] 但是因為我自己是喜歡
[27:37] 大家知道減ETF
[27:38] 或減市值
[27:39] 或者減我自己喜歡的股票
[27:41] 所以像2月6號那天有破月線
[27:43] 就是一個好的加碼點
[27:44] 只是當然比較討厭的是
[27:46] 從1月6號那天破月線之後
[27:47] 臺股真的一路上攻
[27:49] 二月的低點到高點
[27:51] 大家知道這個中間的落差有多大嗎
[27:53] 是4415點
[27:55] 4415點就在這個二月
[27:59] 這個交易日可能十幾天的情況下
[28:02] 這麼大的差別
[28:04] 所以現在雖然一路的急漲
[28:06] 但我為大家提醒的是
[28:07] 我們講一些產業
[28:09] 不管剛剛講到的碳增
[28:11] 或是講到剛剛講到的載板
[28:13] 講到的不管是細光子
[28:15] 甚至是PCB的上游
[28:17] 就是你想到低軌衛星好了
[28:19] 一定要掌握一個事情
[28:20] 就是他們如果現在
[28:22] 有開始輪動有回檔
[28:23] 他應該是你考慮
[28:25] 要不要去加碼
[28:26] 或是做動能的選項
[28:29] 而不要就是
[28:30] 這幾天常常講的
[28:31] 不要長也怕
[28:32] 跌也怕
[28:33] 現在是要在多頭的市場裡面
[28:35] 找機會
[28:36] 那還有就是
[28:37] 像今天有一個事情
[28:39] 是不是機會
[28:39] 我們等一下來問維泰
[28:40] 例如光寶科
[28:41] 因為臺達電已經創歷史新高到1480
[28:46] 就一直上去了
[28:47] 那光寶科呢
[28:49] 大家就覺得你已經跟臺達電快要拉成那個
[28:51] 不像樣的距離了
[28:53] 然後大根跟二哥
[28:54] 很少有一個產業裡面的大哥跟二哥的落差
[28:57] 大到這樣
[28:58] 當然了
[28:59] 成熟製程跟先進製程有落差到這樣
[29:02] 可是大部分的產業
[29:03] 其實不會落差到那麼離譜
[29:05] 好
[29:06] 但光寶科為什麼開完法說變法會呢
[29:08] 第一個是因為他第四季的毛利率是下滑的
[29:11] 現在市場是很嚴格的
[29:13] 就是你要一路往上衝
[29:15] 你甚至要這個季增年增都要非常亮眼
[29:18] 但他第四季的毛利率卻是一個季減的情況
[29:21] 大家覺得比較擔心
[29:22] 那大摩也不是很喜歡他
[29:24] 我記得外資對光寶科一直都還蠻殘忍的
[29:26] 就說持平目標價一百七
[29:29] 今天跌下來是一百七十三
[29:32] 對
[29:32] 然後呢
[29:34] 有提到說其實今年還是八塊多
[29:36] 明年十一塊多
[29:37] 其實以這個EPS來說
[29:39] 確實本一筆不能算稿
[29:41] 可是外資真的不喜歡他
[29:43] 到底要怎麼看
[29:45] 那今天迭亭
[29:45] 我是有比較高手的朋友
[29:49] 今天有小去剪迭亭
[29:51] 但他自己也剪得毛毛的
[29:52] 其實最近法說會很多
[29:56] 然後也有一些是
[29:58] 剛剛這個乍華所提到
[30:00] 就是法說會變法會
[30:02] 我想奇怪
[30:04] 我是分析師
[30:05] 我又不是那個道士
[30:07] 不是理醫師
[30:07] 又不是
[30:08] 法會關我什麼事
[30:10] 不是啦
[30:10] 我覺得我的觀察是這樣子
[30:13] 跟大家分享
[30:13] 就是其實最近的很多的
[30:16] 盤面上面的一些
[30:17] 波動比較大的這些個股
[30:19] 都跟財報空窗期即將結束有關
[30:23] 也就是說在三月中之前
[30:28] 或三月底之前
[30:29] 陸陸續續他們的財報
[30:31] 都陸陸續續做公告
[30:32] 然後之前表現比較好的股價上
[30:36] 如果說它出現的財報的數字
[30:39] 沒有如大家預期
[30:41] 或者是沒有很讓家覺得驚豔
[30:45] 其實以目前臺北股市的位階來看
[30:48] 大家的確會有想要先獲利瞭解一趟
[30:52] 不要說光寶殼
[30:54] 像我們剛剛開始就講NVDA
[30:56] 它其實財報交出來的數字跟展望都很好
[31:00] 是就是揮達的話
[31:02] 大家也可以查一下新聞
[31:03] 就是它是營收優於預期
[31:05] 未來的展望也是優於預期
[31:08] 對
[31:08] 可是他在整個這個收盤的一個漲幅
[31:13] 也是呈現收斂的
[31:14] 呈現收斂
[31:15] 不是說沒漲
[31:16] 他漲幅收斂
[31:17] 那像公保哥
[31:19] 我們也研究了一下
[31:21] 他昨天的這個法說會的內容
[31:24] 大概就是在講說
[31:25] EPS的部分
[31:27] 然後這個有點不如預期
[31:30] 但是其實不如預期的幅度沒有很大
[31:33] 如果沒有記錯的話
[31:34] 也在個位數的百分比的變動之內
[31:38] 然後呢
[31:39] 有一點點就是
[31:40] 賄損上面的一個問題
[31:43] 但這基本上我覺得也都不是一個新的問題
[31:46] 新的新聞
[31:47] 所以我覺得大家對於這種
[31:49] 現在有點就是財報數字出來
[31:51] 然後表現沒有這麼的亮眼的一個個股
[31:55] 會先選擇去做減碼
[31:57] 那同樣的像6271的這個同心店
[32:03] 重新店今天早上也是呈現的
[32:06] 就是開高就走低
[32:07] 那法說會的一個表現
[32:09] 它出來的一個數字
[32:11] 其實也就是說
[32:12] AI那塊有起來
[32:14] 但是其他的部分
[32:15] 還是有在呈現就是衰退
[32:19] 但衰退的幅度是減少的
[32:21] 可是市場上面就會覺得
[32:23] 你前陣子就股價就漲上去了
[32:26] 那之前想要在低檔買進
[32:28] 因為我們講的時候
[32:28] 大家在低檔嘛
[32:29] 那低檔買進的這些人
[32:32] 那時候我們講大概120,110的時候
[32:35] 然後那時候既然你漲到190了
[32:37] 那大家就有可能就會
[32:38] 那既然已經有一段漲幅了
[32:41] 那我就先來去做個獲利瞭解
[32:42] 所以我倒覺得說
[32:44] 這些的個股
[32:44] 就是財報空中期接近尾聲
[32:47] 這個時候
[32:49] 會有未來越多的個股
[32:50] 會像這樣子的情況發生
[32:52] 所以也在這邊先給大家
[32:54] 先做點提醒
[32:55] 就是越到了就是三月中
[32:58] 或者三月底
[32:59] 這種財報空中期
[33:00] 所造成的這種股價的波動
[33:03] 會越來越多
[33:04] 大家在操作上
[33:06] 一定要比較比較謹慎
[33:08] 那明天
[33:09] 應該說下個禮拜一
[33:10] 下個禮拜一就看一下
[33:12] 就是光寶科
[33:14] 他有沒有辦法
[33:16] 在這個下個禮拜一的
[33:18] 一個股價表現上
[33:19] 有辦法出現比較
[33:21] 像樣的這個止跌跟反彈
[33:23] 對我覺得這個就像
[33:25] 我剛剛在講記憶體一樣
[33:26] 你記憶體沒有說不能修正
[33:28] 但是你修正的這個過程
[33:30] 不能夠失控
[33:31] 你失控就導致
[33:33] 就是很多的籌碼
[33:35] 可能會更進一步的鬆動
[33:38] 所以我覺得下個禮拜一
[33:39] 包括像是光寶科
[33:41] 或者說像是瑞宜
[33:44] 瑞宜是因為他要做減資
[33:47] 我覺得因為這個時候
[33:49] 當然不是說不好
[33:50] 只是可能大家就會覺得
[33:51] 他也很認清
[33:52] 在自己的產業裡面
[33:53] 沒有成長的動能了
[33:55] 所以他就選擇做減資
[33:57] 我覺得這個是今天
[33:58] 失望性迭停的一個原因
[33:59] 對反正因為股價也之前也稍微做了一點上漲
[34:04] 所以這個時候大家只要有一點點覺得
[34:06] 你沒有交出什麼很亮眼的成績單
[34:09] 然後對未來展望比較持平
[34:11] 大家就會考慮先去做持股的一個調節
[34:14] 但是我剛提到重點在下個禮拜一
[34:18] 就是說他們有沒有辦法出出有效的止跌跟反彈
[34:22] 這才是我們在看板上面會特別關注的一個重點
[34:26] 當然因為我覺得股市要關心的事情真的很多樣就是有的你會覺得奇怪他也沒有賺多少錢怎麼成績出來卻是漲停板或是拉尾盤到底為什麼
[34:38] 有時候他有摻雜了一些
[34:41] 資金面上的喜好
[34:42] 我覺得這個也不得不講
[34:44] 像現在剛剛提到的探針系列
[34:46] 可能前面尹威旺系在漲的時候
[34:48] 擁摯不漲
[34:48] 可是等到資金青睞他的時候
[34:50] 他就漲
[34:50] 你說他是一個不一樣的擁摯嗎
[34:52] 其實我覺得
[34:53] 有沒有差異到這樣的程度
[34:55] 那光寶科跟臺達電影
[34:56] 是這樣的例子
[34:57] 其實說實話
[34:58] 內外資就是比較喜歡臺達電
[35:00] 但臺達電確實也會角出
[35:01] 例如說毛利創新高啦
[35:03] 產品組合真的有明顯的
[35:05] 往AI靠攏改善啦
[35:06] 會給你這樣的一個感受的時候
[35:08] 你會覺得本益比都已經
[35:09] 35倍40倍了
[35:11] 好像大家也無所謂
[35:12] 反而是一個20倍本益比的光寶科
[35:15] 大家看不順眼
[35:16] 但是它偏偏讓你看到
[35:18] 就是毛利率下滑
[35:19] 因為剛剛韋泰有講一件事情
[35:22] 你看哦
[35:23] 連這個揮打
[35:24] 它已經超出市場預期
[35:25] 它都有點漲不動
[35:26] 等於現在大家需要一些
[35:28] 重口味的東西
[35:30] 重口味的東西
[35:31] 會讓你覺得
[35:32] 為什麼這家公司
[35:33] 也不是很賺錢
[35:34] 可是市場喜歡它
[35:35] 像載板頭信
[35:36] 一直買一直買
[35:37] 它有時候就摻雜了
[35:38] 資金面的喜好
[35:40] 我覺得這個
[35:40] 這個也是很
[35:42] 在現在的這個
[35:43] 已經一兆量能的市場裡面
[35:45] 大家是要格外留意的
[35:46] 它真的就是摻雜了
[35:48] 資金面現在
[35:49] 親不親愛它
[35:50] 但是光寶科呢
[35:51] 就像韋泰講的
[35:52] 先觀察一下
[35:53] 有沒有紙疊的訊號
[35:54] 總有一天
[35:55] 資金覺得真的都找不到很便宜的
[35:58] 而它畢竟還是AI電力
[36:01] 這樣的一個題材
[36:02] 就會回頭來找它
[36:04] 我覺得最好的例子還有像是散熱
[36:07] 因為我自己的話很喜歡看散熱
[36:09] 就起紅雙紅
[36:10] 當然建策這類的
[36:12] 我裡面當然大家會覺得
[36:14] 比較親切的可能是起紅
[36:15] 又是背板股
[36:16] 然後又是有這個
[36:18] 一冷的指標概念這樣
[36:20] 那它前一陣子說實話
[36:22] 在年前它也是有受過壓抑的
[36:24] 可是這兩天
[36:25] 加上富士達好了
[36:26] 三瑞也都在創新高
[36:29] 那它都是跟AI相關的
[36:31] 所以只要它是跟AI相關的
[36:34] 我覺得都有
[36:35] 包括像重電
[36:36] 也是很多人說
[36:37] 你們說電力基礎建設
[36:39] 川普說每一家AI公司
[36:41] 自己都要去設電力
[36:42] 當時的重電不是有漲嗎
[36:44] 可是後來又休息
[36:45] 大家覺得好爛
[36:46] 可是這兩天
[36:48] 華晨又有創新高
[36:50] 當然市電中心電
[36:51] 現在是沒有一個
[36:52] 全面去創新高的一個狀況
[36:54] 但是有一些券商
[36:56] 也確實有調高
[36:56] 例如說像試店的展望
[36:59] 那我今天跟大家在討論的時候
[37:02] 就說像中興電運
[37:03] 有很多最委屈
[37:04] 中興電運就像
[37:05] 另外一個光寶科一樣
[37:06] 就是最委屈
[37:08] 華晨50倍本益比還在漲
[37:10] 中興電二級倍本益比都不漲
[37:12] 沒有什麼大道理
[37:14] 就看你要不要用時間
[37:15] 像等庸志那樣等他
[37:17] 那如果你不喜歡
[37:19] 那你就應該去買領頭羊的
[37:21] 因為說實話
[37:22] 最會漲的應該就是華晨了
[37:24] 就是這樣
[37:25] 對
[37:25] 第二活潑的可能是雅力或是電
[37:27] 中信電永遠就是一個最溫吞
[37:29] 就看你的選擇是什麼
[37:30] 對
[37:31] 所以
[37:32] 股票的
[37:33] 我覺得股票的選股跟股票操作
[37:36] 我一直都覺得股票操作
[37:37] 其實比較難一點點
[37:39] 選股其實
[37:40] 它是可以學的
[37:43] 就是你也可以跟我討論
[37:45] 我要怎麼選股
[37:46] 我一定可以講出我的邏輯
[37:48] 可是你說操作面上
[37:50] 其實變數很多
[37:52] 因為股價是人的行為所導致的
[37:55] 那人就會想東想西
[37:57] 所以操作面的部分
[38:00] 其實就真的要靠大家自己
[38:02] 第一個對自己的瞭解
[38:04] 然後你對這家公司的股性的瞭解
[38:08] 然後去做一些研判
[38:10] 然後去設計出
[38:12] 比較適合你的一個操作鐵律
[38:16] 好
[38:17] 那大家在這個二月
[38:18] 受到這樣的洗禮
[38:20] 那接下來又三天的廉價了
[38:21] 廉價之後就展開所謂的三月了
[38:24] 現在當然大家就會
[38:25] 我現在在網路上感覺到的討論
[38:28] 都是希望回檔
[38:30] 都是希望說
[38:33] 有沒有回檔可以買的機會
[38:34] 我們一定會覺得會回檔
[38:36] 事情真的不是說
[38:38] 沒有一天說
[38:39] 就是一直漲一漲一漲
[38:41] 即使在這個2025年
[38:43] 其實是一個大多頭
[38:44] 中間真的就大部分時間
[38:46] 是打到月線就上去
[38:47] 但終歸也是有打到月線
[38:49] 而且到了去年的10月11月
[38:51] 也是有擋到季限
[38:52] 所以常常會講說
[38:54] 你如果真的非常低持股
[38:56] 覺得很難受
[38:58] 你可以先建一個部位
[38:59] 其實這句話
[39:00] 從2萬5講到3萬
[39:02] 從3萬講到3萬5
[39:03] 為什麼這麼講
[39:06] 其實當你有一個基本持股的時候
[39:08] 抱歉趙華碎碎念又來了
[39:10] 因為你們很縱容我
[39:11] 都說喜歡聽我碎碎念
[39:13] 那我過年期間
[39:14] 真的收到非常非常多的人訊息
[39:16] 不好意思
[39:17] 因為最近又因為這個
[39:18] 像前兩天這個PowerCase
[39:20] 就是Apple的系統有點故障
[39:21] 所以我現在整個私訊的信箱
[39:23] 是有點塞爆的狀況
[39:24] 所以就不一定能夠回大家
[39:26] 那這邊也是呼籲一下
[39:28] 如果你是希望
[39:29] 我要見解你整個資產組合
[39:31] 或是問一些個股的訊息
[39:32] 我能夠在股破仔回答
[39:35] 個股或是ETF的訊息
[39:36] 我會回
[39:37] 可是如果是一個持股組合
[39:39] 或者是你一定希望得到回答
[39:40] 可能要麻煩您移駕到
[39:42] 這個趙華宇阿格力那邊
[39:43] 我們那一個頻道
[39:45] 已經變成專門回答問題的頻道了
[39:47] 但是我覺得很有幫助
[39:49] 你去銀行找財富管理
[39:50] 你還有很大的資產
[39:52] 也要被抽很多手續費
[39:53] 可是如果說
[39:55] 你得到一個終身受用的
[39:57] 配置方式的時候
[39:58] 可能真的就省下來了
[40:00] 好
[40:00] 那我要繼續
[40:01] 撈回來講的是
[40:03] 為什麼碎碎念
[40:04] 就是如果你真的非常低持股
[40:05] 那你真的就是建立一個基本
[40:07] 這個基本就像是
[40:09] 現在是基準100好了
[40:10] 當然你可能買了100之後
[40:12] 忽然之間股市回擋了
[40:14] 到95 90
[40:15] 那你不要難過啊
[40:16] 你現在可以往90再買一點
[40:19] 對不對
[40:19] 那你的成本不就往下了嗎
[40:21] 因為你是剛建立一部分的持股
[40:23] 根本就沒有什麼all in好擔心的
[40:26] 當然有all in派
[40:27] 但那不是我的門派
[40:28] 然後如果他又再往下
[40:30] 千載難逢
[40:32] 因為這段時間
[40:33] 你只要想到他還會再往下
[40:34] 沒想到他會往下
[40:35] 就再建立一點點的持股
[40:37] 那如果你買了他往上
[40:39] 那當然你可以選擇
[40:41] 你要不要追
[40:42] 或者是你的心裡面就踏實了
[40:44] 我總算沒有錯過
[40:45] 就算我只有一點點
[40:48] 就像我年前
[40:49] 我一個認識的
[40:50] 大概有快20年的好朋友
[40:52] 他終於買了臺積電的零股
[40:54] 他就跟我說
[40:55] 雖然只是零股
[40:56] 可是我現在可以體會到
[40:58] 為什麼你們會這麼熱衷的
[41:00] 來看著盤
[41:01] 雖然只是零股
[41:03] 但是我覺得很開心
[41:04] 不過後來年後他就跟我說
[41:05] 等一下這個零股
[41:07] 怎麼已經變成2000塊了
[41:08] 我不是還要不要加嗎
[41:10] 我就說你也可以加
[41:12] 你也可以不要加
[41:13] 挺想要廢話對不對
[41:14] 以前我有一個很棒的經營人朋友
[41:16] 已經退休了
[41:17] 身價非常高的退休了
[41:19] 他到時候也是跟我講
[41:20] 很多他看的像黃金右下角
[41:21] 這樣的股票
[41:22] 他就說你就先買一點
[41:24] 你跌也加一點
[41:25] 漲也加一點
[41:27] 他說你覺得很像廢話嗎
[41:28] 可是投資就是這麼一回事
[41:30] 沒錯
[41:31] 所以先找到自己要做的吧
[41:35] 對我覺得這個很重要
[41:36] 然後如果真的個股你會怕
[41:40] 我覺得這個是人之常情
[41:42] 那臺北股市有非常多的投資工具
[41:46] 那基金也是
[41:47] ETF也是
[41:48] ETF好多好多
[41:51] 有四字型的
[41:53] 然後有主題式的
[41:55] 然後還有這個高股息的
[41:57] 我覺得重點就是你要參加
[42:01] 那至於說風險的承擔
[42:04] 每一個的投資朋友
[42:05] 就要知道自己的風險的承擔的能力
[42:08] 然後看這個能力
[42:10] 然後去做多少事情
[42:11] 你可以先做一個小組合
[42:14] 當然我想聽這個頻道
[42:15] 聽到現在的朋友
[42:16] 一定都有多多少少
[42:17] 有自己的組合跟配置
[42:19] 我的小組合是說
[42:21] 你的核心
[42:22] 畢竟我們在臺灣
[42:23] 很多人說其實做美股就好了
[42:24] 但是這段時間
[42:26] 臺股是比美股厲害的
[42:27] 不過我個人是一直認為
[42:29] 我自己習慣臺幣交易
[42:31] 所以我的核心比較會是臺股
[42:33] 加上我跟維泰都有跑去
[42:35] 以前有這種看公司的經驗
[42:36] 現在我比較沒有
[42:37] 維泰應該是還有
[42:38] 所以你對臺灣的公司的習性
[42:40] 臺灣資金的流向
[42:41] 臺灣籌碼的特色
[42:43] 其實我們都比較有掌握
[42:45] 所以我自己會覺得
[42:46] 最簡單的
[42:47] 如果你用ETF配置
[42:48] 你的核心一定是
[42:49] 臺灣的市值型
[42:50] 或者是你非常的在意神山
[42:52] 你可能核心是配0052
[42:53] 這樣子的
[42:54] 我是為小資金來說
[42:55] 你可以買神山
[42:56] 你就買神山了
[42:57] 好
[42:57] 那這個是所謂的核心
[42:59] 那如果衛星呢
[43:01] 像我個人
[43:02] 我非常喜歡半導體
[43:03] 那當然跟神山又有重疊
[43:05] 但臺灣有很多的半導體的ETF
[43:07] 或什麼
[43:08] 它的神山比重
[43:09] 不一定是最高的
[43:10] 大家可以去參考
[43:11] 有的是像
[43:12] 像有一陣子我們有介紹說
[43:14] 它是叫好像IT設計
[43:16] 那它裡面有很多是IP和記憶體
[43:18] 對
[43:18] 所以各有各的特色
[43:20] 那我個人在產業上面
[43:22] 半導體或是科技
[43:23] 科技範圍就大了
[43:24] 科技就不止半導體啦
[43:25] 對不對
[43:25] PCB也是科技啊
[43:27] 好
[43:27] 也可以配科技
[43:29] 這是我個人喜歡的配置
[43:31] 那另外的話
[43:32] 因為我確實是喜歡美股的
[43:33] 我認為雖然現在美股在
[43:35] 這些雲端資本支出擴大的時候
[43:38] 大家擔心回收的問題
[43:39] 導致美股在這三個月
[43:41] 其實比臺股弱
[43:42] 但是如果你要把時間軸
[43:44] 拉長來看的話
[43:45] 美股的創新科技
[43:47] 跟大型的巨頭股
[43:48] 他們長得還是蠻兇的
[43:50] 還是蠻厲害的
[43:51] 而且有任何新創的
[43:53] 就像低軌衛星
[43:54] 這種東西好了
[43:55] 他肯定都是從美國
[43:56] 砸錢去做發源的
[43:58] 所以在美股上面
[43:59] 你也可以去配
[44:00] 例如說納斯達克的市值
[44:02] 費辦的市值
[44:04] 像我就非常喜歡費辦
[44:05] 大家也知道
[44:05] 或者是說美國的
[44:07] 有一些科技型的ETF
[44:08] 也可以拿來當做你
[44:10] 衛星上面的一個考量
[44:11] 那現在大家也很夯日本
[44:13] 因為日本這個
[44:14] 最近在經濟上面
[44:16] 看來是有一個明顯回溫的
[44:17] 那我們的PCB
[44:18] 也跟他們的PCB
[44:19] 看來也是有一個依賴的關係
[44:21] 日東房大漲
[44:22] 我們就大漲
[44:23] 他們也有部分的
[44:24] 就是半導體特化等等的領域
[44:26] 所以在這樣情況下
[44:28] 也有很多人喜歡去配日本
[44:29] 什麼商社
[44:30] 因為商社的話
[44:32] 它還有一些是
[44:32] 比較傳統的大型集團
[44:34] 它可以產生一個互補
[44:36] 所以其實你用這些東西
[44:37] 就很容易形成一個基本的組合
[44:40] 那當然趙華說
[44:41] 如果你非常喜歡
[44:42] 那臺股追求績效的話
[44:44] 現在主動型的ETF
[44:45] 真的越出越多
[44:46] 我昨天已經
[44:47] 已經幫忙介紹到
[44:49] 我有點頭昏了
[44:50] 但是他們很厲害
[44:51] 他們其實各個主動式的ETF
[44:53] 都有在端出後面
[44:55] 他們改良型的一些模板
[44:56] 你喜歡沖沖衝的
[44:58] 其實像981A
[44:59] 或說993A
[45:00] 他們都是很訴求績效
[45:02] 那你喜歡
[45:03] 它是集中在市值
[45:04] 比較大又比較靈活的
[45:05] 像985A
[45:06] 對不對
[45:06] 那像982A
[45:08] 它是訴求
[45:09] 它會把資本利得
[45:10] 配給大家
[45:10] 所以它看起來
[45:11] 配息率非常非常的好
[45:13] 對
[45:13] 大家都有大家的特色
[45:15] 那像我昨天講到
[45:16] 是996A
[45:17] 996A它就是率先
[45:18] 有把所謂的
[45:19] 期貨避險
[45:20] 把它放進來
[45:21] 因為它畢竟發行
[45:22] 在募集
[45:23] 它是三月才募集
[45:24] 它會覺得
[45:25] 它可能募在臺股
[45:26] 真的是很高檔的位置
[45:28] 所以它在設計上面
[45:29] 它就有把避險機制
[45:30] 有放進來
[45:31] 所以我覺得大家
[45:32] 在設計商品上
[45:33] 越出越多
[45:34] 大家也都推陳出新的情況下
[45:36] 我們就負責選擇就好了
[45:38] 我又囉嗦了
[45:39] 我又碎唸了
[45:40] 我又在廉價前
[45:41] 囉裡吧嗦了
[45:43] 愛之深
[45:46] 則之切
[45:47] 那我們今天就到這邊啦
[45:51] 跟我們的谷後仔朋友說
[45:54] 週末愉快
[45:55] 謝謝大家
[45:55] 週末愉快
[45:56] 拜拜
