[00:00] 歡迎收聽趙華宇古貨載第1022集1022集
[23:03] 他們只是可能節奏跟市場
[23:05] 要把風吹過來的時候
[23:07] 我們沒有辦法先預知
[23:09] 可是可以看到有這樣的味道
[23:10] 沒錯
[23:11] 那軍工股其實還有一檔
[23:13] 也有EPS
[23:14] 就是7714創紅科技
[23:17] 這個真的比較靠你的
[23:18] 對他不熟
[23:20] 但我們不是在報名牌
[23:22] 只是想跟大家聊一下是說
[23:24] 他蠻特別的是因為
[23:25] 他本來就是做代理資安軟體
[23:28] 所以他有業績的基本盤
[23:30] 所以其實大概每年都有獲利
[23:32] 但是因為後來他就是
[23:35] 代理了以色列的
[23:36] 所謂的反制無人機系統
[23:38] 但以色列那家公司
[23:40] 因為後來被美商買走了
[23:41] 美商那公司有掛牌
[23:43] 代號就是ONDY
[23:44] 近期也是大漲
[23:46] 那因為呢
[23:48] 它的反制軟體很重要
[23:49] 就是
[23:49] 其實在無人機的反制部分
[23:52] 主要分成硬殺跟軟殺
[23:54] 那如果以硬殺來講
[23:56] 簡單來講
[23:56] 就是我是把你擊毀
[23:57] 那無人機就會墜毀
[23:59] 那有可能如果你掉下去
[24:01] 扎到士兵
[24:02] 甚至扎到民眾
[24:03] 或者是造成一些房屋的財損
[24:06] 那所謂的軟殺就是
[24:08] 我是接管
[24:08] 我透過就是呢
[24:10] 軟體的滲透之後呢
[24:12] 我直接就是可以接管你的無人機了
[24:14] 那就可以控制它
[24:16] 那不會造成的損害
[24:17] 所以這個部分
[24:18] 它的當然就是
[24:19] 更會獲得將來
[24:22] 不管是國內的國防部
[24:23] 或者是國際的
[24:24] 這些國防支出預算
[24:26] 優先採購
[24:27] 因為軟砂比較符合
[24:29] 現代科技戰的趨勢
[24:31] 那這個就是它的強項
[24:32] 所以我覺得在今年
[24:34] 如果真的要講說
[24:35] 我們的無人機
[24:37] 你又要能夠吃到國內市場
[24:40] 然後又能夠外銷到
[24:41] 美國或全球的話
[24:42] 那我覺得其實創文科技
[24:44] 是已經有拿到門票
[24:46] 因為他現在其實就等於是
[24:48] 透過他所代理的軟體系統
[24:50] 直接就跟美商大廠來做合作
[24:52] 那另外之前有聊到就是雷虎
[24:55] 雷虎因為他的無人機呢
[24:57] 是已經有透過
[24:58] 就是美國國防部的認證了
[24:59] 所以呢
[25:00] 當美國也編列預算
[25:02] 要來採購無人機
[25:03] 而且又要去紅化去中化的話
[25:06] 那當然很多廠商呢
[25:08] 也都覬覦這個商機
[25:09] 不過你總是要先透過認證
[25:12] 那這個認證呢
[25:13] 又需要可能要一兩年以上的時間
[25:16] 然後雷虎其實也有先驅者的優勢
[25:19] 好
[25:20] 你看吧
[25:21] 問一下威良哥
[25:22] 他就是有口袋的名單
[25:23] 但是要講
[25:24] 不是叫大家聽了
[25:25] 就哪一檔
[25:26] 然後趕快去買
[25:27] 是在講說
[25:29] 如果這個要生就下去
[25:30] 現在如果有軍工的風潮
[25:32] 軍事專家來跟大家講各個武器
[25:35] 其實很有趣的
[25:36] 其實很有趣
[25:37] 但是這個不是我的專場
[25:39] 可是我可以理解
[25:40] 因為我們後面有映象的武器報新聞
[25:42] 有段時間
[25:43] 這個講軍事都衝到非常高
[25:46] 我聽了也是津津有味
[25:48] 就是從這個什麼
[25:49] 以色列的鐵穹
[25:50] 然後什麼飛彈會怎麼樣
[25:53] 反正我覺得真的蠻有意思的
[25:55] 那這個就不贅述了
[25:57] 剛剛有講到
[25:58] 其實臺灣的軍工股蠻多的
[26:00] 只是比重上
[26:02] 例如說剛剛講的
[26:03] 應該它的純度也蠻高的吧
[26:04] 對
[26:05] 那我剛剛有提到
[26:06] 有時候一漲會周邊的
[26:08] 剛剛講到說
[26:09] 像之前做防彈衣的
[26:11] 可是它本來也是紡織
[26:12] 或是其實像中光電的無人機部門
[26:14] 是蠻厲害的
[26:15] 可是中光電的本業是投影機
[26:17] 它就會有一點點
[26:18] 在獲利上面被拖到
[26:20] 對
[26:21] 我覺得像這樣子
[26:22] 大家可以綜合評估
[26:23] 就是為什麼有時候
[26:23] 長有些公司極度強勢
[26:25] 當然有些很強勢的公司
[26:27] 是因為它股本小籌碼集中
[26:28] 有特定主力在拉
[26:30] 這個就不是在本業
[26:32] 或是基本面的範圍
[26:33] 可以幫大家分享的
[26:35] 對
[26:35] 那如果它的本業又純又有獲利
[26:37] 又跟這個軍工的風連在一起的
[26:40] 我個人就會覺得比較安全
[26:41] 這是軍功
[26:42] 那重電的話就變成有點輪流了
[26:45] 因為華晨今天還是有到這個
[26:46] 我記得盤中看到有到1015
[26:48] 後面是收什麼
[26:49] 我沒有注意看到
[26:50] 但亞歷是一路所漲停
[26:52] 所到最後
[26:52] 那中信店就又漲一天
[26:54] 又開始休息了
[26:55] 試電也休息
[26:56] 重電族群
[26:57] 威良覺得還有機會嗎
[26:59] 有機會
[27:00] 因為其實重電最輝煌的一段
[27:03] 應該在2023年
[27:05] 然後一直大概延續到2024上半年
[27:08] 所以算起來
[27:09] 走了一年多的大多頭之後
[27:11] 也休息了一年多了
[27:13] 那這邊其實都進入到
[27:15] 中期整理過後
[27:16] 非常漂亮的底型
[27:17] 那這裡再出發的話
[27:19] 我覺得畢竟
[27:20] 現在剛好就是也跟AI
[27:23] 讓大家更注意電力的需求
[27:25] 那美國的電網
[27:27] 其實平均
[27:28] 大家都使用到30年40年
[27:32] 那這個都已經幾乎到
[27:33] 壽命的最後的年限了
[27:35] 所以其實川普的政策
[27:37] 也是要大幅度的加快
[27:39] 去做美國電網的汰換更新
[27:41] 那這邊來看
[27:42] 當然重電股誰能夠掌握
[27:45] 這個未來出口的商機
[27:47] 那就有機會呢
[27:49] 再讓他的本益比往上提升
[27:51] 因為畢竟呢
[27:52] 過去講到重電股呢
[27:53] 大部分都會是先想到
[27:55] 臺電的強韌電網計劃
[27:57] 那這個當然
[27:58] 聽起來預算是嚇死人
[28:00] 3645億
[28:01] 可是問題是
[28:02] 這裡面的利潤率也可能會笑死人
[28:04] 就是說你光靠臺電的
[28:06] 標案訂單呢
[28:08] 有可能撐起你的營收
[28:10] 非常亮眼
[28:11] 但是可能碰到要繳財報的時候呢
[28:13] 就會呢
[28:14] 這個被扣不完
[28:15] 所以基本上呢
[28:17] 我覺得華晨為什麼能夠成為重電的股王
[28:21] 而且是千金股王
[28:22] 當然背後也是他的原因
[28:23] 因為他大概有將近一半的比重
[28:25] 是已經外銷到美國去了
[28:27] 那這個美國的像大型的變壓器的價格
[28:30] 是臺灣的好幾倍
[28:31] 大概四倍到五倍
[28:32] 所以這整個非常有利於華晨
[28:35] 他的毛利率往上
[28:36] 所以未來我覺得重電股呢
[28:38] 應該也是把它視為就是
[28:40] 你能夠有國內市場
[28:41] 當然這個是基本盤
[28:43] 能夠先穩住營收
[28:44] 但是能夠外銷出去
[28:46] 這個才能夠讓整個產品的結構
[28:49] 跟利潤率有效的提高
[28:51] 好 剛剛我看到最新
[28:53] 外資空單在結算後出現了
[28:55] 降了8000多口
[28:57] 從3.2萬口
[28:58] 現在又回到24000口
[29:00] 那因為這一波外資的空單
[29:01] 當然有一點小被嘎到
[29:03] 那今天是壓低結算
[29:05] 補一點回來
[29:05] 那但是結算完後是降到2.4萬口
[29:08] 我倆覺得這是不是一個好的方向
[29:10] 我覺得現在外資對臺股如果把期現貨綜合起來看我覺得慢慢應該是比較偏向中性的就因為它空單減少但它現貨也在賣超它現貨都不買就至少不太買
[29:22] 甚至就是賣多於買
[29:24] 調節的時間比較多
[29:26] 所以看起來
[29:27] 對臺股整個就是
[29:28] 比較偏中性
[29:29] 其實也不難理解
[29:30] 因為我覺得從2020年以後
[29:33] 到現在這麼多年下來
[29:35] 外資慢慢好像已經
[29:36] 從過去的絕對第一主角
[29:38] 好像有點變成
[29:39] 臺股的第二或第三主角了
[29:41] 包括投信
[29:43] 包括政府基金
[29:44] 甚至像受險公司
[29:45] 我覺得這些影響力都越來越壯大
[29:48] 所以其實我們也慢慢就可以去習慣
[29:51] 外資賣超
[29:53] 好像就讓他賣吧
[29:54] 反正臺股從2020年
[29:57] 也從8000多點漲到3萬點
[29:58] 真的不是靠外資幫忙的
[30:00] 畢竟外資早期他買更多部位
[30:03] 長期持有臺股市值
[30:05] 大約在4成左右的比重
[30:06] 所以你想
[30:07] 他如果在臺股1萬點以下
[30:09] 就買了那麼多
[30:10] 那漲上來之後
[30:11] 他不管是要做再平衡的調節
[30:14] 或者甚至就是獲利了結
[30:15] 我覺得也都蠻合理的
[30:17] 那這反而也是一個好事情
[30:18] 慢慢讓整個臺股的發展主導權
[30:21] 回到內資的手上
[30:23] 就像臺積電外資砍了這麼多
[30:25] 就臺積電照長不誤
[30:26] 真的臺積電外資真的是一路砍
[30:30] 然後就算回補也回補一點點
[30:32] 我記得好像開完法說
[30:33] 隔天只買一萬張
[30:34] 就是買超
[30:35] 只買超一萬張
[30:36] 然後大家說
[30:37] 開那麼好的法說
[30:39] 然後ADR噴出
[30:40] 然後結果還是隻有買超一萬張
[30:41] 但現在顯然
[30:43] 這個背後的資金結構是怎麼樣
[30:45] 因為我們常常講
[30:46] 其實外資躲在很多地方
[30:47] 那外資也不代表賣超
[30:49] 就是絕對性的看壞臺股
[30:50] 他有很多的工具
[30:52] 那只是我們是小散戶
[30:54] 所以我們在做節目的時候
[30:55] 就會常常跟大家講的是
[30:57] 小散戶比較能夠做的方式
[30:59] 例如說外資一直賣
[31:00] 但臺電好不好
[31:01] 臺電好
[31:01] 那臺電有沒有回檔
[31:03] 其實臺電會回檔的
[31:04] 像他今天就有小福的回檔
[31:06] 也許大家覺得不夠甜
[31:07] 但是要記得
[31:08] 當大家在漲的時候
[31:10] 是不是每個人都說
[31:10] 早知道
[31:11] 我怎麼都沒有買臺積電
[31:13] 現在進去
[31:14] 回答又覺得
[31:15] 沒有得很多
[31:16] 那你這樣就有點自我矛盾
[31:18] 你到底要不要持有臺積電
[31:19] 其實這就一句話
[31:21] 你到底要不要持有臺積電
[31:22] 如果你覺得很羨慕
[31:24] 過去臺積電漲了超過一倍
[31:26] 那你要不要用一些方法
[31:28] 例如說用0052持有臺積電
[31:30] 或者買臺積電零股
[31:31] 先建立基本部位
[31:33] 那有疊再加
[31:35] 有漲沒錯過
[31:37] 我覺得真的就是這樣子
[31:38] 要不然就會永遠在漲上去的時候
[31:40] 我看到有人留言說
[31:41] 那臺電都上去
[31:42] 根本買不到
[31:42] 誰說買不到
[31:43] 誰說買不到
[31:44] 每天都買得到
[31:46] 好不好
[31:46] 好
[31:47] 不過也要注意一些高低位階的轉換
[31:49] 像剛剛我們講到重電
[31:50] 在電力裡面
[31:51] 基礎建設很重要
[31:52] 可是也有人在問
[31:53] 像前一陣子被動元件在漲
[31:55] 因為他們跟電有關
[31:56] 對不對
[31:57] 電阻電容電壓
[31:58] 這些都是跟電有關的
[31:59] 所以他們也有漲價的風潮
[32:01] 可是有人在問說
[32:02] 那BBU為什麼最近那麼差
[32:04] 順達
[32:05] 新勝利
[32:06] 然後那個
[32:07] ASKY
[32:08] 全部都是跌下來
[32:10] 當然之前因為他們是主流
[32:11] 所以這次跌好像也沒盡頭
[32:13] 那大家說那這樣要怎麼來判斷
[32:16] BBU還會不會再回來
[32:18] 我覺得這個BBU
[32:21] 基本上我覺得整理過後
[32:24] 應該會有機會風雲再起
[32:26] 因為其實如果去對照這一波
[32:29] 他們的營收跟獲利的表現
[32:31] 還有股價
[32:32] 就發現說其實是背道而馳的
[32:34] 業績其實基本面是真的
[32:36] 有慢慢反應上來的
[32:37] 尤其像最有濃厚轉機性
[32:40] 就是新勝利
[32:41] 你可以看到在去年第四季
[32:43] 它的營收真的是開始往上噴
[32:45] 開始往上爆衝了
[32:46] 但是股價就隨著龍頭AESKY跌下去了
[32:49] 順達也很差
[32:50] 沒錯
[32:51] 所以我覺得這個當然就是可能無關於基本面
[32:53] 純粹就是有時候市場資金的移轉
[32:56] 或者說投資風格的喜好
[32:58] 因為以通常像這個年底到隔年處
[33:02] 就12月1月這一段期間
[33:04] 市場資金本來就喜歡有新的故事
[33:06] 然後挖掘那個
[33:07] 在前一個年度
[33:09] 幾乎整年都趴在地板上
[33:11] 沒有漲到的
[33:11] 但是是有題材的
[33:13] 對就像現在的第三代半導體
[33:14] 如果你去年多數的時間
[33:17] 它怎麼有辦法跟BBU比呢
[33:19] 沒辦法比
[33:20] 可是現在市場比較喜歡這種
[33:21] 底部剛出發的
[33:23] 現在連臺擬都能漲了
[33:25] 這個臺股沒有不可能的事情
[33:26] 但是BBU呢
[33:28] 只能說原本如果是看好趨勢
[33:30] 那隻能說在下跌的時候呢
[33:32] 第一時間可能就要先設好一個
[33:34] 停利停損點
[33:35] 那如果第一時間沒走
[33:37] 第二時間腳麻了
[33:38] 現在可能已經來到了
[33:39] 接近要
[33:40] 我覺得快要探底
[33:41] 足底的階段
[33:42] 可能就真的稍微用現股
[33:44] 多等待一下
[33:45] 好
[33:45] 也是族群性的問題
[33:47] 不是單一的股票不好
[33:48] 是整個族群都不好
[33:50] 那因為BBU我也必須講
[33:51] 我覺得可能比較委屈
[33:52] 真的就是老大ASKY
[33:54] 因為他的獲利真的很好
[33:55] 對不對
[33:56] 那只是
[33:57] 現在整個族群都不好
[33:59] 那再好的獲利
[34:00] 可能都會被委屈
[34:01] 不然他就比較委屈了嘛
[34:03] 如果他獲利正常
[34:04] 股價也正常
[34:05] 沒有委屈
[34:05] 他現在是委屈
[34:07] 你大概心裡面知道
[34:08] 是這樣就好
[34:09] 可是做股票
[34:10] 一定要有一個概念
[34:11] 如果你覺得他委屈
[34:12] 也許就是在他止跌的時候
[34:15] 蹲點
[34:15] 這個我們常常講
[34:16] 他在往右下角去了
[34:17] 你不用這時候接刀
[34:18] 對不對
[34:19] 你就觀察一下
[34:20] 止跌了
[34:22] 甚至底部爆了一個大量了
[34:24] 當然有一些少數的股票
[34:25] 會忽然V轉
[34:26] 這個我沒話講
[34:27] 像我覺得當年的連發科
[34:29] 就是也沒有當年
[34:30] 幾個月前而已
[34:31] 因為我一直覺得
[34:32] 發科就是委屈了
[34:33] 我想有聽Parkes的人
[34:35] 一定都常常聽到我在講
[34:36] 可是我不知道
[34:37] 它什麼時候會反轉
[34:38] 我只知道
[34:39] 跌到1200以下的發哥
[34:41] 很可憐
[34:41] 賺六七十塊的公司
[34:43] 全世界前五大
[34:45] 跟第五大的IC設計公司
[34:47] 臺灣第一大
[34:48] 受這種待遇
[34:49] 我天天講這個
[34:50] 可是因為它還是
[34:51] 比重比較多在消費金電子
[34:53] 可是它有ESICA
[34:54] 也是有一些對AI的展望
[34:56] 就有一天它就V轉
[34:57] 它真的是V轉
[34:58] 我抓不到那個V
[35:00] 可是有蠻多的公司
[35:02] 是在沉澱的過程中
[35:03] 沉澱了兩個月
[35:04] 三個月
[35:05] 其實華晨也是這樣
[35:06] 兩個月三個月
[35:07] 橫盤整理洗洗刷
[35:08] 忽然之間市場覺得
[35:09] OK了他好委屈
[35:10] 他就上去了
[35:11] 一去就好幾百塊
[35:12] 所以剛好今天
[35:15] 我看到有人在問ASKY
[35:17] 我就必須告訴你
[35:17] 他給我的感覺
[35:18] 也是他很委屈
[35:19] 可是你不用在
[35:20] 他還在往右下的時候
[35:21] 硬要去結
[35:22] 或是硬希望
[35:23] 他明天就會漲
[35:24] 我不知道
[35:25] 我只知道
[35:26] 他開始沉澱了
[35:27] 量縮了
[35:28] 也沒有再跌了
[35:29] 甚至突然底部爆大量了
[35:31] 會是一個比較好的現象
[35:33] 那像順達
[35:34] 我一直比較看不懂
[35:35] 是說順達獲利也是有成長
[35:37] 但是以前順達的本業
[35:38] 就是賺五六塊
[35:39] 不是不成長
[35:40] 可是對比它之前漲到四百多
[35:42] 我是真的比較看不懂
[35:44] 我是真的對於那個本益比
[35:45] 比較看不懂
[35:46] 所以這個族群裡面
[35:48] 有一些個股的本益比
[35:49] 是奇高無比的
[35:51] 那個我就真的沒話說
[35:52] 那個也是要等資金的風回來
[35:54] 總之老大動了
[35:56] 他們應該就會動
[35:57] 對那現在市場的資金
[35:58] 可能跑去比較低位階
[36:00] 跟電力相關的
[36:01] 那就是市場的決定
[36:03] 我覺得這個是
[36:04] 我們在做投資的時候
[36:05] 一定要理解的
[36:06] 但市場決定中
[36:08] 誰是委屈的
[36:08] 誰是合理的
[36:09] 那當然就是基本面說話
[36:11] 我覺得這個
[36:12] 就也是很合理的
[36:14] 好那最後的最後
[36:16] 那生化家這樣講
[36:17] 你覺得大家可以順勢去找
[36:19] 類似累金類低位階的一起嗎
[36:22] 碳化系
[36:23] 生化家
[36:24] 林化英
[36:25] 對
[36:26] 短線上面來看的話
[36:29] 我覺得還有可為
[36:30] 因為現在就是
[36:31] 需求大幅度的湧現之後
[36:34] 所謂的有產能者得天下
[36:36] 你可以看到
[36:37] 包括聯電世界先進
[36:39] 甚或最近賣廠的利基電
[36:40] 他們等於說
[36:42] 現在你握有廠房
[36:43] 能夠快速滿足
[36:45] 國際大廠供應鏈需求
[36:47] 就能夠代價而沽
[36:49] 所以不論是要賣廠
[36:50] 還是要代工
[36:51] 還是要技術合作
[36:53] 技術移轉
[36:53] 所以當然現在年代
[36:55] 就是說往下來看
[36:56] 誰有八寸廠六寸廠的
[36:58] 過去可能整個駕動率很低的
[37:00] 都有一些想象的空間了
[37:02] 那再加上就是說
[37:03] 確實在中心半導體的帶頭之下
[37:06] 現在成熟製成也
[37:07] 就是要確定漲價了
[37:10] 所以我覺得漢磊跟家晶
[37:13] 應該是這一波
[37:14] 也算是受惠這個漲價效益
[37:17] 外溢效果出來的這個補漲股
[37:20] 那包括就是又去延伸到像
[37:22] 連2342的茂系
[37:24] 今天也是衝上去了
[37:25] 那這些個股呢
[37:27] 只要我覺得沒有爆量
[37:29] 然後出現連續的黑一K的話
[37:31] 應該就代表就是說
[37:32] 在裡面的主力資金都還在
[37:35] 那應該就是可以順勢的回去做操作
[37:37] 不過切記
[37:38] 所有的題材股
[37:40] 就現在是凌晨一點的賭場
[37:42] 凌晨三點到的時候呢
[37:44] 就快要接近風關倒數的時候呢
[37:46] 記得
[37:47] 這個不管你有沒有在這個牌桌上贏到錢
[37:50] 都記得要買單走人
[37:52] 好這很有趣
[37:54] 因為這最後講一個小故事
[37:55] 下次也邀微良來打德州撲克
[37:58] 因為我們上次就是一起去愛人家打德州撲克
[38:01] 那後來你知道我們裡面賭線很堅強
[38:03] 像小哥
[38:04] 哥真的是一個賭線很堅強的人
[38:06] 然後最後是因為雲翔哥要去趕著接家人
[38:09] 就是要去接機
[38:11] 他就說不行了
[38:12] 真的最後一把了這樣子
[38:13] 然後我就要走了這樣
[38:14] 然後小哥就一直覺得很不甘願
[38:17] 很不想走
[38:18] 然後後來事後他跟我講說
[38:19] 那種氣氛超奇怪的
[38:21] 因為沒有贏
[38:22] 你就會很想要繼續做下去
[38:25] 然後繼續弄到自己會贏這樣子
[38:27] 對
[38:27] 所以剛剛威良講的沒有錯
[38:29] 提早手的人是已經賺到了
[38:31] 覺得見好就熟
[38:33] 那會繼續豁下去的就是沒有贏
[38:34] 我們不要做這樣的人
[38:36] 屁股不要黏在椅子上
[38:37] 對
[38:38] 屁股不要黏在椅子上
[38:40] 因為最近的盤
[38:41] 雖然是多頭趨勢
[38:43] 可是確實輪動很快
[38:44] 那沒有輪到的
[38:45] 你可能就會常常變成追高殺低
[38:48] 會有這樣的問題
[38:49] 希望大家不要
[38:50] 好那今天很謝謝威良
[38:51] 也祝福各位股貨宅們
[38:53] 在這個震盪中能夠保平安
[38:55] 那大家拜拜
[38:56] 拜拜
