[00:00] 欢迎收听赵华谕古货载第1053集
[23:33] 60% 70%帮你选一些高息股
[23:35] 也有这样的搭配
[23:37] 所以现在的市场
[23:38] 真的有很多的选择
[23:39] 那刚刚讲的是
[23:40] 当你单押在一档股票上的时候
[23:42] 你的换得换失感肯定比较重
[23:44] 所以我觉得要适当的配
[23:46] 就是你有喜欢的个股就买吧
[23:48] 因为个股的魅力就是这样
[23:49] 张厅班
[23:50] 对
[23:50] 那但是你其他的
[23:52] 你喜欢这个老AI
[23:54] 你觉得相对比较稳健
[23:56] 你可能就是买一些
[23:57] 含有老AI成分比较高的
[23:59] 那他可能长得比较慢
[24:00] 可是你的心情比较稳定
[24:01] 而且像我有朋友的信念就是
[24:03] 我跟你讲
[24:04] 接下来就要涨到我的股票了
[24:06] 那很好啊
[24:08] 如果你刚好把它卖掉
[24:10] 它又飞起来
[24:10] 是不是很扼腕
[24:11] 可是你一直放的
[24:12] 又觉得资金效率很差
[24:13] 那你就不妨用这种ETF
[24:15] 它是买比较多这种
[24:17] 大型股老AI的放在那里吗
[24:18] 那另外一方面
[24:19] 刚才我俩已经呈现
[24:21] 它是一个超级积极的
[24:22] 991A跟981A
[24:24] 对不对
[24:25] 不止这几档
[24:26] 还有很多档
[24:27] 那大家可以去搜寻
[24:28] 他们的持股组合
[24:30] 例如说
[24:30] 像我这几天涨最多的ETF
[24:32] 其实是988A
[24:33] 不是要帮统一做广告
[24:35] 刚好是统一的
[24:36] 那也是刚好
[24:37] 也是另外一个达人跟我讲说
[24:40] 这一档他在台湾
[24:41] 做这个台股的主动那么厉害
[24:44] 会不会做海外的也很厉害
[24:45] 我说我不知道
[24:46] 但是我看一下他的持股好了
[24:47] 那因为一般我们在台湾
[24:49] 买到投资美股的ETF
[24:50] 可能大多数你会觉得
[24:52] 先买那种什么追踪QQQ
[24:54] 就是什么追踪纳斯达克的
[24:56] 追踪标普
[24:57] 本来就稳扎稳打
[24:58] 可是这一档呢
[25:00] 988A他追踪的第一大持股
[25:02] 是流明光学
[25:03] 第二大是美光
[25:04] 然后第三大
[25:05] 第四大好像是Sendisk
[25:06] 然后接下来是有些能源
[25:08] 对
[25:08] 所以他很积极
[25:09] 他跑去买的不是美股七巨头
[25:11] 美股七巨头或是尖牙股的表现
[25:13] 其实就比较差
[25:14] 00757嘛
[25:15] 对不对
[25:15] 尖牙股的就表现比较差
[25:16] 但这档他是去找美国的中小型股
[25:19] 都标股
[25:20] 所以哇
[25:20] 他真的从礼拜一到现在
[25:22] 好像涨了12%
[25:23] 对
[25:24] 所以我觉得也是蛮有趣的
[25:26] 大家可以不妨多研究一下
[25:28] 坊间有这些ETF
[25:29] 我记得有一次威良来
[25:30] 还帮我们统整了
[25:31] 目前挂牌的一些主要ETF的特色
[25:35] 那后来大家就有人传讯
[25:37] 你说是哪一集魏良讲的
[25:39] 我说魏良那么少来
[25:40] 他讲的每一集
[25:41] 你都去听一下就好了嘛
[25:43] 而且有的时候就是
[25:44] 因为上节目整理资料
[25:46] 甚或是呢
[25:47] 这个有时候
[25:47] 可能就是跟投信有合作
[25:50] 我觉得反而都借那样机会
[25:51] 更深入了解那个标题
[25:53] 没有错啊
[25:53] 像991A
[25:54] 我就是因为跟他们合作过
[25:55] 所以对这个产品呢
[25:57] 就特别熟悉
[25:58] 对
[25:58] 我记得他好像还有
[25:59] 就是选股词是从
[26:01] 即将变成台湾50的
[26:02] 里面选嘛
[26:03] 对
[26:03] 那是你来讲的
[26:05] 因为他的名称叫未来50
[26:06] 我觉得这个概念很棒
[26:08] 对对对
[26:09] 好
[26:10] 那我自己有买985A
[26:12] 那时候也有讲
[26:13] 985A他就是对标说
[26:15] 他从台湾前150大来做组合
[26:17] 也是尽量选大型股
[26:18] 没有错
[26:19] 但他希望打败0050
[26:20] 我觉得这些都是
[26:22] 我们跟投信有接触过之后
[26:24] 然后完整听他们讲完
[26:26] 然后才会有一个概念跑出来
[26:28] 那当然还是要提醒
[26:29] 像主动式的产品
[26:31] 他们的经理费跟管理费
[26:33] 难免都会比较高一点
[26:34] 但如果他诉求
[26:35] 他的绩效表现
[26:36] 是要跑赢被动式的
[26:37] 我觉得就不要那么拘泥
[26:39] 说你看他的管理费怎样
[26:41] 本来就是啊
[26:42] 被动式就是
[26:42] 那个指数写好了
[26:44] 就跟着买
[26:45] 你要人家收多高的管理费
[26:47] 他的优势当然就是
[26:47] 管理费越低越好嘛
[26:49] 所以之前才会0050跟6208
[26:51] 在那边
[26:51] 就是管理费之争
[26:53] 然后最后是分拆之争
[26:55] 大家都要努力降低
[26:56] 进入的门槛
[26:57] 那主动式
[26:58] 我觉得管理费收高一点
[26:59] 是正常的啦
[27:00] 因为你不会在意
[27:01] 那个一趴两趴吧
[27:02] 你要的是人家的
[27:03] 十几二十趴一倍两倍
[27:05] 所以我觉得这个观念
[27:07] 也在我们跟投信聊过之后
[27:09] 可以更正确的传递给听众
[27:11] 我觉得是很重要的
[27:12] 那喜欢个股的朋友
[27:14] 我想最近全职股的回升
[27:17] 大家也可以观察营收的状况
[27:19] 尤其是一月加二月的营收
[27:22] 像刚刚我在录音的同时
[27:24] 就有人传讯息说
[27:25] 为什么这一波涨十全
[27:27] 怎么涨那么慢
[27:28] 我其实没有特别研究
[27:30] 但是我想跟威良讨论一下
[27:32] 因为我刚好去看实权
[27:33] 它的营收很差
[27:34] 年减非常多
[27:36] 60几%
[27:37] 然后月减
[27:38] 我觉得那个模组厂
[27:39] 会有一个问题是
[27:41] 他们当初到底怎么去控
[27:42] 他们买卖的速度
[27:44] 这个各家我们真的比较不清楚
[27:46] 所以营收获利
[27:47] 就变成我们很重要的参考数据
[27:49] 所以像这一次呢
[27:51] 姿态相对最强的
[27:52] 应该就是5289以鼎
[27:54] 那大家就可以发现
[27:55] 获利超级大
[27:56] 二月营收
[27:57] 月增年增
[27:58] 而且这个单月营收
[27:59] 还是创历史新高
[28:01] 那相对来看呢
[28:02] 因为现在模组厂
[28:04] 大家本来就是比较担心说
[28:06] 到底每一家业者
[28:07] 手上的库存剩多少
[28:09] 那你的库存呢
[28:10] 是买在哪个价位
[28:11] 是低价呢
[28:12] 还是高价之后去追的
[28:13] 那其实以鼎他的策略很清楚
[28:16] 因为他原本呢
[28:17] 就是跟像包括南亚科
[28:19] 包括像这个三星
[28:21] 他们的长期的合作关系
[28:23] 就非常紧密非常好
[28:25] 所以呢他也更是呢
[28:26] 早在去年的
[28:27] 大概第三季尾声的时候
[28:29] 就已经跟这些原厂提早签了长约了
[28:33] 所以一方面就是你在巩固料源部分
[28:36] 是比较确认的有能见度
[28:38] 那二方面呢
[28:39] 因为长期合作在谈价格的部分
[28:41] 也会比较有一些优势
[28:42] 那现在就直接就反映在业绩的数字上面
[28:45] 是非常的强
[28:46] 那另外呢
[28:47] 我觉得不然就是要看
[28:48] 现在的模组厂
[28:49] 他是不是能够及时的出来
[28:52] 跟法人跟投资人互动
[28:53] 也就是法说会
[28:54] 你能够讲清楚说明白
[28:56] 那大家也就比较有信心
[28:58] 像最近3260威刚
[29:00] 因为上礼拜开法术会就提到
[29:03] 预计这个月底
[29:04] 它的这个模组的
[29:06] 它的掌握的库存
[29:08] 就可以从原本的310再拉高到350亿
[29:11] 那这足足就是它股本的10倍以上
[29:13] 所以看起来它也是在2月营收
[29:16] 也缴出了好表现
[29:17] 那看起来就是这个威刚的董作
[29:21] 过去以来一直都是对于整个记忆体
[29:23] 确实它对于行情的掌握
[29:25] 算是蛮犀利的
[29:27] 那所以这个股价就会说话
[29:30] 这个姿态也是呢
[29:31] 就比较高
[29:32] 那但现在模组场看起来就是呢
[29:34] 一线跟二线
[29:35] 这个业绩的差距
[29:37] 跟股价的强弱
[29:38] 就越来越拉开了
[29:39] 那刚刚我其实也还注意到一档
[29:42] 就是大家很少去特别谈
[29:44] 我是举一个反例
[29:45] 就特别特别烂的
[29:46] 8277商城
[29:48] 因为有时候记忆体
[29:50] 如果很热的时候
[29:51] 这档个股
[29:52] 因为它本来就是那种低价同板股
[29:54] 然后位阶又低
[29:56] 所以有时候可能呢
[29:57] 会被特定的有心人士拿来锁筹码
[30:01] 然后拉抬
[30:01] 但是散户如果不明就理会觉得说
[30:04] 反正很多都涨了或价格很高
[30:06] 那这个最可口最亲民
[30:08] 但是各位也是看一下
[30:09] 它的二月营收真是烂爆
[30:11] 也是大幅度的月减年减
[30:14] 然后股价也在破低
[30:15] 所以你就知道说这种就是代表
[30:17] 不是说这个记忆体行情一热
[30:21] 这个现在鸡犬都会能升天
[30:22] 我觉得现在记忆体已经开始进入到
[30:24] 这个操作的第二阶段了
[30:27] 就是整个景气还在往上
[30:29] 可是因为先前股价
[30:31] 从最高点大家都跌下来
[30:33] 然后目前在展开反攻的过程
[30:35] 那事实上可能就会有一点
[30:38] 这个走势越来越明显的分歧
[30:40] 好 更正一下
[30:41] 是月减
[30:42] 月减66%
[30:43] 当然因为二月有年假
[30:44] 但是有很多的公司在二月
[30:46] 不但没有月减
[30:47] 还年月双增
[30:49] 对
[30:49] 有那个年假还在加班赶工
[30:52] 那年减是22%
[30:54] 确实在模组场里面
[30:55] 以他过去我们的印象是
[30:57] 库存应该是不少的
[30:59] 这个成绩确实让人有点意外
[31:01] 但我觉得魏朗讲出了我的心里话
[31:03] 因为模组厂在去年底的时候
[31:06] 我先承认
[31:07] 听我频道朋友应该都知道
[31:09] 我对操作记忆体是比较没有把握的
[31:11] 所以我比较不碰
[31:12] 可是如果你买991A或是988A
[31:14] 他们都有记忆体
[31:15] 或者是像988A
[31:16] 它有美光SANDISK
[31:17] 所以我是间接持有记忆体
[31:19] 但记忆体个股
[31:20] 为什么我比较没有办法碰的原因是
[31:22] 涨到高档以上
[31:23] 其实在第一位街
[31:25] 一路往上涨的时候
[31:26] 都有提醒大家
[31:27] 报价一直往上
[31:27] 绝对没问题
[31:28] 就看你自己的风险
[31:29] 可是因为涨到这边
[31:30] 它开始涨跌互见
[31:32] 甚至有的破季线
[31:33] 那个我觉得
[31:34] 要我去掌握到
[31:35] 跌停就买
[31:36] 涨停就卖
[31:36] 我没那把握
[31:37] 可是有一个逻辑
[31:39] 倒是可以跟大家分享
[31:40] 其实从去年的
[31:41] 应该是第四季
[31:43] 各个模组厂
[31:44] 就有在讲这个事情
[31:45] 就如同威良提醒的
[31:47] 其实威刚的陈立白陈董
[31:49] 是喜欢出来
[31:49] 跟媒体和法人讲话的
[31:52] 那他就有提醒说
[31:53] 如何来拿捏手上的库存
[31:55] 因为你卖的越来越贵嘛
[31:57] 你要去备料
[31:58] 其实你也不容易拿到低价
[32:00] 那你现在卖了
[32:01] 那未来更高呢
[32:02] 你会不会现在就卖便宜了
[32:03] 把低价的卖完了
[32:04] 那怎么办
[32:05] 好
[32:05] 他在这个部分
[32:06] 他非常仔细的有在研究
[32:09] 包括我记得去年
[32:10] 不知道七月还是八月
[32:11] 就有一个新闻
[32:12] 是他飞什么韩国
[32:13] 飞哪里去求货
[32:15] 他要囤货
[32:16] 即使那时候
[32:16] 记忆体已经上涨一段了
[32:18] 可是现在回头来看
[32:19] 那时候是半扇腰
[32:20] 显然他那时候囤了不少货
[32:21] 所以他最新一次出来
[32:23] 就非常智德意满的时候
[32:25] 他手上的货非常的多
[32:27] 对
[32:27] 那实权如果今天是
[32:29] 这样的一个情形
[32:30] 那实权的老板似乎是
[32:31] 比较没有像陈董
[32:32] 这么爱出来的话
[32:34] 我记得是夏老板
[32:34] 那他们可能用这个数字呈现
[32:38] 那他可能在二月的时候
[32:39] 显然就呈现了一个
[32:40] 也许是习受
[32:41] 也许是不确定为什么原因
[32:44] 总之一定是出货没有那么多
[32:45] 对
[32:46] 所以呈现这个状况
[32:47] 那市场又好热钱又好现实
[32:50] 整个他的形态
[32:51] 长得就跟威刚是完全长不一样
[32:53] 所以我觉得操作记忆体
[32:55] 这一点就是最麻烦
[32:56] 但是喜欢出来喊话的
[32:57] 包括群联
[32:59] 我们昨天有给他们slogan
[33:02] 相信利白
[33:03] 财富不留白
[33:05] 然后相信建成
[33:07] 因为群联是判建成
[33:08] 财富会加成
[33:09] 然后相信黄董
[33:11] 年底就懂
[33:12] 现在已经年初了
[33:13] 所以愿意出来跟市场沟通的
[33:16] 可能在这一波会比较占便宜
[33:18] 记忆体有时候当然
[33:20] 我觉得每一个小波段的
[33:23] 领头的强势股
[33:24] 也稍微不太一样
[33:25] 这两天最强
[33:26] 当然是南亚科
[33:27] 南亚科
[33:27] 但他也跌得很惨之前
[33:29] 之前他很弱
[33:30] 但是再早一点的话
[33:31] 其实是万宏
[33:32] 那更早之前
[33:33] 有一大段是华邦电
[33:34] 那利基电都有轮流过
[33:36] 所以如果大家
[33:37] 对于单一个股
[33:39] 比较怕轮来轮去
[33:40] 抓规走憋的话
[33:41] 那也当然可以考虑一下
[33:43] 刚才有讲到
[33:44] 几档ETF有记忆体
[33:45] 那除此之外呢
[33:47] 我大概有扫描过
[33:48] 盘面当中
[33:49] 对于买记忆体
[33:50] 整个家总比重最高的
[33:52] 应该是00947
[33:53] 就是台新的IC设计
[33:55] 那除此之外
[33:57] 如果讲今年的台股主动ETF
[33:59] 我们抓如果说
[34:00] 绩效前五名的
[34:01] 前五强
[34:02] 那他们有买的记忆体个股不多
[34:04] 就是群联
[34:05] 华邦电跟旺宏
[34:07] 这三档
[34:07] 也可以当作是你的口袋名单
[34:10] 那最后如果说
[34:11] 真的记忆体又有点拉回
[34:13] 或是甚或再来一点
[34:15] 这个小股灾的话
[34:16] 我个人下次
[34:17] 如果还有现金要all in的话
[34:18] 我可能会考虑一下
[34:19] 00735
[34:20] 这档是国泰的台韩科技
[34:23] 台韩科技
[34:25] 三巨头
[34:25] 那应该很猛吧
[34:26] 我来看一下
[34:27] 第一个当然台积电
[34:29] 它的波动应该很猛
[34:30] 第二个呢
[34:31] 它大买海力士跟三星
[34:33] 所以我说它应该很猛
[34:35] 我现在在看
[34:35] 它这个也累积的净值不少
[34:38] 它现在要六十几块
[34:41] 快七十块
[34:43] 因为这一波如果真的说记忆体要比拼到最后笑到最后我觉得还是在看HBM对所以三星海力士尤其是海力士我觉得会是一个投资的重点
[34:54] 他也跌到过有一天跌8%
[34:56] 有一天我就跟大家讲说
[34:58] 981A跌8%
[34:59] 991A也有跌8%
[35:00] 那追涨也有跌8%
[35:02] 我觉得蛮有趣的
[35:03] 我现在可能也会请朋友
[35:05] 帮我开发一个
[35:05] 就是ETF相关的程式
[35:08] 以后就可以捞
[35:09] 今天的涨跌服务
[35:10] 他们的换股的情况
[35:11] 这样我们还在做后台的测试
[35:12] 我觉得以后这个出来以后
[35:14] 就可以定期在
[35:15] 不管股货仔
[35:16] 或是我自己的节目
[35:16] 跟大家分享
[35:17] 到底这些主动式的ETF
[35:19] 或者被动式的ETF
[35:20] 在做什么
[35:21] 那被动式不会那么频繁换股
[35:23] 所以看换股就比较没有意思
[35:25] 可是看波动很有趣
[35:27] 哇
[35:27] 现在ETF没有开杠杆
[35:29] 都可以涨跌七八趴
[35:31] 真的很夸张
[35:32] 所以它有
[35:33] 其实主动的加入战场
[35:36] 我真的觉得是很有趣的事情
[35:38] 它可以取代掉
[35:39] 大家自己玩这个股票
[35:41] 冲冲乐
[35:42] 他们其实真的是
[35:43] 也是非常灵活的
[35:45] 我觉得这个是大家可以慎重考虑的
[35:47] 可是我也希望大家还是要买个股
[35:50] 为什么
[35:50] 因为每一家公司挂牌
[35:51] 他从投资市场上来募集资金
[35:54] 他们就有他本身的特质跟价值
[35:57] 就像刚刚讲到的
[35:58] 同样是记忆体
[35:59] 如果你真的跟其中某一家
[36:00] 特别有缘分
[36:01] 你就会感受到
[36:02] 你跟他的叠
[36:03] 你就会敢捡
[36:04] 涨你就敢停利
[36:06] 的那一个默契在哪里
[36:08] 就像我之前在细光纸上很开心
[36:10] 可是这一次现在
[36:10] 我们缘分有点错过了
[36:12] 没有关系
[36:13] 我等
[36:13] 因为还是要给大家
[36:14] 一点风险提醒
[36:16] 今天的大涨
[36:17] 不只是油价的回跌
[36:19] 当然今天油价
[36:20] 又在回跌更多了
[36:21] 因为刚刚讲到
[36:22] AG7
[36:23] 各国有战备除油
[36:25] 要释出等等的
[36:26] 它让油价在短期内
[36:28] 通膨的疑虑
[36:29] 很快的就消失了
[36:31] 可是战争结束没
[36:33] 战争当然是还没有结束
[36:34] 美伊都还在谈
[36:36] 另外甲骨文是给AI
[36:38] 非常大的一个强心针
[36:40] 刚刚也特别提到
[36:41] 本来甲骨文就是这一波
[36:43] AI上涨的时候的一个起头
[36:44] 也是下跌的一个起头
[36:47] 那现在又回到上涨的一个起头
[36:49] 所以现在盘面很有趣
[36:51] 前两天非常悲观
[36:52] 觉得AI孤独投资
[36:53] 觉得要通膨了
[36:55] 两个疑虑在今天同时消除
[36:57] 才会产生一个这么大的涨势
[36:59] 可是这些都有一点点情绪
[37:02] 在超跌之后的超涨的味道跑出来
[37:05] 那筹码在最近有没有洗干净
[37:07] 当然融资洗出去不少
[37:08] 应该有洗到200亿左右
[37:09] 但是不是够了
[37:11] 可能不一定够哦
[37:12] 那接下来会不会震荡
[37:14] 个人觉得还是会啦
[37:16] 还是会有震荡
[37:17] 但只是大家就秉持着
[37:19] 我们在这段时间再一次验证了
[37:21] 如果是景气持续向上中间的震荡
[37:25] 那回档都还是视为买点哦
[37:28] 那如果今天是例如
[37:30] 举例来说
[37:31] 接下来要公布的财报不好了
[37:33] 甚至4月台积电的法说
[37:34] 讲的比较保守
[37:35] 应该不会啦
[37:36] 讲的稍微比较保守了
[37:37] 这类的有关于前景景气
[37:40] 因为景气不会永远扩张
[37:42] 扩张扩张会稍微缓一缓
[37:44] 缓一缓再扩张扩张
[37:45] 如果进入到缓
[37:46] 或者甚至到有点疑虑的时候
[37:48] 那个时候我们就要拉长战线
[37:50] 就不是一叠就买
[37:52] 大叠两千点就买
[37:53] 就比较不是这个样子
[37:55] 但现在我们还是视为是
[37:57] 多头景气扩张期的回荡而已
[37:59] 不晓得为了怎么看
[38:00] 确实啊
[38:02] 大家如果没有忘记的话
[38:03] 现在台湾是亮红灯
[38:04] 不是蓝灯
[38:05] 对
[38:05] 所以已经连续亮了两个红灯
[38:07] 那这个当然也不用担心说是不是过热
[38:10] 因为事实上这个整个
[38:12] 我觉得景气的温度是刚刚好的
[38:14] 去年这个GDP成长率8.68%
[38:16] 那今年目前来看的话
[38:19] 预测都还有7.7%以上
[38:20] 所以大致上呢
[38:22] 上市贵的银鱼今年呢
[38:23] 势必又会再改写历史新高
[38:25] 所以其实每逢集点
[38:27] 尤其是跟整个经济或者产业趋势
[38:31] 基本面无关的集点
[38:32] 我觉得通常还是冷静找买点会比较好
[38:35] 只不过总结来看
[38:36] 我是觉得原本就是说
[38:39] 涨多就是最大的风险跟利空
[38:42] 当然我们事先不会知道
[38:44] 在什么时间点会用什么原因作为下跌
[38:47] 这一次因为美国出兵伊朗
[38:50] 可能就让大家是一个意外
[38:51] 但是这一次应该只是算是
[38:54] 整个放眼2026年的修正里面
[38:56] 我觉得一次小股灾
[38:58] 这严格上来说
[38:59] 真的不能算是一个大回荡
[39:01] 只是一个小股灾
[39:02] 那可能今年呢
[39:04] 还是会面对不同的考验啦
[39:07] 我觉得不太可能
[39:08] 这一个关卡过了之后呢
[39:10] 就一路风平浪静到年底
[39:12] 再加上就是
[39:13] 通常我们在第二第三季
[39:15] 也会因为呢
[39:16] 一些想不到的原因
[39:17] 又再出现一些回档整理
[39:19] 所以今年呢
[39:20] 就是保持操作的一个机动性
[39:22] 我觉得还是最重要的
[39:24] 对因为
[39:24] 今年即使各个投信投顾
[39:27] 对于展望都很好嘛
[39:28] 可是第一季其实就涨到
[39:30] 差不多很多人的高点区了
[39:32] 对
[39:32] 所以如果以
[39:33] 不管是我们传统会讲的U型
[39:35] 或是说一年中间
[39:36] 你总是会有一个回答
[39:37] 或者是我们台股
[39:39] 本来就容易在
[39:40] 例如说像第二季第三季
[39:41] 有所谓的除息
[39:42] 蒸发点数等等的
[39:44] 所谓的黑天鹅
[39:45] 就是没有办法预测
[39:46] 才叫黑天鹅
[39:47] 所以我跟我讲
[39:48] 即使再怎么样自信
[39:50] 我们也是对自己的
[39:52] 例如说部位
[39:53] 或者是下跌的时候怎么买
[39:55] 这件事情有自信
[39:57] 可是会发生什么事情
[39:58] 没有人有自信
[39:59] 可以告诉你
[40:00] 像那种预言家告诉你
[40:01] 这个黑天鹅就是什么什么
[40:02] 好不知道
[40:03] 可是我们觉得一年当中
[40:05] 是很有可能会出现的
[40:06] 尤其是涨这么多之后
[40:07] 最近的回档
[40:08] 真的不能算是什么重要的回档
[40:11] 就跌了
[40:11] 我记得最多跌11%吧
[40:13] 真的还好而已
[40:14] 20%大家才觉得是有这个空头成形
[40:17] 或进入熊市
[40:18] 所以我们就延阵以待好不好
[40:21] 最近的大涨大跌就紧记着
[40:23] 确实我的想法是
[40:25] 大跌的时候买进你信任的部位
[40:29] 但大涨你不一定要当股神
[40:31] 一定要马上卖掉
[40:33] 我有分
[40:33] 像期货做杠杆的
[40:35] 真的是好玩
[40:36] 或者是有人说买正二
[40:37] 这几天弹起来把它卖掉
[40:39] 我觉得OK
[40:39] 可是你一定要累积到
[40:41] 你足够的部位
[40:42] 你未来才有办法
[40:43] 在投资市场上
[40:44] 是一个丰厚的果实
[40:46] 这件事情不变
[40:46] 以及永远要保持
[40:48] 就是你平常的收入
[40:51] 或者是该停利的时候停利
[40:52] 这样你手上才会有
[40:53] 所谓可以加码的钱
[40:54] 如果真的二三季
[40:56] 有出现一个更大的变化
[40:57] 我想到时候
[40:58] 我希望听到的
[40:59] 不再是哀鸿遍野
[41:01] 而是会去分辨
[41:02] 就是到底这次
[41:04] 是不是一个好的机会
[41:05] 尤其股灾来的时候呢
[41:07] 像这一次
[41:08] 我为什么在礼拜一
[41:10] 把所有的可用的资金
[41:12] 都全部打进去
[41:13] 其实在下单之前
[41:15] 我也问了我自己一个问题
[41:16] 什么问题
[41:17] 就是如果买完又下跌
[41:19] 我会比较痛苦
[41:20] 还是呢
[41:21] 我只买了一部分
[41:22] 然后想要逢低继续买
[41:24] 但是却开始大涨
[41:25] 哪一种情况
[41:26] 我会比较觉得后悔
[41:28] 遗憾痛苦
[41:28] 后来我想想
[41:30] 其实呢
[41:30] 因为我买进了标的
[41:31] 重点是
[41:32] 我对他们有信心
[41:34] 那我对未来觉得
[41:35] 会看到更高的价格
[41:37] 所以其实就不用呢
[41:39] 执着再去回顾过去
[41:41] 或者是只是去想现在
[41:42] 而是应该瞄准未来
[41:44] 所以我就决定呢
[41:45] 不如一次all in了
[41:46] 就不用再在意说
[41:48] 是不是接下来几天
[41:49] 有可能再破新低等等
[41:51] 因此其实
[41:52] 在股灾发生的时候
[41:54] 如果你买最低
[41:55] 可能只是呢
[41:56] 高兴一时
[41:57] 但是我觉得买的多
[41:58] 才是成为接下来
[42:00] 上涨的时候
[42:01] 真正的大赢家
[42:02] 对
[42:03] 自问一下
[42:04] 对不对
[42:04] 如果我现在
[42:05] 把我所有的收入
[42:06] all in在这一笔
[42:08] 明天下跌
[42:08] 我会不会后悔
[42:09] 有可能
[42:10] 所以我就没有这么做
[42:11] 没有
[42:11] 这真的是看个人
[42:13] 因为不是收入
[42:15] 下一个月
[42:15] 我两个又会有
[42:16] 大笔的收入进来了吗
[42:18] 好啦
[42:18] 开玩笑的
[42:19] 可是我觉得很好
[42:20] 就是真的是自问
[42:22] 然后你在自问的时候
[42:23] 你才会敢把你的钱放在
[42:25] 我刚刚不断的
[42:25] 整集都在强调
[42:27] 你信任的
[42:28] 你信任的资产
[42:29] 有人觉得
[42:30] 就像有人很喜欢
[42:32] 不管是机体
[42:33] 或低轨卫星
[42:33] 或矽光纸
[42:34] 我们讲的热门的嘛
[42:35] 那我也必须承认
[42:36] 我比较有感觉
[42:37] 就是PCB跟矽光纸
[42:39] 可是像低轨卫星
[42:40] 跟这个
[42:41] 机体
[42:42] 我就比较做不到
[42:42] 但也好啊
[42:43] 至少这四个热门产业
[42:45] 我有两个自己
[42:46] 稍微比较熟的嘛
[42:47] 你也不可能
[42:48] 你也不可能
[42:49] 四个都是你好朋友嘛
[42:50] 对不对
[42:50] 啊如果都没有
[42:51] 跟这四个都不想交朋友的
[42:53] 我觉得也没有关系啊
[42:54] 例如像刚刚讲到台积电
[42:56] 你跟着市值
[42:57] 那也没有错啊
[42:58] 对不对
[42:58] 很多人会很多的担心
[43:00] 例如说
[43:00] 如果有一天台积电崩盘
[43:02] 怎么办
[43:02] 我不知道台积电崩盘
[43:04] 其他人会怎么样
[43:05] 我觉得应该会很可怕吧
[43:06] 因为台积电至少已经把
[43:07] 未来三到五年
[43:09] 他在今年第一季的法说
[43:11] 你讲得这么清楚了
[43:13] 而他以前也几乎有啦
[43:15] 有一年我记得台积电
[43:16] 有调降彩车
[43:16] 就那么一次
[43:17] 但之后没有
[43:18] 之后几乎每次都超出彩车
[43:20] 如果是用这样子信用的
[43:22] 台湾的第一大市值的公司
[43:24] 来跟你讲
[43:24] 你都觉得很恐怖
[43:25] 那真的也许真的不适合台股
[43:27] 对我觉得就不要放台股了
[43:29] 放定存可能都比较好
[43:31] 或者买美股的ETF
[43:32] 也可以啊QQQ或是什么
[43:35] 但是你看这一波
[43:36] 对我觉得这边也要讲一下
[43:38] 就是台美股我们一直讲说要再平衡
[43:41] 事实上现在台股位积还是比美股高
[43:43] 所以这也是为什么我有时候去加码
[43:45] 我会加码是在美股
[43:46] 就是不管你不喜欢到
[43:49] 你觉得757那样很废好了
[43:51] 但是我觉得其实757废的时候
[43:53] 就是好的买点
[43:54] 那你就买
[43:55] 我刚刚讲到的是
[43:56] 纳斯达克的指数也好
[43:58] 像我喜欢科技
[43:59] 所以一定是费办跟纳斯达克来选
[44:01] 还有刚刚讲到的
[44:02] 就是他主动去帮你投资美股的
[44:05] 这些热门股的
[44:06] 那反而在他们位阶
[44:07] 跟台股比起来是相对低的时候
[44:09] 我也是倾向加码他们
[44:11] 我不太相信
[44:12] 永远都是美股在下面
[44:14] 台韩股在上面
[44:15] 其实我不太相信这件事情
[44:16] 没错
[44:17] 当然美国还是在科技产业
[44:19] 是首选
[44:21] 然后也是最有竞争力的
[44:23] 那我自己小孩
[44:24] 原本也都是定期定额
[44:25] 有在扣757
[44:26] 就有点费对不对
[44:29] 我最近把它停止
[44:30] 不是看坏
[44:31] 我把它停止
[44:31] 因为我这个
[44:33] 移情别恋了
[44:34] 我选到一个
[44:35] 我觉得我更喜欢的
[44:36] 009815
[44:38] 它跟757有一个很大的差别
[44:41] 它一样买美股七巨头
[44:42] 所以我当然是看好七巨头
[44:44] 但是它加了一个东西
[44:46] 它加了台积电ADR
[44:47] 我觉得这刚好
[44:49] 补足了我想要的那一块
[44:52] 因为我曾经
[44:53] 刚才一天我们都很多了
[44:54] 我曾经刚好当面问一下
[44:56] 这个757的经理人
[44:57] 因为没有特别去翻
[44:59] 他们公开说明书
[45:00] 问他说有没有可能将来
[45:01] 有一天去买台积电的ADR
[45:03] 我看到了
[45:04] 但是他们原本就受限这个规则
[45:06] 所以他是不能买ADR的
[45:08] 那我觉得后来常常很多新的基金
[45:10] 就是专门打别人的不足
[45:12] 或者是痛点
[45:13] 后面发的都是这样
[45:14] 所以后来这个9815
[45:16] 他就是买七巨头
[45:17] 然后再加上台积电ADR
[45:19] 好9815我看了
[45:20] 这个是大华的
[45:21] 那它现在的位积也低哦
[45:23] 它破发了
[45:24] 好
[45:25] 但是像这种公司
[45:26] 像这种ETF破发
[45:27] 它真的不要太烦恼
[45:29] 有人会觉得
[45:30] 像当初买940
[45:31] 破发很久
[45:32] 但是因为940的持股
[45:33] 真的它
[45:34] 好
[45:35] 第一是有一些持股
[45:36] 真的当初买的比较高之外
[45:37] 后来换股
