[00:00] 欢迎收听赵华与古惑仔的周末特别版
[27:16] 如果短时间之内
[27:17] 没有快速回来
[27:18] 其实虽然它还是多头
[27:19] 但这个多头就是比别人弱
[27:21] 那如果两相比较起来
[27:23] 我们可能会去买
[27:24] 那种比较强力反弹的股票
[27:26] 是
[27:27] 来去做操作
[27:28] 好
[27:28] 大家如果在听这一节的时候
[27:30] 不妨也可以拿出手上
[27:32] 华邦电跟金居的线图
[27:34] 假如您刚好有这两档的话
[27:36] 来对照一下
[27:37] 刚刚一边听
[27:38] 一边帮您做走图说明
[27:40] 然后这样的如果有兴趣的话
[27:43] 也可以来上一下这一堂
[27:44] 所谓的K线实战百科
[27:46] 好那今天非常谢谢
[27:48] 朱老师还有林老师
[27:49] 就跟我们古惑仔的朋友说拜拜咯
[27:51] 拜拜
