[00:00] 歡迎收聽《照華語古惑》在第1169集,今天是2026年的8月25號。
[35:44] 那你當然可以說,這個籌碼現在就是不好,但是你不能說金像店是一家不好的公司嘛,所以就要看你守住的原則是什麼。
[35:52] 例如現在爹不疼娘不愛,你愛他,你可能就需要一點點的耐力。
[35:57] 還有就是你的資金怎麼打進去,我覺得你要想的是這個,因為不是公司本人不好,是公司現在在全市場的共識裡面,他沒有辦法太過的凝聚。
[36:07] 那你如果喜歡他,你就不用一天到晚問他怎麼了,因為他沒怎麼了。
[36:12] 你就只能用你的步驟,例如說你已經買好了,可是他現在小套,那你能忍耐,你就忍耐。
[36:18] 或是你是用技術形態好了,它真的破了你覺得很重要的成本線或是一些關鍵均線,你覺得你沒有辦法忍耐,你可能就得要先出場。
[36:26] 就是你反而要去思考你的那條線是什麼,我覺得設備也是同樣的道理,因為我自己是蠻喜歡設備的。
[36:33] 那設備這波反彈弱,我在低檔有減,那反彈上來弱,我就要出掉嗎?其實對我來說也不用啦,我反而是在看看它如果又慢慢慢慢又下去了,它的本益比又回到可能只有十幾倍。
[36:45] 請問跟AI相關訂單買手本一筆十幾倍,然後股息其實平常發放也算大方的,我就算報到明年也有股息的,那就先這樣子吧,我覺得我可以忍耐,但是我不會每天在那邊說,他怎麼了,他怎麼了,他那麼好,為什麼投信不買他,為什麼現在還要賣,這樣就會失去意義。
[37:04] 那如果在各股上大家覺得壓力非常大,我們也常常講嘛,你就去買ETF嘛,你就去交給經理人操作,因為現在主動式的反應非常高之外,我覺得被動式其實他幫大家報股票也是繳出很好的成因單,或者像剛剛明翰講的,大家都不買台積電,好大家都不買台積電,如果說你有什麼0052好了,他有七成是台積電,對不對,那你也間接的持有台積電,而你的成本壓力沒有壓那麼大,資金可能沒有那麼大壓力那麼高,我覺得這些都是在現在的市場上,除非你看到的是他解出來財報或什麼有問題,我覺得你才要去檢視說,也許這家公司並沒有當初你想的好,或者他在漲的時候,他本來就是投機型的題材,他是沒獲利的往上漲,是因為沾到了什麼,我不要亂舉例好,等一下要罵我,
[37:51] 哈哈哈 呃 例如站到 可能光通訊齁 但是光通訊 我說實話 台灣這些廠商現在在漲齁 有一部分有做到未來的CPU相關 有一部分可能真的是跟著一起漲 我也只能這麼講 而且有人創新高的還不一定是技術最領先的 欸 說不要講 又講到這裡來齁 好 總之他的獲利能力本來就跟不太上的 我覺得你自己也要去拿捏 對不對 不然你就會在每一次公佈財報的時候 你覺得壓力又很大嘛 啊 結束了也虧損 我也不得不說市場很奇妙
[38:20] 結束後的虧損還漲,這種事情也是有,可是你的心就會變成你問我怎麼了,我也只能跟你說他獲利又不好,對不對?
[38:28] 可是如果其他是沒有他沒怎麼了,他獲利很好,需要的是耐性,心就會比較定了。
[38:33] 對,我剛剛講,確實剛剛趙華提到,每次人家都問哪一檔怎麼了?
[38:39] 我這樣講,我先給大家一個觀念,怎麼了其實很容易分辨。
[38:43] 第一件事情,你先看一下你這檔個股的基本面。
[38:46] 那剛剛提到就是說,比較重要的關鍵點就是因為這兩年因為AI帶動整個台股的上市櫃的營收獲利快速噴出。
[38:57] 所以現在確實大家都在放大檢視,你不能說我過往,你印象確實以我以前,如果沒有AI的時代,我覺得營收獲利如果兩位數增長,等於十幾%就已經非常非常厲害了。
[39:11] 現在動則都是二三十、三四十,所以你那個十幾個%其實都是明顯落後於均值,我覺得這很重要。
[39:20] 均值的概念。
[39:20] 好,那如果你說很多的個股,剛剛我們舉的很多例子,其實基本面都很好,都高於均值。
[39:28] 這時候你再問怎麼了,第二層,我跟大家講你辨別一下,就是說如果今天是整個族群,我簡單而言就是今天散熱都不好,那你說棋紅、雙紅每個都不好。
[39:40] 那我就是跟你講你不用問,就是資金就是不進來。
[39:44] 但是如果有一個問題就是現在我們剛剛講的就後槓講到金像電就是下游PCB都不漲,它已經是自由身,而且AI裡面比重它又最高,它然後確實第一比重高,第二這個數字都很好。
[40:01] 如果今天PCB個股都慢慢的不斷墊高,只有金像電再往下走,那這個故事就不同了。
[40:11] 那你真的要很小心,你要花很多的時間去檢視一下到底怎麼,代表是資金有進到PCB,然後我的個股也急優,居然它往下走,這就是很明顯的可能有很多你見不到的問題。
[40:27] 這幾個股票的投資是否會被創造成一個大股票?
[40:57] 如果改朝換代、各樣規格轉變,理論上掉隊的機率很低,通常這種比較容易發生在整個族群裡面,又在中間甚至中小的。
[41:09] 這幾代剛好吃到比如說Black Whale,可是下一代進入Vera Rubin,他不見得吃得到,然後他可能就市占率被吃掉了,他就掉下去了。
[41:24] 時間點可能訂單已經改變,但是目前出貨可能還沒變,所以營收還是很好。
[41:31] 原本的數字看起來都沒有錯,可是我剛剛提到,你看到的現象就是,別人整個族群PCB會漲,但是你的個股既優,但是不漲。
[41:42] 甚至不是不漲而已,是反跌。
[41:45] 我就跟大家講,這個就真的要有警覺性,甚至不行,你乾脆就為了風險控制,乾脆直接減碼。
[41:53] 但是我剛剛提到如果你今天激遊但是自己不漲而且是整個族群都不漲那就很明顯了就是現在資金就是不偏好你這個族群
[42:04] 其實這兩年來這種輪動的現象滿山滿谷
[42:09] 那就是因為現在已經不再是AI剛起步只要AI就是每次一開盤就是只要相關族群大家一起飆這個時代已經不可能了
[42:21] 現在就是大家淪漲的時代,甚至我就像趙華剛剛提到的,這個最近比如說營收在公佈,營收最好的不見得會漲,對不對?然後反而一些可能稍微好轉的大家就很激動了,對不對?大家就突然就很激動,然後就漲了一些反而不怎樣的,那我覺得沒有錯,本來就是資金淪漲,所以保衛原則是第一一定顯示自己這個個股的基本面,第二再用整個族群的角度下去看股價。
[42:50] 如果是整個族群就是股價就是不好,代表著其實不是你個股的問題,你需要的是耐心。
[42:57] 但是如果你的整個族群其實是有漲,但是你的個股績效對,它又不漲,那我覺得才是真正要去檢討的問題。
[43:06] 好,散熱真的是很明顯的,因為我們一直在送暖散熱,那大家也知道散熱裡面可能相對比較落後的是雙紅,那你會講雙紅怎麼了呢?
[43:15] 雙虹的消費性產品比AI產品多一些些,所以大家才會想為什麼之前建設給予這麼高的平等。
[43:23] 再來看七虹,他們都是AI上面的比重有稍微比較高的,所以AI達人也常常會跟大家聊說AI比重高也是一個很重要的事情。
[43:34] 那像載板,那時候新興在落後,因為南電先創高,那你就想為什麼新興會落後?
[43:39] 其實我那時候覺得新興落後是機會啦,因為新興的整個規模在ABF裡面是第一名,反而是真鼎後來很活潑對不對,可是這一波大家說真鼎怎麼了,也沒怎麼了,因為真鼎的載板比重就相較之下沒有那麼高嘛,它只是回到市場上合理的一個排序而已,所以沒有出大事,合理就是新興是最大,本來就是這樣,南電本來擴產不積極,現在也要擴產,僅說擴產積極,他們有時候在市場的共識裡面或是資金的輪動中間,
[44:09] 這幾個股票是在市場上最大幅度的,而在市場上最大幅度的股票是在市場上最大幅度的。
[44:39] 喜歡效率組的,你本來就應該去追搶的,因為搶者可能就會很搶一段時間。
[44:45] 我覺得這些都是回歸到大家的投資邏輯上面。
[44:49] 最後還是想請明翰稍微幫我們預告一下,因為過兩天就要有輝達的財報了,我們要有什麼樣的因應的心態嗎?
[44:58] 因應的心態,結論就是稍微冷靜一下,因為就這幾季以來的財報公布,
[45:05] 我個人覺得類似像台積電一樣
[45:08] 就是法輸會前也許有機會漲一下
[45:12] 但法輸會後通常很容易變法會
[45:15] 我覺得機率老實講是蠻高的
[45:17] 可是輝達現在在跌有沒有可能好一點
[45:19] 對我當時也那麼覺得
[45:21] 所以我自己也安慰自己是
[45:23] 但我不好意思我今天要出門前
[45:25] 我把圖形畫一畫
[45:27] 很不幸的消息
[45:29] 我把這個近十次他的走勢本來就有個均值
[45:33] 前面還好,等到公布之後,可能一兩天激情就下去,整理一個禮拜再上去,這是正常的架構。
[45:42] 因為這幾天很明顯在修正,所以大家也問說,那修正過後是不是已經先修正?
[45:48] 我也很好奇,我就把過去十次,就是事先就修正了,大概只有三次,然後我把那個三次就事先修正的狀況,是不是後續代表沒有跌?
[45:59] 這幾個月的收入是如何?
[46:29] 剛好受不了都下車他就開始往上
[46:31] 所以我常常講這個架構大家就是稍微冷靜一下
[46:35] 就是現在狀況不是很好
[46:37] 那公布之後也不代表就會好轉
[46:40] 我還是不斷提到這個心態跟台積電的這個法說會一樣
[46:45] 先有一把尺到底應該要看到的是什麼
[46:48] 結果不要因為他股價的漲跌去評論他的法說會的好壞
[46:54] 其實這幾季以來他的法說會都是憂鬱期
[46:57] 股價就是有一個慣性就是會修正之後再先蹲後跳
[47:02] 那我覺得如果當然也不代表說
[47:05] 當然我覺得這個機率很低
[47:07] 就是他到底法說會能不能說出什麼非常驚豔
[47:10] 大家想都想不到
[47:12] 結果突然就直接逆 V 型反轉
[47:15] 我個人覺得機率真的很低
[47:17] 因為現在大家都把能想的能猜的幾乎都給他拉到最高的位階了
[47:24] 所以現在的架構來講
[47:26] 這就是我常常講的,大家有這麼高的期待的情況下,就跟台積電法說一樣,如果都能摸到大家預期的最高原附近,我就覺得都是很好。
[47:35] 如果是這樣的情況下,就是必須要在法說前修正、法說會再修正的過程當中,你還是要有那個信心,不會因為股價而受到動搖,甚至你敢做假嘛,我覺得那是要克服人性。
[47:51] 但是我常常講的就是,這股市之中我常常會提到的就是,尤其是短線投資,長線投資當然台股從1萬點漲到4萬點,你只要抱得住每個人都是賺錢,這是沒有問題的。
[48:05] 但是如果你今天短線投資,你能夠買低賣高就代表有一個人去跟你反向做賠錢了。
[48:12] 那常常就講你在這個市場上,你到底有什麼與眾不同的地方?
[48:19] 如果你今天你的了解的內容或者是你的想法、你的操作、你各樣的還有市場的心態,你跟所有的投資人都一樣,那這代表其實你很難勝出。
[48:32] 所以我常常講就是當你了解趨勢是一個,第二就是你要夠了解你才會有足夠的信心去對抗中間的波動。
[48:42] 那你如果是這樣我就可以很明確的告訴你說你跟其他人已經明顯的不同所以照理講你就不用太害怕
[48:53] 嗯好那我有個底了哈哈哈哈因為我想說輝達已經連期一跌了會不會這個法說會後會好一點結果明翰的研究是不會但是法說會後過一段時間他會慢慢的又復甦
[49:08] 所以也等於如果美股、科技股、費辦、納斯達克、台股、南韓這段時間又有一個壓抑性的下來,一樣的原則,還是給機會。
[49:20] 因為接下來就完全是進入到第四季看明年的狀態了,第三季就算有什麼風風雨雨,我覺得現在就要反應了。
[49:27] 不可能說第三季的風風雨雨會忽然到第四季才往前去反應,我覺得機率很低,除非是非常爆破性的大事。
[49:35] 所以很多的投信法人其實上禮拜投信賣了蠻多的
[49:39] 我覺得他也在因應一個把錢拿回來之後做下一波佈局的想法
[49:43] 所以我們就靜待這個匯大財報全球央行年會開完之後
[49:47] 方向釐清之後的佈局
[49:50] 那我自己個人就是一樣有出現明顯跌點
[49:54] 兩天一千一天一千的時候
[49:56] 我就會進場稍微買一些東西
[49:58] 這邊跟大家分享
[49:59] 好那今天的股貨仔就到這邊了
[50:01] 跟大家說拜拜囉
[50:03] 拜拜
[50:05] MING PAO CANADA MING PAO TORONTO
