[00:00] 欢迎收听赵华语古惑载第1075集
[24:24] 他就有点
[24:25] 大家会揣测未来
[24:26] 会不会怎么样
[24:27] 我现在就是接的满满满
[24:29] 所以他是比较容易去算得出来说
[24:32] 在大家都需要封测
[24:33] 因为现在东西一大堆
[24:34] 就是都要到他那边去封测
[24:36] 他不只是高阶记忆体
[24:38] 他还有Cores
[24:39] 他还有三出行封装
[24:40] 所以他现在问题就是筹码
[24:43] 他可能之前有一段时间长太快了
[24:45] 所以筹码就变得比较差
[24:46] 像我刚刚看
[24:46] 投信还在卖
[24:47] 所以如果哪一天
[24:48] 投信也卖不下去了
[24:50] 甚至回补
[24:50] 现在主动是基金很可怕
[24:52] 主动是ETF
[24:52] 马上就
[24:53] 卖一卖
[24:54] 别人手上没了
[24:55] 我就把它买回来
[24:56] 因为大家
[24:57] 这个东西很有趣
[24:58] 上次基金医生
[24:59] 志源哥来
[25:00] 有讲到一件事
[25:01] 主动基金跟主动ETF
[25:03] 不一定
[25:04] 其实有的主动基金的绩效很好
[25:07] 可是因为它一个月
[25:08] 才公布一次持股
[25:10] 所以你看到它很好
[25:11] 其实你不知道它买了什么
[25:13] 你看到它不好
[25:14] 你也不知道它买了什么
[25:16] 但主动ETF每天都揭露
[25:18] 所以你看到它很好
[25:19] 你知道它买了什么
[25:20] 你看到它没有跟上别人
[25:22] 你也知道他买了什么
[25:23] 这样子会让投信
[25:24] 第一是比较不容易
[25:25] 在里面做自己的手脚
[25:27] 其实以前经理人
[25:28] 很多都被人家怀疑
[25:30] 你是不是用你的基金
[25:31] 干嘛干嘛
[25:31] 主动市我就相对困难
[25:33] 再加上规模又长得很大
[25:35] 所以他们会很容易
[25:36] 影响到盘面上的股票
[25:38] 因为我也要看别人做什么
[25:40] 你今天历程你卖光
[25:41] 那搞不好我来买
[25:43] 所以历程在价值的评估上
[25:46] 是相对知道
[25:47] 他真的比较是被低估
[25:48] 但如果你要比较确定的话
[25:50] 可能也许投信跑回来买了
[25:51] 或是他的形態上
[25:53] 像云翔哥说
[25:53] 他现在打一个晚行底
[25:55] 是不是
[25:55] 对对对
[25:55] 那可能也是一个判断的标准
[25:58] 因为他前面刚好
[25:59] 如果你记得的话
[26:01] 他180
[26:02] 刚好这个颈线位置在180
[26:04] 他打一个很漂亮的晚行底
[26:05] 突然亮弓以后
[26:07] 直接从180喷到280
[26:09] 这是你很少看到
[26:10] 力成有这种强烈的一个攻势
[26:12] 那这一波确实就是
[26:14] 大家把它规律说
[26:16] 在基底这一块再回挡
[26:17] 他有跟着回挡
[26:18] 可是他的获利是增加的
[26:20] 大家注意看
[26:21] 他的营收都漂亮
[26:22] 他的营收获利
[26:23] 其实不是真正来自于说
[26:25] 这个单纯的低润这一块
[26:27] 所以刚刚讲说
[26:28] Cross
[26:28] 这边也有啊
[26:29] 对不对
[26:29] 以后的三出风装
[26:31] 这块也是重点之一嘛
[26:33] 那我倒觉得说
[26:35] 刚好现在又打一个
[26:36] 在晚行的位置点
[26:37] 在正在打
[26:38] 所以未来如果有
[26:40] 因为承接进去
[26:41] 刚好又穿过
[26:42] 这个晚行底的颈线
[26:43] 那有可能下一波的攻击力道
[26:46] 还是有可能的机会
[26:48] 好
[26:48] 那不管是初量的第一根
[26:50] 或者是晚行李已经做好了
[26:52] 或者快做好了
[26:53] 或者头信也回来青睐了
[26:55] 我觉得就是像这样子的判断
[26:57] 让云翔哥今天就不知不觉
[27:00] 在这些股票里面捡来捡去
[27:02] 捡来捡去
[27:03] 没刹住车
[27:04] 没有办法刹住车
[27:06] 像刚刚讲台新科
[27:07] 其实在理财人RN秀
[27:09] 讲过非常长一段时间
[27:10] 然后讲到
[27:11] 其实有时候我觉得对来宾
[27:13] 我都没有很礼貌
[27:14] 为什么都跟他说
[27:14] 我跟你讲
[27:15] 你还要继续讲他
[27:16] 你就把他讲起来
[27:17] 不是那档股票不好
[27:18] 就他的股性不好
[27:20] 绝对不是股票不好
[27:22] 要是例如说
[27:23] 我举个例
[27:24] 像我不是跟大家讲
[27:25] 太阳能我就比较无法
[27:26] 或者是说像LED股
[27:27] 最近很飙
[27:28] 可是我比较无法
[27:29] 是因为获利没有起来
[27:31] 甚至有的在亏损
[27:32] 可是云香哥
[27:33] 常常找的很多公司
[27:34] 都是获利很好
[27:35] 可是可能短线上
[27:37] 也不知道什么
[27:37] 因为资金就可能
[27:38] 没青睐到他或什么
[27:39] 他就在心里休息
[27:40] 我那时候也讲早了一点
[27:42] 为什么
[27:42] 因为我们那时候讲说
[27:44] 台新科跟细格
[27:47] 他主要
[27:47] 还有接到什么
[27:48] 主要是CPU这一块
[27:50] CPU
[27:50] 对CPU的封测这一块
[27:52] 所以那时候的CPU还没有动
[27:54] 所以他对他来讲
[27:56] 可能说刚好有点卡卡的
[27:58] 后来你看CPU动起来以后
[28:00] 大家认为说
[28:00] 他还是有CPU这一块的
[28:02] 一个封测的一个应用
[28:04] 所以变成说
[28:05] 他后面跟着CPU有在动
[28:07] 还有另外一档
[28:08] 我不晓得大家记不记得
[28:09] 就是脸帽
[28:10] 我们在讲说
[28:11] 台光店就不用讲三千块
[28:13] 台耀也起来了
[28:14] 快九百块
[28:15] 脸帽怎么都不动呢
[28:17] 那时候一百一十几块
[28:18] 當然你說可能技術真的不如大哥哥啦什麼的
[28:21] 所以我那時候叫他三弟嘛
[28:23] 對他現在叫三哥
[28:24] 哥囉
[28:25] 因為他已經200塊以上了
[28:26] 我要等很久喔
[28:27] 等了一年左右
[28:29] 他才開始跟
[28:31] 利基點也是
[28:32] 他其實是一家賺錢的公司
[28:34] 如果他是一家損益兩平啊
[28:37] 虧損要虧轉盈的
[28:38] 我們就不會講那麼
[28:39] 我們會提醒大家啦
[28:40] 不是說他不會漲
[28:41] 因為很多虧轉盈的會漲
[28:42] 例如說榮科就漲很多
[28:44] 我不是跟大家講金居榮科
[28:45] 金居是漲太快
[28:47] 所以後來被關之後他就有點沉澱那榮科是虧轉盈的題材所以榮科反而漲後面是荣科在涨但是我们都会提醒大家荣科还没有赚钱但他的好处是怎么讲到这边来了
[28:58] 他的好处是
[28:59] 一般标准同博的加工费也有涨
[29:02] 所以荣科可能会提早转亏为盈
[29:04] 好那联贸
[29:05] 回到联贸身上
[29:07] 那联贸一定是在技术实力上
[29:09] 略微逊于大哥二哥
[29:11] 是肯定有可能是这样
[29:12] 可是他有没有想办法
[29:14] 有吗
[29:14] 就是他也有想办法送这个M9认证
[29:16] 那如果大家都有在同样的赛道上努力的话
[29:19] 就不应该落后这么多
[29:22] 落后太多
[29:23] 其实云翔哥着重是这个
[29:25] 就像云翔哥上礼拜来讲了一档
[29:26] 我也是在笑他
[29:27] 就是光宝科
[29:29] 我就说你讲光宝科
[29:30] 你要把它讲起来
[29:31] 我说很多达人其实都觉得他低估的很可怜
[29:34] 就像是一线AI
[29:35] 大家觉得低估的很可怜
[29:36] 可是不会动就不会动
[29:38] 结果今天光宝科还又下去
[29:39] 但是云翔哥说
[29:41] 他还是对光宝科很有信心
[29:42] 觉得他是被低估的
[29:43] 对 因为你看他
[29:44] 他三月營收
[29:45] 這創七年
[29:47] 就沒有用了
[29:48] 就開就有出來
[29:49] 對
[29:49] 那不會啦
[29:50] 我覺得說
[29:51] 如果他今年可以
[29:52] 估到快九塊
[29:53] 明年估到超過十塊以上
[29:55] 我覺得說這個
[29:56] 這個遲早的事情
[29:57] 是
[29:58] 因為八百伏的這個
[29:59] 這個高壓直流
[30:01] 這個
[30:01] 對
[30:01] 不是只有台大店了嘛
[30:03] 對
[30:03] 他也可以占到兩三成的
[30:05] 這個營收
[30:06] 對
[30:06] 等於有一些話
[30:07] 我們都講到
[30:08] 就是有沒有
[30:09] 口水都乾了
[30:10] 一句俗語就這樣
[30:11] 那就等他什麼時候
[30:13] 從馬好轉
[30:13] 因為光寶科
[30:14] 其实外资比较没有在青睐他
[30:16] 其实内外资都有一点没有青睐他
[30:19] 不知道卡在什么一个环节上
[30:21] 但是呢他有没有涨过
[30:22] 他当然也有涨过
[30:24] 所以就是看大家有没有一些耐心
[30:26] 布局在刚刚我们讲的这些领域上面
[30:28] 但是这还是一句老话
[30:30] 如果你觉得每一只都要等
[30:33] 没有办法像云翔哥这么的厉害
[30:35] 因为云翔哥已经买成一个ETF了嘛
[30:37] 那你就买一些比较积极的ETF
[30:39] 去配这些股票等
[30:40] 都是可以的
[30:41] 你就比较不会没有耐心
[30:43] 像我自己手上也是啊
[30:45] 我的持股也是杂七杂八的
[30:46] 杂七杂八的
[30:48] 你就会时不时今天看
[30:49] 哎呦我没有想到
[30:50] 这个起来了
[30:51] 怎么会是他的
[30:52] 就觉得还蛮有意思的
[30:55] 所以云翔哥讲的
[30:56] 我也会来试一下单
[30:58] 然后我就会笑他
[30:59] 我说哎你看
[30:59] 这光我看
[31:00] 讲了半天还是没有起来
[31:02] 可是你说会不会怕
[31:03] 其实不会怕
[31:04] 就已经赚那么多钱了
[31:06] 然后躺在这边
[31:07] 顶多就是躺着嘛
[31:08] 对不对
[31:09] 还有其他的会动就好了
[31:11] 做一个你的持股上的平衡
[31:12] 我觉得很重要
[31:13] 对
[31:14] 那最后一样
[31:15] 分享一下听众的留言
[31:17] 希望大家都能跟我们分享
[31:20] 自己在操作路上
[31:22] 愉快的心得
[31:23] 当然我也会看到很多人
[31:24] 是心情上
[31:25] 把我们当心灵导师
[31:27] 像刚刚我有提到麦菲
[31:28] 就是因为有个朋友
[31:29] 传信息来问说
[31:31] 他的破位麦菲怎么办
[31:32] 那我不好意思
[31:33] 我就蛮直白的回答说
[31:35] 我就常常讲
[31:35] 认知到哪里
[31:36] 你就赚到哪里
[31:37] 为什么你会麦菲
[31:38] 其实他有遵照他的纪律
[31:40] 他是说好像破月线
[31:42] 他把它卖掉
[31:42] 但后来没有买回来就上去了
[31:44] 我说所以你就可以
[31:45] 至少你有赚到上一波嘛
[31:47] 破云线卖掉
[31:48] 你这一段有守纪律
[31:49] 这样就很好了
[31:50] 那后面为什么没有
[31:51] 第一个
[31:52] 你不认为它会再涨上去吗
[31:53] 第二个
[31:54] 涨上去的时候
[31:54] 你也不敢再追了
[31:56] 所以你既然不敢做这些动作
[31:58] 那就是赚到这边也很好啊
[32:00] 云翔哥从来就不会去怨叹卖飞
[32:03] 会来会讲
[32:03] 我跟他其实都会讲
[32:04] 就是说
[32:05] 啊啊啊卖飞了
[32:06] 可是那就再找下一档嘛
[32:08] 对就像婆罗威
[32:09] 大家都知道我多么看好戏光子
[32:11] 可是后来我也是就只剩
[32:13] 唯唯就是当初没有卖的
[32:15] 一点点光盛就没了
[32:17] 什么都没了
[32:17] 我也追不上去啊
[32:19] 我也跟大家一路分享这个心情
[32:21] 那可以当来什么
[32:22] 当一个话题就好了
[32:23] 那就是我没有本事
[32:25] 在这个联亚
[32:26] 800块会认为他会到2000
[32:28] 波罗威300块会认为到1200
[32:30] 这是我自己的问题
[32:31] 或者光盛我1000出头
[32:33] 把它卖掉之后
[32:34] 我不知道他会到2000
[32:35] 2500嘛好不好
[32:36] 就是个人如果做不到
[32:38] 或是我一直希望他能回季线
[32:39] 那就是没有回到季线嘛
[32:41] 那就是我自己的判断
[32:42] 没有做对
[32:43] 可是我有在其他
[32:44] 比较稳定的持股上
[32:45] 就赚到钱
[32:46] 所以统合一下
[32:47] 我的认知到这边
[32:49] 我就赚到这边
[32:50] 但我很看好西光子
[32:51] 所以我也不会说
[32:52] 他长到那样腰骨去放空他
[32:54] 我也不会
[32:54] 像这位朋友
[32:56] 他这边的话
[32:57] 我就很简单的念一下
[32:59] 因为他是比较长的留言
[33:00] 他说鼓起勇气
[33:02] 留言给我们
[33:02] 是因为我会分享
[33:04] 许多听众的正能量故事
[33:06] 所以他也想把心情
[33:07] 传达给我们
[33:08] 其实也是传达给
[33:09] 我们的听众们
[33:10] 他说对很多股民
[33:11] 而言不只是主持人
[33:13] 更像是投资路上的陪伴者
[33:15] 也是大家心中
[33:16] 很重要的精神寄托跟支柱
[33:18] 所以有时候
[33:19] 如果我是用念的
[33:20] 或是有点像训
[33:21] 说你认知到哪里
[33:23] 请大家包涵包涵
[33:24] 他说他是一个公务员
[33:26] 而且有两个宝贝
[33:27] 他就请了育婴架在家
[33:30] 照顾孩子
[33:30] 他是男生
[33:31] 所以他们家没有后援
[33:34] 所以他就决定
[33:34] 也跟着太太一起
[33:36] 来照顾小朋友
[33:36] 我觉得很棒
[33:39] 陪伴小朋友
[33:40] 然后所以这段时间
[33:41] 他就来研究一下股票
[33:43] 但是因为很忙
[33:44] 所以没有太多时间深入研究
[33:47] 那他现在就身为一般小散户
[33:49] 很清楚短线跟当冲
[33:51] 不是一条能够长久依靠的路
[33:53] 除非你是云翔哥
[33:54] 他也有长有短
[33:56] 所以这位朋友的投资策略
[33:59] 是以破断操作为主
[34:01] 几星期几个月
[34:02] 甚至抱着抱着
[34:04] 发现有些持股获利
[34:05] 已经超过100%
[34:06] 还是继续抱
[34:08] 当然过程中也会有一些分批获利了结
[34:11] 或者是卖出部分后
[34:13] 有拉回再试情况加买接回
[34:15] 其实这已经是蛮成熟的操作模式了
[34:18] 那也会把一小部分的资金拨出来
[34:21] 参与教具题材性的投机股
[34:23] 他说毕竟每天重心放在市场上
[34:26] 看到那些标股时心里也会悸动
[34:28] 所以当作小儿常识
[34:30] 即使出现亏损也不影响整体布局
[34:33] 这跟我们刚刚讨论的话题
[34:35] 非常非常类似
[34:36] 目前资金分三个账户
[34:38] 自己两个孩子也有帮忙做
[34:41] 他说资金从一开始300万
[34:43] 到最近一个交易日
[34:45] 资产是530万
[34:47] 这样的成果已经远远超过我的年薪了
[34:50] 那有附上他的对账单给我们看
[34:52] 并不是想炫耀
[34:53] 只是想让我们分享
[34:55] 他真的受到了帮助很多
[34:57] 他另外也有称赞木华哥
[34:59] 隔空说木华哥他也有谢谢你
[35:02] 他说也很想向我们表达感谢
[35:04] 每天节目中的碎碎念
[35:06] 其实是一点一滴帮助我们小顾民解开心中的疑惑
[35:09] 他说因为不晓得该透过哪个平台留言
[35:11] 就私讯给我了
[35:12] 好我们有收到
[35:13] 也分享给听众朋友
[35:14] 对啊那我觉得说确实啦
[35:16] 因为不论资金多少
[35:19] 我觉得说还是要交易
[35:21] 还是要有些计划性的
[35:23] 那至于说他这个所谓的300
[35:25] 做了500多
[35:26] 我觉得这个应该短时间而已嘛
[35:29] 对不对
[35:29] 听起来应该是
[35:30] 对对对
[35:31] 因为起运价嘛
[35:32] 应该不会太久
[35:32] 然后刚讲的就是说
[35:33] 我会做一些调节
[35:35] 对不对
[35:36] 我觉得说相当不错
[35:37] 你自己长短的比重配置大概多大
[35:41] 我大概目前大概三四成是在比较长
[35:45] 长线
[35:46] 对长线一点
[35:47] 那就算短
[35:48] 基本上比如说
[35:50] 可能有时候做到一周
[35:51] 这个赵华也知道
[35:54] 我的做法是可能我看好这些股票
[35:56] 我可能会有来回的一个操作行为
[35:59] 以前一直在讲说
[36:01] 在这种上升轨道里面的
[36:02] 这个上源跟下源
[36:04] 基本上可能就是
[36:05] 我一个交易的一个区间
[36:06] 是
[36:07] 对
[36:07] 那像这个台积电
[36:08] 它可能就是一个
[36:09] 相形的一个来回区间
[36:11] 所以就是说
[36:12] 你找到一个自己的
[36:13] 一些Tempo
[36:14] 然后去做一些来回
[36:15] 当然是可以
[36:16] 那麦菲就麦菲了
[36:17] 麦菲就找别支嘛
[36:18] 对
[36:19] 麦菲
[36:20] 这位朋友
[36:21] 因为我用文字回你的时候
[36:22] 回得比较急
[36:23] 那我也跟你分享
[36:24] 好不好
[36:24] 你说你波罗会麦菲
[36:25] 对不对
[36:26] 大家知道我麦菲哪一支吗
[36:27] 我不晓得有没有讲过
[36:28] 我把大量给麦菲了
[36:30] 好
[36:31] 为什么呢
[36:31] 大概几个月前吧
[36:33] 我记得也是
[36:33] 二月还三月那个时候
[36:35] 比较震荡的时候
[36:37] 我跟大家说
[36:38] 我有处分掉一些个股
[36:39] 大部分都是有赚
[36:41] 大赚小赚而已
[36:42] 然后换到ETF
[36:43] 因为我觉得行情
[36:44] 真的比较波动
[36:45] 我把这个决定权
[36:46] 让基金经理的人
[36:47] 去努力这样子
[36:48] 当时我就把大量卖了
[36:50] 大量我也报蛮久哦
[36:52] 我记得我卖掉的点
[36:54] 好像是220左右
[36:56] 而且呢
[36:59] 他应该是从
[37:00] 我卖掉的那一天的隔天或隔隔天
[37:03] 他就涨停板
[37:04] 第一根涨停板的时候
[37:06] 我觉得没关系
[37:08] 又不是没遇过
[37:09] 没关系卖了就卖了
[37:11] 我就是因为这样做预判
[37:13] 做决策
[37:14] 反正主动基金也有涨
[37:16] 这样子
[37:17] 可是后来他又再一根涨停板
[37:19] 就确实内心会有点觉得
[37:22] 怎么会这样
[37:23] 然后后来他又被关
[37:24] 涨到被关
[37:25] 放出来
[37:26] 然后又跌下来
[37:27] 跌下来了
[37:28] 然后又涨停板
[37:29] 然后又涨停板
[37:30] 又涨到被管
[37:30] 所以他已经离我卖掉的是
[37:33] 涨了超过150%
[37:35] 我记得他已经500多块600了
[37:37] 所以卖飞的经验有没有
[37:38] 找好当然有
[37:39] 可是会不会很在意
[37:41] 当然会拿出来念一念
[37:43] 哎呀什么的
[37:44] 你看我大量卖飞了
[37:45] 但那就是一个经验
[37:46] 对不对
[37:47] 那就是个经验
[37:48] 这样的经验
[37:48] 我想也不会到非常非常非常多
[37:50] 那当时做的决策
[37:52] 我觉得也没问题
[37:53] 因为后来有些个股
[37:55] 是在震荡中也是跌下去的
[37:57] 一来一回之间
[37:58] 我的总资产确实也是往上走的
[38:01] 所以我觉得没什么问题
[38:02] 只是跟大家分享一个有趣的事情
[38:04] 也希望那一位卖飞的朋友
[38:05] 今天比较有时间跟您聊空中聊
[38:08] 那也可以比较
[38:10] 不要那么的在意
[38:12] 对人生
[38:13] 我们都不是股神
[38:15] 连云翔哥都会卖飞了
[38:17] 我们不要太在意
[38:18] 好那今天的股货仔就到这边了
[38:21] 希望大家都是股海平安的
[38:23] 拜拜
[38:28] by bwd6
