[00:00] 歡迎收聽《照華語古惑》載地1176集,今天是2026年的9月3號。
[37:07] 郵局這邊還會送你50元的超商購物金
[37:10] 然後讓投資朋友來做更進一步的運用
[37:14] 所以各位投資朋友你如果說手上只有郵局的帳戶
[37:18] 然後的話你想要去開戶這個基富通的話
[37:22] 現在這個時間點是一個非常好的時候。
[37:25] 好,那了解完好的平台,自己在投資策略上面有好的機制,其實也是最近我們在做節目的時候跟大家訴求的。
[37:33] 因為這波反彈蠻厲害的,它有談到47000點。
[37:36] 所以在我們也有觀察到,雖然產業的狀況很好,雖然我們對AI的信心很足,但是短線上面有一些些這方面的壓力,以及9月我們常常講為什麼美股有一些9月魔咒。
[37:49] 總之它就會發生一些很奇妙的事啊。
[37:51] 最近的事情就是剛提到的升息機率突然跑得非常高,然後美醫還越打越兇,這些都是會突然在這個時候讓你的熱度稍微踩個煞車。
[38:03] 那所以有跟大家聊,前一波下殺下來,因為大家都覺得反正好像手上抱的股票一直抱一直抱都沒問題,等到發現沒有停利的時候很後悔。
[38:11] 所以這一波反彈如果手上的股票能夠學到一點停利或者是有點轉折的時候出場那可能可以讓自己在投資上面獲利入袋而且壓力沒有那麼大。
[38:22] 結果我覺得就很厲害欸。
[38:24] 很厲害什麼?就收到好多人的訊息是有先做了部分停利然後開開心心。
[38:31] 我覺得這個是很棒的像大立光最近就還蠻多人有跟我們分享的。
[38:35] 例如說大立光可能很多人都賺了已經是100%以上了。
[38:39] 然後他就說就稍微做部分停利,然後晚餐幫自己加菜,我覺得很棒。
[38:46] 然後有人是買載板,其實載板這一波也是洗刷之後還蠻多都創高,當然星星有出事情,可是星星說實話出事情之後不太能算是恐懼不斷暴跌喔,反而是非常強韌,就跌了搜索的那一天跌停板,死我死。
[39:02] 這位朋友的意思是,他說心情的起伏確實像坐雲霄飛車上沖下洗,後來又減了真頂,結果心心出事,很多人說會不會真頂受惠轉單啊,然後就漲了,可是他一方面有去聽大家分享說,但是ABF這一塊其實並不是真正這一次的震央,所以受惠可能有限。
[39:24] 另外呢,我們也一直傳達,那你有賺錢的時候也要想一次上次的教訓哦,就是如果你有信心,報到天長地久是一回事,但你不希望獲利回吐的話,你的停利機制在哪裡?所以他就決定要賣掉這個真頂。
[39:38] 當然運氣比較好的是後來,載板在今天也是一個壓力比較大的族群啦。
[39:44] 這些其實都是一些短線變化,但我覺得它都是累積成長線的經驗。
[39:48] 股癒的投資與半導體術語：股癒的投資與半導體術語：
[40:18] 其實比較常跟投資朋友談的話,可能你會覺得說,像骨魚這邊是不是都只做長線的一個部位,但是我有個觀念要小小跟你提醒一下,我如果今天跟你談的是怎麼用景氣燈號做投資的話,我們談的就是波段的部位。
[40:35] 投資過程中,建議把長期與波段分開,因為波段是短期情緒,長期是台灣國運。
[40:52] 當然我們在台灣這片土地上我一定是看好台灣長期的一個發展
[40:57] 所以長期部位的部分我們是盡可能去做到投入的速度很慢
[41:03] 但是一旦投入之後的話絕對不會輕盈的把它做賣掉的一個動作
[41:08] 所以我在長期投資部位的這一塊基本上不會有所謂的停利的問題
[41:14] 因為我不會很積極的做太大的幅度的一個投入
[41:17] 可是短線波段的這一塊這我就認同趙華了
[41:22] 我們必須要做適當的一個挺立,因為我們前面就講了,既然它是波段投資,該進就進,該跑就跑,你千萬不要有太多的一個流鏈。
[41:34] 我常常會講說,在股票市場裡面最重要的是什麼?最重要的是有賺到錢就好,而不是說我一定要賺到足夠讓我翻身的錢,我才要離開。
[41:46] 這一點是不正確的,因為只要你能夠持續留在市場中,你就能夠持續獲得投資的機會。
[41:54] 這是一個比較重要的事情。
[41:56] 當然我們面對停利這件事情的話,大概會有兩種做法。
[42:01] 一種的話,像趙華講的,我今天有賺錢了,我覺得好像差不多了,我就先把我一部分先把它賣掉。
[42:10] 先讓部分的獲利做入袋
[42:13] 那這樣子的話我後面再報起來的話會比較安心一點
[42:16] 因為有些錢已經進來了嘛
[42:18] 就算後面再有損失的話
[42:20] 那我的感覺還會是一個比較平和的一個狀態
[42:24] 那或者另外一種的話呢
[42:26] 是我們會跟投資朋友交的投資技巧
[42:29] 請你要做好所謂的移動停利
[42:32] 那這個移動停利的話呢
[42:35] 事實上它非常適合在那種
[42:38] 波段趨勢還維持在上漲的過程中,你來設定移動停利性的技巧。
[42:46] 因為它有一個非常重要的觀念就是,你的停利點會隨著你股價的高點不停不停的往上來做移動。
[42:55] 比如說你在100元的時候想做停利,跟你200元的時候想做停利,
[43:01] 其實你的停利點會隨著移動停利的技巧定義往上來做一個提高。
[43:08] 所以你在股價上升的過程當中,我的學員是這樣跟我反應的,他有一種很安心的感覺。
[43:16] 因為他知道我的股價在上漲的過程中回檔到什麼程度,我應該要退場。
[43:24] 一旦他有這個數字的概念,他在看市場的時候,他就不會怕。
[43:30] 你知道嗎?為什麼我們在投資的過程中會覺得好像很恐慌很害怕?
[43:35] 因為你不知道你什麼時候下車才是對的,那就是因為你沒有做好停利的準備嘛。
[43:41] 所以一旦你把這個技巧的邏輯把它給放在心裡面,那其實你在看市場的時候你的感覺會完全都不太一樣的。
[43:51] 所以今天趙華洛問我說,停利該怎麼做?
[43:54] 就兩個做法,一個的話就是你覺得夠了,就出掉一些部位。
[44:00] 那另外一種的話就是需要你花一點時間做監測的,就是所謂的移動的停利法。
[44:06] 那你如果有興趣,我想現在的AI很方便嘛,對不對?
[44:10] AI很方便就把移動停利法請他解釋給你聽,你一旦看懂了,我覺得這個東西對你的幫助應該是非常大的。
[44:18] 我會覺得啦,因為基富通呢,他比較訴求希望大家長線投資嘛,所以他有低檔自動投、自動扣,可是他可能沒有高檔自動停,對不對,是不是給他們一個難題,因為希望大家能夠持續的投入把部位擴大啦,所以長線部位我覺得可以放在基富通,不要想太多。
[44:39] 那自己短線部位上自己操作自己看
[44:42] 像我今天早上一忙啊
[44:44] 慌慌忙忙跟他殺尾盤
[44:45] 我就慌慌忙忙拿起我的APP
[44:47] 慌慌忙忙買了一些ETF
[44:49] 也慌慌忙忙不一定有掛到這樣子
[44:51] 好 這個就是自己的事情了
[44:53] 自己如果想要做一些比較積極的操作
[44:56] 那就自己來
[44:56] 那可是如果像你買基金
[44:58] 又有基普通這類型的機制
[45:00] 它就可以自動幫你
[45:01] 讓你的資產養大
[45:02] 根本就不用一直盯著它
[45:04] 我覺得這是一個很棒的組合啦
[45:06] 那當然還是要提醒
[45:08] 就是投資一定有風險
[45:09] 過去績效不代表未來的表現,並非絕對獲利,申購前一定要享有公開說明書。
