[00:00] 歡迎收聽《照華語古惑》載訂1173集,今天是2026年的8月31號,今天也是8月最後一個交易日哦。
[36:04] 好,但青雲跟欣欣有點是非常不一樣,就青雲大家一聽,這樣講好像也怪怪的。
[36:10] 就是業內啦,就主力大戶喜歡做的啦,對啊,投信幾乎不會琢磨他,有一些這種板卡廠商,投信怕怕的啦,真的怕,好,就嚴禁於此,所以他比較不是法人的滋優生,我覺得新興的問題是滋優生,滋優生一旦發生這個事情,大家真的會比較驚嚇,對,我覺得這就是市場很殘忍的事情,建設也是啊,
[36:39] 其實我們之前在講散熱的時候,我自己比較愛講旗虹雙虹嘛,然後後來旗虹也上去了,就覺得那雙虹真的相對落後,那是因為雙虹的消費性電子的比重還是比較高一點,但最近雙虹跟上來了,我也覺得頗感欣慰,但是我就比較少講建設,就有人問我說,啊,趙華為什麼你都先講奇鴻,不是先講建設?我說不是建設不好,是建設已經先把本夢比的概念有先灌進去,所以到後來就會覺得站在我的立場不是建設不好,那就是其他人的評價更為合理,而且也都是在AI裡面有占有一席之地,所以就會先比較常講別人。
[37:14] 可是建設要強,因為建設就是這一個族群能不能提升所謂本益比或評價的一個領頭羊。
[37:21] 所以當建設修正的時候,你看整體的散熱真的是愁雲慘霧,因為大哥,就是所謂本夢比的大哥下來了嘛,整個族群一定要有人可以做夢的。
[37:31] 那像現在整個店員也是本來大家都寄望台達店啊,對不對,大哥本益比越拉越高,很好啊,那其他人就比較空間,我才十幾倍本益比,我怎樣我都可以。
[37:41] 後來大哥下來了,當然光寶科有上去,但我個人覺得光寶科的股性雖然他在300塊以上,但是你要他的股性變成一下子本益比拉到什麼3、4、10倍、4、5、10倍。
[37:52] 目前我不能把話說死,因為畢竟人家真的是不一樣了,但是顯然可能他過去的本益比就沒有台達電那麼高,所以要再觀察一下能不能把整個電源族群帶上去。
[38:05] 反而是電源族群裡面像BBU,我們已經不要寄望老大ASKY了,我必須說,可能看一下順打新勝利,他們都是把本益比拉到比較高的,所以整個店目前看來還是BBU多的這一組是比較領先的,然後要等台達就是大復活。
[38:23] 整個記憶體現在比較奇妙的就是幾乎大家的萬千寵愛都在南亞科上面,但是小的也有就是金豪科。
[38:31] 所以如果你不是南亞科,你可能就去看這些IC設計,他們都是比較活潑、比較容易鎖上的。
[38:37] 所以我覺得這個是大家可以在選股上面觀察整體族群性一個有趣的現象。
[38:43] 對,因為時間已經到九月份,你會發現到最近為什麼男資輩比較強,我覺得就是有集團跟頭型的作戰。
[38:50] 所以你看到南電、南亞、南亞科全部都是台塑集團的股票
[38:56] 哇 今天台塑集團很厲害 台化
[38:58] 台化的轉平板
[39:00] 然後南亞也是因為投信開始大買
[39:04] 然後又漲價寒
[39:05] 然後搭上這個銅箔基板的上游材料
[39:08] 所以股價非常強悍的一個往上攻高
[39:12] 那我覺得就代表說其實9月份你都可以往這個投信跟集團雙座這樣的股票
[39:17] 去做一些比較積極的看待
[39:19] 那剛剛提到就是說盤面上我們講還是要回歸到有族群性在發動啦
[39:24] 所以剛剛提到趙華點到一個非常重要的很好觀察是
[39:28] 這些所謂的指標性的股票有沒有一些所謂的領頭羊先發動上來
[39:34] 像剛剛提到你看到所謂的散熱股票最近很整齊在走高
[39:37] 先有奇鴻創高建設跟上今天連雙虹也跟上了
[39:41] 連很久沒動到的見準都拉高到掌心板
[39:43] 那雖然說高利是殺到一個跌點
[39:46] 高利的股性跟人家就走的比較不一樣
[39:49] 對,別人沒漲他先漲嘛。
[39:51] 那都代表說我覺得都有一些族群性在發動。
[39:55] 那你看到今天盤面上我覺得台股最近特別強的應該是在光通。
[40:00] 對,因為美股其實上個禮拜光通點得很慘。
[40:04] AOI、康寧、AST、林化英等等其實在國際股市沒有特別強,但台灣的林化英概念股特別強。
[40:12] 你看全新說我拿到一批林化英的基板。
[40:16] 我拿到一批基板囉
[40:19] 對 就直接拉漲平板
[40:21] 那聯亞說我五年長約沒有供應的問題
[40:24] 股價今天也創下歷史的新高
[40:27] 連到文貌啊 環宇KY ITKY等等
[40:30] 那我覺得代表說其實台灣的資金
[40:34] 對於光通訊這樣的想象題材還是特別的強
[40:37] 那今天連上權這些也都是利空不迭而轉漲
[40:41] 我覺得都是有一些族群性的存在
[40:43] 當聯亞都能夠從1300塊再度重返榮耀,那就代表市場對這個族群的認同度是高的啦。
[40:54] 所以你就可以看到今天連光學鏡頭股,他們為什麼能夠重返榮耀也是因為光通訊的關係。
[41:02] 所以這一整塊可以一併來看,光通跟光學鏡頭這兩個族群我覺得都有一些多方的輪流點火。
[41:10] 光學鏡頭的好處在於說,雖然說大力光跟液晶光都雙雙的比例高,但是跟聯亞這樣的400多倍的本益比比較起來好像還是便宜了一點。
[41:21] 所以我覺得就有一點這種互相拉抬的效果。
[41:24] 所以不管你手上是光學鏡頭或是你手上是純光通的股票,我覺得都還是希望整個族群你不要有一邊開始大跌,那就會影響到其他族群的表現。
[41:34] 目前來看我覺得光學鏡頭這一塊應該是最近滿整齊的。
[41:38] 所以說他們有一塊就是剛好光通很強,搭配蘋果新機要發表,所以下禮拜蘋果新機當然大家應該還是會有期待啊,但是最少我覺得對過去傳統來講,蘋果股原本就在所謂的新機發表會之前都有一波的一個拉抬。
[41:56] 所以今天你可以看到除了大力光、玉晶光、雙雙創新高以外,其他連華通啊、台郡啊、文貌啊,甚至說雙紅也是被歸類為對。
[42:07] 消費性電池比較多
[42:09] 因為這次的iPhone 18聽說它的散熱也會有更高規格的提升
[42:14] 希望啦,因為大家都知道iPhone用到後來都越來越燙
[42:17] 所以我覺得iPhone 18當然大家還是會有期待性
[42:22] 因為大家應該也慢慢接受,啊好啦,就是再漲一百塊兩百塊美金
[42:25] 還是咬著牙把它換下去了
[42:28] 所以可能我覺得也會有讓大家預料之外
[42:31] 也許真的會,因為市場已經講了漲價漲那麼久嘛
[42:34] 想買的人還是會買
[42:36] 如果拉貨動能比較好的話,對於台灣的平概股來講,我覺得還是一個可以期待的啦,因為平概股大概已經不期待四五年了,也許今年就一個比較大的一個轉機,因為已經有供應鏈當中有創高股票出來嘛,光學鏡頭已經創高了,然後你看到華通也創高了,然後相關的他的PA啊,相關的網通的股價也慢慢轉向上來,所以同樣來看的話,也許你也可以期待那個比較弱勢的合作紅色的股票,
[43:06] 等,他們都是蘋果主張
[43:08] 好,對不起,我剛有唸到合說,但合說真的,對,好,沒事
[43:12] 對,不管怎麼說,九月份就他們真的要表現拉貨動人的時候嘛
[43:17] 所以大家也希望說,蘋果信心真的能夠賣得好
[43:20] 那對台灣的蘋概股來講,也會是盤面上另外一股比較強勢的勢力
[43:24] 所以我們會跟大家說,今天盤面上來看的話
[43:27] 還是可以看到這些族群性在網上表現,當然各種題材
[43:31] 但還是提醒大家一點,這些題材性來看都比較偏短
[43:35] 也就是說蘋果新一發表你可能到9月10號之前就有點類似展覽題材一樣
[43:40] 過去就是蘋果新一發表會之後大家覺得哦就這樣
[43:43] 然後股價就跟著有點漲多拉回
[43:46] 然後再來看到剛剛講的光通訊的股票你要注意的是
[43:49] 畢竟我們台灣如果漲得太快然後國際的光通訊股票在跌的話
[43:54] 我覺得那個延續性也會不是特別的好變成操作難度比較高
[43:58] 所以我覺得現在整體來看你要做台灣相關族群還是回歸到
[44:02] 你看國際股市當中有哪一些股票是真的特別強在創新高?
[44:06] 那我們大概八月份去掃了一遍,說真的好像沒有特別強的,只有台灣股票特別強。
[44:13] 所以代表說目前我覺得在台股量能比較緊縮,比較沒有那麼大量的時候,比較偏向主力跟投信在控盤。
[44:20] 那大家盡量就是以主力可能偏好的標的,搭配投信的籌碼去輔助去尋找當中比較強勢的族群。
[44:27] 投信在8月的腳步也比較紛亂,反而外資在8月是創下歷史單月新高的買超紀錄。
[44:39] 看看9月外資的腳步如何?
[44:42] 現在以FedWatch 9月升息機率拉得比較高,外資恐怕也會有一點點注意要不要回美國。
[44:51] 因為升息的地方就是它的貨幣相對也通常會比較強嘛。
[44:56] 這個是一個連動效應大家可以觀察看看。
[44:58] 如果不是口水戰、不是短暫的恐慌恐怕又會有這樣的一個效應。
[45:03] 那外資在9月不一定就會這麼著墨台股了。
[45:06] 我覺得這些都是一個全球資金版快在挪移的時候我們會觀察的啦。
[45:10] 但不可諱言的是台灣有一些產業真的很厲害。
[45:14] 例如像光通。
[45:15] 光通在上下的時候我們常常講這種事情真的要看勢頭。
[45:19] 他在上下收藏沒有辦法判斷跌到哪裡叫做合理。
[45:23] 但他在漲的時候你會覺得哇塞這個聯亞可以從腰斬甚至比腰斬還要多漲回創新高就等於他漲了100多%喔他才有辦法回來喔他才有辦法回到比原本的高點還要再過高這實在是一個人類奇蹟啊一個月可以漲那麼多。
[45:42] 不過這就是台股有趣的地方。
[45:44] 所以如果大家今天手上是比較分散佈局不是重壓的,我想欣欣就當作也是我們在投資路上的一個經驗。
[45:55] 我覺得這也蠻有趣的,不是說大家賠錢有趣,有時候有人賠錢心情會非常的不好。
[46:03] 但是就是資優生、資優寶寶、高評價、投信滿手遇到這樣的事情。
[46:09] 我們近代事情的演變,還是一句老話,如果新興最後它是可以沒有任何的罪責的,是清白的,投信就沒有什麼怪會可以繼續買的,我覺得這個大家是可以放心的。
[46:23] 但是如果一旦它被加上了一個真正席產地的罪名成立,甚至美國有意見的時候,那這個事情我想投信真的就是短時間內不太會去感碰新興。
[46:34] 但是回到產業上面,載板的高速成長跟需求這個沒有改變。那景碩今天有這個大股東賣股的壓力,但是景碩在中國其實已經沒有什麼產能了,他們在前幾年已經陸續把中國的產能cross掉了。所以息產地這件事情可能在景碩上面就不見得有這麼大壓力,我覺得這個大家也可以參考。
[46:54] 南電有集團背景,剛剛哈以哥也特別提到,又進入第四季集團作帳的熱門行情。
[47:01] 有一次哈以哥就跟我說,沒有想到今年最強的叫做台素集團,我也默默地反省了一下我自己。
[47:07] 因為那時候AI在熱的時候,有一次台素開發說,我們也有AI塑膠,我想什麼AI塑膠,為了要湊到邊講這種話。
[47:16] 可是後來事實上南亞台化,他們確實就是有半導體跟電子級的材料,南亞更加的明顯。
[47:21] 後來獲得市場公示,我也覺得,嗯,確實人家還有,人家還有南亞科呢。
[47:30] 所以十年磨一劍,有時候你在耕耘的事情,最終市場還是會給你一個公道。
[47:37] 但台數本身,它可能就是轉投資的加持比較多啦。
[47:41] 那能不能適用到其他的原物料族群,恐怕可能還是就要再看一下。
[47:45] 我們有講鋼鐵、航運這些顯然在最近熱個幾天之後又淪為有一點配角,可能還需要一點想像空間,例如航運的話也許它的運價就是要持續的不斷往上走。
[47:57] 那鋼鐵的話,我覺得大家在產業面上必須釋出更多,例如說我有建廠的需求,我有高級鋼材提升報價的能力,我有晶圓建廠級的這些工程能力等等的,我覺得這些都會是在未來我們可以在這些非電族群可以去設想的一個方向。
[48:14] 因為畢竟有台數集團在前面嘛,那不要忘記還有華新集團啊,還有這個所謂的遠東集團,好幾種集團股,我們都看看年底有沒有辦法跟這一波的科技做夢扯上邊,應該都還蠻有表現空間的。
[48:31] 對啊,所以我覺得大家當然可以關注到,如果以電子集團、聯發科、聯電、鴻海等等,我覺得都是排名上,對,熱點所在。
[48:39] 如果是傳產股的話,大家就緊盯美元的表現。
[48:42] 如果美元落勢,原物料會上來,相關的航運、傳產都會有一些表現的空間。
[48:47] 所以目前來看,我覺得大家還是要關注到九月份相關可能聯準會的動作,會影響到資金的行情,也會影響到整個台股九月份量能,跟九月份台股有沒有創高的機會。
[48:59] 好,那今天很謝謝題材獵人,我們也等於是把所有盤邊上今天的焦點,都有跟大家做一些分享囉。
[49:05] 那就明天再會,掰掰。
[49:06] 掰掰。
[49:09] MING PAO CANADA MING PAO TORONTO
