[00:00] 欢迎收听赵华业股破载第1139集
[26:57] 传产啦
[26:58] 尤其是被这个关税杀伤的
[27:00] 一时之间站不起来的
[27:01] 有的没有的
[27:02] 都先不要刻意的管它
[27:04] 不然你就要炒冷饭炒很久
[27:06] 但是以前我刚开始做记者的时候
[27:08] 其实股票市场
[27:11] 是这一两年热成这个样子
[27:12] 很多时候是盘整的
[27:14] 是盘整的
[27:15] 那我那时候就有请教一些前辈说
[27:17] 为什么当一个族群突然热起来的时候
[27:19] 我们可能都拜访不到
[27:21] 可是他就可以很轻松的拜访到
[27:23] 然后那一位前辈就有一个研究界的前辈
[27:26] 可是我忘记他的名字对不起
[27:28] 他就跟我讲说
[27:29] 你一定要记得一件事
[27:31] 你要炒冷饭
[27:32] 他说平常没有这家厂商的事情
[27:34] 你不要都不理人家
[27:36] 他说你还是偶尔要嘘喊温暖一下
[27:39] 业界有没有点起色
[27:41] 你还是要保持一个定期的拜访
[27:44] 或者是至少打打电话
[27:46] 他说突然有一天
[27:47] 奇怪
[27:48] 好就让PCB好了
[27:50] 对不对
[27:50] PCB你以前会觉得
[27:52] 本益比十倍了不起的东西
[27:53] 后来变成一个涨价升级的第一线
[27:55] 每个都涨五倍
[27:56] 十倍
[27:57] 不是本益比十倍
[27:58] 是涨十倍
[27:58] 那时候你谁扣得到
[28:00] PCB你们能扣得到吗
[28:01] 对不对
[28:02] 就你长期有在雇他的人
[28:04] 你可能就可以第一时间
[28:05] 拿到第一手的资料
[28:07] 我觉得这个事情
[28:08] 也给我在为人处事
[28:10] 或是在工作上一个启示
[28:12] 对
[28:13] 那我觉得
[28:13] 我觉得韦泰就在做这件事
[28:15] 例如说像最近很夯的
[28:17] 台塑集团
[28:17] 南亚集团
[28:18] 其实那时候
[28:19] 塑化真的在底部的时候
[28:20] 韦泰是第一时间
[28:22] 有到我那时候
[28:24] 好像是南港
[28:24] 那个赵怀伦说
[28:25] 然后去讲
[28:27] 说他觉得有一些
[28:28] 传产集团快要起来了
[28:31] 那时候他就有讲到台塑集团
[28:32] 那时候应该才三四
[28:34] 四十块吧
[28:35] 对
[28:35] 然后所以那时候
[28:37] 可能有点讲早了
[28:38] 可是一路follow下来
[28:40] 现在台塑集团
[28:41] 这一两个月的表现
[28:42] 就不可同日而语
[28:44] 其实讲到定期的拜访
[28:47] 以前我们的经验就是
[28:49] 你越是中南部的厂商
[28:51] 他越感受到
[28:52] 你从北部下来的热情
[28:54] 所以我们都很喜欢
[28:56] 就是跑中南部
[28:58] 对
[28:58] 因为你想
[28:59] 假设我们今天
[29:01] 以前那时候还没有高铁的时候
[29:05] 我们是坐火车下去
[29:07] 你那火车嘟嘟嘟嘟
[29:09] 两个小时嘟下去
[29:11] 对不对
[29:12] 他很热情的会在那个车站
[29:14] 会有派车来接你
[29:16] 然后那车子
[29:17] 你看起来可能就是那种
[29:18] 所谓的很这种
[29:20] 很脚踏实地的
[29:21] 什么TOYOTA那些
[29:23] 我觉得这种公司
[29:24] 非常值得去观察
[29:26] 还不是来接你
[29:26] 我都自己坐建设
[29:28] 然后坐四五十分钟
[29:29] 然后有的还给你喊价
[29:31] 还不是跳表
[29:33] 但是我觉得
[29:34] 通常那种经验
[29:36] 都是会让我们一辈子都记得
[29:39] 是
[29:39] 比如人家公司
[29:40] 在某个田里面的中间
[29:42] 或者是他在一个
[29:44] 很狭窄的路走进去
[29:47] 反正那个就你会印象很深刻
[29:49] 他也会记得你
[29:50] 对 我觉得这种就是一个
[29:52] 我们先不要管说
[29:53] 我们在做工作
[29:54] 其实这种人与人的
[29:56] 这种所谓的互动
[29:57] 其实我觉得都是
[29:58] 非常非常去值得去做鼓励的
[30:01] 是
[30:01] 好啦
[30:02] 那
[30:02] 刚刚讲到
[30:05] 就现在讲完了
[30:06] 有一些传产
[30:07] 对不对
[30:08] 像台出集团的话
[30:09] 当然他们一方面
[30:11] 有避风港的效益
[30:12] 一方面最近油价有点动
[30:13] 但另一方面
[30:14] 我想市场某种时候
[30:16] 就是很奇怪
[30:17] 你说南亚
[30:18] 进军电子级的商品
[30:19] 我们讲一天两天吗
[30:21] 不是哦
[30:21] 搞不好讲一整年了
[30:23] 但之前在讲这个
[30:24] 他有切入到
[30:25] 这个拨签
[30:26] 或是铜箔类的
[30:27] 一些材料的时候
[30:28] 好像就一百块以下
[30:30] 挣来挣去挣来挣去
[30:31] 某一天
[30:32] 他突然就开窍了
[30:34] 然后外资就出了一个报告
[30:36] 200
[30:36] 他就200了
[30:37] 这真的是不可思议
[30:39] 因为他的股本非常的大
[30:40] 几百亿的股本
[30:41] 就这样飞上天了
[30:42] 然后带动了台化
[30:44] 也有电子级的商品
[30:46] 算是比较多的
[30:47] 然后台素本人
[30:49] 因为他说实话
[30:51] 今年一整年
[30:52] 可能从去年年底开始
[30:53] 就陆陆续续处分了旗下的
[30:56] 南电
[30:56] 南雅科
[30:57] 处分不完的
[30:59] 手上一大堆
[31:00] 所以这些可能都会在
[31:02] 今年第二季的季报上面
[31:03] 给他们比较漂亮的表现
[31:04] 倒不一定是本业非常厉害
[31:06] 因为如果看本业
[31:07] 台塑化就涨得比较慢
[31:09] 因为它就非常的跟油价
[31:11] 或是炼油相关的产品做连接
[31:14] 可是无论如何
[31:15] 这个集团是不是整体的体质好转
[31:17] 甚至像南亚是真的飞天
[31:19] 这个真的就是要
[31:21] 不离不弃地对它有信心
[31:22] 才有办法
[31:23] 要不然交叉持股也难理解
[31:27] 塑化报价也没有真的起来
[31:29] 到底什么样叫做脱胎换骨
[31:31] 它有时候就是取决在
[31:32] 市场共识跟大户的想法改变
[31:35] 对
[31:35] 讲到台说话
[31:37] 他今天涨停板
[31:37] 对
[31:38] 他今天补了
[31:40] 补了一个涨停板
[31:41] 对
[31:42] 他真的就是
[31:43] 这叫怎么大鸡碗蹄吗
[31:45] 这种相对的
[31:46] 比较牛皮的一个公司
[31:48] 今天都涨停板
[31:49] 不过讲到这件事情
[31:51] 顺便补充一下
[31:52] 就是其实今天虽然说指数
[31:54] 大涨893点
[31:57] 涨幅2%
[31:58] 其实今天最涨的肋骨
[32:00] 其实不是电池
[32:01] 我们看到今天就肋骨涨幅来看
[32:04] 什么油电燃气
[32:05] 塑胶
[32:06] 生技
[32:07] 化学
[32:09] 电气电缆
[32:10] 电机机械
[32:11] 跟电子零组件等等的
[32:14] 那当然其实电子股里面也有
[32:16] 例如说联电
[32:17] 它今天也是涨平板
[32:18] 还有西光子的好消息
[32:20] 对
[32:20] 所以我从今天的盘式
[32:24] 跟大家做个简单的补充
[32:25] 就是其实从今天第一天的反弹
[32:28] 看了出来
[32:28] 其实各个族群都有点火的一个迹象
[32:33] 那所以呢
[32:34] 往好的方向想
[32:36] 就是说未来其实在
[32:37] 这个投资配合在选股上
[32:40] 其实你就不一定
[32:41] 一定要去看这个所谓的一个电子股
[32:44] 也不用像过去一样
[32:46] 这个要去追高
[32:48] 然后提心吊胆
[32:48] 因为其实呢
[32:50] 当这个市场上面的资金
[32:52] 开始没有那么集中在电子股之后呢其实有非常多非电子股的部分其實目前他們的一个股价其实也都在相对低档打底完成之后有机会要往上去做展开
[33:05] 像另外一个
[33:06] 其实我想照办应该也很清楚
[33:08] 我对这种所谓的闪瘡航运
[33:10] 或者是
[33:11] 情有独钟
[33:12] 对对对
[33:13] 也是不离不弃
[33:14] 对对对
[33:15] 可是你看哦
[33:16] 像是今天涨幅比较大的新兴航运
[33:19] 它在整个股价的表现上
[33:22] 大概从5月份开始
[33:24] 5月中
[33:24] 然后开始就做一个横盘打底
[33:27] 那么今天呢
[33:29] 是有出现就是往上去做
[33:31] 贷量走高的一个情况
[33:33] 那像这种
[33:34] 这种个股呢
[33:35] 其实它现在的
[33:37] 坚收盘价是31.65
[33:39] 那如果说从它的整个
[33:42] 这个财报数字来看呢
[33:44] 它的净值
[33:45] 如果说就今年第一季来看
[33:48] 净值在30块钱
[33:49] 其实它现在的股价在净值附近
[33:51] 然后它的第一季EPS0.66
[33:55] 其实并没有特别的差
[33:57] 所以我觉得类似这种
[33:59] 如果现在投资表
[34:00] 你想要买的比较安心
[34:02] 然后你不想要被国际的一些动荡
[34:06] 然后吓到睡不着觉
[34:08] 我觉得有蛮多的个股可以选
[34:10] 像刚刚提到的
[34:13] 航运类股
[34:15] 其实就是一个很明显的
[34:17] 我不不好意思讲造纸
[34:19] 因为今天造纸表现得蛮好
[34:20] 但是今天表現比較好是永豐魚
[34:24] 然後再來是榮程這一些的
[34:27] 第一個就是他們目前以榮程來講
[34:31] 他今天收盤10.45
[34:34] 然後禁止在15.92
[34:36] 這樣這種公司我覺得
[34:39] 因為他有實業
[34:40] 我想要再講
[34:41] 為什麼當時我會看台塑集團
[34:43] 因為他是個有實業的公司
[34:45] 他不是用那種所謂的本夢比在炒的公司
[34:49] 所以有实业的公司
[34:50] 基本上除非这家公司财务真的出问题
[34:54] 它可能会有所谓倒闭的风险
[34:56] 不然基本上我觉得有实业的公司
[34:59] 基本上只要它股价来到所谓的进持之下
[35:03] 然后你又发现它在整个的营运面
[35:06] 不管是营收或利润上
[35:09] 其实它并没有很明显的一个转弱
[35:12] 或者是说甚至还有出现缓步回温的现象情况之下
[35:17] 我觉得这些都可以注意
[35:18] 以融程来讲
[35:19] 六月份营收
[35:21] 它MOM7.26%
[35:23] 你觉得不怎么样
[35:24] 它的年增率44.1%
[35:28] 像这种公司我都觉得
[35:30] 哇
[35:30] 虽然说大家可能对这种公司
[35:32] 没有什么兴趣
[35:33] 可是对我来讲
[35:33] 这种公司都是
[35:34] 非常值得我去做
[35:36] 进一步的研究的标的
[35:38] 好 也幸好
[35:39] 因为有韦泰
[35:40] 我们不知道多久
[35:42] 没有讲到散装
[35:44] 也没有讲到造纸
[35:45] 真的有点困难
[35:47] 就是散装的话
[35:49] 当然大家还是可以去研究一下
[35:51] 所谓的报价
[35:52] 对不对
[35:52] 这个BDI的航运指数
[35:54] 而且他们都有分
[35:55] 每一次散装在动的时候
[35:56] 就要重温一次
[35:57] 谁是大船
[35:58] 谁是小船
[35:59] 谁是什么海峡型的
[36:01] 谁是什么巴拿马轻便型的
[36:02] 大家的大小船
[36:04] 就是还有分这样子
[36:06] 但各自有各自的指数
[36:08] 但是不管怎样
[36:10] 从价值的角度
[36:11] 从股价净值比这件事情来看
[36:14] 所谓的这些航运股
[36:15] 或者是造纸种
[36:16] 所谓的景气循环的原物料股
[36:18] 都还是一个好用的指标
[36:21] 炒冷饭的话
[36:22] 不妨就记得关注一下
[36:24] 这个股票怎么看
[36:26] 因为说实话
[36:26] 久久没人讲
[36:28] 新加入股票市场的朋友们
[36:29] 可能根本就不知道
[36:31] 原来用股票
[36:32] 用股价净值比看
[36:34] 完全不知道
[36:35] 要去看一下散装报价
[36:36] 可能完全不理会
[36:38] 其实纸江也是有报价
[36:40] 对不对
[36:40] 其实最
[36:41] 大家现在最关注的报价股
[36:43] 就是记忆体
[36:44] 只是记忆体的报价
[36:45] 说实话
[36:46] 到现在就是高档
[36:47] 有一点顿化
[36:48] 你不太可能像以前三级跳
[36:49] 还在涨了啦
[36:50] 它已经有遇到一些些的锅盖
[36:53] 就是刚刚也回到
[36:54] 为什么很多的
[36:55] 这个消费性电子的压力
[36:56] 非常的大
[36:57] 要吃下记忆体的涨势
[36:58] 真的不是一个容易的事情
[37:00] 所以他们可能相较之下
[37:01] 会有点顿化
[37:02] 那现在也有一些厂商
[37:03] 会跟记忆体的厂商们
[37:05] 去做所谓的长约
[37:06] 我觉得很多人说
[37:08] 长约一体两面
[37:09] 长约就代表你的价格
[37:10] 没有办法再临时大涨了
[37:12] 可是在这么高的价格
[37:14] 去签长约
[37:14] 我觉得保障未来的
[37:16] 几年的获利
[37:17] 我个人是觉得好
[37:18] 对我个人是觉得好
[37:20] 对因为你
[37:21] 你要涨到哪里去
[37:22] 你要涨到全世界
[37:23] 买不起记忆体
[37:24] 这个太不健康了
[37:25] 它就会变成物极必反
[37:27] 所以我觉得
[37:28] 刚刚讲到的是
[37:31] 如果今天真的在
[37:33] 电子股上面的波动
[37:34] 让你觉得担心
[37:35] 也要谢谢有
[37:36] 维泰这样的人
[37:37] 帮我们持续的关注
[37:39] 从台数集团往回看
[37:40] 台数集团不是
[37:41] 这种已经发达了吗
[37:42] 那到底散装航运
[37:43] 造纸类的
[37:44] 其他这类型的
[37:45] 甚至像钢铁
[37:47] 其实很多人就受不了钢铁
[37:48] 我也受不了
[37:49] 会不会有一天报价
[37:52] 有点起色
[37:52] 不过说实话
[37:54] 原物料的报价
[37:54] 我们常常提醒大家
[37:56] 它非常取决在中国的内需市场
[37:58] 有没有兴起
[37:59] 但是这一波
[38:00] 如果大家观察路股
[38:01] 也可以留意到
[38:02] 他们也是比较集中在
[38:04] 跟科技机器人这类型
[38:06] 或是PCB这类型
[38:08] 涨价升级题材相关的股票
[38:10] 对他们来说
[38:11] 还是一个拯救景气
[38:13] 拯救经济比较实在的方式
[38:15] 用传统产业
[38:16] 目前看来他们以前的什么
[38:18] XX建设
[38:19] X15 X25 X35建设
[38:21] 那个已经不work了
[38:23] 因为各地的政府会把钱
[38:26] 可能拿走也不建设
[38:27] 或盖到一半就变烂尾楼
[38:28] 事情比比皆是
[38:29] 对刺激经济没有帮助
[38:31] 所以他们可能也会发现
[38:32] 创新科技这件事情
[38:33] 还是蛮重要的
[38:34] 那这一波如果讲远一点
[38:36] 就是中美大战
[38:38] 而我们是比较选美国边的
[38:40] 那确实也受惠
[38:41] 所以像昨天晚上
[38:43] 这个CPI出来以后
[38:45] 液盘就先拉
[38:46] 其实是不是很意外
[38:49] 6月不太可能有高的CPI
[38:50] 但是到了现在
[38:51] 现在7月对不对
[38:53] 油价有点上来
[38:54] 我们可能反而要注意一下
[38:55] 8月来公布7月的CPI的情况
[38:58] 因为联准会的FedWatch来看的话
[39:02] 9月就已经进入到
[39:03] 大家会担心升息的第一个警戒月
[39:07] 所以最近的油价表现
[39:09] 我个人还是会看
[39:10] 以免到了8月就是重演
[39:13] 就会告诉你
[39:14] 7月的CPI可能就会上来
[39:16] 什么什么
[39:16] 那9月要升息
[39:18] 那台股美股市场上面的压力
[39:21] 又会重演一次
[39:22] 说得非常好
[39:24] 我个人非常同意
[39:25] 因为这样子
[39:28] 因为大家对产业的基本面
[39:31] AI的看法
[39:32] 其实都蛮一致的
[39:33] 那你说这个记忆体的部分
[39:36] 那对于这些大厂来讲
[39:38] 他要做生意
[39:39] 记忆体多贵呢
[39:41] 基本上他都必須要買單的啦
[39:43] 他只是要把這個訂單出完嘛
[39:45] 他不可能因為記憶體貴
[39:47] 我就不進貨
[39:48] 然後那個給人家答應的單子不去做嘛
[39:51] 這基本上不太容易發生啦
[39:53] 所以基本上記憶體貴
[39:54] 他們基本上也都還是會買單
[39:56] 然後再來就是說
[39:58] 我們剛剛所提到一些所謂的
[40:01] 因為基本面的展望很明確嘛
[40:04] 那現在呢
[40:05] 就是資金面囉
[40:07] 我們現在比較怕就是資金面
[40:09] 突然说出现所谓的缩首
[40:12] 比如说升息
[40:13] 就是一个很大的一个因素
[40:15] 所以我会特别的去观察到
[40:18] 就是在这个资金面的一个部分
[40:20] 只要联准会
[40:21] 它有一些特殊的一些话语出来
[40:25] 让这个资本市场感到怀疑
[40:28] 以目前的资本市场的一个位置来看
[40:31] 它就很可能就会造成
[40:32] 这个大幅度的波动
[40:33] 所以我觉得
[40:34] 刚刚赵宝所说的非常好
[40:36] 蛮有共识的
[40:37] 就是未来在AI的一个趋势上
[40:40] 可能未来三年五年
[40:41] 应该都不太会有太大的一个改变
[40:43] 那现在呢
[40:45] 会让这个行情出现高档回档
[40:47] 大概就是资金面
[40:49] 所以呢
[40:49] 如果说接下来
[40:51] 林准会有一些所谓的
[40:53] 比较鹰派的一个说法
[40:55] 那要紧缩资金啊等等的
[40:57] 这都有可能会造成
[40:59] 就是目前处于相对高档的资本市场
[41:02] 会出现动荡
[41:03] 所以呢
[41:04] 接下来的
[41:05] 这个七月份八月份
[41:07] 或九月份
[41:08] 每一个月份
[41:10] CPI PPI
[41:11] 或者其他的一些跟通膨
[41:13] 有相关的数据
[41:15] 我会建议大家
[41:16] 真的要好好地去做个观察
[41:18] 就是不要以为说已经过了
[41:21] 其实事实上还在
[41:23] 问题还在
[41:24] 因为美医还在打
[41:25] 这东西
[41:26] 最不想看到的就还是会发生
[41:30] 因为当初川普心事淡淡地说
[41:32] 什么七天那要搞定
[41:33] 十天那要搞定
[41:34] 两礼拜要搞定
[41:36] 结果变得跟俄乌战一样
[41:38] 那时候俄乌战刚开打的时候
[41:39] 其实大家
[41:40] 全世界可能都认为
[41:42] 这打不久的啦
[41:43] 这个可能几个月就会结束
[41:45] 甚至一个月就会结束的都有
[41:47] 现在看来美伊战
[41:49] 也是处于这个状态
[41:50] 对不对
[41:51] 前两天说要封锁
[41:52] 荷姆治海峡
[41:53] 今天又说不要
[41:54] 其实你乱到
[41:55] 我都不晓得哪一条
[41:56] 是最新的新闻
[41:57] 这就是川普作风
[41:58] 川普作风
[41:59] 就是让你搞不清楚
[42:01] 到底他现在讲到哪里了
[42:03] 讲到到底要克
[42:04] 还是不要克
[42:04] 要关还是不要关
[42:05] 要卖还是不要卖
[42:07] 好没有关系
[42:09] 所以市场会对这类型的消息
[42:11] 比较顿化
[42:11] 我们常常讲
[42:12] 有时候你就看油价
[42:14] 对不对
[42:15] 如果今天两边喊来喊去
[42:17] 油价都不动
[42:17] 就不用担心
[42:18] 可是像最近
[42:19] 为什么市场会波动略大
[42:21] 就是因为油价真的有上来
[42:23] 所以这个可能会是
[42:25] 我们在观察
[42:26] 总经情势上的一个变数
[42:27] 当然当这个变数拿掉的时候
[42:29] 还是再度的强调
[42:30] 我们第二季会缴出
[42:32] 非常亮丽的成绩
[42:33] 那现在迈入到七月了
[42:35] 也会陆陆续续
[42:36] 因为季报的发布
[42:37] 会有非常多的法说会
[42:39] 除了台积电法说要关注之外
[42:41] 其他家的法说也要关注
[42:43] 不管你关心的是
[42:44] 像等一下四点钟
[42:46] 申达科的重大讯息就会出来了
[42:48] 我们到底看一下
[42:49] 他到底要干嘛
[42:50] 因为整个低口卫星
[42:51] 是趴在地上
[42:52] 这是其一
[42:54] 但另外的
[42:55] 例如说你喜欢PCB的
[42:57] 很多人说救救金像店
[42:58] 救救谁
[42:59] 如果他们有法说
[43:00] 赶快听一下
[43:01] 有没有什么样的变化
[43:03] 宅版或者是说像矽晶圆
[43:05] 对不对
[43:05] 今天矽晶圆还是很厉害
[43:07] 你喜欢的产业
[43:09] 包括像矽光子
[43:10] 到底躺到这边了
[43:11] 我今天也跟矽光子的同学
[43:13] 打听了一下
[43:14] 他也讲说
[43:15] 真的是缺料
[43:16] 很多的矽光子厂商
[43:18] 都一直受困于现在料源缺
[43:21] 可是有什么料源缺
[43:22] 一样
[43:22] 需求有起来
[43:23] 技术有进步
[43:25] 订单有接到
[43:26] 所以看您从哪个角度想
[43:28] 如果是因为料源缺
[43:29] 所以营收稍微受到影响
[43:31] 可是后面有订单
[43:33] 这个就会是一个
[43:35] 可能不叫的V转
[43:37] 一个转折点
[43:39] 所以这段时间
[43:40] 请密切注意
[43:41] 您手上的公司
[43:42] 如果有开发说会的话
[43:43] 下半年展望
[43:45] 第二季季报都很重要
[43:46] 那今天很谢谢韦泰
[43:48] 也跟我们古惑仔的朋友
[43:49] 说拜拜吧
[43:50] 谢谢赵华
[43:51] 拜拜
