[00:00] 歡迎收聽趙華一股貨載第1042集
[22:38] 我們剛剛講了很多是漲的
[22:39] 漲的甚至漲到分盤交易
[22:41] 大家都可能可以把握一下機會
[22:42] 但是如果是今天跌的呢
[22:44] 除了探針卡之外
[22:46] 其實我想散熱雖然這一波
[22:48] 在農曆年前
[22:49] 後面有慢慢的環攻到
[22:51] 可他們今天又算是一個
[22:52] 比較明顯沒有漲的一個族群
[22:55] 那像基可也是
[22:56] 那茂連KY和這個志邦
[22:58] 過去我們常常覺得
[23:00] 很神奇的千金股
[23:01] 可能也是主動市
[23:02] ETF很喜歡的標的
[23:03] 今天表現也都不好
[23:04] 那對於他們這些公司來看的話
[23:07] 有沒有一些強弱
[23:08] 或是未來前景上的差別
[23:09] 我覺得第一個是
[23:11] 其實你會發現到說
[23:12] 其實我們在講的股票
[23:13] 現在的強
[23:14] 可能都是之前的弱
[23:15] 我們年前講達新廠
[23:17] 說可以買是不是
[23:18] 結果達新廠這兩天就
[23:20] 年前就開始強了
[23:21] 今天又繼續強
[23:22] 對不對
[23:23] 所以告訴你說
[23:23] 弱的不見得一定是弱
[23:25] 但是弱的基本上
[23:26] 如果趨勢還在
[23:27] 我強調很重要就是
[23:29] 你要先去看那個
[23:30] 他的五日MA有沒有跌破
[23:34] 就是五日均價線有沒有跌破
[23:36] 這個沒有跌破
[23:37] 基本上他就有機會再往上走
[23:39] 所以你看之前像華東
[23:40] 其實也整理了一段時間
[23:41] 他就繼續往上走
[23:42] 所以你覺得現在志邦很弱嗎
[23:44] 我覺得沒有
[23:45] 其實志邦在封關前是很強的
[23:47] 隱晦氣很強
[23:48] 其實我覺得這邊
[23:49] 我們剛有提到一家貪爭公司
[23:50] 我覺得旺系是可以看一下
[23:52] 因為旺系其實在封關前
[23:54] 其實投信就一直賣一直賣
[23:55] 我覺得反而是
[23:57] 之後可能投信又會回來買
[23:58] 因為今年怎麼看
[23:59] 其實探針卡
[24:00] 大家的訂單都在手
[24:02] 那你影位已經在這個位置了
[24:04] 連這個金測都已經是4000了
[24:07] 旺西還在2000多
[24:08] 還不到3000
[24:09] 是不是感覺是一個相對比較可以介入的個股
[24:13] 因為我們在看一個族群
[24:15] 都在往上的過程裡面
[24:17] 你只能去找那個相對基本面比較不錯
[24:20] 然後股價相對比較弱的
[24:21] 因為它可能是短線的休息它不見得是長線的不好對那我們之前講過嘛他的主要客戶是博通所以我覺得他今天也不會太差然後再來就是機器人其實我覺得好像因為今天這個
[24:34] 關稅的事情又讓他再度休息
[24:36] 但我覺得反而是又是一個好的介入的時間點
[24:39] 你可以看到我們從比較大的股票來看
[24:42] 從核大一直到上銀
[24:44] 其實都有一隻手在默默的承接
[24:47] 都默默的承接
[24:48] 那就不用講說我們之前提過的信貸
[24:50] 其實信貸從我們那時候講完
[24:52] 現在已經1000多塊了
[24:53] 對
[24:54] 你如果再去買新代
[24:55] 我覺得你就有點
[24:56] 太急了
[24:57] 太急了
[24:58] 那回過頭來
[24:58] 你是看上銀跟和大
[25:00] 對
[25:01] 我覺得這個地方
[25:02] 倒是一個可以留意的一個位置
[25:04] 是
[25:04] 好
[25:05] 所以這個凱哥對於機器人
[25:07] 是始終沒有放棄
[25:08] 但是也不要忘記
[25:09] 機器人裡面
[25:10] 新代的上1000以上
[25:11] 甚至創新高
[25:13] 它是有意義的
[25:14] 但確實
[25:15] 因為它根據這個
[25:16] 所謂一二條款
[25:17] 要全球課徵關稅
[25:18] 這個對
[25:18] 這個所謂傳產工具機
[25:20] 這一塊
[25:21] 相對又來了一個打擊
[25:23] 可能他們的這個
[25:24] 馬年的運還沒有來
[25:26] 所以我們可能
[25:27] 還沒有上馬
[25:28] 我們再給他一點點機會
[25:31] 那散熱呢
[25:31] 剛好沒有講到散熱
[25:33] 散熱也算是這一波里面
[25:34] 長勢相對比較溫和的
[25:36] 還有沒有機會呢
[25:38] 我覺得散熱之前
[25:39] 就是因為黃仁勳講的那句話
[25:40] 沒有錯
[25:41] 可是後來又稍微頻繁了
[25:43] 然後這兩天又開始
[25:44] 今天又不太醒了
[25:46] 但我覺得應該還是OK的
[25:48] 還是OK的
[25:50] 對主要就是因為
[25:51] 其實目前看起來
[25:53] 整個在ASIC這邊的散熱
[25:55] 其實是沒有解的
[25:56] 所以你整個大型的
[25:58] 整個機構散熱
[25:59] 到整個ASIC散熱
[26:01] 我覺得都還是有需求
[26:02] 所以我覺得這邊也是
[26:03] 跌回來反而是
[26:04] 可以早買一點的一個好時間
[26:05] 好
[26:06] 然後那當然我們看到
[26:07] 今天破纖布的上游
[26:09] 還是非常的強
[26:10] 因為日東坊
[26:10] 它的擴產積極
[26:11] 而且也一直提醒大家
[26:13] 他們是非常缺貨的
[26:14] 所以不管德鴻富橋等等的
[26:16] 我們也常常提醒大家
[26:18] 以這個破纖布的上游
[26:19] 如果真的有切入到
[26:20] 比較高階的部分
[26:21] 在今年應該會是一個豐收年
[26:23] 但也要同樣的
[26:25] 晚庭街沒有來
[26:26] 但之前晚庭有提醒說
[26:28] 淡泊仙部的擴產
[26:29] 他認為會是比較快
[26:31] 比較容易達到
[26:32] 未來的供需品
[26:33] 不說今年就會
[26:34] 就是說比較容易
[26:36] 他還是比較看好
[26:37] 像同博的缺口
[26:38] 可能會比較大
[26:39] 只是因為金居不斷的被關
[26:41] 開盤第一天依舊是被關
[26:43] 所以他可能相對之下
[26:44] 不容易表現
[26:45] 但今天龍科是又繼續漲停
[26:47] 但這兩家
[26:48] 可能在技術層次上
[26:49] 是有一定的差距
[26:51] 這可能我們的聽眾朋友
[26:52] 要有一點理解
[26:53] 還有最後一個
[26:54] 我們來講被動元件
[26:55] 今天很難得一開盤
[26:57] 我們先看到漲停板的
[26:59] 是國具華星科
[27:00] 就感覺到這個盤
[27:02] 怎麼長得不一樣了
[27:03] 那之前凱哥也跟我們提醒過
[27:05] 如果要說AI
[27:06] 首看國具
[27:08] 但國具股性真的很爛
[27:09] 即使今天漲停板
[27:10] 它還是沒有回到前高
[27:12] 對 但是我們之前有講過
[27:14] 年後基本上
[27:15] 就是國具會漲價的時候
[27:16] 我記得那時候
[27:17] 大概應該是兩個月前吧
[27:18] 我就講說其實日本在漲
[27:20] 可是國內還沒有到時間
[27:22] 其他時候國內還沒有漲價
[27:24] 所以看它從什麼
[27:25] 從所謂的線性
[27:27] 從這個感測原件開始漲
[27:31] 其實它都沒有漲到晶片店主
[27:33] 一直到最近
[27:34] 整個包括像Murata已經在講說
[27:36] 這個晶片店主開始要漲價了
[27:39] 我覺得真的國巨
[27:40] 接下來就真的會這樣漲價了
[27:42] 所以我覺得如果你已經有國巨的人
[27:44] 倒是可以再等一等
[27:45] 因為我覺得是時間了
[27:47] 是時間的
[27:48] 但是你說要不要主力推它
[27:50] 我覺得就不需要
[27:51] 因為他們不是真的扣
[27:53] 真的扣
[27:53] 所以我們上次來講
[27:55] 我說你看這個ABF載板
[27:57] 就很像這個HBM的角色
[28:00] 扮演的角色就是HBM
[28:02] 所以你要買是實質AI
[28:04] 應用到的componer
[28:05] 會比較好
[28:06] 或者是我們剛才講的
[28:08] 像上游的部分
[28:09] 因為你不管是ABF載板再擴
[28:12] 或者是PCB板再擴
[28:14] 他們就是需要那材料
[28:15] 所以你看裝置也是一樣
[28:17] 你看那個裝置大量
[28:19] 其實他也是跟著漲
[28:20] 就是什麼
[28:21] 就是實質上有在擴
[28:22] 就是有需求
[28:23] 有需求
[28:24] 對
[28:24] 好
[28:25] 所以如果大家對於被動元件
[28:27] 國巨這個大哥
[28:29] 還是有信心的話
[28:31] 他在今天這樣擊漲的過程中
[28:34] 事實上他的位階
[28:35] 並沒有如其他不斷創新高的公司
[28:37] 這麼的貴
[28:38] 我覺得這個大家也是可以參考
[28:40] 當然我可以理解今天的感受
[28:42] 一定是覺得
[28:42] 如果手上有這些破線布的上游
[28:45] 如果手上有細光子
[28:46] 如果手上有這些
[28:47] 漲停不了的股票
[28:48] 感受很好
[28:49] 看到有人留言說
[28:50] 他手上好幾個燈
[28:51] 很恭喜你
[28:53] 但如果今天你手上的股票
[28:54] 它沒有燈
[28:55] 或者甚至它是反向下跌的
[28:57] 假設是探針高價股
[28:59] 我想你應該還好啦
[29:00] 因為它是創新高後下跌
[29:02] 那假設是其他的
[29:03] 那我覺得不妨參考一下
[29:05] 你到底對它有沒有長遠的信心
[29:07] 因為像你看到國際華盛科漲
[29:09] 不代表明天會續強
[29:10] 不過也就代表說
[29:12] 他們身上還是有揹負著
[29:14] 這個科技眼鏡跟AI眼鏡上面
[29:16] 這個眼鏡不是戴的眼鏡
[29:17] 是演化進步中
[29:19] 他們有他們的角色在
[29:22] 尤其是春田
[29:23] 如果都說到要漲價的話
[29:24] 我想國區是不太會輸的
[29:26] 就是如果你要講大廠
[29:28] 或是他把各個跟AI相關的元件
[29:31] 有並進來最整齊的產品線
[29:33] 我想就是他
[29:33] 即使我以前對他
[29:35] 這個關於合併分割
[29:36] 合併分割有點意見
[29:38] 可是如果回到產業面上面
[29:39] 龍頭就是龍頭
[29:40] 我覺得這個是大家可以參考的
[29:42] 那當然不免俗
[29:43] 在這個過年期間
[29:44] 有收到非常非常非常多的訊息
[29:48] 不一定有一一的回答
[29:50] 那當然這中間有人是很焦慮的
[29:52] 說在過年的時候就不斷的反省
[29:55] 說怎麼搞的
[29:56] 就是之前我們有提到要配置
[29:57] 什麼的都沒有聽
[29:58] 可能留的股票都還是虧損的
[30:01] 或是沒有漲的
[30:01] 我覺得這些都不要太煩惱
[30:03] 臺股今天有來到了三萬四
[30:06] 是一個歷史新高
[30:07] 但是如果你從今天開始
[30:10] 去把你的配置重新分配
[30:12] 其實在過年期間
[30:13] 還有那種同學的媽媽
[30:15] 她說她抱著航運股
[30:17] 從那時候高點
[30:18] 一路抱到現在
[30:19] 問怎麼辦
[30:20] 先領完股息再說吧
[30:22] 特對色時間
[30:23] 這個也是一個
[30:24] 凱哥就會認為說
[30:26] 假設你是抱小鹿長榮吧
[30:27] 他的股息畢竟還是不錯
[30:29] 要不要領完股息再說
[30:30] 我們也不能說
[30:31] 航運股就不會漲
[30:32] 但如果因為這一連串
[30:34] 讓你覺得錯過了
[30:35] 臺股的大多頭
[30:36] 就要去適度的想
[30:37] 你可以抱著一部分
[30:39] 你覺得還有希望的
[30:40] 貨軌航運
[30:40] 我覺得這個很難講
[30:41] 搞不好戰爭起來了
[30:42] 貨櫃行運的運價又跑起來
[30:44] 就不一定嘛
[30:45] 對不對
[30:45] 但是你一定要佈局在
[30:47] 到大不了就是市值
[30:48] 跟著臺積電一起成長
[30:50] 再不然就是跟AI相關的股票
[30:52] 還是一定要有一些些
[30:54] 對我覺得幫這樣的配置起來的時候
[30:57] 就不會有在過年的期間
[30:59] 看著自己的股票是沒有漲的
[31:01] 大部分都沒有漲的
[31:02] 然後覺得很懊惱
[31:03] 對千萬不要讓這樣的情緒
[31:05] 現在馬年才剛開始
[31:07] 不要讓這樣的情緒繼續延續下去
[31:09] 你部分做轉移也沒有關係
[31:11] 不用全轉
[31:12] 全轉可能很多人覺得很痛苦
[31:14] 或者說你做最簡單的臺美配置
[31:17] 臺美日配置
[31:18] 有人想要做中國大陸
[31:19] 也加一點進來
[31:20] 我覺得也沒有關係
[31:21] 臺美日入配置
[31:24] 你用一些ATF去稍微做點配置
[31:27] 也都是OK的
[31:28] 我覺得這邊的話
[31:29] 也是比較與眾心腸
[31:30] 是過年大家開開心心
[31:32] 希望聽到都是大家的捷報
[31:34] 好訊息
[31:35] 不要再懊惱了
[31:36] 那麼年開始了
[31:38] 希望我們從今年開始的投資報酬率
[31:40] 或者是配置上
[31:41] 都能讓大家覺得安心又滿意
[31:43] 是啊
[31:44] 馬年剛開始
[31:45] 大家馬首是瞻
[31:46] 不要急著
[31:47] 馬上就要下馬
[31:48] 年才剛開始而已
[31:49] 今年我覺得是一個多頭的年
[31:52] 我多頭年
[31:53] 其實今年的氣氛
[31:54] 感覺大家都還蠻正面的
[31:57] 所以我覺得大家還是可以
[31:58] 省勝的來操作
[32:00] 對
[32:00] 好
[32:01] 那今天很謝謝凱哥
[32:03] 來當我們這個開紅盤
[32:05] 果然開了紅盤
[32:07] 是
[32:07] 的第一位來賓
[32:08] 那很多人可能這兩年
[32:10] 才剛參與股市
[32:11] 也可以體會一下
[32:11] 我們有一個最瘋狂的風光
[32:13] 我們有一個開心的開紅盤日
[32:15] 這些都是有符合
[32:17] 我們在歷史上面的期待
[32:20] 那希望大家今年
[32:21] 一邊注意自己的風險
[32:23] 一邊能夠找到自己的投資步調
[32:25] 那就跟股貨帶朋友說拜拜
[32:27] 大家再見
[32:28] 拜拜
[32:28] 新年快樂
[32:29] 拜拜
