[00:00] 歡迎收聽,趙淮國貨載地1184集AI半導體大爆發,選對投資標的要靠真功夫咯。
[35:39] 有時候去聊聊經驗值也是很愉快的一件事情。
[35:42] 那我剛剛突然想到我今天應該要在空中要謝謝一位應該是不知名的網友,
[35:47] 因為我自己有在做一些小額捐款,那我有點忘記捐給哪些單位了,
[35:53] 大致就是可能會捐給那種寒病兒或者是流浪動物,大概就不分這兩塊。
[35:59] 那人的部分可能還比動物多一點的原因是因為我自己有一些朋友在收養流浪動物,
[36:05] 那我自己以前也是嘛,所以我可能比較傾向就直接捐助給朋友這樣,但我要講這件事情是因為我最近有收到一個化妝盒,那那個化妝盒是因為有一個捐款捐給叫浪愛即食,是流浪動物的單位,然後他們就寄來一個贈品,那第一時間我就在想說,我可能最近有一些就是固定小兒捐款,或是前一陣子剛好我有在增加了小兒捐款的加數,因為我覺得在股票市場有獲利這個要回饋出去,是不是我有捐給這個單位,
[36:33] 有把那個贈品寄來,可是因為我捐贈的時候都會寫說我不用贈品,就是我就是單純捐贈。
[36:39] 後來我今天突然意識到說,這應該是某一位聽眾或網友捐贈完以後寄給我的。
[36:46] 我今天想應該是這樣,那都忘記要謝謝這位朋友。
[36:50] 很謝謝,因為我想應該是因為那段時間我也有提到說,大家如果在股票市場有賺錢,不要急著跟別人比績效,而是如果能夠回饋給這些需要幫助的弱勢團體。
[37:00] 應該是因為這個原因,所以才收到了這一筆捐贈。
[37:04] 所以我都沒有提,我覺得不好意思,我一直以為是自己,結果應該不是,我看了半天應該不是。
[37:10] 所以謝謝這一位不知名的,也沒有告訴我的,不管是觀眾或是聽眾,謝謝你這樣子。
[37:16] 其實我在講,確實應該說這段時間確實股市比較震盪的時間點。
[37:22] 我常常講,今年上半年股市表現不錯,大部分人都有在股市裡面賺到一些錢。
[37:29] 常常在這個時間點多做一點功課,多一點耐心,加上如果有那個機會,上半年有賺到錢,多發揮一點愛心,然後能夠做一點對回饋社會的事情,幫自己種一點善源,下一次等到股市轉強的時候,相信來講你的運氣會更好,這我自己的感覺,所以我覺得這也可以跟大家分享一下。
[37:58] 好,然後呢,因為前兩天我跟明翰各自都有講座,希望我有機會跟明翰在同一場講座出現啦,因為大家就抱怨說,啊那一天有你的講座也有明翰的講座,我是幫這個按聯投信啦,明翰應該是好像公益的對不對?
[38:12] 是,喜憨兒嗎?還是公益的講座?然後所以就還有幾個網友還傳訊息說你們兩個就不能同樣的那個一場嗎?不好意思啦,各自有各自的任務,當然希望之後有機會,因為後面還有實體講座,能夠邀到明翰我們可以一起同場。
[38:28] 當天我記得有我自己的暗戀的講座就有一個女生又起來問我說想要知道我在房貸上的規劃
[38:36] 那因為那個場子畢竟是人家講ETF的場子那問我個人的規劃又很長啦因為每一個人在人生中會有不同的想法
[38:44] 如果你問我是一個二十幾歲的我那時候我剛買房子其實我的選擇是先求有再求好
[38:51] 我那時候買的地點就是在三重而且是那時候也還沒有那個特別說是什麼買在捷運站旁邊什麼的
[38:58] 而且旁邊其實就有宮廟的問題,可是它的總價跟單價就非常低。
[39:05] 以我當時又養那麼多的貓來說,能夠有一個家是最重要的。
[39:10] 然後它的價錢在我付房貸的時候也毫無壓力,我記得那時候一個月好像一萬多塊錢的房貸去還,就很小,室內好像就15坪左右。
[39:19] 來過的人都說怎麼那麼就是狹窄,因為可能我還養貓啦。
[39:23] 對,所以當時的我,我是選擇了這樣一個方案,可是後面我換到是一個比較大的三房兩廳的時候,我的房貸壓力就比較重了。
[39:32] 那當時我就沒有辦法說輕輕鬆鬆薪水來,好像還可以買東買西買股票,那我就做了有理財型房貸,就是我有把房貸的部分帶出來再做股票投資。
[39:43] 所以那一天有一個女孩子問我的時候,我想她,我很感謝那天來的人,因為我發現我的受眾女生也還真的是蠻多,大家都以為財經是男生的世界,但現在女生很多,而且他們都會講說,很希望能像我,就是大學的時候毫無資源,因為父母過世比較早,然後畢業後第一份工作兩三萬起來,可以到現在就是感覺上還OK啦,這樣,這個歷程其實中間真的是有很多的調整,所以那天沒有回答到那一位女生,但我這邊很簡單的說,
[40:13] 在人生每個階段一定會有自己覺得最重要不重要的事情,像明翰他就一直覺得他沒有要買一個房子嘛,我們常常在講這個事,那我是因為我養了這些動物,我覺得一定要有一個家。
[40:23] 實質到今天,我已經可以有一些部位,那些部位是它只要有穩定的現金流進來,我並沒有很在意它一定要瘋狂的追求價差。
[40:35] 但它這個現金流進來會讓我有一個安全感,是說那我未來我的房子的總價也拉得比較高了嘛,那用這個現金流去支付那個房貸,我就不用操心,我還是可以專心在職場沖鋒陷陣,賺我的本業錢,或者是我有一些比較高波動型的個股,我還是可以抱得住。
[40:52] 我覺得這些很難在一時半刻之間在講台上跟台下的這位聽容做分享,可是我覺得人生是一條很長的路,就不要急於你現在手上握有哪些籌碼,我覺得你就先用你手上的這些籌碼來打你人生的牌局。
[41:09] 那我覺得最重要的是本業真的要顧好,就是不要一直覺得對投資一定會什麼超過你的本業,因為他贏的時候是輸的時候恐怕也很壓力大,所以本業的衝刺我覺得這邊是一定要顧好的,然後那你要買要不要超過自己負擔的房子,其實我覺得大部分的時間都不要啦,大部分都不要去買超過自己負擔的房子,可是你說為了繳房貸或者是如果你真的需要一間自住房咬牙,
[41:39] 大家省吃儉用一下,我覺得那是非常非常合理的,就不要覺得舒舒服服,東買西買,也無所謂,我就能主動有一個我很喜歡的房子,我覺得那個還蠻困難的。
[41:49] 所以這些都是老生常談,但是我也希望我自己的例子能夠給每一次在現場見到的朋友們一些激勵。
[41:59] 我確實就是從領就是沒有什麼家庭的資源然後領死薪水然後到了說實話我進了電視台之後我的收入才有更明顯的往上再跳一個幾句在平面媒體其實那個是很受壓抑的我前面如果沒有做投資其實我就是一個普通的上班族所以我還是很鼓勵大家做投資
[42:20] 其實平常一樣我有對比造華我就有我的優勢
[42:24] 因為畢竟我在台北我從小在台北成長
[42:28] 其實我的優勢是什麼?
[42:31] 其實我最大的朋友嗎?
[43:03] 我簡單來講,我比較拿手、應該說我比較在行的股市。
[43:06] 所以我自己評估過後,我一直覺得我的股市投資會比所謂的不動產比較容易賺。
[43:14] 那我常常講的,要記得我自己的觀感,我覺得真的有需要,是買來住的,那我覺得這個就是完全另外一回事。
[43:23] 我今天沒有買是因為我沒有那個需求,那我自己的舊房子也還可以住。
[43:27] 投資上每個人的狀況不一樣,我以前遇過很多人以不動產為主,我覺得這個也沒有太大的問題,甚至長期買了很多間,一直很辛苦,慢慢地投資,慢慢買,一間繳了快完了之後再買下一間。
[43:47] 這也是一個方式、一個累積資產的模式。
[43:51] 只是我覺得每個人的架構可能不太一樣。
[43:55] 對比而言,我常常鼓勵比較年輕族群,我覺得要做一件事情就是,
[44:02] 不管就是說也許有不動產,可能有那個需求有買,然後有備房貸,或者是說平常也有在股市裡面做投資。
[44:13] 但是我覺得有一塊最最最重要不要miss掉的就是有一塊長線投資的部位
[44:23] 而且我覺得這塊長線投資的部位就我的定義而言
[44:27] 我覺得這塊長線投資的部位把握盡量原則就是只買不賣
[44:33] 然後呢為你應該說為你幾十年後而努力退休的一個方向的一個存款
[44:40] 這幾個投資者的負擔是十分之多,並且是一個非常重要的投資者。
[45:10] 這幾個數字是相對而言比較有底氣的,尤其是我覺得什麼樣的人最適合,就是憑良心講,就是在你的正職上相對比較辛苦的人,我反而覺得這個是最有必要的。
[45:26] 因為如果你今天在工作上你有辦法爬升的速度快,甚至你都已經做到小主管了,收入也不差,相對而言其實你隨時要再存都不會有太大的壓力。
[45:40] 但是如果你今天真的是比較基層的上班族,薪水不是很高,那憑良心講也是真的是需要蠻長期的一個所謂的長期小資金的累積經過複利才有辦法有這樣子比較大的一個成長。
[45:58] 回過頭來,憑良心講,我剛剛講,跟趙華我最大的優勢就是我台北人,我有房子。
[46:04] 但憑良心講,我以前入行的時候,我幹研究員剛開始薪水也只有三萬塊,也是慢慢慢慢慢慢爬升上來的。
[46:14] 這個真的,而且我認同剛剛趙華講的一個重點,記得一件事情,本業在你的投資沒辦法讓你經濟沒有負擔之前,本業永遠是最重要。
[46:28] 我遇過非常多的投資人,真的就是不要被一時的這個所謂的情境給所謂的扭曲誤解,尤其我常常講最容易發生就是去年第二季的那個時間點,三個月指數漲了四成,人人都變股神,所以很多人都想回家就不想上班,這是非常不正確的觀念。
[46:51] 這個我常常講這種第二季這個狀況就是歷史以來最誇張的
[46:57] 而且我常常講我自己以我自己的觀點
[47:00] 我覺得人生不可能看第二次就是一季就能夠漲四成指數的這個架構
[47:06] 所以常常講不要把這個很特立的時間點當做常態
[47:10] 然後永遠是把自己的這個等於說自己的正職想辦法做好
[47:15] 因為你為了正職做好你才有多一點點的資金來源
[47:19] 想辦法無論是減低你自己的房貸壓力或者是多投資一點
[47:25] 我剛剛提到你每個月尤其是你把時間軸拉長
[47:29] 你每個月5000或每個月8000
[47:32] 時間累積之後其實效果是截然不同的
[47:35] 但是重點我常常講要把時間放長
[47:38] 那要有一塊就是盡量最起碼在能夠累積
[47:43] 我覺得這個單位一定是用10年下去做看待
[47:46] 然後呢你就是所謂的只買不賣
[47:49] 那你十年之後你就會發現這個效應遠比你想像的大
[47:53] 而且不是大不是大一點點一定是大很多很多倍
[47:57] 那這個時間點你才有底氣呢
[48:00] 而且經濟的壓力自然就會大幅降低
[48:03] 我自己會覺得啦就是因為我憑良心來講我過來的
[48:07] 我剛才講了從入行很低的薪水
[48:09] 而且那時候其實我就已經結婚生小孩一個月才三萬塊
[48:14] 所以確實當時的經濟壓力明顯的沉重,但是經過一段時間稍微成為正常上班族其實還沒有太大的感受,一直到真的我自己把握那個原則,就是我剛剛講接近20年的時間我真的是後半段才有了長線投資趨勢的觀念,然後讓自己的財富能夠慢慢累積,後續你的經濟壓力自然就能夠慢慢的降下來。
[48:42] 這個時間點我常常講最後你會發現兩件事情
[48:47] 第一件事情就是你人生會變得相對快樂很多
[48:50] 第二件事情就是反向它就會有一個不利的狀況
[48:54] 就是你會發現你的人生在加速
[48:58] 你的時間會變得非常快
[48:59] 明明是一年但很快就結束了
[49:02] 這代表因為你現在生活是過得快樂的
[49:05] 就像你出國去玩一樣明明去日本玩五天會感覺怎麼才出門就要回家
[49:11] 因為你過得很快樂,所以我常常講這種環境下相對來講就是會有一個日子會過得比較開心,但是時間會加速的那個問題。
[49:20] 所以我常常講的就是不要看不起那個小資金的累積,要給自己一點機會。
[49:29] 簡單來講你多開一個帳戶,然後呢只買不賣,然後呢其實對你不會有太大的影響。
[49:36] 但是當然會有很大的問題,在短線你是不會有任何感覺的,無論是半年、一年,你那戶頭再打開,你還是有點覺得我有需要做這個嗎?我常常講,你給自己五年到十年之後,你再回頭看,你會感謝你自己啊。
[49:52] 為什麼今天好像有點感觸,除了剛剛看到那個捐款的信,很謝謝這位朋友之外,我在禮拜六的這個講座,我遇到一個老朋友,是真的老朋友,我們自從在我的第一份工作在彩訊,一起共事過之後,後面再也沒有遇到,那他現在做什麼呢?他就是在安聯投信當亞太區的行銷長,發展得非常好,他離開彩訊,我們在那邊算是被訓練得非常的慘重。
[50:22] 離開後他就轉戰金融界,也一路就這樣爬上來,到亞太區行銷長這真的不容易喔。
[50:28] 那我們看到非常的激動喔,我那時候在台上,他在台下,我看到他來,我真的整個人這個回憶就翻江倒海的從心裡面湧上來。
[50:36] 因為那是我人生第一份工作,我的起薪是兩萬六千塊錢,而且我都還記得當時的總編輯講了一句話,因為那時候的雜誌沒有像現在這樣那麼多喔,應該說現在雜誌也世為了,中間有一度是非常好的嘛。
[50:49] 那柴旭非常有性格的一家雜誌社,所以他就說他們喜歡用的其實大多數都是國立大學畢業的,他們要的是這種素質比較高的,但是也不要念到什麼碩博士哦,他說碩博士又很難搞,總之因為我是試薪畢業的嘛,對他們來說以前是不屑一顧的,那為什麼用我呢?
[51:09] 因為我就在我的自傳上面,我就寫了,我說因為我從屏東來,那我父母都過世了,我大學後面兩年都是半工半讀,自己賺學費跟生活費,我有非常沉重的經濟壓力,然後我會很努力,我會多認真,當然因為他們還有一個筆試,因為我中文、我國文不錯,所以那個筆試他們成績也不錯這樣,然後所以總編輯有一次就當著大家的面就講說,為什麼會用造華呢?南部來的嘛,比較純樸啊,又缺錢,那他就不會亂跑啊,就會好好的做,
[51:38] 因為我應徵的是一開始是編輯的工作不是記者的工作
[51:41] 我真的常常在公司忙到兩三點
[51:44] 還忙到有一次就是騎著機車回家的時候在路上摔倒
[51:48] 出了比較嚴重的車禍
[51:50] 都是在那段時間才去公司大概兩三個月就出車禍了
[51:53] 那時候身邊的姐姐哥哥們都很為我抱不平
[51:57] 就說講這個話會不會太刻薄了這樣子
[52:00] 說什麼南部上來的會乖乖的什麼的
[52:02] 我說沒有耶我其實覺得我好幸運喔
[52:05] 我說要不是我這樣寫我可能不會被錄取
[52:07] 我真的很想要這份工作。
[52:11] 我看到那位現在是安利亞太區的行銷長的時候,
[52:15] 我那個回憶就跑上來了。
[52:17] 那兩三年的訓練真的非常辛苦。
[52:21] 後面我就決定我不要做編輯,我要做記者。
[52:24] 甚至後來我到了萬寶頭過去做了比較像是類似研究員的工作。
[52:29] 這份工作實在是給我的印象很深。
[52:31] 我都記得我們兩個跟這位行銷長兩個人晚上兩點了吧,
[52:35] 沒辦法回家。
[52:36] 然後他的稿子在被改,那我在幫忙處理後續編輯的流程,然後他的眼淚就這樣從臉上流下來,安安靜靜的流著眼淚。
[52:47] 所以這一段刻骨銘心的過去,可是我也遇到很多的貴人,那個時候哥哥姐姐們看我這麼窮,就是會送我吃的啦,然後把不要的一些很新的衣服拿給我啊,然後還會教我做股票。
[52:59] MING 和 賴慧琪 同時也有提供了一些新的資訊。
[53:29] 有特別的被這個往事給撩起來,所以人生上面有很多的貴人,就像有很多人有傳訊息說聽了我們節目以後,認真的做投資理財,都有賺到錢,我想那一天來現場的朋友,我都會直接問說他來找我照相嗎?我都會說謝謝你們來,那有沒有賺到錢啊?因為我希望大家是認真的看待在投資理財這件事情,就像剛剛明翰講的,你過了十年你會謝謝你自己,我們是發自內心這樣講的,並不是在跟大家說就是為了你要提供你自己的投資理財,我們是發自內心這樣講的,並不是在跟大家說就是為了你要提供你自己的投資理財,我們是發自內心這樣講的,並不是在跟大家說就是為了你要提供你自己的投資
[53:59] 請問您對於市場上的投資和市場上的投資有什麼影響?
[54:29] 市場上的股市是在那裡,大家只要做的方向是對的,大家是一起賺到錢的。
[54:38] 所以今天誰賺,我在這樣的情況下,當然都希望大家可以在這個環境之下,尤其是我常常講的,這個是台灣很特別、很特殊的現象。
[54:50] 可以看到今年所有的指數大家去看一下真的有漲的
[54:55] 真的有漲的現在只有費辦韓國台灣跟日本就只有四個市場其他的其實也都沒漲
[55:03] 所以身為台灣人確實是蠻幸福的當然你可以當然如果你真的這個所謂的投資能力很強當然可以跨國哪怕你是這個
[55:12] 其他國家的也可以投資台灣沒有錯但是因為你身在台灣你得到的資訊多你每天會關注所以
[55:19] 自然你比較容易賺得到錢。
[55:21] 那我常常講的就是說,三年了AI的趨勢就是這樣,現在看起來這個趨勢沒有任何的改變。
[55:29] 無論從人家要丟錢的意願跟台股的營收獲利的狀況都沒有任何改變。
[55:36] 中間無論是誰誰誰說了什麼話啦,這個要不要升息啊什麼的,我個人覺得那個雜音影響的層次都非常有限。
[55:45] 最後,要有信心投資往AI靠攏,維持持股,因為你只要持股,你會害怕持股太低,其實很難賺得到錢。
[56:01] 所以持股要相對維持比較高的狀況,中間不要怕震盪。
[56:06] 或者是我剛剛講了,如果真的就是一直過不了自己心理的門檻,那你最簡單、最粗暴、最安全的方法就乾脆買指數,然後剛剛講買了就不要賣,然後充實不要看,可能時間拉長之後,自然你就可以得到這個所謂的獲利的果實。
[56:26] 今天很謝謝明翰,今天我們前面半段當然還是來跟大家講,現在悶,但不要忘記後面的柴火很多,那後面自然也是我們兩個自己的經驗,跟大家聊投資理財是人生上你一定要做的事情啦。
[56:40] 好,那我們今天古惑仔就到這邊囉,跟大家說拜拜。
[56:43] 拜拜。
