[00:00] 歡迎收聽《造華於股貨載地1166集》,今天是2026年的8月20號。
[34:23] 而且我很感嘆說為什麼現在我們財經台都沒有人可以做這類型的內容
[34:27] 因為連寶傑都在做股票
[34:29] 好我拉回來講
[34:31] 創意不演開私的意思就是說以前創意有一個董事台積電
[34:38] 然後一個什麼副董或者是一個這個協理或者是一個發言人
[34:42] 現在不是站出來的全部都台積電來的
[34:45] 那既然大家要講合作嘛他們也直接在法術會講說
[34:49] 我在他們張欣的董事長姓張嘛跟我本家
[34:53] 我在台積電二十幾年的經驗
[34:55] 然後呢我們現在跟台積電三奈米兩奈米
[34:58] 然後取得產能跟奧元
[35:00] 哇,這講著這麼樂觀,難怪創意要漲到5900嘛,5800,創新高,創歷史新高嘛,因為這個東西是沒有人能取代的,所以我覺得,你不一定要去看說什麼,這個聯發科創意漲完,然後會漲到什麼精力科資源,我覺得大可也不必。
[35:16] 那再來,ABF嘛,那那個記憶體裡面我最看好的當然就是萊亞科跟群聯啦,那群聯,你說疊得比較深其實也回到2000多,其實以今年來看,其實它跟美光的走勢差不多。
[35:30] 就從600多漲到2000多也漲了三四倍,在這邊整理休息一下,等它籌碼變好。
[35:35] 那當然ABF跟CCL大家也都知道的比較多。
[35:38] 所以我覺得回歸到本質,其實半導體其實也有一些漏網之魚,像萬潤跟佳登,你達文兄會講,都是有一些發CP的動作,所以股價稍微壓著。
[35:49] 甚至有一些客戶慢慢的被大家發現說,原來萬潤在COWAS的這邊也拿到了越來越多的訂單。
[35:56] 甚至像軍火也是慢慢地從8000塊又回到1000多塊。
[36:00] 我覺得這幾個稍微點到明的,大家去做一下認真的功課。
[36:04] 我覺得你好好地認真做功課,接下來財富重分配,賺到大錢,絕對有你一份。
[36:11] 大概是這樣。
[36:12] 就是像那時候在下跌的時候,我也是往隊長剛剛講的一些方向去。
[36:17] 可能沒有辦法像隊長了解得這麼全面,但是我一直有我自己偏好的,也確實就是半導體。
[36:23] 我想聽古惑仔的朋友一定知道,有時候我自己講著講著就會有點想說,大家會不會聽到有點無聊呢?
[36:29] 不會,講一次他們就買一張或買十張,然後越講買越多,聽說很多都已經想要這個買到這個天母去了,買到這個新一區去了,開玩笑。
[36:40] 像圍繞在Cores,就是一個很重要很重要的核心,叫做台積電扶持本土供應鏈。
[36:47] 我覺得台積電它厲害的地方,很久沒有對它歌功頌德了。
[36:51] 除了在這次,也許大家有時候只會回到,他這次都沒有漲啊,但他也沒有什麼跌啊,他就是護國深山。
[36:58] 他背負太多事情了,包括說當初希望去美國建廠川普的一些政策,大家非常害怕變成美積電,毛利率侵蝕,害怕我們的機密的技術會被導到美國去,人才都跑到美國去。
[37:11] 他努力的在這個部分做平衡,結果繳出來的是毛利率67%,這樣誇張的成績之外。
[37:17] 我們也講,他的資本支出上面會寫在他自己的,我記得是他的ESG報告還是什麼報告上說,就是扶植本土供應鏈。
[37:26] 這不簡單,因為他去美國帶了很多本土供應鏈去美國,跟著他一起建廠。
[37:32] 在台灣也是繼續在北中南持續的設廠。
[37:36] 他真的叫做讓本土的供應鏈從,我們有很多的東西要從日本進口,從荷蘭、從埃斯摩爾,從哪邊,
[37:42] 從全世界去進口的時候,變成慢慢地本土的器材、本土的特化等等的,慢慢地有滲透率往上走,這個是了不起的事情。
[37:53] 沒錯。
[37:53] 這個就是造就台灣式半導體王國,非常非常關鍵的一件事情。
[37:58] 所以真的,我有一個朋友,他是一個風車大廠的總經理,他說他每天上班經過台積電,他會發自內心,由衷地跟台積電的Logo說謝謝。
[38:08] 感謝恩公。
[38:09] 他講的時候他是一個很資深的,業界可能工作30年,他就平常嘻嘻哈哈的,但他講這件事情的時候是真的非常認真,你就知道說這件事情進入到核心。
[38:21] 對台灣的貢獻或者是一些整個產業的福祉是很有幫助。
[38:24] 對,就是為什麼我跟隊長有時候會對一些產業這麼著迷,就是他寫出來的故事太動人,他怎麼會講到這上去。
[38:31] 所以我覺得圍繞在Course或是未來的所謂的上出型的方型、圓型這些的,只要是先進的技術上面,我覺得都可以對有參與的廠商寄予厚望。
[38:43] 所以在下跌很多的時候,我也是優先在看這些廠商,可能之前漲很多了,漲到千元股了,你買不下,那它也一下回了三四成。
[38:53] 它就是大家在選擇科技創新股上我覺得優先的選擇。
[38:57] 沒錯,這邊如果大家還有一點時間,業界有傳一個故事。
[39:00] 什麼故事?
[39:01] 台積電如果是一個客人,大家要服侍他,就是說我們都做牛肉麵。
[39:07] 有一種牛肉麵只有台灣的廠商能做,其實也是另類的寡戰。
[39:10] 你又提到牛肉麵。
[39:12] 不是,這個是業界講的,但我不是講那三、四點煮牛肉麵。
[39:17] 最近也有人在酸,說庫克三點多起來冥想,賈伯斯三點多起來顧工廠,特斯拉的馬斯克,三點多起來睡工廠。
[39:29] 然後呢村上書書三點多起來寫作
[39:31] 有人就三點多起來叫別人煮牛肉麵
[39:35] 還不自己煮好啦我拉回來
[39:37] 就是有一種牛肉麵如果他一個月只做一碗
[39:41] 那一碗要賣二十萬
[39:44] 可是只有一個客人吃
[39:46] 這種行業這種事情是沒有人能做的
[39:49] 就是那個我們就不點名誰啦
[39:52] 某一個很厲害的特化
[39:54] 他就講了這個故事就是說
[39:56] 這個董事長他講說,你叫這個隨便杜邦來這些服飾台積電沒有問題,我們派一組人來。
[40:03] 可是隨便杜邦第一個,台積電有問題要撤這個化學藥劑,回去再回來坐飛機好歹要兩三天吧。
[40:12] 然後呢,美國人上班又有時差,又跟你看扣,然後他們只有一組人來。
[40:17] 因為我講隨便,隨便或杜邦,他有Intel,他有輝達,他有高通,他有太多太多的客戶。
[40:24] 可是台灣的工廠,不論是特化或者是設備,或者是包括矽晶圓或本土這方面,他們一生只愛一個人。
[40:32] 而且可以跟台積電這樣玩下去,就是我不用別人,古本小嘛,我也不用別的客人,可是你說孫燕,她當然有點像林東方這樣,她一天要三四百個客人,就一晚,就一個,跟你拼到底,那他們敢這樣拼,為什麼?
[40:48] 我們台灣這種實業家的精神,然後看到,就剛剛趙華講,什麼三太四啦,硬能啦,然後新硬財,一個一個喔,這隨便數一數三四十個,你可以我可以,那我們跟什麼易德士,對不對,加登,全部都是,
[41:03] 大家可能很少聽到易德士,但易德士也是。
[41:06] 全部都陪著台積電這樣子,整個人轟上來的,那個市值幾百億耶,那我做一個台積電的生意,我就算只為他先進,而且先進者也只有他,
[41:17] 他一個人煮一碗牛肉麵,我也心甘情願。
[41:20] 這種反而就是變相的寡占。
[41:23] 我覺得這個也很多可以挑,給大家去做留意。
[41:26] 他的單一客戶可能占他的營收比重就六七十趴了,而這個客戶就叫做台積電。
[41:33] 沒錯,因為夠大嘛,資本支出夠大,可以這樣子。
[41:37] 當然以前我們也會講,他單一客戶就占了那麼大,會不會危險。
[41:41] 但是這個東西確實就是在一生只愛一個人,你有可能會很好。
[41:46] 你可能越等越辛酸
[41:48] 可是其實說實話很多沒成功的啦
[41:50] 但是成功上來的資本市場都給讚
[41:53] 我知道市場還有一個反論
[41:56] 也許今天沒有什麼時間聊
[41:58] 就會很多人講說有一天當台積電勢微的時候
[42:01] 你就看台灣的景氣或者是這些公司就糟糕了什麼之類的
[42:06] 沒有錯你這樣的立論
[42:08] 如果今天台積電不行了
[42:10] 那大家都不行了
[42:11] 沒有錯
[42:13] 但是大家都不行了對你到底有什麼好處
[42:15] 什麼好處?
[42:16] 不是,悲觀者正確
[42:17] 對,樂觀者賺錢嘛
[42:19] 對
[42:20] 對啊,你一直在唱衰台積電
[42:22] 說大家現在都靠台積電
[42:23] 那以後就毀了什麼的
[42:25] 對
[42:26] 就是兩年不成,三年就沒了,沒錢,四年就沒了
[42:28] 他講的都是對的
[42:29] 對
[42:30] 對,但是你講的沒幫助嘛
[42:32] 對
[42:32] 你這
[42:33] 就如果台積電倒了大家都完了
[42:35] 對,然後呢?
[42:35] 如果地球世界末日大家都毀了
[42:37] 對對對
[42:38] 沒錯
[42:39] 對
[42:39] 所以我覺得還是把握當下
[42:41] 就是我們不是說太過短
[42:43] 也不要說太擔憂未來的事情
[42:46] 我覺得大概一兩年或一兩季度
[42:48] 你好好的Cooking一下
[42:50] 該弄得弄好
[42:51] 該賺的時候賺大一點
[42:53] 那時機不好你就守住就好了
[42:55] 我覺得是這樣
[42:56] 好而且真的我們前幾天有講一個概念
[42:59] 輝達現在很努力的在打造一個他的這個AI帝國
[43:04] 因為他還去跟所謂的六大金融巨頭做融資平台
[43:07] 他自己也去注資像OpenAI
[43:09] 知道他短期內還不能轉虧為盈
[43:11] 就實施了一些融資計畫
[43:13] 各個大型小型廠商也有互相協助
[43:16] 像馬菲爾跟昨天Google他們在股權上面可能就有一些訂單股權交換等等的協議
[43:22] 所以昨天馬菲爾大漲
[43:23] 那當然你往後面想就是
[43:26] 這就是AI圈子在玩的一個自己借來借去永動機
[43:29] 但是說實話現在大家為什麼那麼努力的
[43:33] 即使自由現金流要轉負了還在做投入呢
[43:36] 就是這個餅值得這麼做
[43:38] 而且如果當到霸主的那個人
[43:40] 他未來的榮華富貴
[43:42] 所以你看到輝達他真的是大動作,只要他用得到領域,他都想辦法去入股去借錢給人家找銀行一起來借錢給人家什麼有的沒有的。
[43:51] 他就是要鞏固,因為他的GPU不可能永遠都毛利80%嘛,他要是帝國,所以現在看起來輝達想做帝國,微軟想做帝國,Google想做帝國,所以就讓他們去做帝國。
[44:04] 然後拿錢砸我們。
[44:05] 拿錢砸我們,這白話是這樣子。
[44:08] 但是這個帝國其實你仔細去看的話也是會滿感動的
[44:12] 只是這個帝國目前以台灣來說我們是以圍繞在台積電為核心
[44:16] 只要他們的這個帝國要去興建台積電不會缺席的
[44:21] 所以我們就是一起各自在自己的領域成為一方之霸
[44:25] 所以以這樣的角度就是剛剛隊長講的
[44:28] 在股票市場悲觀者正確樂觀者才能獲利
[44:32] 希望大家是走在安穩獲利的路上
[44:35] 我們今天鼓勵鼓勵仔仔,謝謝隊長來,跟隊長聊天真的是超級開心的,希望能夠常常邀請你。
[44:43] 那就跟鼓勵仔仔朋友說掰掰囉!
[44:45] 掰掰!
