[00:00] 歡迎收聽《照華語股貨載地1163集》,今天是2026年的8月17號。
[33:30] 我記得我們好像兩年前有跟大家分享過航運股,航運股有一個部分是要看到歐洲內核航線的水位,就是萊因河是歐洲最重要的內陸運河。
[33:40] 好久沒有聽這個了,平常如果股票不漲,就不管你水位到哪裡了,真的。
[33:46] 為什麼今天比較積極在發動?就是因為萊茵河的水位在德國有一個非常重要的節點叫考布。
[33:55] 那考布的水位在上個禮拜已經來到8公分。
[33:59] 覺得水只剩下8公分,8公分代表所有的船都不能過。
[34:02] 那我今天去查一下那個即時的水位的高度在哪?今天到6公分。
[34:09] 所以幾乎已經到斷航的情況。
[34:12] 那萊茵河的內河斷航就會很麻煩。
[34:14] 因為現在歐洲如果說萊茵河是非常重要的內陸的一個運線,所以相關的原物料然後油都是透過這個內河航運在運,那如果現在這個內河沒辦法運的話,就會導致歐洲重要港口開始有塞櫃在港的情況產生。
[34:31] 所以目前來看我們剛剛看到SCFI運價,其實是美東線、美西線在漲,歐洲線還沒有漲,但今天的所謂的大陸的歐線期貨報價出現了漲停板。
[34:41] 所以我也開始在反映到可能接下來所謂的萊茵河的水位偏低
[34:46] 而且目前看來歐洲熱浪現在才八月份有可能要延續很長一段時間
[34:52] 我看到好多人去歐洲分享就是說真的熱得很難過
[34:55] 加上很多的國家就是冷氣真的很少
[34:58] 甚至連飯店可能都只有給電風扇
[35:01] 熱得超級難過
[35:02] 不像台灣走進百貨公司有時候還會冷這樣
[35:05] 對所以我覺得這個現象大家就可以觀察一下
[35:09] 他這個所謂如果歐洲傳出來開始在所謂的海運港口有嚴重塞櫃塞港的情況產生的話,我覺得可能運價會有一波的快速上漲。
[35:18] 那對於台灣現在今天漲的貨櫃三雄來講,就會有一個加分的效果,因為他們其實位階都很低啊。
[35:25] 所以目前你手上還有航運股的人應該都是信仰非常堅定的人,長期存股的人才會有他。
[35:33] 大部分人可能都已經轉到AI轉到電子股的懷抱
[35:36] 所以他們籌碼就變得相對比較乾淨
[35:39] 那今天我覺得三檔是有積極的表態
[35:41] 那萬海是漲停板快要到100塊了
[35:44] 那是創價今年的新高
[35:45] 然後長榮到230幾塊
[35:48] 其他再上去也快要創新高了
[35:50] 然後到所謂的一個陽明
[35:53] 陽明是位階最低的
[35:54] 他其實今年都沒有漲到
[35:55] 反而今天有一些補漲動能
[35:57] 那我覺得這三檔股票單你就後續看一下
[35:59] 如果每個禮拜的SCF還運價在漲
[36:02] 然後再看到所謂的考步的水位還是非常低,搭配O線航運的這個報價維持一個上漲的話,應該航運股是搭在整個一個AI股當中另外可以觀察的啦,因為畢竟低檔剛上來,也許它會有一些資金的集中的效果。
[36:21] 好,水位我可能不會觀察啦,但至少恢復到每個禮拜五去看一下這個上海集裝箱指數,這個SACFI,可以回去看一下,因為有的人很著迷嘛,就還沒出來,大家就敲碗,還沒出來,到底有沒有出來,沒有出來,沒辦法錄影喔,真的就很有趣,就像記憶體,在夯的時候,中午11點,吉方科技出來,沒什麼,還沒當機啦,一直在鬧,那現在比較沒有這樣的盛況了,那我們也有聊到說,其實同樣在46000點的位置,上一次從低檔上攻,
[36:51] 從4萬6然後後面還有到4萬8的時候那時候市場氣氛真的超級熱
[36:54] 但這一次漲上來大家的氣氛就說實話有點戰戰兢兢
[36:58] 成正常因為這個前一波很多人都反映說到現在也許手上的股票不一定回到原本的位置
[37:05] 當然如果您對手上的股票是有信仰的一直抱下去
[37:09] 或者是逢低只有加碼沒有加碼都是可以的
[37:12] 可是因為顯然這一波他是叫所謂的去槓桿
[37:15] 以及看到有很多人的分享是說一開始都忍耐嘛
[37:18] 但最後看到漲上去好像來不及了才去做比較大筆的加碼,所以可能不但前面賺的化為泡影,就是報櫃坐山,甚至還有倒賠的問題,那也可能因為壓力實在太大了,在最不好的位置賣掉,都有發生這樣的事情。
[37:34] 不過我覺得冷靜思考一下,能夠經歷過,其實這次到了三萬九千多點又談上來,至少已經把,如果大家不是槓桿出場的那一種,我覺得至少已經把傷害降低了。
[37:47] 如果是被槓桿出場的,那確實還是呼應到我們今年不斷的跟大家聊到自己做槓桿到底要承擔到多大的壓力以及所謂維持率的問題。
[37:59] 我覺得那是另一個議題,我覺得聽股貨宅的朋友應該比較少遇到這樣的情況,可是會遇到的就是在下跌的時候你會失去你的方向感,就是你的信仰會開始馬上就被削弱,對不對?
[38:11] 假如今天平白無事突然之間跌1000點,大家是不是就懷疑了?反彈結束了?
[38:20] 可能又因為ABCDE,然後這些事情,然後這一波就沒了。
[38:25] 所以如果還是根據盤面上的變化導致自己的情緒會受到很大影響的話,
[38:31] 我覺得也跟我一樣,六日就不妨來做一下功課,
[38:34] 就是你要配置在什麼樣的事情上面,你會比較能夠忍耐波動這件事情。
[38:40] 我剛剛忘了講一件事情是有很多人就跑進來也會問說啊這樣子什麼當初做債券是不是機會成本就不好但是我必須講哦如果你有一部分的錢放在債券在股票市場跌1萬點9000點的時候市場你的部位你要保本的那一塊是完全不會有問題的但如果你今天像我決定把一部分又挪到所謂的呃他是用資本鏈的配息沒有錯但也代表這樣的商品它的波動就會大了如果再一次遇到這種情況的話呢我會覺得是一個很大的問題因為如果你今天像我決定把一部分又挪到所謂的呃他是用資本鏈的配息沒有錯但也代表這樣的商品它的波動就會大了如果再一次遇到這類型的商品就會有出現明顯下跌,我覺得那個就是一體兩面,你想要的是更好的報酬,你就會承擔更大的波動跟風險。
[39:20] 那因為當初我買明年要交屋的房子的時候是說實話超出我當時我覺得自己的能力的,所以我會希望我的資產能夠最大可能性的不要再減損,而是在這樣的利基點上往上走。
[39:34] 那當然那時候是2023年的年底,2023年年底誰也不會想到04、05、06會有那麼瘋狂,尤其是05到06那麼瘋狂的行情嘛。
[39:45] 所以到了05跟06,確實在股票後面比較積極的科技股操作上面是有比較明顯的資產放大。
[39:52] 但你說那些債券就完全沒有用了嗎?當然不是啊,因為它就扮演著就像你家裡面有一個人在等你的門一樣,你今天在外面可能受到任何的挫折什麼的,但你想這一塊資產它是不容易失去的。
[40:06] 你不會到了真的要交付的時候你錢已經輸光了,或者反而比那時候買房子的時候還要少,你就比較不會面臨到這個問題。
[40:15] 所以有時候你心理上面因為好的配置產生的安全感,這件事情它可能叫無形,就跟你呼吸的空氣一樣無形,可它造成的效益卻是大大的放大到其他的領域。
[40:29] 就跟今年年初可能很多人都會提問說,我要這時候買房子嗎?如果現在在股票市場衝,搞不好明年我可以買兩間房子了,我現在就去把錢拿去買房子,我覺得好像很可惜,錯過機會。
[40:43] 但是我那時候給的建議都是假設今天是你要成家了或是你的小孩大了你需要你更大的空間
[40:50] 任何所謂的剛需就是你是自助需要的你就去做
[40:55] 你不要因為什麼現在股票市場很好你就忍耐著說那我就先在股票市場裡面衝衝衝
[41:01] 那如果是衝錯方向了呢對不對
[41:04] 一個家給大家給的安全感讓人在外面可以更放心的衝
[41:09] 就像你會覺得很矛盾你有那麼保守的資產
[41:12] 可是每次講都滿嘴AI狂魔、科技狂魔,那就是因為你在安全感下建立了往前衝的底氣。
[41:20] 聽起來複雜,你既然知道那個會往前衝,你就all in在那裡,no,如果你all in在通通往前衝的地方,很可能就是一、斷頭,二、很害怕、砍在阿呆骨,三、你可能資金反而有一部分乾脆就放現金,你根本不敢全部都all in在裡面。
[41:36] 我覺得這個想法從一開始到現在,這2023年的時候,決定到現在,沒有改變,只感受到後面,這些有點算是心路歷程的部分,再小小的囉嗦給大家了解。
[41:50] 現在如果我的配置再重新做一些調整跟改變的話,我也會去承擔這個配置最大的缺點,它就是有可能未來股票市場有比較明顯修正的時候,資產就可能會減損了,但是你要付的那一筆大錢,它已經弄好了嘛,它要付出去了,所以你不會對要交屋或什麼會有壓力,然後也不會對後面的貸款會有很大的壓力的時候,我覺得那就又是人生的另外一件事情了。
[42:18] 對,所以我覺得其實剛才周瑛分享很好的配置這個觀念啦。
[42:22] 那我覺得目前來看當然大家會覺得說盤面上好像越來越強。
[42:26] 所以我覺得也可以跟大家分享,我們之前在疊的時候跟大家講說,欸,漲時重視,疊時重值。
[42:32] 所以你疊的時候有這些龍頭股,你現在會發現到,欸,那句話是真的有道理的。
[42:37] 但現在在漲的時候當然大家就會去關心一下,那接下來畢竟AI的成長性那麼好嘛,有沒有一些勢頭還不錯的產業。
[42:45] 我們就簡單跟大家分享一下,上個禮拜其實輝達有兩個重要消息,第一個他提到他們所謂的搭配配到的這種光通訊的交換機要正式量產出貨,
[42:57] 最近發現到上個禮拜在美股當中AOI、流明光學、科西倫其實股價都有不錯的表現
[43:04] 也都跟大家在期待的第四季會看到一些巴拉魯賓的一些高規的一些基價
[43:11] 會做一個所謂的比較高規格的所謂光通訊的出貨
[43:16] 那就代表說整個台灣的光通訊類股
[43:19] 可能第四季真的有一些接到單子的公司
[43:22] 它會有非常漂亮的這個營收跟獲利的成長
[43:26] 所以今天排名上可以看到,除了這個零化鷹的極檔股票以外,像這個傳說有這個切入到FAU陣列的一個大立光,今天股價也來到5000塊,那5000塊其實離今年的高點非常接近,那台股現在這種高價股的比價效應,我覺得大立光是可以值得特別看待的,那他除了這個矽光子題材以外,也有這個蘋果手機的一個題材存在,所以今天的蘋果手機的鏡頭,像在所謂的大立光,
[43:56] 全球的股票都在上升,甚至連折疊機的新日新也發動上來。
[44:00] 我覺得都會是在9月份蘋果新機發表之前有這種所謂雙題材加持的,甚至說你看到今天連LED的族群也開始慢慢動起來。
[44:09] 我覺得其實光通這一塊應該是在大盤回到多方趨勢裡面,你要做動人股票裡面可以選擇它有族群擴散的效應。
[44:17] 不管是在零化硬相關的甚至是所謂傳統的上泉、華星光、波洛威、擴散到LED、擴散到光學鏡頭。
[44:26] 這一塊我覺得看起來慢慢整個族群性有明顯的在做這個比較明顯的擴張。
[44:32] 那另外一塊當然大家就關注到機器人的題材。
[44:36] 那因為機器人第一個是這個禮拜三就是台灣的機器人大戰。
[44:40] 那我覺得大家有空都可以去看一下啦。
[44:42] 雖然說這個展場看到的東西跟股價會有一定的落差。
[44:47] 因為我看了好幾年
[44:49] 好,我們可能會被吸引到的影片都比較像是語術科技的那種跑步啊、格鬥啊、跳舞啊
[44:58] 然後或者是說像特斯拉他之前也有做比較仿人形,或者說在工廠幫忙做事讓大家開香檳慶祝
[45:05] 但你到現場的話就是像機械工具機的東西比較多一點
[45:08] 對,因為我每年去看第一個索文攤位一定會看嘛
[45:11] 然後他就展那個機械狗啊、機械手臂啊
[45:14] 好像了無新意,但我覺得今年當然第一個大家還是可以認真去看一下,畢竟今年我覺得比較大的一個地方是,上個禮拜所謂的LG跟輝達簽了合作備忘錄,提到說LG明年第一季就會推出LG自己的所謂的人型機器人,那搭配特斯拉機器人應該如果沒有跳票啦,應該是九月份之前會發表,那但最近他會發表他的飛天車,所以這些我覺得都是可能特斯拉可以檢視他機器人的一些相關題材。
[45:44] 第三個就剛剛提到的嘛,除了台灣機器人大展以外,在北京有世界機器人大展跟台灣是同一天,然後到了禮拜六有所謂的第三屆的世界機器人運動大會,那這一次有拔河有什麼更多的運動項目可以做比較啦,那我覺得這些都是題材性的帶動,但更直接的是所謂的語數機器人的掛牌,那因為他今年在大陸IPO是創下史上募集最多的一個所謂的金額的紀錄,
[46:14] 預計在8月底之前可能就會有IPO正式上市。
[46:17] 那大家可以注意到其實今年大概在長興科技,現在是A股的股王,他今天股價是漲了10%創造率新高。
[46:25] 所以我覺得在中國對於機器人的熱愛程度,可能會讓整個輿數機器人掛牌之後,會有一個新一波的行情。
[46:33] 所以大家會很擔心的這個機器人會不會這個續航力道不夠。
[46:37] 目前最少從現在來看,他們已經從提財性的帶動慢慢進入到營收的成長,因為LG要出貨了,然後特斯拉其實供應也在拉貨,所以你可以陸陸續續看到台灣像上銀、像大銀都提到他們現在是在加班當中,所以可能人型機器人的佔比會慢慢提高。
[46:57] 所以我覺得對於機器人股票來講,剛剛提到的,它族群性還沒有很完整,但很多股票其實都還在相對低位階。
[47:04] 那你說最近有創高的,像剛剛提到的研華是創立體新高,然後雅德克也在上禮拜創立體新高,然後今天是蒙利創下立體新高,所以他們整個族群性我覺得慢慢在轉強。
[47:17] 那當然更重要的指標還是上銀跟大銀為這兩家大家比較有信心的公司,什麼時候也能夠再創高的話,我覺得可能族群性的延續力道會更強。
[47:26] 但重點還在於說,機器人跟光通訊最大差別是,光通訊是真的頭信有在買,那機器人的買氣力道不是非常延續,所以可能大家就要去看一下有沒有雙題材的股票,像萌利就是雙題材,那另外,育創也是這個機器人的雙題材,還有Eding也是機器人的雙題材,我覺得如果說大家比較擔心說機器人的力道不夠的話,也許雙題材的股票就是大家比較好的選擇。
[47:53] 是,好,因為我剛剛也在看我主動是ETF的庫存啊,我也蠻驚訝的發現我之前蠻常講的像985A啊,它非常接近這一波股災前的高點囉,對,那當然大家會常講985A也回到30塊錢以上了,對不對,所以我還是覺得,如同在這段下殺期跟大家聊的,還是要相信有一些在反彈或者是一些主流類股在往上走的時候,投信法人是真的比較容易能夠抓到上漲段,
[48:23] 因為他們的資金部位比較龐大,很多人都在檢討說,你看下殺的時候會多殺多什麼的,我還是強調一件事,對,在各股上面,如果今天遇到了一個股災下跌,投信有所謂的停損賣壓,它可能就會造成股價有超跌段的發生,可是當市場止穩,因為他們的資金部位是大的嘛,他們青睞的股票以及在主流上面他們已經study過的股票,他們也可以很容易把他們再繼續往上買,所以可以看到他們回血的能力,
[48:53] 是真的蠻好的,與其在那邊很擔心每一檔個股回血的狀況不同,那我們只要知道現在各族群有所謂的領頭羊上工,AI的這個趨勢目前還是經得起考驗的,有時候就是資金放在像這類型的ETF上面,讓他們幫忙做跑步,真的是一個安心的事情。
[49:12] 上禮拜有跟大家分享,有時候都根本就忘記去看它到底長怎樣,只知道今天在大跌的時候趕快看有沒有加碼的機會。
[49:20] 其實我今天有掛了上週四、五講的,就是我要換的那個ETF,我今天沒有成交,我今天零成交。
[49:27] 因為我的習慣是買黑,就希望可以買黑不買紅嘛,所以今天我掛的全部沒有成交,就大部分有黑也是小黑而已,沒有到我要的價。
[49:35] 所以當今天出現比較明確回檔的時候,用ETF加碼,我覺得真的是相對容易,而且容易買在比較好的價位的。
[49:44] 而這一波就剛好也檢驗大家自己手上的ETF有沒有符合屬性。
[49:49] 例如說它是訴求高息低波好了,它就應該跌得比較少,因為低波嘛,對不對?
[49:54] 它就不應該跌得比大盤多,簡單來說應該也有這樣的一個功能。
[49:58] 如果是這種所謂積極型的ETF,那它可能就回血的特別快,但跌的時候也跌的特別嚇人,一下子就跌了三成四成也是有可能的。
[50:09] 那如果它買的是像海外的一些比較新銳的新創企業,那你就要去聯動到海外的股價,有可能目前它也是在前一波受傷比較深,但不一定回血就有那麼多的。
[50:21] 因為有一些公司在沒有漲跌幅的市場,例如美股、韓股,它的下挫要相當大的力量才能回來,但不代表未來回不來。
[50:31] 我覺得就是在大家自己在配好的時候,到底手上握有什麼樣的商品,我覺得再反彈到今天這樣的位置,也是很適合做一些檢驗的,因為很多商品其實發現的時間也不長,每一次都會是一個好的經驗。
[50:44] 對阿,所以我覺得當然大家在這個台股慢慢回血之後,真的也要花一點時間去檢視自己的庫存阿。
[50:52] 有一些你會發現到,真的這一波,我覺得很簡單的看法就是,它有沒有比大盤的線型來得更好,如果有的話代表是商品,或是說它的這個投資組合或它產業沒有太大問題。
[51:03] 那如果這一波台股都已經反彈到46000點以上了,但你手上持股還是相對比較低位階,可能就要回去看一下,到底是產業是不是要做一個檢討,
[51:13] 還有說籌碼面的部分是法人不青睞呢?
[51:16] 還有說營收真的跟不上股價的一個漲幅。
[51:18] 我覺得這都是在目前最少會比你在7月底的時候亂砍來的更好。
[51:24] 所以反而是在現階段我覺得如果以大盤的位階或說整個趨勢的架構都對多方還有利。
[51:31] 但大家應該要把握這段時間好好去做一些資產的重新的配置,不要浪費這一波台股的一個反彈期。
[51:38] 嗯,像我之前布985A的時候,我有跟大家聊說他的訴求是贏0050嘛,但是現在看起來他的線型走的喔,是領先蠻多其他就是以中小會什麼為主的ETF,所以這也是很有趣喔,就是我沒有辦法預設誰會跑得比較快,所以大家都有一點就好了,這就是一個資產回血最放心的方式喔。
[52:02] 好,那我們今天的股貨仔就到這邊了,下次再會囉,拜拜。
[52:05] 拜拜。
[52:08] MING PAO CANADA MING PAO TORONTO
