[00:00] 欢迎收听赵华与国货仔的周末特别版
[25:10] 大家要去分清楚自己的个性
[25:12] 有人是抱得很高兴
[25:14] 如果抱得没有办法很高兴
[25:15] 会羡慕别人的话
[25:16] 我觉得技术形态
[25:17] 要学起来是蛮重要的
[25:19] 好 所以呢
[25:20] 很多人都会私讯问赵华说
[25:22] 这个人是朱老师吗
[25:23] 还是诈骗
[25:24] 这个课是朱老师开的吗
[25:26] 还是诈骗
[25:27] 好
[25:27] 今天呢
[25:28] 在节目里面
[25:29] 就说听赵华宇古货仔
[25:31] 听到的朱老师跟林老师的课程
[25:33] 就是正宗货真价实
[25:36] 不是诈骗
[25:37] 朱老师跟林老师
[25:38] 也很造福我们的
[25:39] 小学技术分析的投资人们
[25:41] 开一堂课
[25:42] 那这堂课有入门
[25:43] 对不对
[25:44] 入门的四大金刚
[25:45] 但是也有进阶操盘五大步骤
[25:47] 所以呢
[25:48] 大家可以从入门听到进阶
[25:50] 好
[25:51] 我们这个课叫技术分析全攻略
[25:54] 既然是全攻略
[25:56] 就是全部都包含
[25:57] 换句话说
[25:59] 你没有基础的或有基础的
[26:01] 或者有做过的股票
[26:03] 没做过股票
[26:04] 这个课程都很适合你
[26:05] 因为我们分为两大模块
[26:07] 第一个模块就是为小白
[26:10] 或者还没有接触技术分析的
[26:13] 所以我们第一个模块
[26:14] 就是所谓技术分析入门的四大金刚
[26:17] 四大金刚就是我们技术分析
[26:20] 最重要的四项东西
[26:21] 第一个叫趋势
[26:22] 第二个当然就是K线
[26:24] 每天红的黑的涨跌
[26:26] 对不对
[26:27] 第三个叫均线
[26:28] 第四个叫筹码的成交量
[26:31] 这是我们进入股市
[26:34] 技术分析的最基本功
[26:36] 所以我常常讲
[26:38] 如果你把基本功打好
[26:40] 那你来炒股
[26:41] 基本上你一定会成功的
[26:43] 炒股吗
[26:44] 对
[26:44] 买股票投资
[26:46] 这个解释有两种
[26:48] 就像刚刚讲的
[26:50] 那为什么我们不喜欢买台积电
[26:52] 因为台积电不会飙
[26:53] 会啦
[26:55] 人家也是从1000都飙到2000
[26:56] 那好多年啦
[26:58] 台积电现在2000
[26:59] 如果要涨一倍
[27:01] 是不是要到4000
[27:02] 那目前应该还没有人预测到4000
[27:05] 而且还不知道什么会到
[27:06] 可是如果像刚刚讲的旺宏
[27:09] 你涨一倍大概不要吧
[27:11] 50到100
[27:11] 三个月大概你就到一倍
[27:14] 所以这个就是观念
[27:15] 你是要存股
[27:17] 慢慢的
[27:17] 存股就要存好股票
[27:19] 它会1000 1200 1800
[27:21] 这样一直涨
[27:22] 那你就要爆
[27:23] 你就慢慢爆
[27:24] 就像赵华讲
[27:26] 你不要羡慕别人
[27:27] 不要羡慕别人很会飙
[27:29] 可是如果我们做技术分析
[27:31] 一定是选现在最强的股票做
[27:33] 所以短时间你获利10% 20%
[27:36] 是一个很正常的
[27:38] 因为你做的都是强势股
[27:40] 现在强势股随便拉就两个涨停板
[27:42] 大概就两成
[27:44] 所以各位一定要知道
[27:45] 如果你是用技术分析
[27:47] 在股市又很羡慕那些很会涨的股票
[27:50] 那你一定要用技术分析
[27:52] 因为你用基本分析
[27:53] 就我刚刚讲的鸿海你就赚不到
[27:55] 对不对
[27:56] 他基本面很好
[27:57] 可是你抱了半天都看人家在飙
[28:00] 所以我们用技术分析
[28:02] 基本上就要把基本功打好
[28:04] 那这个基本功打好
[28:06] 你放心
[28:06] 因为你会在股市一直在里面操作
[28:09] 所以你的基本功会越来越强
[28:12] 另外我们有一个模块
[28:14] 就是给进阶的
[28:16] 有人在股市已经做了一段时间
[28:18] 或者有人技术分析初级班也上过了
[28:21] 可是还是做不好
[28:22] 那我们就提供你一个
[28:24] 所谓的股市提管机的方法
[28:27] 各位知道你到超商
[28:29] 或拿你去提管的话
[28:30] 他一定会叫你的
[28:32] 这里按一
[28:33] 按二
[28:34] 按三
[28:35] 按四
[28:36] 最后你的钞票就会出来
[28:37] SOP
[28:38] 对吧
[28:39] 标准流程
[28:40] 对啊
[28:40] 不然你随便按错了
[28:41] 钞票不会出来的
[28:43] 那再来就是说
[28:45] 我们就告诉你股市的整个的流程
[28:48] 就是股市有五个步骤
[28:50] 你按照步骤
[28:52] 第一个把股票选好
[28:53] 那选稿在技术面上
[28:56] 你刚刚有基础了吗
[28:57] 你当然知道怎么选好股票
[28:59] 那选完了就等机会
[29:01] 就像刚刚林英老师讲的
[29:03] 不要追
[29:04] 它太高了
[29:05] 等它拉回
[29:06] 这个就是告诉你等机会
[29:08] 那机会在哪里
[29:09] 那就是我们的第二个进场
[29:11] 进场在什么地方进场
[29:13] 因为进场的位置很多
[29:16] 不是只有一个两个
[29:17] 有各式各样的进场位置
[29:19] 还有进场的条件
[29:21] 你今天这个K线好不好
[29:23] 抢不抢
[29:23] 如果不抢
[29:24] 你也不要进场
[29:26] 你太勉强进场
[29:27] 可能还会碰到停损
[29:29] 那我们进场以后
[29:30] 钱已经买了
[29:31] 这时候就很重要
[29:33] 后面就要按照我们的提款机
[29:36] 如果不对
[29:37] 你就要停损
[29:39] 那怎么停损
[29:40] 我们在这个课程教得非常的详细
[29:42] 那第四个
[29:44] 如果你没有停水
[29:45] 就开始操作了
[29:46] 你要做短要怎么做
[29:48] 做长线要怎么做
[29:49] 这个叫操作
[29:50] 那操作最后的目的是什么
[29:53] 赚钱
[29:53] 对把钱赚下来
[29:54] 所以最后一步叫停利
[29:56] 就是你这个提款机
[29:58] 钞票吐出来了
[30:00] 噼里啪啦都跑出来
[30:01] 你赶快把钱拿走
[30:03] 所以我们这五个步骤
[30:05] 就是按照你这样
[30:07] 一步一步去把它做好
[30:08] 那最后股市就是你的提款机
[30:11] 股市就是我们的提款机
[30:13] 这个slogan好猛
[30:14] 阿玲老师这次很特别
[30:17] 还有两小时免费让人家试听
[30:19] 其实已经有人看到有私讯
[30:21] 我说真的吗
[30:22] 是不是又是诈骗
[30:23] 我说没有
[30:23] 这次课程真的蛮特别的
[30:25] 是免费的
[30:26] 大家都怕
[30:26] 其实我说实在
[30:29] 我们这次真是这个
[30:30] 整个很佛心
[30:31] 因为朱老师也是在想说
[30:33] 还要加惠更多的这些散户朋友们
[30:36] 或者是还没有听过
[30:38] 我们的课程的朋友们
[30:39] 所以我们这次有提供
[30:41] 两个小时的免费视听的课程
[30:43] 但是你要来报名
[30:44] 所以我们在视听课程里面
[30:46] 当然我们也会把这个
[30:47] 四大的操作步骤
[30:49] 跟五大的流程
[30:50] 都讲的跟大家做分享
[30:52] 所以我相信
[30:53] 来上我们的这个视听课程
[30:55] 你会收获非常的多
[30:57] 是
[30:57] 好 所以有兴趣的朋友
[30:59] 我会把这个上课的资讯
[31:01] 放在我们这一集
[31:02] Podcast的文字说明栏
[31:04] 那也可以去报名
[31:06] 先视听看看
[31:07] 因为很多人会担心说
[31:09] 会问赵华
[31:09] 会不会小白完全听不懂
[31:11] 没有基础可以上吗
[31:13] 那这一堂叫做
[31:14] 技术分析的全攻略
[31:16] 就是希望大家
[31:17] 即使是小白也可以听得懂
[31:19] 听懂之后再进阶操作
[31:21] 因为说实话
[31:22] 技术分析还是有蛮多美美嘎嘎
[31:24] 我们也不要幻想说
[31:25] 其实我只是随便听听
[31:26] 我就可以做得很像古神一样
[31:28] 还是要认真上课
[31:29] 而且是反复的收听
[31:31] 那这一次好佛哦
[31:32] 两小时的免费课程
[31:34] 开放给大家收听
[31:36] 有新鲜的朋友
[31:37] 到文字说明来来看一下
[31:38] 那連結進去來聽聽看喔
[31:40] 那今天很謝謝朱老師還有林老師
[31:42] 跟我們的古惑仔朋友說掰掰吧
[31:44] 謝謝大家
[31:45] 掰掰
[31:46] 下次見面
