[00:00] 歡迎收聽《照華語古惑》在第1164集,今天是2026年的8月18號。
[35:18] 那大部分的現象就是,我會覺得這個論點,如果我們拉回到一年多前,24年的時候,我覺得講這個論點,相對來講,我覺得會比較適合。
[35:31] 因為兩年,因為二、三年有AI開始出來,但是那個時候完全都還沒有明顯架構。
[35:38] 到2024年開始的特色就是等於說這個輝達的伺服器已經大量出貨,大家開始大量購買。
[35:46] 那個時間點你會一直在講說錢花那麼多,不知道能不能賺得回來,那個還算合理。
[35:51] 可是你從今年有些財報的角度,尤其是美股我覺得比較明顯,因為我們台灣就是賣鏟子,所以根本不用講那麼多。
[36:01] 反正他們願意投錢,我們就是賣鏟子,我們就是賺錢。
[36:04] 所以我們從台灣的財報我覺得沒有太大的參考意義。
[36:08] 可是如果你回到美股的財報,你要記得那邊的人是他埋產子的,他到底挖出什麼,現在是大家正在這個爭論不休的。
[36:17] 可是你要記得一件事情,你不用去看他到底投了多少錢,或在研究他的自由現金流。
[36:23] 自由現金流是什麼?就是公司的收入去減掉他的投資,然後呢,現在就是因為投資太多,他其實只有收到100塊,他要投120,所以最後負20,然後大家很恐怖。
[36:37] 可是我就說你不要太糾結在為什麼要投100,你要先去看他的100塊,現在等於說收入的100塊跟前一段時間比是怎樣,你發現前一季只有70,再前一季只有20。
[36:50] 他現在就是因為投入之後,為什麼經過這兩年的投入之後,你會發現雲端業者的投入真的是有點到瘋狂的階段,因為他會覺得一開始是怕輸人家。
[37:06] 因為大家都有概念,以後應該王者只有一個,搜尋引擎只有一個,然後社群平台只有一個,大家都想要搶當那個王者,幾乎不會有第二名。
[37:21] 所以在等於說兩年前大家在投資的原因是因為不想輸人。
[37:26] 後來一開始的時候如果正常來講這種股東會剛開始也可以接受,可是如果股東會就是真的出錢的人,
[37:34] 我今天一開始可以接受你這個故事,投資一兩年,如果數字一沒有進來,我覺得後面投資者等於說大老闆也會害怕,你一直講說我們會輸人,一直輸人,讓我錢一直砸,然後最後都沒有任何的回收,然後甚至公司已經都在虧損,那當然是玩不下去。
[37:53] 這幾年到每一季到包含剛剛公布的四大雲端業的財報,它獲利很多都是創歷史新高。
[38:01] 它也告訴你說他們這兩年的投入都已經開始回收了。
[38:05] 但是我會覺得大家耳朵通常在這個多頭的時候就會停,可是當跌的時候又很害怕。
[38:13] 所以回過頭來我常常講就是必須把真的股價的走勢看清一點點。
[38:21] 那其實比較重要的道理就是
[38:23] 真的人家這兩 前面兩年辛苦耕耘現在已經開始回收
[38:27] 那在回收過程今天啊
[38:29] 如果今天是出資人就是股東
[38:31] 他要要求要更大的投資
[38:33] 那我就可以接受
[38:34] 因為前兩年你那時候是告訴我這個畫大餅說
[38:38] 那我們不要輸隔壁的
[38:40] 所以我現在必須投AI
[38:41] 那時候我知我是有點被這個被壓著必須投
[38:46] 那我也只能說好吧我們只能督督看
[38:48] 因為我不想輸隔壁我先投
[38:51] 這兩年獲利已經衝出來告訴你確實有貢獻了那這個時間點你到告訴我說這個時候你賺的錢先不要拿回去我們再把這個賺的錢再拗下去因為每個月每一季的回收都越來越大
[39:05] 這個時候先不要拿錢
[39:06] 賺的錢再壓下去
[39:08] 這個時候如果我今天股東我就很容易同意
[39:10] 現在慢慢的進入這個階段
[39:12] 所以你永遠會聽到現在市場上的資本支出不斷擴張
[39:17] 那當然啊到最後會有個問題就是我們前段講的
[39:21] 你收入去減掉你的支出,最大的問題來了,就是很多人其實為了要拼,其實他沒有收到那麼多錢,所以就會開始有融資槓桿的問題。
[39:32] 但是我老實講,我也不能講說,這個融資完全不用管他,完全沒有風險,這也不能這麼說。
[39:38] 槓桿如果真的拉高,確實有一定的風險,所以我還是要常常講,當然那個主要在每一股,所以你在自己的各股投資就要留意。
[39:48] 如果今天他主要都是賺的錢,他就跟大家講我們先不要分,我們就繼續投資,這都沒有問題。
[39:54] 但是如果他一直拉高槓桿,一直拉高槓桿,那這個部分我就覺得是另當別論。
[40:01] 但目前就美股整體的重量級的科技類股其實都不太存在這個問題。
[40:07] 因為結論為什麼?因為他們很有錢,所以他不需要很高的槓桿。
[40:11] 或者是他們一缺錢只要發個債,很低的利息就可以募到很多的超額認購。
[40:18] 結論來講他們根本不缺錢。
[40:20] 所以現在整體而言,如果真的要出事,系統性風險一定要大的倒,小的倒是不可能存在,就是有辦法造成系統性風險。
[40:30] 所以目前的角度只要這個大的維持這樣的營運,獲利能夠進來,他願意續投,我覺得風險就不高。
[40:37] 至於自己的投資的部分,是不是這些中小型的是不是勞高槓桿有可能導致風險,我覺得這個可能就要另外留意了。
[40:47] 好,反正在產業上面我們的共識一直都非常高,如果大家從第二季的季報來看的話,為什麼最近像台光電創歷史新高,對不對,或載板,這個新興今天也創了歷史新高,南電應該也有,他們都會是在產業認同上面高的,因為這個東西我們講了比較多趟,
[41:06] 可能今天我們反而花了一點心思是跟大家講交易的策略觀念。
[41:11] 所以目前想法沒有改變。
[41:14] 我們也不會因為說,
[41:15] 喔,載板今天創歷史新高了,
[41:17] 然後是不是太貴?
[41:18] 我們沒有預設這個立場,
[41:20] 因為它的產業共識真的非常的高。
[41:22] 但是像PCB,
[41:24] 大家之前不是很喜歡問什麼金居金像店嗎?
[41:26] 現在也慢慢上來囉。
[41:28] 他們有比較多是法人籌碼的問題,
[41:30] 因為投信在之前,
[41:32] 有的叫做被迫停損,
[41:33] 有的可能他覺得短線上上面套牢的賣壓太大了,他們先去做別支,可是以基本面上來說的話都沒有問題,所以如果以第二季的季報來看,來檢視甚至檢視第三季跟第四季的成長的話,我覺得PCB大概是一個毋庸置疑,回檔的越深,大家應該越有那個FU去喜歡他們的,然後呢,記憶體可能就剛剛有講到,它比較兩極,例如說我們都看到記憶體的魔族場繳出嚇死人的財報,顆粒場也有,
[42:01] 可是好像就變得很集中是南亞科獨佔凹頭,會有一個這樣的現象,那這樣子我們要怎麼知道,這個族群叫不叫委屈?
[42:10] 好,我們先講我自己對這個市場,我覺得我把這個市場分成四個區塊,一個區塊就是所謂的AI基油股,那AI基油股的定義很容易,就是不是今年,應該說二四、二五,過去兩年的獲利都很好,然後呢,現在也都很好。
[42:30] 這就是我所謂的AI級優股。
[42:33] 這些個股,老實說,名單列出來也許有二、三十檔之類的,而且這些名單從來都不會變。
[42:44] 就比如說趙華點名的這些PCB,其實你回頭去看,他們不是今年獲利很好,去年就很好,甚至二、四年就已經很好。
[42:54] 這兩年的這個獲利YY都是好幾十個%甚至倍數在增長。
[43:01] 所以這些本來就叫做 AIG 優股。
[43:04] 甚至可能最近比較熱的川湖,你回去看它真的不是今年好,它也24年就已經營收就是一路在創歷史新高。
[43:14] 而且我們上次聊過它中間還有回檔相當多。
[43:16] 對,它回檔,它回檔,所以它的股價跌了快半年,可是它的營收一直都在創高。
[43:22] 所以我常常講這種叫做 AI 機油股,這是第一類。
[43:26] 第二類叫做黑馬股,所謂黑馬股就是有在變好跟完全沒變好,但是未來也許有一些想法的,我覺得這個叫黑馬股。
[43:37] 第三類很特別就是記憶體,因為我會另外把它拉出一個記憶體。
[43:42] 因為它為什麼我會特別拉,因為你不能講它的數字不好,它數字好到炸,它數字應該這樣講,數字應該是現在整個上市會最好。
[43:51] 他絕對甚至比這個 AI 基油股還好,因為他為什麼?因為他不像 AI 基油股已經第三年,他們是去年下半年開始,所以到現在可能也才一年多,所以他們還有一個相對比較低的基期,所以一直到現在他們的數字還是爆炸好,然後呢,但是又很特別,你說把他,讓他給,如果今天他有吃到 AI,我覺得他就已經算是很標準的 AI 股,因為他去年就已經開始轉槍,不是今年甚至第二季才轉槍,
[44:21] 這是去年就轉向,可是我自己最起碼就我的角度我就沒辦法把它當作AI機油股,原因是因為他們吃到的AI比重確實是蠻低的,純粹是因為比如說這個美國韓國三大廠在做這個HBM,所以導致消費性記憶體的產能不足。
[44:41] 這故事我常常講這故事是不會改變的,你去年聽到前年聽到到現在也不會因為他們股價漲了好幾倍代表他們就吃到AI。
[44:51] 其實他們吃到AI的比例,當然投資人常常問我說誰誰誰他有一個什麼商品這個跨入AI什麼什麼的,我說我常常講不是沒有,我只能說比例很低,絕對在個位數甚至連5%都不到。
[45:05] 老實說現在對他們真正的幫助並不是太大,他們的完全的獲利來源就是所謂的DDR4的報價,但是有個好處,應該說好回過頭來,先了解架構之後,先看一下現在的狀況。
[45:20] 結論就是現在的記憶體報價在這個兩個月前它突破之後,現在確實在創歷史新高,所以整個記憶體的基本面現在是強勁的。
[45:31] 但是目前來講另外有兩個比較弱勢的部分
[45:37] 第一個就是大家應該也有感受了
[45:41] 現在的記憶體不像以前的記憶體
[45:44] 以前的記憶體在漲的時候
[45:46] 你不管買什麼記憶體
[45:47] 從製造到模組到IC到通路
[45:51] 甚至封裝只要記憶體封裝
[45:54] 五個族群大家一起標
[45:56] 我覺得非常合理
[45:57] 因為當時記憶體在好
[45:58] 這五大族群的營收獲利都有往上走。
[46:03] 現在的架構是什麼?
[46:04] 這五大族群的獲利營收也還在往上走,
[46:08] 但是股價已經完全看不出來他們營收獲利很好的狀況。
[46:13] 常常講,
[46:14] 利多不反映。
[46:15] 簡單而言,就像這個群聯,
[46:19] 當時等於說法輸會講得非常好,
[46:22] 甚至我們應該講個故事就好,
[46:25] 我們去錄影的時候也有其他專家在跟我講笑話說那天全年出來的時候然後有個分析師甚至還一直堅持說他要講的他就是認為很樂觀隔天居然還這麼長我說我不覺得那個人是有問題因為從基本面的角度是真的很好啊你不要因為開高走低就說他有問題這就是我以前的論點就像台積電這次講完之後跌7%不是他的問題是市場資金
[46:55] 以後會還他公道。
[47:25] PODcast 和SRAM 都可以在網路上搜尋到的資訊。
[47:55] 這就是我今天來想我是不是應該賣掉我手上的某某某換成南亞科
[48:00] 那確實這是一種結果
[48:02] 但是我個人覺得我先跟大家講結論就是如果你今天是做可能是操作短線的
[48:09] 我就跟大家講事實就是如此
[48:12] 如果你要操作短線就是買南亞科
[48:14] 因為這個族群就有點類似我上一期在講的這個所謂的被動元件
[48:20] 它是往上沒錯
[48:21] 但它不是沒有風險存在
[48:24] 所以記得就是順勢強勢操作,你應該買強者,不要去買落後的,不見得一定會補漲。
[48:32] 那所以我剛剛提到你就必須要直接買這個奈亞科,那重點在哪裡?就是你要觀察什麼?要記得不要跟AI跟奈亞科的關係其實非常低,幾乎可以,幾乎完全可以忽略。
[48:46] 你要盯的是DDR4的報價,我們一開始就跟大家講,因為現在DDR4的報價還在創高,所以最起碼我覺得是一個安全的狀態,但是後續如果DDR4的報價漲勢也開始趨緩,我就覺得可能要有一點點警覺心。
[49:04] 我也一直提醒大家,你只要台灣買記憶體的,不要聽故事,那個網路打開每天都有報價三次,多看報價少看故事,對投資反而比較有幫助。
[49:17] 沒有錯,而且如果你不擅長這個族群啊,我們就看報價也聽故事,不用硬操作,因為之前有人留言跟我說,正好你會挺一下記憶體,每次都說你不擅長。
[49:29] 對,我只是在提供一個模板,就是我每天幾乎都會請我的來賓幫大家分享記憶體,因為我知道很多散戶朋友喜歡,但是我不擅長就是我不擅長嘛,我也有這樣的模板啊,我有擅長其他的東西嘛,所以這個真的是很看個人,但我必須承認,剛剛講到的基本面沒有問題的情況下,什麼東西叫做市場的共識,就是技術面跟籌碼面,因為法人不青睞嘛,只有一個分一是青睞沒用,你投信不買,外資再到貨,對不對?
[49:58] 所以你今天市場共識是我知道你很好可是我現在對你沒興趣他就會造成資金一直外流那技術面的好處是什麼技術面為什麼講說像載板當時候市場的共識他回也回不生彈又彈最快
[50:11] 你說呢以基本面來看他不是最厲害的那一個可是產業前瞻視他是缺口會越來越大那一個技術面他是最強勢的那一個
[50:20] 技術面的強勢就容易把市場的共識凝聚回來,代表後面那隻手不想讓它跌太深,沒有人棄守它。
[50:28] 所以共識這個事情是我們要理解的。剛剛講說誰都有可能錯,我們有一個結論叫做市場永遠是對的。
[50:36] 我們講錯殺,錯殺的意思是之後會還公道的啦,但現階段你不能說這個共識的問題在哪裡,你只能說你對這件事情有沒有信念。
[50:46] 我剛在看今天的交割款,買股票真的是一個很好的sharping,我想給民漢看我支持他們家的商品,錢東家,成交一百。
[50:59] 所以接下來如果再跌的話,我還會持續的我的策略就是如此,我不是追搶勢者,剛剛講到的,要搶勢,你就選盤面上現在各族群裡面的領頭羊。
[51:09] 甚至你喜歡川湖、你喜歡安台光電,它在形態上面你喜歡星星載板,它都沒有問題,是最強的好選擇。
[51:18] 但是如果你喜歡像趙華這樣子的話,那遇到大的回檔,切記不要害怕,而是知道是機會,跟明翰一樣,明翰也是看到跌2000多點那一天,他有發文看得出來很開心。
[51:30] 今天我們這一集就先到這邊了,也呼籲大家就先放棄民漢的臉書,這個平台希望以後如果剩下一個社群平台,不是剩下臉書,剩別的,真的是讓我們極度的困擾,那就跟各位股貨宅們說掰掰囉!
