[00:00] 歡迎收聽趙華宇古貨載第1031集
[23:47] 臺股跟美股的市值型
[23:48] 它會回到右上角嘛
[23:50] 所以市值的你往下加碼
[23:51] 那個問題是最小的嘛
[23:53] 可是你會覺得很無聊
[23:54] 因為你跟大盤
[23:55] 永遠都是一趴兩趴這樣子
[23:57] 所以你可以市值的配一些
[23:58] 剛剛我們講到的
[23:59] 它是科技的
[24:00] 它還有比較高波動的
[24:02] 不管是記憶體也好
[24:03] 還有很多的PCB也好
[24:04] 還有很多的AI股也好
[24:06] 它們就可以增添你生活的趣味
[24:09] 以及創造
[24:11] 我個人覺得臺灣的這些經理人
[24:13] 還可以的績效
[24:15] 對
[24:15] 所以我覺得
[24:16] 跟維泰也是有志一同
[24:18] 跟大家分享
[24:19] 就是這是一個好的配置方式
[24:21] 那當然如果手上的朋友
[24:23] 今天可以看到
[24:23] 光聖又創歷史新高了
[24:25] 哇
[24:25] 這個早知道就買一下細光紙
[24:27] 對不對
[24:28] 齊紅之前
[24:29] 趙華常常講散熱是最委屈
[24:31] 有蹲點
[24:31] 買一點散熱
[24:32] 都可以啦
[24:33] 對啊
[24:34] 我覺得是都可以
[24:35] 但是就是不要變成是
[24:36] 你百分之百
[24:37] 壓在你根本無法掌握
[24:40] 一旦出現變動
[24:41] 你會很想要私訊給各個達人說
[24:44] 這檔公司怎麼了
[24:45] 如果說是壓到這種程度
[24:47] 那你可能就要在年假前
[24:49] 好好地思考一下
[24:50] 你是不是要調整一下
[24:51] 你整個持股的狀態
[24:53] 讓你自己是比較安心過年了
[24:55] 其實我覺得機會比較少
[24:56] 基本上敢重壓的人
[24:59] 他應該對公司
[25:00] 應該是有一種
[25:02] 非常非常堅定的信仰
[25:05] 他大概不會問達人
[25:06] 我不是很決定
[25:11] 真的啊
[25:12] 我覺得我碰到了幾個神人
[25:16] 但是神人
[25:18] 他不會問我們
[25:19] 所以我們要問他
[25:20] 對啊
[25:20] 像之前說那個皇昌的貴哥
[25:23] 他怎麼可能問我呢
[25:25] 他只會一直跟我講說
[25:27] 那皇昌有多好
[25:28] 那皇昌有多好
[25:29] 我說嗯好
[25:30] 我遇到的比較不是這種情形
[25:32] 真的啊
[25:33] 沒有因為真的很厲害的朋友
[25:35] 我們就真的
[25:36] 我常常跟很多很厲害的朋友聊
[25:38] 反而不是聊股票
[25:40] 應該說就像你講的
[25:42] 他其實已經有看好某一些股票
[25:44] 例如說好了
[25:46] 像前陣大家都知道
[25:47] 我非常的喜歡創意
[25:48] 那是因為有一個
[25:49] 也其實蠻多投資朋友認識的一個達人
[25:52] 對他很喜歡創意
[25:53] 那他又比較能夠有內部的一些資訊
[25:56] 所以呢
[25:56] 他見面就只會講創意
[25:58] 對對對
[25:59] 我想聽我podcast的朋友
[26:01] 一定都知道我在講誰
[26:02] 對
[26:03] 他也不會到處一直跟你說
[26:05] 一拖拉庫的股票這樣子
[26:07] 或者他更不可能跟你說
[26:08] 這檔怎麼沒有漲
[26:09] 我覺得是絕對絕對之不可能的
[26:12] 然後所以像你講的
[26:14] 什麼黃昌的朋友
[26:15] 或是之前你講
[26:16] 有一個爆了一家公司
[26:18] 壞
[26:18] 肯尼維那類的
[26:19] 肯尼維的另外一家
[26:21] 就是也是
[26:22] 泰林
[26:22] 對泰林
[26:23] 是很早很早很早就爆
[26:24] 那些人才不會跟我們討論股票
[26:26] 他現在在祝敗
[26:28] 對啊
[26:29] 他們才不會跟我們討論股票
[26:31] 那因為我們的頻道
[26:32] 說實話可能80%
[26:33] 還是一般的投資朋友
[26:35] 在聽啦
[26:35] 當然我也必須講
[26:37] 我也很感動這段時間
[26:38] 因為我前一陣子
[26:40] 一直提醒大家說
[26:41] 不要在這個時候
[26:41] 那麼formal
[26:42] 一直傳訊起來
[26:43] 後來就很多人
[26:44] 是傳訊起來
[26:44] 但是是感激跟
[26:46] 鼓勵跟感謝的
[26:47] 就很暖
[26:48] 就是真的是
[26:49] 非常非常的暖
[26:51] 而且有人可以寫的
[26:52] 那個
[26:52] 哇是寫那種
[26:54] 洋洋灑灑
[26:54] 可能有500字以上
[26:55] 對
[26:56] 我都非常的感謝
[26:57] 你要想想
[26:58] 像我們在網路上啊
[27:00] 其實我跟維他
[27:00] 應該是一樣
[27:01] 我們應該除了
[27:02] 回我們自己的fans
[27:03] 或聽眾的問題之外
[27:04] 我們不太會去別人那邊
[27:06] 留下什麼評論的
[27:07] 對就不會
[27:08] 沒有時間之外
[27:09] never
[27:09] 也不太會
[27:10] 對好像never
[27:11] 我幾乎也是never
[27:12] 對
[27:13] 所以大家會願意
[27:14] 花那麼多時間留言給我們
[27:16] 而且是如此正向的
[27:17] 我都會覺得
[27:18] 哇
[27:18] 那個真的是很好的一個回饋
[27:20] 謝謝大家
[27:21] 對啊
[27:21] 然後也希望大家是
[27:22] 真的因為聽到我們講的資訊
[27:24] 有受惠
[27:25] 然後真的在投資這條路上面
[27:27] 是穩定的賺錢
[27:30] 對
[27:30] 然後也不用羨慕人家
[27:31] 每天在賺什麼
[27:32] 我今天有賺一個漲停板
[27:34] 或是衝一衝
[27:34] 我就賺了你三個月的錢
[27:36] 對
[27:37] 就可以不用羨慕這件事情
[27:38] 這樣子
[27:39] 對
[27:39] 什麼都可以聊
[27:41] 怎麼越聊越
[27:42] 跑到那個方向去了
[27:44] 好
[27:44] 那這邊也來請教一下
[27:46] 韋泰好了
[27:46] 像目前盤面上熱的
[27:48] 像今天有PCB
[27:49] 對
[27:50] 今天低軌衛星
[27:51] 還是十分的厲害
[27:53] 所以以你來說
[27:54] 如果在熱門題材的選擇上
[27:57] 你會覺得
[27:58] 大家要優先怎麼想
[27:59] 因為像現在
[28:01] 我們有列出來一些熱門題材嗎
[28:03] PCB當然是其中一個
[28:05] 低軌衛星
[28:05] 絕對是這兩個月最夯的
[28:07] 對不對
[28:07] PCB已經紅很久了
[28:09] 那記憶體剛剛已經分享過很多
[28:11] 幾乎每天都在分享
[28:12] 就是它的波動很大
[28:13] 那也有人問
[28:14] 那老AI都不行了嗎
[28:16] 那散熱起來了
[28:18] 好像還他一個公道了
[28:19] 那被動元件為什麼都不起來呢
[28:22] 這些的熱門族群裡面
[28:23] 在你心裡面
[28:24] 有沒有一個受惠程度
[28:26] 高跟低的順序
[28:27] 這個問題問得非常好
[28:29] 我今天早上在看那個
[28:32] 我剛剛說那個
[28:33] 記憶體產業的那個版圖的時候
[28:34] 我就在想說奇怪
[28:37] 那接下來下一個
[28:38] 我如果除了記憶體之外
[28:40] 還有什麼東西
[28:41] 可以因為記憶體的這個
[28:44] 類似的發展
[28:45] 然後它有這些受惠
[28:46] 我發現其實老一代
[28:48] 是有機會的
[28:49] 因為其實未來的那個
[28:51] 記憶體它新的那種
[28:53] 跟GPU或CPU
[28:55] 它們的彼此相關聯的設計
[28:57] 會改變
[28:57] 所以其實能夠
[28:59] 能夠應付到這樣大的改變
[29:02] 這種所謂組裝公司
[29:03] 它的一個技術能力跟層次
[29:05] 其實是高的
[29:07] 並不是一般的那種
[29:09] 過去種位的一個
[29:10] OEM廠可以達到的一個地步
[29:14] 所以我其實對老AI
[29:16] 包括像是廣達
[29:18] 還有那個2317的鴻海
[29:21] 甚至包括像偉創跟維影
[29:23] 對
[29:24] 我覺得他們在這一塊
[29:27] 以目前來講
[29:28] 他們的所表現出來的
[29:30] 那種所謂的實力
[29:31] 其實是
[29:32] 我說實話是優於其他的廠商
[29:36] 例如說曾經紅片一時的美超委
[29:40] 現在基本上沒有太多他的訊息
[29:43] 所以這可以間接的去證明
[29:47] 就是我們臺灣的廠商
[29:49] 尤其是科技的實力上
[29:51] 真的是領先世界
[29:53] 應該領先世界絕大多數的國家
[29:57] 在這部分來講
[29:58] 我真的是為我們的這些臺灣的廠商
[30:01] 感到非常驕傲
[30:02] 所以當我看到
[30:04] 像鴻海
[30:06] 或者是廣達
[30:07] 他們的這些的個股
[30:10] 他們的股價往下做修正的時候
[30:12] 其實我是一直盯著他們的
[30:14] 我心態上是
[30:15] 只要他有出現一個
[30:17] 大家俗稱的甜甜價的時候
[30:20] 我覺得我就應該要
[30:22] 進場去做買進跟佈局
[30:24] 這個是我目前的想法
[30:26] 就在整個大AI的
[30:28] 一個浪潮趨勢下
[30:29] 我覺得這一塊
[30:30] 他們未來
[30:31] 雖然你可能會覺得說
[30:32] 那個組裝啊
[30:33] 接線啊
[30:34] 在過去你會覺得
[30:35] 毛山道是怎麼
[30:36] 可是如果你仔細去看
[30:37] 廣達或者是偉創
[30:39] 或者是鴻海
[30:40] 他們在這幾年的
[30:41] 毛利率的變化
[30:42] 你會發現到
[30:43] 他們其實真正已經有
[30:44] 做出很明顯的直變
[30:47] 好
[30:47] 這部分是第一個
[30:48] 然後再來
[30:50] 零元件的部分吧
[30:52] 剛講到那個
[30:53] 被動研究
[30:54] 我覺得很好笑
[30:55] 因為其實贏價的下跌
[30:57] 應該對公司是好事
[30:58] 應該它的成本會下跌
[31:00] 可是你看
[31:01] 原物料在跌的時候
[31:02] 華欣被打到跌停板
[31:03] 覺得銅鎳在跌
[31:05] 這樣它就會打到跌停板
[31:06] 對
[31:06] 那我說被動元件
[31:08] 其實贏價在跌
[31:09] 對他們來講
[31:10] 應該是成本的下降才對
[31:11] 反而對股價
[31:12] 對公司的獲利
[31:13] 應該是有正面的加分效果
[31:16] 就反而股價
[31:17] 就因為贏價的下跌而下跌
[31:20] 但我認為說
[31:21] 這是屬於市場的心態
[31:23] 那所以我覺得這部分
[31:24] 大家第一個就是
[31:26] 短期上面
[31:26] 當然我不建議大家在市場上面瘋狂到貨的時候去接刀子
[31:32] 這個是我比較不建議的
[31:34] 但是如果說接下來銀價的一個回跌
[31:38] 還是持續進行的話
[31:40] 那反而對被動員界人來講
[31:42] 他這些廠商會鬆一口氣
[31:45] 我曾經跟大家分享過一個朋友的故事
[31:47] 因為銀價的上漲
[31:49] 他不得不把公司要賣掉
[31:52] 因為他成本cover不過來
[31:53] 所以我覺得
[31:55] 營價的下跌
[31:55] 反而是
[31:56] 對這些廠商來講
[31:57] 會是一個好事
[31:58] 大家不要認為
[32:00] 這是一個利空
[32:01] 所以我覺得
[32:03] 操作上有分成
[32:05] 短線跟中線
[32:06] 那短線上面
[32:07] 當然可能會有一些
[32:08] 賣壓產生
[32:09] 但是在中線來看
[32:10] 我覺得一些
[32:12] 有這個競爭力的公司
[32:14] 應該要趁著這個拉回
[32:17] 去做低階跟佈局
[32:18] 好
[32:19] 我這邊的話
[32:20] 稍微補充
[32:21] 被動元件
[32:22] 因為它其實
[32:23] 裡面很多的小廠林立
[32:25] 所以大家會覺得
[32:26] 像之前什麼蜜旺時
[32:27] 變成妖骨
[32:28] 金山店也漲很多
[32:30] 或者是電貿有一度時間
[32:31] 也漲很多
[32:32] 可是因為他們是
[32:33] 善立在各個
[32:35] 不管他是做電容電感什麼的
[32:36] 到底有沒有AI
[32:37] 說實話可能真的有
[32:39] 沾到很純AI的
[32:40] 實在是不多
[32:41] 那很多是主力所籌碼造成的
[32:44] 所以我自己個人
[32:46] 我就很坦白講
[32:47] 這一波被動元件在AI裡面
[32:49] 它絕對是受惠最慢的
[32:51] 因為別人找的盤盤
[32:52] 第一波一定是剛剛講到那些老AI
[32:54] 其實老AI都是已經長三年了之後
[32:56] 沒有辦法再長了
[32:57] 所以你會覺得很猜心
[32:58] 因為你已經習慣他三年了
[33:00] 你習慣他三年
[33:01] 人就是這樣
[33:02] 你已經習慣知道他們是
[33:03] 他明明就很純的AI
[33:04] 他明明就沒有
[33:05] 可是就是久了
[33:07] 市場說實話有點乏了
[33:08] 或者他們最高速的那個成長期
[33:10] 也許過了
[33:11] 這些可能都是很現實的問題
[33:13] 當你看到毛利也改善
[33:14] 像偽創去年不是有曾經出現過
[33:16] 什麼學習曲線出問題
[33:18] 毛利崩嗎
[33:19] 後來毛利又慢慢回來了
[33:21] 他度過了
[33:22] 他熬過了這個學習曲線
[33:24] 市場卻懶得理他了但不會是永遠也許說你風又吹了半年之後大家覺得這個老AI真的好便宜說不準共事又跑回來找他但是隻是告訴大家說
[33:34] 現在這個現象
[33:35] 就是不是老AI不好
[33:37] 是他已經長了很多年
[33:39] 很多年之後
[33:40] 大家會對他有點疲乏
[33:41] 然後會把眼光轉向別人
[33:43] 但輪到輪到輪到
[33:45] 那大家知道像CPO
[33:46] 就是很典型的
[33:48] 本益比例被拉到非常高
[33:49] 那為什麼趙華特別喜歡CPO
[33:51] 因為他就是很明白的
[33:52] 在市場共識上
[33:53] 給他的動能非常的強
[33:55] 對
[33:55] 那就比較不要去管他的基本面
[33:57] 因為你如果一直很在意基本面
[33:59] 你一檔都不會買的
[34:00] 好
[34:01] 反正總之輪啊輪啊輪啊
[34:02] 才輪到被動元件
[34:03] 那被動元件的大哥是誰呢
[34:06] 國巨
[34:06] 被動元件的大哥是國巨
[34:09] 就如同風策大哥是月光一樣
[34:11] 他會有個先天的問題
[34:12] 就是他們的骨性比較爛
[34:14] 當然月光
[34:16] 我覺得他已經上去了
[34:17] 就是慢慢慢慢走出一條自己的路
[34:19] 以前我是覺得
[34:20] 再怎樣都風都吹不到月光身上
[34:23] 晶圓店都飛到哪裡去
[34:25] 日月光才開始動嘛
[34:26] 不過現在都
[34:27] 因為整個半導體起來
[34:28] 說實話日月光是真的有
[34:30] 非常世界級競爭力的公司
[34:32] 這個完全不可否認
[34:34] 好那國巨
[34:35] 國巨就有他的一個
[34:36] 領頭羊上的一個小問題就是
[34:38] 他有不斷地做一些詬病跟分割
[34:41] 我想這個有聽古惑仔的朋友
[34:42] 我講過非常非常多次
[34:44] 所以會變成市場上去評估
[34:46] 國際你到底有沒有在成長的時候
[34:48] 他會有一點難度
[34:49] 然後又分割
[34:51] 對
[34:51] 所以就變成是
[34:52] 來來回回之間
[34:53] 其實國巨的股價還原
[34:55] 它是創新高的
[34:56] 它也不是沒有
[34:58] 但是這個領頭羊
[34:59] 讓大家比較難懂的時候
[35:00] 它就很難得到一個極高的評價
[35:03] 像前陣子外資出報告
[35:04] 就出到什麼320
[35:05] 那它300不就已經到價了嗎
[35:08] 對不對
[35:09] 它不是沒漲
[35:10] 它有漲
[35:11] 可是就是沒有人會
[35:12] 突然很guts的告訴你
[35:13] 國巨1000啦
[35:14] 國巨怎樣怎樣1000啦
[35:17] 對啊
[35:18] 很難
[35:18] 但是不是說
[35:19] 這家公司都沒有機會
[35:21] 只是說
[35:21] 我可以從法人的評價來看
[35:24] 就會知道說
[35:24] 法人還不是非常的理解
[35:26] 國具到底怎樣
[35:27] 都會幫他講
[35:29] 他有並了一家
[35:30] 彈指電容的公司
[35:31] 所以AI用到彈指電容
[35:33] 要漲價一定就是跟國具有關
[35:34] 這些我也非常的承認
[35:35] 就是如果你今天
[35:37] 講被動元件加AI
[35:39] 你應該首選是國具
[35:40] 這是完全沒有錯的
[35:42] 可是為什麼
[35:42] 它就是如此的不乾脆
[35:44] 就有它的時空背景的因素
[35:46] 所以這邊的話
[35:47] 因為最近有好幾個人
[35:48] 又私訊問被動元件
[35:50] 那我覺得不是被動元件
[35:51] 完全不會用在AI上
[35:53] 用量一定會提升
[35:54] 可是它既然是AI裡面
[35:56] 大家想來想去
[35:57] 想到最後才想到這個族群
[35:59] 它自然就比較不容易
[36:01] 如果沒有特定主力鎖碼的情況下
[36:04] 變成一個大噴的族群
[36:06] 我覺得目前至少
[36:07] 我接受到市場的感受是這樣
[36:09] 然後還有就是領頭羊
[36:10] 假如今天有人去拜訪玩國劇
[36:13] 是一家比較大型的券商
[36:14] 或者是外資
[36:15] 他說真的不一樣了
[36:16] 直接給一個
[36:17] 可能不要說1000塊太離譜
[36:19] 500塊好了
[36:20] 那就可能會脫脫
[36:21] 還有用礦谷啦
[36:22] 那就可能會有差別了
[36:24] 你看像那個Alicia
[36:25] 之前我們說實話
[36:27] Alicia你就會覺得
[36:27] 出來播眼球的
[36:29] 可現在Alicia出來
[36:30] 喊誰
[36:30] 喊光盛3000
[36:31] 光盛就快2000了
[36:33] 從1000
[36:34] 1300
[36:36] 對不對
[36:36] 一下子噴到1800多
[36:38] 所以就變得很有影響力
[36:40] 因此
[36:40] 我覺得手上有被動運動的朋友
[36:42] 可能要稍微理解一下
[36:43] 這樣的一個現象
[36:44] 蹲點當然可以
[36:47] 可是你蹲的這個
[36:48] 可能他會需要一點耐性
[36:49] 我覺得這個是必須跟大家聊分享的
[36:52] 對
[36:53] 當然現在還是有蠻多的非電子股
[36:58] 也都還在相對低檔
[36:59] 所以我覺得
[37:01] 尤其是當電子股休息的時候
[37:04] 像上個禮拜
[37:05] 雖然我仍在日本
[37:07] 但是我心還是在臺股
[37:09] 難怪我都覺得你始終都在
[37:10] 真的好感謝
[37:12] 這禮拜還會叫他來兩次
[37:13] 我發覺其實多頭的火種是沒有熄滅
[37:17] 那電子股在休息的時候
[37:20] 其實很多生技股就出來解放
[37:22] 沒有錯
[37:22] 我們也聊過生技股
[37:24] 包括像是美食
[37:25] 藥法藥等等
[37:26] 而且他們都是
[37:27] 對保瑞我們還上臺
[37:29] 在節目當中特別提到他
[37:30] 所以我個人覺得說
[37:33] 在這個階段
[37:35] 其實盤會洗得比較兇
[37:37] 大家要有心理準備
[37:39] 但是如果說
[37:41] 你自己的手中的一個持股
[37:43] 它基本面是好的
[37:44] 那這些的一個震盪
[37:47] 如果說你剛好想要
[37:49] 有這個加碼的一個資金的話
[37:51] 這個其實是蠻不錯的機會
[37:53] 所以我覺得
[37:54] 大家把這個心胸稍微放開一點點
[37:58] 然後呢
[37:59] 也許看看你手中的股票之外
[38:01] 也看看其他
[38:02] 你之前有曾經想過要佈局
[38:05] 但是有一陣子沒看到
[38:06] 他的一些標的
[38:07] 那我覺得這個時候呢
[38:09] 可以去做個留意
[38:10] 好
[38:11] 這個越靠近歲木年中
[38:14] 覺得自己那個歲念功力
[38:15] 又上一層樓
[38:16] 然後今天的話
[38:18] 我看到我們同仁
[38:19] 有跑去土地公廟拜拜
[38:21] 所以今天好像是尾牙
[38:22] 跟土地公是有關的
[38:24] 所以他帶一些甜點
[38:25] 然後麻吉去拜拜
[38:26] 對那我也不曉得
[38:27] 大家在這個歲末年中
[38:29] 有沒有安排新的一年
[38:30] 要去哪邊走春啦
[38:33] 或者去拜拜財神爺呀
[38:35] 像我每一年在過年期間
[38:36] 都會去香山財神廟
[38:38] 這個我聽眾可能會知道
[38:39] 去拔杯
[38:40] 我覺得蠻有趣的
[38:42] 因為他會請你
[38:43] 把你所有的願望寫下來
[38:45] 然後呢
[38:46] 你就一二三四
[38:46] 我是寫在紙上哦
[38:47] 寫下來哦
[38:48] 然後呢
[38:49] 就會給你五個杯
[38:50] 是不同顏色的去拔
[38:52] 我不是在幫他做廣告
[38:53] 但是我覺得很有趣
[38:54] 聽起來很有趣
[38:55] 對
[38:55] 就紅的啦
[38:56] 黃的綠的
[38:57] 黑的什麼
[38:58] 還有一個什麼顏色忘記了
[38:59] 五個杯
[38:59] 是往上一拋
[39:01] 五個一起拋
[39:02] 然後掉下來的話
[39:03] 你要同樣顏色一正一反
[39:04] 才是有一個聖盃這樣子
[39:06] 如果是不同顏色
[39:07] 就沒有湊起來
[39:08] 所以最多會有五個聖盃嘛
[39:11] 對
[39:11] 然後我去
[39:12] 我記得第一次去是兩對
[39:13] 第二次去是三對
[39:15] 今年是第三次去
[39:17] 然後看看能不能更多對
[39:19] 因為它更多對
[39:20] 就代表你寫的願望
[39:21] 應該越有機會實現這樣子
[39:23] 哇
[39:24] 香山財神廟
[39:26] 香山財神廟
[39:28] 對
[39:29] 為什麼講到這個呢
[39:30] 是因為前一陣子
[39:31] 我在我的臉書上
[39:32] 有講到我的氣喘
[39:34] 怎麼治好的一個神奇經驗
[39:36] 然後那時候就想說
[39:37] 要不要把那個命理上的
[39:39] 一些神奇經驗
[39:40] 來跟大家分享
[39:41] 後來大家超級有興趣
[39:42] 但我就一直遲遲沒有寫
[39:44] 因為很忙
[39:45] 那我這邊的話
[39:47] 我覺得小小提供一個
[39:49] 我覺得神奇經驗
[39:50] 而且是很年輕的時候發生的
[39:53] 這件事情我到現在
[39:54] 講給我有修行的朋友聽
[39:56] 他都會有點
[39:57] 他也不知道為什麼
[39:58] 就是以前我是不信什麼命理
[40:01] 而且是
[40:01] 尤其是你在年輕唸書的時候
[40:03] 那時候我還是大學生
[40:05] 而且呢
[40:06] 總之就是因緣機會
[40:07] 大家知道我大學很窮
[40:08] 大學是自己賺學費
[40:09] 就是家裡面有點狀況
[40:11] 我就母親過世
[40:12] 父母過世比較早
[40:13] 那總之就是朋友的朋友家裡面宴客
[40:16] 然後就帶我去蹭飯這樣子
[40:19] 然後蹭飯的時候
[40:20] 總之朋友的朋友的爸爸
[40:21] 說是一個很厲害的命理師
[40:24] 然後當時他就問我
[40:25] 就是出生年月日這樣
[40:27] 可是因為我爸媽已經走了
[40:28] 所以我對我的生出來的時間
[40:31] 其實並不是很確定
[40:32] 所以我就跟他講說可能是什麼時候
[40:34] 那他講了三件事
[40:36] 我覺得現在想起來都有點毛毛的
[40:39] 因為他講第一件事是說
[40:40] 你會不會對你媽很兇啊
[40:43] 他也不用問了
[40:44] 他直接說
[40:44] 你是不是對你媽很兇
[40:45] 我就認一下
[40:46] 因為我媽媽小時候教養我是極度高壓
[40:49] 而且是打罵教育
[40:51] 我就認一下
[40:51] 然後我就反問他說
[40:52] 你不覺得這個是他對我很兇嗎
[40:55] 這樣子
[40:56] 對
[40:56] 他就說對
[40:57] 有時候這種緣分是互相的
[40:59] 然後說那你媽媽現在怎麼樣
[41:01] 我說媽已經走了
[41:01] 他就講了一句說
[41:03] 那你們都解脫了
[41:04] 對
[41:04] 然後那時候我就真的覺得從背上起
[41:07] 雞皮疙瘩
[41:08] 想說這怎麼可能就這樣看出來
[41:10] 這是第一個
[41:11] 然後第二個他就跟我說
[41:12] 你以後啊
[41:13] 就是靠口才
[41:15] 靠講話
[41:16] 然後賺錢的
[41:17] 我就心裡想
[41:18] 不可能
[41:19] 因為當時的我
[41:20] 非常的內向
[41:21] 就是非常的
[41:22] 你知道從屏東上來
[41:23] 家裡面父母又走了
[41:25] 無依無靠
[41:25] 然後自己賺學費又很窮
[41:27] 一天只敢花一百塊
[41:28] 什麼靠口才吃飯
[41:29] 我只想要說
[41:30] 做個書的編輯啊
[41:32] 因為我們認識同樣一個
[41:33] 出版社老闆嘛
[41:34] 做個書的編輯
[41:35] 安安靜靜的
[41:36] 不要跟人家打交道
[41:37] 這樣就好了
[41:38] 怎麼可能
[41:39] 而且那個時候
[41:40] 你看我是大學生哦
[41:41] 到現在
[41:42] 結果變成在東森
[41:44] 真的是靠說話吃飯的時候
[41:46] 我就覺得真的超級驚訝
[41:48] 但是我前面是靠寫字
[41:49] 然後他就講說
[41:51] 你不管寫字也好
[41:53] 說話也好
[41:53] 都會有鋒利的地方
[41:55] 所以要稍微小心一點
[41:56] 第三個我就不講了
[41:58] 因為第三個有牽涉到
[41:59] 當時的感情
[42:01] 也非常的準
[42:03] 然後我就覺得
[42:05] 可是事後我就想
[42:07] 我去了醫院
[42:08] 調我的出生證明
[42:09] 發現我講的生辰是錯的
[42:11] 那為什麼可以這麼準
[42:13] 為什麼
[42:14] 好講完了
[42:16] 因為他是高人啊
[42:17] 我也不知道
[42:18] 但這個
[42:21] 我其實也是有一些經歷
[42:23] 所以我
[42:24] 我們有這些經歷
[42:26] 所以我覺得我們在市場上面
[42:28] 以我來講
[42:29] 我就會更謙虛
[42:31] 因為總覺得
[42:32] 到處都是高手
[42:34] 然後我們就是
[42:35] 很微小的一個角色
[42:37] 在這個盤面上
[42:38] 我從來都不覺得說
[42:40] 股票會因為我講
[42:41] 然後它會大漲
[42:42] 這絕對不是我的功勞
[42:43] 我沒有撼動那個股價的能力
[42:48] 韋泰也很謙虛
[42:49] 我們有時候要一起去露營的路上
[42:50] 韋泰就一直在接電話
[42:52] 然後看得出來就是
[42:53] 有很多的公司有希望
[42:55] 韋泰提供建議跟指點
[42:58] 真的很猛就對了
[43:01] 好 這個又岔題了
[43:02] 但是我會覺得
[43:03] 就像韋泰講的
[43:04] 可能也許我們的命運
[43:07] 可能
[43:08] 就是真的有一點天註定的味道
[43:11] 但是我覺得我們唯一可以改變
[43:13] 因為人家說個性決定命運嘛
[43:15] 要改變個性確實有點難
[43:16] 可是我覺得儘量讓自己的心
[43:18] 是走比較正直的
[43:21] 是比較從心
[43:22] 善良的
[43:23] 例如說你有別人
[43:25] 我其實遇到過很多貴人
[43:26] 那遇到貴人的時候
[43:27] 你能不能將來自己有能力的時候
[43:29] 成為人家的貴人
[43:31] 我覺得讓他成為一個
[43:32] 讓你的整個運
[43:35] 我覺得會往一個比較正向的方向走啦
[43:37] 當然每個人每個人信仰
[43:39] 有人可能是基督徒
[43:40] 你已經找到了神的方向或什麼的
[43:43] 我只是突然有感而發
[43:45] 可能快要過年了
[43:46] 結果覺得說
[43:47] 大家如果用比較正向的思考的話
[43:49] 就會很多事情
[43:50] 其實是逢凶化吉的
[43:51] 天助自助者
[43:53] 然後心存善念
[43:55] 我相信最終都會有好報
[43:58] 好
[43:59] 好第一
[43:59] 所以我們今天的
[44:00] 趙華與古獲仔
[44:03] 大家還是期待一下
[44:04] 我會再去寫一下
[44:05] 讓我驚訝的一些
[44:07] 命裡的事情
[44:09] 可是我
[44:09] 我怎麼會那麼囉嗦是
[44:11] 因為這些人到後來
[44:13] 第一個那個老師
[44:14] 說實話
[44:14] 我實在一點都沒有印象
[44:15] 他是誰了
[44:16] 雖然他講得很準
[44:17] 但後面我遇到的蠻多人
[44:19] 其實講到後來
[44:20] 都是一直跟我講說
[44:21] 多做一點好事情
[44:22] 對
[44:23] 那我覺得也很符合
[44:24] 我的心性
[44:25] 那我就覺得一路以來
[44:26] 就很幸運這樣子
[44:27] 好
[44:27] 那就要跟郭臺
[44:29] 說拜拜咯
[44:30] 大家拜拜
[44:31] 謝謝大家
[44:32] 拜拜
[44:37] i know you
