[00:00] 欢迎收听赵华依古货载第1111集
[26:53] 你手上的这两三档股票
[26:55] 你的获利
[26:56] 绩效就会很好
[26:58] 那第二个
[26:59] 不管大盘再好
[27:01] 我个人还是那句话
[27:03] 可能我们被蛇咬过
[27:05] 会不会比较小心
[27:07] 但是你还是资金不要凹硬
[27:10] 就最多最多
[27:12] 你说现在不赚钱太可惜
[27:14] 那就八成到九成
[27:17] 这已经到极限了
[27:18] 那如果你再去开杠杆的话
[27:20] 就唯一的就是你的手脚要快
[27:24] 如果一看到完不对
[27:25] 或者你的股票今天不对劲了
[27:27] 爆量啊
[27:28] 这个黑黑一直杀
[27:30] 那我还是建议你赶快先离开
[27:32] 因为你有杠杆
[27:33] 这个杠杆是相对的嘛
[27:35] 如果你不离开
[27:37] 有可能前面赚了两三倍
[27:39] 就这么一会没有注意
[27:41] 你可能就又还他了
[27:43] 或者只剩下一倍了
[27:44] 资金赚来不容易
[27:46] 守住更不容易
[27:48] 这个当然是我们的经验
[27:51] 几次连在股市里面
[27:53] 所以我们做股票的目的
[27:56] 不是我们做股票现在的心态就是
[27:59] 这个该买的就买
[28:00] 像光宝科今天就是买一点
[28:03] 那就买
[28:04] 买了如果过高充充充
[28:06] 这一阵子拉得太急了
[28:08] 现在很多股票都这样
[28:09] 哇每天拉每天拉
[28:11] 那在高点如果有爆料KK
[28:13] 我还是按照纪律短线就离开
[28:16] 也许它后面还会有
[28:17] 但这一段我赚了三成四成
[28:20] 我就一定先走掉
[28:21] 那走掉以后
[28:22] 它下次还有机会
[28:24] 我刚刚有讲嘛
[28:25] 我如果锁这支股票
[28:26] 那如果它回后买上的
[28:28] 我再来啊
[28:29] 再买
[28:30] 然后用同样的方法
[28:31] 一段一段的一段的去做
[28:33] 那在高点啊
[28:35] 大家除非你是低档的股票
[28:38] 你可以做一点长线
[28:40] 在高档的股票都尽量去做短线
[28:43] 但是你可以做两段
[28:45] 可以做三段
[28:46] 可以这样做
[28:48] 因为刚刚讲到光宝科
[28:50] 是因为我在录音前
[28:52] 有跟朱老师讲光宝科
[28:53] 像我做股票
[28:54] 常常跟大家分享
[28:55] 就是我会先从
[28:56] 我有一些产业的资讯
[28:58] 然后再可能听朱老师讲
[29:00] 我就会跟朱老师讨论
[29:01] 那我比较死爆火爆
[29:03] 为什么讲到光宝科呢
[29:04] 因为我觉得它落后台达电很多
[29:07] 股息很烂
[29:08] 股息很牛
[29:09] 然后不之前喷三根
[29:10] 又跌下来吗
[29:11] 甚至还重错式的跌下来
[29:13] 但跌下来的时候呢
[29:14] 我就去了解了一下
[29:15] 公司确实有一些新的规划
[29:17] 跟超级大的客户
[29:19] 未来
[29:20] 未来可能会发酵
[29:21] 那对我来说
[29:21] 它有一个未来的愿景
[29:23] 在它杀下来的时候
[29:24] 我就觉得它相对是比较便宜的
[29:26] 而且因为之前大家都觉得
[29:27] 它落后台达电
[29:28] 它就三绿没有像台达电那样三生啊
[29:30] 然后客户没有像台达电
[29:31] 那么有利啊之类的
[29:33] 好那现在有这个做基础
[29:34] 那我就跟这个朱老师聊
[29:36] 那朱老师帮我看一下形态
[29:38] 就说今天是进场点
[29:39] 对
[29:39] 所以大家可以互相搭配
[29:41] 因为产业的资讯
[29:42] 我相信大家拿到比较难
[29:44] 可是至少在这个技术现行上
[29:47] 大家学起来
[29:47] 以前朱老师说
[29:48] 这个图就只有一个
[29:50] 大家就看着这个图
[29:52] 所有的人的共识
[29:53] 就凝聚在这个图
[29:54] 它是最公平的一件事
[29:55] 其实这个事情
[29:56] 我印象非常的深
[29:57] 因为有时候我也会
[29:58] 辅助于朱老师讲这件事
[30:00] 但我比较能熬
[30:02] 就有他掉下来
[30:03] 以朱老师来说
[30:03] 可能停利先走
[30:04] 等他上来再买
[30:05] 我就包上包下
[30:06] 其实关宝科
[30:08] 我可以跟大家谈一下
[30:09] 因为我在股票市场很久了
[30:12] 关宝科是一个老公司
[30:14] 而且关宝科绩效很好
[30:16] 天字的一号2301
[30:17] 它业绩很好
[30:18] 因为我在年轻的时候
[30:20] 很多做股票
[30:22] 关宝科是存股用的
[30:24] 对啊
[30:25] 因为它配股配息很好
[30:27] 又很稳定
[30:28] 那就是因为这样
[30:30] 我想这家公司
[30:31] 大概老板的形式作风
[30:33] 就比较保守
[30:34] 他不会说像别的标股
[30:36] 这样一直拉一直拉
[30:38] 形式作风不好说
[30:41] 之前有一些是
[30:43] 我知道这家的股性
[30:45] 所以你说他现在落后
[30:48] 其实跟这家公司的股性是有关
[30:51] 股性是有关
[30:53] 就跟鸿海一样
[30:55] 你看前面鸿海多别扭
[30:58] 真的
[30:58] 但刘总接棒之后
[31:01] 风格是跟之前郭董事真的不一样
[31:03] 光宝科也有历经接棒
[31:05] 所以也是不一样
[31:06] 我讲的是以前
[31:07] 我讲我们是老人
[31:09] 认识的都是那些老的
[31:11] 所以光宝科以前就很稳定
[31:15] 那它在AI的市场里面
[31:17] 虽然它的多角化
[31:19] 可能比起台达电
[31:20] 还是略逊一小筹
[31:21] 但是也不应该落后这么远
[31:23] 对不会
[31:23] 不过我还是建议
[31:25] 各位听众朋友
[31:25] 听完我们讲之后
[31:27] 你心里有个底之后
[31:28] 按照形态操作
[31:29] 可能还是会一个
[31:30] 是一个比较适合
[31:31] 普罗大众的状况
[31:32] 因为我常常听到
[31:33] 听众朋友都
[31:34] 也是一样死爆火爆
[31:35] 可是死爆火爆
[31:36] 大家不知道
[31:38] 进出的依据是很危险的
[31:40] 对
[31:40] 那刚刚讲的是一个
[31:42] 资金管理的想法
[31:44] 还有就是现在的话
[31:45] 为什么像赵华是产业面
[31:47] 搭配技术面
[31:48] 所以大家也可以去思考
[31:49] 到底技术面
[31:50] 在我们的操作里面
[31:52] 对大家有没有一点重要性
[31:54] 如果你觉得
[31:55] 你是很适合
[31:56] 这个长期投资的
[31:58] 那你就可以改看月线
[32:00] 对不对
[32:00] 赵老师常常讲
[32:01] 短期均线
[32:02] 如果你很怕你的标股上去
[32:04] 然后你没有卖在最高点
[32:06] 你也许就守一个短均
[32:07] 因为如果你回到月线
[32:08] 可能吐了一大段
[32:09] 但如果你是基期很低的
[32:11] 不妨就守一下月线
[32:12] 月线朱老师是蛮看重的
[32:14] 对对对
[32:15] 尤其是底部
[32:16] 我股票要守月线
[32:19] 一定是底部
[32:20] 底部日线周线都刚好多头
[32:24] 刚刚在底部多头起涨
[32:26] 那这个股票我就会去守月线
[32:29] 但是如果像很多都涨一倍两倍的
[32:32] 我就做短线
[32:33] 因为后面就看他涨多少就赚多少
[32:36] 随时都心理准备他要结束了
[32:39] 但是底部因为他还是有主力刚来
[32:44] 刚刚才做
[32:45] 所以他比较有走长线的机会
[32:48] 因为像很多人会说
[32:51] 这家公司的股性不好
[32:53] 股性不好其实就是形态
[32:55] 大家可以把它打开看
[32:57] 股性不好
[32:58] 例如我以前最常念的一家公司
[33:00] 叫生养班
[33:01] 可是生涯半也上去了
[33:03] 也一直在创新高
[33:04] 大家在创新高的过程中
[33:05] 你可以看到
[33:06] 涨一两天
[33:08] 跌三四天
[33:09] 涨一两天
[33:10] 跌三四天
[33:10] 就很难操作
[33:11] 对
[33:12] 一创新高
[33:12] 就伴随着吐一半回去
[33:15] 对
[33:15] 对不对
[33:15] 所以我们常常说
[33:16] 生涯半涨一半
[33:17] 可是它是一个多头形态
[33:19] 那如果你了解
[33:20] 它是一个多头形态
[33:21] 可能你就会比较愿意
[33:22] 跟它好
[33:23] 但如果你不知道
[33:25] 你可能就会在创高的时候
[33:26] 觉得刚突破了
[33:27] 要创高去追
[33:28] 然后追
[33:29] 三根黑一K
[33:30] 哎呀卖掉
[33:31] 哎呀它又喷
[33:32] 好久会被整
[33:33] 所以有时候会觉得
[33:34] 像我们讲这些事情
[33:35] 搭配技术形态
[33:37] 可以少让我们操很多心
[33:39] 我觉得这个至少是
[33:40] 虽然我不是纯技术线形态
[33:43] 可是对我的帮助很大
[33:45] 我称作这个叫做
[33:48] 股票的长相
[33:49] 这个长相不好的股票
[33:52] 你就不要做
[33:53] 除非你是高手
[33:54] 或者你是真的
[33:56] 对产业
[33:56] 对它的产业非常了解
[33:58] 你才会爆麻
[34:00] 那如果你都不了解
[34:01] 这样一涨一跌
[34:02] 我看你每天都被他
[34:04] 被他洗得昏头转向
[34:06] 这就叫长相
[34:08] 你看那些标股长相多漂亮
[34:11] 哇就拉
[34:12] 一拉就四五天
[34:13] 然后回来还没有跌几天
[34:16] 怎么又来了
[34:16] 这个就是长相很漂亮
[34:18] 所以这很重要
[34:20] 大家反正你看
[34:21] 你认为你很羡慕那些会涨的股票
[34:24] 你就把图打出来看一看
[34:26] 比如说这五档都好会飙
[34:28] 你就把五档图拿来看
[34:30] 那这个以后就是你要挑的
[34:32] 长相的股票
[34:34] 你就挑这种股票做就很容易
[34:36] 然后再来就是为什么技术面
[34:39] 技术面对我们来说
[34:40] 有一个最大的优势
[34:41] 就是你不会去追高
[34:43] 否则的话你用凭感觉的话
[34:46] 越长越好
[34:47] 越长越想买
[34:49] 那你往往就很容易买在高点
[34:51] 就会被杀下来
[34:54] 那我有个技术面
[34:56] 我知道你长相很好
[34:57] 但我又有耐心等你回来
[34:59] 所以你会买在起涨点
[35:01] 那起涨点它又很会涨
[35:04] 所以它一开始涨
[35:05] 就会涨个好多天
[35:06] 所以这种股票你就很容易做到
[35:09] 所以我们懂得技术分析
[35:11] 懂得这些
[35:12] 然后自己就要去揣摩一下
[35:14] 在技术分析里面
[35:15] 哪些股票是很容易做到的
[35:17] 然后在哪个位置
[35:19] 你是很容易赚到破断的
[35:21] 那这样子我相信
[35:22] 大家做股票就会越来越进步
[35:24] 好 因为可能这个节目
[35:26] 最近也有越來越多的新朋友加入
[35:29] 也會有人問說
[35:31] 欸 趙華你最近不是看好封測啊
[35:33] 或講到設備類股啊
[35:35] 是在哪一集喔
[35:36] 那真的也是很不好意思跟大家講
[35:38] 因為幾乎每一天都會稍微掃到各族群
[35:41] 盡量我在標題上面
[35:43] 或是我有空的時候會整理所謂的大綱內容但大家如果喜歡今天這一集的內容記得用這用苹果平台或是Spotify的平台都可以把你喜欢的这一集存下来
[35:54] 来不及听完
[35:55] 或想回味
[35:56] 都记得把它存下来
[35:57] 因为我真的
[35:58] 今天做到1111集了
[36:00] 你说
[36:01] 赵豪到底哪一集有讲
[36:02] 有好多集有讲
[36:03] 我可能会回说
[36:04] 最近的50集
[36:05] 可能都有讲
[36:06] 我不是开玩笑
[36:07] 我真的不是开玩笑
[36:08] 像有一个朋友问我说
[36:10] 你可不可以聊一下
[36:11] CPU跟设备
[36:11] 我说有啊
[36:13] 我每天都在聊CPU跟设备
[36:14] 让我想起来
[36:16] 我刚刚有请朱老师
[36:17] 帮我见诊一下CPU
[36:18] 因为除了昨天
[36:20] 这个马贝尔演讲
[36:21] 黄仁勋去加持
[36:23] 说他会是下一个
[36:24] 赵美元产业
[36:25] 结果晚上大涨
[36:27] 他就是一个很纯的CPU代表
[36:30] 挥打投资在CPU上面的钱
[36:32] 是蛮多的
[36:33] 也代表这个产业
[36:35] 在未来的发展上没有问题
[36:37] 那台湾的CPU
[36:38] 因为说实话
[36:40] 我们并没有真的
[36:41] 大量量产
[36:42] 所谓的共同封装光学
[36:44] 目前真的还没有
[36:46] 但是大家都有在准备
[36:47] 都在准备
[36:48] 股价就已经先涨了
[36:49] 好
[36:50] 今天跨明天的凌晨
[36:51] 还有一件事情
[36:52] 就是明天的美股盘后
[36:54] 博通要公布财报
[36:56] 兼法说会
[36:57] 这也非常重要
[36:58] 因为上一次的博通
[36:59] 他就有提到
[37:00] 2028年
[37:01] 依旧是光同并存
[37:03] 并不是纯CPU的天下
[37:05] 当时CPU吓了一跳
[37:07] 可是我觉得
[37:08] 现在博通的讲法
[37:10] 会比较有技巧
[37:11] 就是会比较需要
[37:13] 讲一些正面的话给大家听
[37:15] 因为黄文训也加持了
[37:17] 麦威尔了
[37:17] 我觉得博通不会讲得不好
[37:19] 那当然博通财报
[37:20] 假设真的博通财报
[37:22] 有点意外的话
[37:22] 那当然一定要重视
[37:24] 一定要重视
[37:24] 那我们先在博通
[37:26] 应该也会讲好的前提下
[37:28] 今天CPU是一个复活
[37:29] 但并不算是全面大复活
[37:31] 很多指标股
[37:32] 联亚 波罗威
[37:33] 今天掌听版
[37:34] 所以我今天也请朱老师
[37:36] 看了一下联亚 波罗威
[37:37] 这两支
[37:37] 它算是CPU里面
[37:39] 第一波大标的高价股
[37:41] 他们有领头羊的作用
[37:43] 对
[37:44] 其实CPO在前面
[37:46] 我一直讲
[37:48] 就我们的技术面来讲
[37:50] 你如果涨了一大波
[37:51] 可能是题材
[37:53] 可能是产业
[37:54] 但是它如果回来修正的时候
[37:56] 时间就会比较久
[37:58] 所以就破洛威这一只股票
[38:00] 其实它整理了很久
[38:02] 从它的最高点
[38:04] 但是我们可以知道
[38:05] 一只股票的好坏
[38:07] 就是你整理的时候
[38:08] 有没有跌的幅度很深
[38:11] 如果你还是在一个范围里面整理
[38:15] 那就是说你要修正而已
[38:17] 那修正完了后面还有机会
[38:20] 那我刚刚看一下了
[38:22] 我们上次的最高点是1315
[38:24] 最高点
[38:25] 那如果以今天的收盘是1085
[38:28] 大概回来了两三成
[38:31] 那现在它就形态来讲
[38:34] 技术面来讲
[38:35] 它今天是很强了
[38:39] 涨停板
[38:39] 可是看昨天是不是有根长黑
[38:42] 昨天它有根长黑
[38:44] 那今天涨停板
[38:46] 那看有没有机会不要破底
[38:50] 因为它前面都破底的
[38:52] 前面一直破低点破低点破低点
[38:55] 然后有个强力反弹
[38:57] 就是最下面最低点的反弹
[39:01] 那这个反弹把趋势改变
[39:03] 这个反弹它上了均线
[39:06] 所有的均线
[39:07] 而且还把上一波的高点给过了
[39:10] 就前面这个高点
[39:12] 换句话说
[39:13] 波乐威在技术面现在是头头高
[39:15] 但是还没有底底高
[39:17] 就是今天涨停
[39:19] 但没有出现底底高
[39:20] 因为昨天的黑K还没有过
[39:23] 昨天的黑K是压力
[39:24] 那如果明天能够
[39:26] 因为今天就表现很强了
[39:29] 那如果明天很强
[39:30] 又能够过黑K的高点
[39:33] 多头就完成了
[39:34] 那你话说他修正了很久
[39:36] 空头现在终于转成多头了
[39:39] 所以如果你关注他
[39:40] 就可以开始锁住了
[39:42] 因为他也是在均线上了
[39:44] 那这只股票有可能在这个地方
[39:47] 就算是修正了也告一个段落
[39:50] 那后面大家就可以去追踪一下
[39:53] 是
[39:54] 好 这是波罗威
[39:55] 这是波罗威
[39:57] 波罗威今天涨上来
[39:58] 又回到他的千元股地位了
[40:00] 没错
[40:00] 另外一档更贵的叫联亚
[40:02] 高价股领头羊有它的意义在
[40:04] 所以先跟大家分享一下
[40:05] 联亚看起来它修正的幅度就没有这么多
[40:08] 它是强势整理
[40:09] 换句话说它从上次的最高点
[40:12] 3305回来修正
[40:15] 回来修正的幅度没有这么大
[40:18] 它就是连山黑
[40:20] 连山黑然后两个小黑就没有破底了
[40:24] 它的低点就在这
[40:25] 可是因为上去都没有过高
[40:28] 所以其实它是在箱子里面整理
[40:31] 我们这个叫箱子
[40:32] 箱型盘整
[40:33] 在箱型里面盘整
[40:35] 那箱型盘整的话
[40:36] 上面的压力就比较多
[40:38] 它好几个头在上面
[40:40] 那虽然它今天也是一个涨停板
[40:43] 如果就现在来看
[40:45] 它却是一个多头
[40:46] 因为它的反弹过高
[40:48] 而且今天它涨停板又上来了
[40:52] 跟刚才那个没有过黑黑不一样
[40:55] 那换句话讲
[40:56] 它也转强了
[40:57] 它也变多
[40:58] 但是在操作上
[41:00] 就是前面这个高点
[41:02] 这边还是有压力
[41:04] 会不会到了这个3305
[41:07] 它又下来了
[41:08] 那就表示还在这个箱子里面
[41:10] 但是如果它能够冲过
[41:12] 这个3305的话
[41:13] 那这个箱子被突破
[41:15] 它就要走另外一个箱子
[41:17] 那这时候就比较容易有个坡段
[41:19] 所以如果你现在去做它
[41:22] 就注意一下压力
[41:23] 如果压力不过
[41:25] 因为你今天到2830了
[41:27] 到3305并没有太多
[41:29] 虽然还有几百块
[41:34] 但是他因为好几千块的股票
[41:36] 那你要做就
[41:37] 目前就做一个短
[41:39] 等到他那个高点过
[41:41] 他才有机会再去攻一波
[41:44] 虽然说今天的CPU
[41:45] 并不是全面大涨停
[41:47] 但是我想他呼应了一个事情
[41:49] 为什么我们今天跳的是
[41:50] 雷亚跟普洱威
[41:51] 前两天一直跟大家讲
[41:53] CPU活动没有灭
[41:54] 我讲的是迅兴KY和联军
[41:56] 这两档都是在CPU里面
[41:58] 比较慢起涨的
[42:00] 尤其是联军
[42:01] 也许是联军
[42:02] 但是这两党
[42:03] 在其他CPU回档休息的时候
[42:05] 像刚刚周老师也说
[42:06] 像波罗威就回得比较深
[42:07] 他们反而是逆势
[42:09] 一直在创高
[42:09] 就代表说
[42:10] 这一个族群里面
[42:12] 他只是在轮动
[42:13] 他并没有全部族群
[42:14] 完全熄火
[42:15] 再加上国外的CPU大厂
[42:18] 真的都在涨
[42:19] 有回档
[42:20] 因为这个族群
[42:21] 像国外美国好了
[42:22] 他没有涨跌幅限制
[42:24] 他们真的会
[42:25] 常常是一个晚上涨20%
[42:26] 然后一个晚上又跌10几%
[42:27] 所以它叠起来也是蛮吓人
[42:30] 可是总体来看
[42:31] 总体来看
[42:32] 以从三月到现在
[42:33] 大部分的CPU的大厂
[42:35] 都是一个大涨的状态
[42:36] 所以台湾的CPU火种没有灭
[42:39] 那现在又回到谁
[42:40] 联亚这个所谓CPU里面
[42:42] 最冲出去最高价的第一棒
[42:44] 那今天光盛也涨停
[42:46] 这个Proway
[42:47] 就是我们所谓的第一线
[42:49] 就像涨回老A一样的感觉
[42:50] 就是以前都说
[42:52] CPU你要去找那个
[42:53] 扩散到LED的
[42:54] 扩散到设备的
[42:55] 扩散到有什么新切进来的
[42:57] 先看看这些本来的一线军
[43:00] 他也恢复上涨的话
[43:01] 这个族群的火种就没有灭
[43:03] 所以我们今天又再次的讲到CPU
[43:06] 说希望我们讲CPU的朋友
[43:08] 要每一集听
[43:10] 然后听到的话
[43:10] 请记得存下来
[43:12] 那有些新同学如果刚加入
[43:14] 一定要强调一件事情
[43:15] 朱老师在技术形态上非常厉害
[43:17] 但是形态多头
[43:19] 或是形态突破
[43:21] 他叫做几率
[43:22] 就是他继续续涨的几率
[43:24] 买他赢的几率比较高
[43:27] 但不是100%
[43:28] 不是100%
[43:29] 有兴趣的朋友
[43:30] 可以回去看理财达人秀里面
[43:32] 有标股在线等的教学
[43:34] 碗形底
[43:35] N字底
[43:36] 成功率都是高的
[43:37] 但成功率毕竟是率
[43:39] 它不是100%保证
[43:41] 所以懂得几率
[43:43] 更要懂得纪律
[43:44] 所以如果形态刚好做好了
[43:46] 却没有完成
[43:47] 接下来是下跌
[43:48] 也是得出场的
[43:49] 我觉得这个在学技术形态上
[43:52] 这是我看到各位听众跟观众留言里面
[43:55] 最常踏到的误区
[43:56] 诸老师不是说
[43:58] 这个已经是形态多头了吗
[43:59] 那为什么没有在涨
[44:01] 就是有可能没有在涨
[44:03] 要怎么应对才是最重要的
[44:05] 那就是要学纪律了
[44:08] 你就按照你的纪律去做
[44:10] 在进场前做好规划
[44:12] 这支股票我要在哪买
[44:14] 它可能的目标会到哪里
[44:17] 那我要用什么方式操作
[44:18] 你要做首五军还是首二十军
[44:21] 这个你事先都要做好
[44:23] 然后我的停损要设在哪里
[44:25] 这好了
[44:26] 你买进去
[44:27] 就按照你的计划去做就好了
[44:29] 买进去就要简单了
[44:31] 你如果复杂
[44:34] 有的时候你也是会被卖废
[44:36] 哎呀盘中叠了
[44:37] 我要不要卖
[44:38] 你都已经写好了
[44:39] 收盘叠破五句卖
[44:41] 那就不要卖
[44:42] 对不对
[44:43] 所以你得要把这些规划都先写好
[44:46] 那因为技术分析是可以写这些规划的
[44:49] 然后写完了
[44:50] 你就可以遵守它
[44:52] 这个就叫守纪律
[44:53] 是
[44:53] 好那最后分享一下大家的喜悦
[44:56] 不好意思最近比较少念大家的思选
[44:59] 对因为我们自己讲内容
[45:01] 有时候讲的比较长
[45:02] 所以就没有特别来跟大家分享
[45:04] 像这一位他说是一位双宝爸
[45:06] 他下班的时候都会听我们的podcast
[45:08] 他说他这次来留言是只想道谢
[45:11] 那我们常讲如果在个股上无法把握
[45:14] 其实就是买ETF
[45:15] 那这位双宝爸就是买了ETF
[45:17] 那这几年的出国旅费
[45:19] 都因为ETF有得到了知应
[45:21] 然后他说也谢谢
[45:22] 我平常不厌其烦的分享投资观念
[45:25] 他也把他的ETF的库存报酬
[45:27] 给我看了一下
[45:28] 最高的有八十几趴
[45:30] 前几年老婆骂
[45:32] 说你为什么不投资买房
[45:35] 谁谁谁买房已经赚了几百万
[45:37] 那目前就开花结果了
[45:39] 谢谢你
[45:39] 他说投资六年了
[45:41] 也有加上本业收入资产已经翻倍了
[45:44] 那现金部位也有做保留三成
[45:46] 确实我想前几年房市有曾经非常热
[45:49] 我曾经报道过说
[45:50] 真的到现场看
[45:52] 哇塞
[45:52] 大家抽号码牌
[45:54] 才能进去看房子
[45:56] 而且你去
[45:57] 可能代销会告诉你
[45:58] 就剩这几间
[45:58] 你要不要随你
[46:00] 你不要下面一组人就要
[46:01] 曾经是这样
[46:03] 那我也觉得
[46:05] 我从来没看过房市
[46:06] 这么样的离谱
[46:07] 但随着股市上来
[46:08] 这几年的险学就转了
[46:10] 先不要买房了
[46:11] 你这个头期款
[46:12] 放股票市场
[46:13] 你将来就是三栋房子的头期款
[46:16] 现在已经变成这种口气了
[46:18] 但是我觉得是这样
[46:20] 如果你本来这个家
[46:21] 就有自住的需求
[46:23] 小换大也好
[46:24] 或是你要成家立业
[46:25] 你真的很想要自己的房子
[46:27] 它这个叫刚性需求
[46:28] 我觉得不要太纠结
[46:30] 那现在有非常多管道
[46:32] 其实前一阵子
[46:32] 质押还没有管得那么严的时候
[46:34] 确实把你手上
[46:36] 觉得非常棒的ETF
[46:37] 跟稳定的机油股
[46:38] 去质押也是一个方法
[46:40] 去买房
[46:41] 那当然现在都管得比较严了
[46:43] 要借钱出来都利率比较高了
[46:45] 我觉得就去思考
[46:46] 它是不是你的刚性需求
[46:47] 因为现在看房子
[46:48] 有比较好谈一些
[46:50] 然后代销的态度也好很多
[46:52] 对
[46:53] 那就说实话
[46:55] 有的东西是没有办法
[46:56] 用钱来等比衡量的
[46:58] 我这笔钱放房子
[46:59] 我可以赚20%
[47:00] 放股市可以赚50%
[47:02] 哪个好
[47:02] 可是房子给你的安全感
[47:04] 或是股市给你的成就感
[47:06] 有时候没有办法
[47:07] 用钱的比率来衡量
[47:09] 这是跟大家做一点小分享
[47:13] 以后有空再聊房子吧
[47:15] 对对对
[47:16] 因为朱老师也是
[47:17] 我其实连房子也转手不少
[47:20] 下次再来聊房子
[47:23] 挑房子的想法
[47:24] 那很谢谢大家给我们的分享
[47:26] 我们也会陆续
[47:27] 希望能够在空中回应大家
[47:29] 跟我们讲的这些心得
[47:30] 因为很开心
[47:31] 大部分都是分享赚钱的快乐
[47:33] 那今天的古惑仔就到这边了
[47:35] 跟大家说拜拜了
[47:36] 拜拜
