[00:00] 欢迎收听赵怀股货载第1112集
[25:15] 不会是他的主因
[25:16] 主因肯定会是
[25:18] 在基本面上要看这件事
[25:20] 那第二件事情就是刚刚讲到的资金面
[25:23] 如果今天大家对非农就业人数
[25:25] 小非农这些是觉得
[25:28] 不会降息又就产生压力的话
[25:30] 那就显见现在市场的敏感度还是挺高的
[25:34] 对于利多的敏感度高对于利空的敏感度也高这就是市场大波动的来源所以才会讲说6月17号的联准会利率决策会议我一直放在心上我不觉得它会大到
[25:46] 像黑天鹅那么恐怖
[25:47] 可是我觉得它可能会造成震荡
[25:49] 我觉得这些是
[25:50] 大家在现在做股票的时候
[25:52] 一定要记得的事情
[25:53] 刚刚讲到主动CTF
[25:55] 最近的表现不好
[25:56] 自然是因为钱都流到
[25:58] 刚刚讲的大型的一线全职
[26:00] 以前当然不会压他们
[26:01] 压他们没有效率
[26:02] 我今天跟人家是在PK
[26:04] 台面上PK我的绩效
[26:06] 你讲981A
[26:07] 我还要面对我后起之秀
[26:09] 我们同门师兄弟403A
[26:10] 我还要看到复华的991A
[26:12] 我要看到群翼的992A
[26:15] 我要看到安联的993A
[26:17] 我要看到野村的985A
[26:19] 我要看到大家都在赛马
[26:22] 我这批马在跑
[26:24] 我怎么可能会预先知道
[26:26] 我要去重压老AI
[26:28] 我才会赢呢
[26:28] 这些都有一点
[26:29] 一方面是实力
[26:31] 一方面是运气
[26:32] 所以这段时间
[26:33] 以前在那个
[26:34] 所谓的中小型高价股上面
[26:36] 得利的像981这样的ETF
[26:38] 其实最近的排名
[26:39] 确实不在前面
[26:40] 但赛马
[26:41] 当然赛马可能这个比喻比较短
[26:43] 我觉得有时候
[26:44] 你把它形容成一个半马好了
[26:46] 半马
[26:46] 也不用到全马
[26:47] 全马我们没有那耐性
[26:49] 半马
[26:50] 它现在可能有点落后
[26:52] 不在把它之后赶不回来
[26:54] 我觉得是
[26:55] 不用用这么一两周
[26:57] 或是一个月的情况
[26:58] 来评量它们
[26:59] 不过最近还有一个情况
[27:01] 就是所谓的被动式
[27:02] 或是高息的ETF跑起来了
[27:04] 因为老AI或是联发科
[27:06] 或是大力光
[27:07] 或是国具
[27:08] 光宝科伟创
[27:09] 这些就是所谓
[27:11] 这些高息ETF里面
[27:12] 很喜欢的成分
[27:13] 那最近他们的价值
[27:15] 价格整个被拉上去了
[27:17] 所以现在感觉上高息ETF
[27:18] 跑得挺好的
[27:20] 为什么说这样正常也不正常
[27:22] 因为高息ETF
[27:23] 当初会募到那么多的钱
[27:25] 就是因为他们息差双赚
[27:28] 就是AI先吹到
[27:29] 这些大型的组装代工厂
[27:31] 让他们从高息股
[27:32] 变成了高成长股
[27:34] 所以第一波的高息ETF
[27:36] 大家有错误的认知
[27:37] 就是哇
[27:38] 我买高息ETF跑赢大盘
[27:40] 我买高息ETF
[27:42] 一年可以赚40%
[27:43] 等到他们回到正常
[27:45] 因为一年就是10%
[27:46] 不好意思
[27:47] 我就是喜
[27:47] 真的是高喜
[27:48] 一年给你10%
[27:49] 大家就骂他是垃圾
[27:51] 骂到不行
[27:53] 骂到说就买他们的话
[27:55] 根本就错过大盘的涨幅
[27:57] 这个认知是不对的
[27:59] 当他正常的时候
[28:00] 你觉得他不正常
[28:01] 当他不正常的时候
[28:02] 你觉得他正常
[28:03] 那现在他又回来了
[28:04] 因为风就吹到刚刚讲到的
[28:07] 台股在AI上面的风水流流转
[28:09] 所以高息股持有的这些股票
[28:11] 最近在涨
[28:11] 但一定要切记
[28:13] 你可以掌握这一波的风潮
[28:14] 你可以开开心心的
[28:15] 一吐前两年的怨气
[28:17] 如果你还是要回到
[28:19] 如果您当初买高息
[28:20] 是需要现金流入的人
[28:22] 那你就享受这一波额外的红利
[28:25] 而不要去忘记
[28:27] 说那我就全部
[28:29] 把我本来要赚这个价差的主动
[28:31] 要赚价杀的市值
[28:32] 全部挪到高息好了
[28:33] 反正现在高息好
[28:34] 那就会失去原本你配置的想法
[28:37] 那同样的
[28:38] 你本来就不需要现金流的朋友
[28:40] 你也不用这个时候说
[28:42] 高息好像跑得很好
[28:43] 他现在变成绩效王了
[28:44] 那我就把我的钱通移到高息来
[28:45] 然后最后等高息变成一年
[28:47] 又只配给你10%
[28:48] 你又在那边抱怨
[28:49] 我要讲的是
[28:51] 这个就是配置中
[28:52] 你有时候会有这匹马跑出来
[28:54] 有时候会有那匹马跑出来
[28:55] 你配好了就没问题了
[28:58] 我手上的高息不多
[28:59] 因为我讨厌喜
[29:00] 本人讨厌在报税的时候
[29:02] 看到那些喜
[29:03] 我真的觉得很烦
[29:04] 我喜欢讥笑
[29:06] 所以我手上的高级不多
[29:07] 但因为还是有留一两档来做观测
[29:10] 所以我知道他们最近跑得很好
[29:11] 这边提供这个观念的分享给大家
[29:14] 是
[29:15] 刚刚赵华讲了非常多的这个内容
[29:19] 我真的是感同身受
[29:20] 感同身受
[29:21] 你会听起来有点场面了吗
[29:23] 不会啦
[29:25] 我觉得要长期在股票市场里面
[29:28] 不管是你是跑半马还是全马
[29:29] 良利很重要
[29:31] 停损停利跟持股比例
[29:33] 这个是我一直在强调的
[29:35] 然后对于这个已经涨了百分之
[29:40] 账面上已经赚了百分之五十
[29:42] 占百分之六十的这种情况
[29:44] 很多朋友其实都有问过类似的问题
[29:48] 那说实话
[29:51] 你跟他说那你就分批调解
[29:53] 他其实不太懂什么叫分批调解
[29:55] 他总觉得就算我卖一张
[29:58] 我都会觉得说
[29:59] 我可能把它卖肥
[30:00] OK
[30:00] 我觉得后来
[30:02] 我就跟他们讲
[30:02] 我说不然这样好了
[30:03] 你现在
[30:04] 你怕对不对
[30:05] 那你就先
[30:07] 想办法
[30:07] 把你的本金
[30:08] 抽回来
[30:09] OK
[30:10] 你就把你赚的
[30:11] 继续凹下去就好了
[30:12] 对
[30:13] 我觉得这个其实是一种
[30:14] 大多数人
[30:15] 在心理层面上
[30:17] 可以过得去
[30:18] 可以克服的
[30:19] 对
[30:19] 就利用这种
[30:20] 人性
[30:21] 对
[30:22] 所以我
[30:23] 我个人觉得其实
[30:24] 做股票
[30:25] 其实有很大的门槛
[30:27] 就是
[30:27] 人性
[30:28] 就是要说服自己
[30:30] 人性到底做不做得下去
[30:31] 所以我才说
[30:33] 我不是不会做动能交易
[30:37] 我说实话我很会做
[30:39] 可是我后来决定我不要做
[30:41] 你可以偷偷做
[30:43] 不要讲出来
[30:44] 这是因为我觉得
[30:49] 人性的这部分
[30:51] 它的这个比重真的是很高
[30:53] 我也可以跟大家分享
[30:56] 最近一档比较卖飞的例子
[30:58] 让大家觉得
[30:59] 平衡一下
[31:00] 对对对
[31:00] 那个8454的富邦美
[31:03] 你卖飞吗
[31:06] 我买190块
[31:07] 富邦美
[31:08] 当然我们都知道电商很竞争
[31:10] 所以之前有人问我们
[31:11] 电商相关的富邦美
[31:12] 跌烂了我们的想法
[31:14] 我个人当然不是很建议介入
[31:16] 因为如果你有认识
[31:17] 富邦美的好朋友
[31:18] 你有认识库蓬的好朋友
[31:20] 你还同时认识了
[31:21] 被统一收购的
[31:23] 雅虎奇摩的好朋友
[31:24] 雅虎购物的好朋友
[31:25] 你就会知道这一行
[31:26] 他们都是
[31:27] 就像我在做电视台的时候
[31:29] 我们常会讲一句话
[31:30] 上辈是不是杀人放火
[31:31] 才来做这一部电视台
[31:31] 逼迫谁的骨灰谈了吗
[31:33] 做电商有这种感觉
[31:36] 之前面板业的朋友
[31:37] 也跟我讲有这种感觉
[31:39] 可是他们股东会上
[31:41] 讲了一句话
[31:42] 爬也要爬回一千块
[31:43] 当然这个更像场面话
[31:45] 可是就从
[31:48] 现在爬到三百多
[31:49] 对啊
[31:49] 因为董事长讲话
[31:50] 太猛了
[31:51] 我要跟各位分享一下
[31:53] 为什么选富邦美
[31:54] 其实我内心呢
[31:56] 一直藏起来是另外一档股票
[31:59] 是统一超
[32:00] 好
[32:00] 因为统一超呢
[32:02] 他配9块
[32:03] 不管他赚多赚少
[32:05] 他每年是配9块
[32:06] 这是我对他讲是一个非常
[32:08] 安稳的一个策略
[32:10] 就是我只要想办法
[32:11] 把他买到很便宜就好
[32:12] 反正他就配9块
[32:13] 跟以前金城资讯一样
[32:15] 他都配5块
[32:16] 对好
[32:17] 那所以当他跌到220块的时候
[32:20] 我有点考虑要不要买这个统一超
[32:22] 他配9块嘛
[32:24] 后来我做功课的时候发现
[32:27] 有一档个股它配十块
[32:29] 可是不到两百块
[32:30] 那股票是谁呢
[32:32] 就是富邦美
[32:33] 那时候我就从一百九
[32:35] 一百八开始接
[32:36] OK 好
[32:37] 那我只是看中
[32:39] 它的所谓的一个殖利率
[32:41] 因为它比统一超
[32:43] 它更有利更划算
[32:46] 那我其实我有评估过
[32:48] 就是整个就是电商产业
[32:52] 我个人觉得电商产业的产
[32:54] 已经接近尾声
[32:56] 就再产可能就这样了
[32:58] OK
[32:59] 再加上连PC红都卖了
[33:01] 对吧
[33:02] 所以我觉得这个
[33:04] 接下来在整个产业的一个发展上
[33:06] 一定会变成
[33:08] 就是大家会有质疑同标
[33:09] 在下架竞争
[33:10] 但这个是我个人的
[33:12] 一厢情愿的说法
[33:13] 一厢情愿的想法
[33:14] OK
[33:15] 实务上的经营
[33:16] 还是要看给各位公司
[33:18] 他们自己的一个决定
[33:20] 可是最近真的是
[33:21] 股价太强劲了
[33:23] 富邦美
[33:23] 从200块钱
[33:25] 涨到今天缩盘321块
[33:27] 这短短的几天
[33:29] 涨了将近快100块的一个价差
[33:32] 那我也是拉上来
[33:34] 到这个两三天
[33:36] 因为我本来就只想要赚
[33:38] 那个殖利率而已
[33:40] 我已经赚超过了
[33:41] 殖利率的那个percentage了
[33:43] 我就觉得
[33:43] 那我就应该走
[33:45] 就没想到后面这两天的大涨
[33:47] 就足足的这个
[33:49] 打脸那个殖利率的一个报酬率
[33:51] 所以其实我觉得
[33:53] 这种情况
[33:54] 尤其是在我黄金右下角的
[33:56] 这种范围里面
[33:57] 其实我常常发现
[33:59] 常常发生
[34:00] 因为有多一起涨就一标不可收拾
[34:03] 对
[34:03] 可是我从来就不会
[34:05] 我从来就不会很万瘫
[34:08] 但我现在讲起来有点抱怨
[34:10] 但是我觉得我不是那种很可惜
[34:13] 因为我觉得我可以找到下一档
[34:15] 关键在于说
[34:18] 你如何找到这个股票
[34:21] 这是真正的一个关键
[34:23] 就是如何有找到黄金
[34:25] 又下脚的股票
[34:26] 那至于说操作的技巧
[34:28] 那没办法
[34:29] 我们就只能够在精进
[34:30] 我们能够说什么
[34:31] 我们就是技不如人
[34:32] 在精进
[34:33] 不过后来我看了一下
[34:34] 原来是高股CDF
[34:36] 把它拿进去
[34:37] 这个非战之罪了
[34:39] 就不能怪我了
[34:40] 谁料得到呢
[34:42] 最近有些资通讯软体
[34:44] 也有这个感觉
[34:45] 对
[34:46] 我们一看到讨论
[34:47] 就要讨论很久
[34:47] 然后韦泰有一次要来讲
[34:49] 我就跟韦泰说
[34:50] 会不会一日行情
[34:51] 或两日行情
[34:51] 韦泰说这次看起来应该不会
[34:53] 就真的好凶
[34:54] 不能讲
[34:55] 这是秘密
[34:55] 江湖一点绝
[34:58] 但是我要再次投高股息
[35:02] 贴福一票
[35:02] 我跟赵华比较不一样
[35:04] 赵华是这个比较
[35:06] 水偏市值型的
[35:07] 成长型
[35:08] 应该是我的配置里面
[35:10] 因为我不喜欢股息
[35:11] 还是强调这件事情
[35:12] 对
[35:12] 然后所以我还是
[35:14] 主轴核心会是科技跟市值
[35:17] 就例如说830啦
[35:19] 或者说像那个
[35:21] 刚刚讲到
[35:22] 只要跟科技比较相关的
[35:24] 成分高的
[35:24] 富邦电子啊
[35:26] 应该它就富邦科技
[35:27] 零零五
[35:28] 这种我都配的比较多
[35:29] 我个人就是一个科技迷
[35:32] 是
[35:32] 对
[35:32] 那这回到就是我们
[35:34] 食物上面的一个操作的习惯
[35:37] 其实大多数人
[35:38] 就是比较不会去做停力
[35:40] 所以我刚刚跟大家分享说
[35:42] 那当你长大
[35:43] 你觉得你有点怕的时候
[35:44] 没关系啊
[35:45] 你就想办法先把本金抽回来
[35:47] 那剩下的部分就让它去滚吧
[35:50] 你能够忍耐多久
[35:51] 你就忍耐多久
[35:52] 至少我觉得你不会因为这样赔钱
[35:54] 顶多把你赚出去的钱全部吐掉
[35:56] 但我相信你卖完第一批之后
[35:59] 通常我的经验就是
[36:00] 你的第二批跟第三批
[36:02] 你就会把它卖掉了
[36:03] 那这个就请各位听众朋友
[36:06] 自己去尝试看看
[36:08] 那高股息益
[36:09] 为什么我比较
[36:10] 我对它不离不弃的原因是因为
[36:12] 它其实它等于是变相的帮我们做停利
[36:16] 是没有错
[36:17] 对 这是我觉得它是一个变相
[36:19] 帮我去做停利的一个动作
[36:21] 那既停利完
[36:22] 你领到息
[36:23] 你要不要再投入
[36:24] 那你自己决定
[36:25] 是
[36:25] 那我对股票投资
[36:27] 我基本上的原则就是
[36:29] 我是要利用投资来改变我的生活
[36:32] 是
[36:32] 改变人生 改变生活
[36:34] 所以其实我觉得没有不好
[36:36] 赚到钱之后呢
[36:37] 就买个衣服
[36:40] 买个衣服给小孩
[36:41] 带家来去吃点好东西
[36:43] 我觉得这个其实很好啊
[36:44] 所以我其实
[36:45] 我对高股息ETF这些事情
[36:47] 我其实一直都还是站在
[36:48] 比较正面的一个态度
[36:50] 然后呢
[36:51] 就在前两天吧
[36:53] 就是之前跟大家分享过的一个朋友
[36:55] 就是买00878
[36:57] 买到600张的那个朋友
[36:58] 他跟我讲说
[36:59] 韦泰老师
[37:00] 怎么办
[37:00] 莫名其妙
[37:01] 多赚200万
[37:02] 他才没有想过
[37:05] 00878会长成这样
[37:07] 因为高股CTF跟这个行情
[37:10] 过去来讲比较没有搭嘎
[37:12] 但现在这个行情在开着
[37:14] 连高股CTF都有这种
[37:16] 额外的bonus出来
[37:17] 好
[37:19] 那个真的
[37:19] 你看他朋友的
[37:20] 600张878的朋友
[37:22] 他就知道这个叫bonus
[37:24] 是多出来的
[37:26] 不是常态
[37:26] 就变得开心嘛
[37:28] 然后但是没有这个200万的时候
[37:30] 他也知道
[37:31] 他就是为了要领
[37:32] 那个稳稳的席
[37:33] 这件事情
[37:34] 是
[37:34] 主被动
[37:35] 真的各自有各自的好处
[37:37] 高席有高席的好处
[37:38] 但就是看大家的需求在哪里
[37:40] 要是我今天
[37:41] 我今天
[37:42] 我在我的职场收入
[37:44] 已经下降了
[37:45] 或者是我已经不再做荧光幕前
[37:47] 没有这些收入了
[37:48] 那我可能真的会把我的市值型
[37:50] 换成高股息啊
[37:51] 因为我就需要每个月
[37:52] 可能我就是需要领一个
[37:53] 像领薪水一样领出来嘛
[37:55] 刚刚讲到停利的概念
[37:56] 我觉得这也很棒
[37:57] 两个方向嘛
[37:59] 第一个是有人不喜欢息出来
[38:01] 我希望你就一直帮我滚进去
[38:03] 所以市场上也有设计出
[38:04] 不配息的商品
[38:06] 也有宏吉一时啊
[38:07] 9816
[38:08] 还有元大最近有
[38:09] 请我们有就是聊了一档
[38:11] 我才知道他不配息的
[38:12] 就是什么AI新经济
[38:13] 它是一個台灣美國日本重要科技股的一個配置的主動型的ETF
[38:19] 它也不配息
[38:20] 不配息好處就是你不管它有沒有股息
[38:24] 它就幫你自動再投入
[38:25] 就積極啦幫你一直all in的意思嘛就是有股息就幫你投入股息幫你投入你就不用說我领到股息还在思考我要拿去花掉还是我要再投入而以所谓的长期效率来说确实股息全数再投入
[38:37] 它的长期效率
[38:38] 肯定是比较好的
[38:39] 可是它就比较
[38:40] 没有办法呼应到
[38:41] 你觉得好怕
[38:42] 好想停利
[38:43] 好想拿一点钱回来
[38:44] 怎么卖
[38:45] 要我卖
[38:45] 我不会卖的那个烦恼
[38:47] 你可能就没办法解决
[38:48] 那高股息的停利
[38:50] 就是用发股息
[38:52] 以及现在其实
[38:54] 从善如流
[38:55] 有非常多
[38:55] 不是号称高股息的ETF
[38:58] 他也给你高股息
[38:59] 怎么样呢
[39:00] 他把他的获利的部分
[39:01] 资本利得的部分
[39:03] 也发给大家
[39:03] 最著名的依旧是拿
[39:05] 这个00830来说
[39:07] 00830在今年
[39:09] 应该是今年
[39:09] 就做了一个决定
[39:10] 我记得那时候股息
[39:11] 殖利率高达15%
[39:13] 可是他配的是资本利得
[39:15] 那时候有人就传讯息
[39:17] 问我说
[39:17] 赵华他配那么多
[39:19] 你要卖掉他吗
[39:20] 他好像性格改变了
[39:22] 我就说
[39:22] 第一是资本利得拿出来配
[39:24] 就对我的税务上来说
[39:26] 不是压力
[39:26] 资本利得不会像
[39:27] 扣那个股息的所得税
[39:29] 然后再来是
[39:30] 那我就当做他帮我停利好了
[39:32] 也许我阿Q
[39:34] 但确实是如此
[39:36] 你就想
[39:37] 如果你需要停利的话
[39:38] 这类型的商品
[39:39] 他就会有在帮你停利
[39:41] 那如果你不是要
[39:42] 就是有税务考量的话
[39:43] 你可以去找
[39:44] 有蛮多的
[39:45] 我记得好像是982还是谁
[39:47] 他们也讲过
[39:48] 他们配出来的息
[39:49] 百分之七八十都是资本利得给你
[39:51] 所以就比较不会有税务上的考量
[39:53] 可是也帮你停利
[39:54] 我觉得大家可以去study一下
[39:55] 有蛮多的ETF
[39:57] 对于台湾人喜欢洗
[39:58] 但讨厌缴税
[39:59] 这个事情做了深入的研究
[40:02] 所以商品一直在有一些改革
[40:04] 00891这次应该就是
[40:06] 它这次配了1.25
[40:09] 它有特别提到
[40:11] 就是说它这个洗
[40:12] 基本上是有一部分是有价差
[40:15] 是有它的操作的价差
[40:17] 所支付的
[40:18] 所以其实就会像刚刚赵娃那个时候
[40:21] 它比较不会有税负上面的一个问题
[40:24] 是
[40:24] 对
[40:24] 好所以
[40:25] 台股要崩盘的话就是
[40:28] 克资本利的税
[40:29] 肯定崩
[40:30] 我最近在缴税
[40:32] 就是东算西算
[40:34] 我真的一个感觉是
[40:35] 难怪大家要做股票
[40:36] 从股票赚钱是
[40:38] 最没有税务上的烦恼的
[40:40] 顶多就是手续费用而已
[40:42] 但是就是要多做功课
[40:45] 是
[40:45] 我觉得投资这件事情
[40:48] 其实是一个很公平的事情
[40:49] 我觉得基本上
[40:50] 大致上来讲算公平
[40:52] 你说那种所谓内线
[40:53] 我觉得那基本上算少数
[40:54] 而且内线说真的
[40:56] 我也曾经听过不少内线
[40:59] 但是我在内线上面
[41:00] 真的赚到钱的没有很多
[41:02] 因为其实我们知道的早
[41:04] 还不知道的巧
[41:05] 对
[41:06] 有时候知道太早
[41:07] 你买进去
[41:08] 然后它可能股价又先跌了一段
[41:10] 又先洗了一下
[41:11] 然后你开始就怀疑你的内线
[41:13] 然后等它涨上来之后
[41:14] 你就卖掉了
[41:15] 卖完之后它继续往上涨
[41:17] 对
[41:18] 那后来证明那内线是真的
[41:19] 是
[41:20] 对
[41:20] 这我常常就碰到这种情况发生
[41:22] 所以我出来觉得
[41:23] 我觉得还不如就把自己
[41:25] 厘清
[41:27] 就是我自己到底要怎么样做这个股票
[41:30] 然后呢
[41:31] 你有一个很既定的操作铁律
[41:33] 那什么时候买
[41:34] 什么时候卖
[41:35] 我觉得这个其实会
[41:36] 对于这个投资朋友来讲
[41:38] 如果你是这辈子都想要去做投资的话
[41:41] 我觉得这个反而是一个
[41:42] 真正值得我们去做思考的一个问题
[41:45] 然后刚刚为什么为他说
[41:47] 最近如果有回荡
[41:48] 也让大家之前赚很大一段的人
[41:51] 有停利的理由
[41:52] 例如说
[41:52] 破五日均线了嘛
[41:54] 对不对
[41:54] 所以常讲的
[41:55] 有一些出场的想法
[41:57] 除了说用基本面价值面
[41:59] 我们可能
[41:59] 赵华常常举例
[42:01] 以前我买了
[42:01] 有一些确实是诉求
[42:03] 殖利率很好
[42:03] 刚刚韦泰讲的一样啊
[42:05] 你可能他赚了
[42:06] 假设20%好了
[42:07] 那殖利率本来是4 5%的
[42:09] 你就赚了4 5倍的殖利率了嘛
[42:12] 那时候你就觉得
[42:13] 卖掉好像也没有什么关系
[42:14] 难道你要抱他4 5年吗
[42:15] 甚至10年
[42:16] 假设他涨了50%呢
[42:18] 当然他会那样涨
[42:20] 一定有他的原因
[42:21] 肯定就是他从价值股
[42:22] 变成有成长性了
[42:23] 或是评价有什么样的调整跟改变了
[42:25] 切入什么新题材了
[42:26] 好有他的原因
[42:28] 但他是一个
[42:29] 我觉得很粗浅
[42:30] 但也许是可以照这样的方式操作的
[42:33] 尤其是像我昨天跟前天
[42:35] 可能我调节掉一些些的股票
[42:37] 我这边的原则是
[42:39] 我调节掉的是
[42:40] 他的AI成分其实比较少的
[42:42] 其实最近大家涨上来
[42:43] 有一些是他也很久没有涨
[42:45] 像刚刚韦泰讲
[42:46] 为什么筛出来
[42:47] 有一些公司的股价还这么低
[42:48] 就是他的AI成分肯定是相对低的
[42:51] 但大家都会努力
[42:52] 我就不讲谁
[42:53] 因为我觉得讲说我卖掉谁
[42:55] 他AI成分低
[42:56] 会影响到人家的评价
[42:58] 就说例如在店员的部分
[43:00] 他在店上很多
[43:02] 光宝科其实也不错
[43:05] 我必须讲他是股性差
[43:06] 可是我不认为他跟AI是少的
[43:09] 那总之
[43:09] 可是其他的就不一定
[43:10] 这样讲比较犯称
[43:12] 那就有一些比较是右下角
[43:14] 但他有稳定在消费性市场有获利的
[43:17] 评价被压得比较低的
[43:19] 最近也说
[43:20] 他们会努力提高AI的比重
[43:22] 所以也确实有慢慢的涨上来
[43:24] 但没有涨非常多
[43:26] 那前两天我就调节了
[43:27] 类似像我这样比喻的股票
[43:29] 因为我觉得大盘在高档震荡
[43:32] 如果今天有回档
[43:34] 我觉得第一个砍的一定是他们
[43:36] 但他们涨的又不如人家多
[43:38] 因为涨的多你砍个一两根
[43:40] 就像刚刚讲到说
[43:41] 如果今天砍到你的载板
[43:42] 假设我100块买的锦硕好了
[43:44] 最近也跌不少嘛
[43:45] 对不对
[43:46] 可是你会很痛吗
[43:47] 还好
[43:48] 但是因为他们那时候涨不多
[43:49] 你买了之后
[43:50] 它可能涨10几20%
[43:51] 很可能因为大盘一个回档
[43:52] 它那10几20%又吐掉了
[43:54] 就没什么意义
[43:55] 我还是要找可以
[43:57] 让我觉得抱起来
[43:58] 是底气比较足的
[43:59] 所以我这几天反而调节的
[44:01] 就是这一些
[44:02] 它的AI含量其实比较低
[44:04] 可是是跟着涨上来的
[44:06] 那就算它之后喷了
[44:07] 我也不会觉得可惜
[44:08] 因为那就是我的决定
[44:10] 讲到麦菲
[44:11] 有几次在我觉得
[44:12] 大盘有点过热
[44:13] 要回档的时候
[44:14] 我会去调节
[44:15] 我的个股转进ETF里面
[44:18] 那有时候那些个股
[44:19] 后来都飞到很离谱
[44:20] 我最常举的像大量
[44:22] 我那时候就是
[44:22] 调节了200多块的大量
[44:24] 后来涨到八九百块钱
[44:25] 是不是彻底的飞
[44:26] 可是你一定要记得
[44:27] 那就是当下做的决定
[44:29] 那你换过去的标的有涨
[44:30] 也许没有涨那么多
[44:32] 那也没有关系啊
[44:33] 那就是你自己
[44:34] 最安心的一个选择嘛
[44:36] 好所以我这两天
[44:38] 有调节这样
[44:38] 还有刚刚讲到的是
[44:39] 我听到的名牌
[44:40] 实在太多了
[44:41] 很多人说赵华
[44:42] 你为什么都一直
[44:43] 跟我们讲ETF啊
[44:44] 你应该听到很多
[44:45] 是个股吧
[44:46] 对
[44:46] 可是我听到的方式
[44:48] 肯定没有办法交给大家吗
[44:50] 我在这个频道
[44:51] 现在排名那么前面
[44:53] 流量这么大
[44:54] 大到
[44:55] 真的是
[44:56] 没有真的是到哪里
[44:59] 就是那种很久没跟你联络的朋友
[45:01] 也会很希望跟你聊聊天
[45:02] 就是因为有听你的蛊惑仔
[45:03] 那个压力和责任感真的很大
[45:06] 所以我一定会跟大家讲的是
[45:08] 我觉得90%人这样做
[45:10] 肯定不会出事的一个状况
[45:12] 或是我对这张股票
[45:13] 真的笃定到不行
[45:14] 才会跟大家稍微聊到个股的部分
[45:17] 那可是我会听到非常非常多牌
[45:20] 这是对的
[45:21] 甚至后来我就发现
[45:23] 人情牌你不能不买
[45:24] 因为如果涨了
[45:25] 人家会跟你说
[45:26] 赵华我昨天跟你讲
[45:28] 你看看你看
[45:28] 买了吗买了吗
[45:29] 我有积极的达人好朋友
[45:31] 真的会在盘中就会说
[45:32] 买一点买一点这样子
[45:34] 那你就会说
[45:34] 好买一点买一点买一点
[45:35] 可是后来你就发现
[45:36] 这一档股票可能延续性
[45:39] 就不是很厉害
[45:40] 但是买一点
[45:41] 他还真没让你赔钱
[45:42] 他就是会让你可能短线上
[45:44] 一两天
[45:45] 反正很厉害
[45:46] 那我就学会了
[45:48] 我就不恋战了
[45:49] 反正也不是我自己研究的
[45:50] 我就今天买明天卖
[45:51] 说实话就这样
[45:52] 今天买明天卖
[45:53] 明天甚至后天卖
[45:54] 就两三天内处理掉它
[45:56] 那有时候喷上去
[45:57] 那也不关我的事
[45:58] 我就是听人家讲的
[46:00] 对啊
[46:01] 那我根本没研究
[46:02] 也不是我有信心的
[46:03] 可是我有信心的
[46:04] 我就会爆超级久
[46:05] 我有信心的
[46:06] 它就会变成那种核心主力
[46:08] 它就可以赚一倍以上
[46:09] 我还是觉得OK啊
[46:11] 我觉得还好
[46:11] 对
[46:12] 所以这个真的很取决在
[46:14] 每一个人的想法上
[46:16] 我要讲的是
[46:17] 那一些赚一两天就卖掉的
[46:19] 我真的也当作是红利
[46:20] 他就是红利啊
[46:22] 人家莫名其妙送你一个名牌
[46:24] 对
[46:25] 就算他涨了一倍
[46:27] 你只有赚到那短短的5% 10%
[46:29] 那也是红利啊
[46:30] 就很值得开心
[46:31] 可是这样的东西
[46:32] 你不会在你的持股
[46:33] 不会里面占很大的啦
[46:35] 不可能
[46:36] 没错
[46:36] 不可能
[46:37] 除非你真的是很猛啦
[46:39] 你就是他跟你讲
[46:39] 你就all in
[46:40] 然后隔天卖
[46:40] 一直在当隔日冲冲上来
[46:42] 那个万里挑一啦
[46:43] 我不是这种人
[46:45] 是
[46:45] 我有很多好朋友
[46:48] 会跟我分享讯息
[46:49] 对不对
[46:49] 那我都感激
[46:51] 买一点
[46:51] 我都感激
[46:52] 但我有时候不会去买
[46:54] 然后咋这样去之后
[46:55] 他就跟我说
[46:56] 你看你看吧
[46:56] 你没买
[46:57] 对对
[46:58] 我一定请客
[46:59] 就算我没买
[47:00] 我一定请客
[47:01] 你跟我想法一样
[47:02] 我还是感谢你
[47:04] 虽然说我
[47:05] 自己没有赚到
[47:06] 但是我就感谢你
[47:07] 报这个名牌
[47:08] 然后呢
[47:09] 我就会在这个
[47:10] 朋友的后面
[47:11] 给他记住
[47:12] 这个是credit好的
[47:14] 我懂我懂
[47:15] 我只有在心里注记
[47:17] 我没有留下证据
[47:18] 对对对
[47:19] 那这样子就会觉得
[47:20] 嗯那这个以后
[47:21] 这个朋友的话
[47:22] 我会多多参考
[47:23] 对反正我觉得就是
[47:26] 因为我不爱听名牌
[47:27] 不是说
[47:28] 不是不爱
[47:29] 就是说我们听名牌听久
[47:30] 其实有时候不值得
[47:31] 因为别人会跟你
[47:32] 叫你买
[47:32] 人家不会叫你出啦
[47:33] 就这么简单
[47:34] 我们也不会叫人家
[47:36] 带我们出
[47:37] 其实我觉得
[47:37] 这是一个做人
[47:38] 最基本的道理啦
[47:40] 对啦
[47:41] 然后也千万不要
[47:41] A跟你讲跑去问B
[47:43] 这种真的超多
[47:45] 这个是对
[47:46] 这个比较不好
[47:48] 在业界比较不好
[47:49] 这种情况
[47:49] 对啦
[47:50] 所以我觉得追根究起
[47:52] 就是还是要先有自己的一套
[47:54] 这个操作哲学
[47:55] 好
[47:56] 因为我也会跟大家分享名牌
[47:58] 大家人们都非常非常有sense
[48:02] 就他们听完之后
[48:04] 就会各自用他们的方式
