[00:00] 欢迎收听赵华业股货载第1089集
[22:51] 所以才会跟大家讲
[22:52] 如果你没有把握
[22:53] 台股的族群轮动
[22:55] 你不妨参观国际股市的表现
[22:57] 因为他们能够
[22:58] 在这种业绩
[23:00] 也許不是很好的時候能夠創高
[23:01] 也代表說國外的顏料機構
[23:04] 對於矽光紫光通訊的未來
[23:06] 其實看得非常好
[23:07] 所以給他們非常高的本益比
[23:09] 所以這時間點
[23:10] 你去看台股的本益比
[23:11] 你會覺得不合理
[23:12] 但有AOI這樣的公司存在的時候
[23:14] 你就會覺得
[23:15] 好像什麼事情都有可能
[23:17] 所以你可以從這個方向
[23:19] 可以看到台股當中
[23:20] 比方說像今天很強的是博洛威
[23:22] 博洛威漲這麼多之後
[23:25] 他好像在上禮拜公布
[23:28] 他三月份的字節
[23:29] 还不错
[23:30] 对 数字还不错
[23:31] 那就能够直接拉到涨盈板
[23:33] 代表市场对于矽光子的
[23:35] 这个容忍度非常的高
[23:37] 不管你有赚钱没赚钱
[23:39] 好消息给你涨盈板
[23:40] 坏消息也觉得说
[23:41] 你可能之后会更好
[23:42] 所以我觉得矽光子的族群
[23:44] 但第一个啦
[23:45] 因为他们本益比真的很高
[23:46] 所以你很容易遇到
[23:47] 可能三天
[23:48] 股价就连续三根点点板下来
[23:50] 从创高回到月线关卡
[23:52] 所以才会跟大家讲
[23:53] 矽光子不是让大家去追的
[23:55] 而是说你要趁着
[23:57] 也许市场没有信心的
[23:58] 筹码开始松动的时候
[24:00] 你逢低成接
[24:01] 那一样也不要接太多
[24:02] 因为对大多数人来讲
[24:04] 可能从这个创高
[24:06] 回到月线就受不了
[24:07] 如果月线再到季线呢
[24:08] 甚至说细光子一拉回
[24:10] 像之前光盛
[24:11] 是也会破季线的
[24:12] 所以这个我觉得是
[24:13] 大家可能在指标里面
[24:15] 可以参考的标的
[24:16] 细光子也是一块
[24:17] 那在四月份
[24:18] 还有很强的美股是什么
[24:20] 就是记忆体族群
[24:21] 所以记忆体的股票
[24:22] 你看今天盘面上
[24:24] 海力士
[24:25] 海力士其实是创历史新高
[24:27] 对
[24:27] 但是我们的记忆体就比较
[24:29] 表现比较分层
[24:31] 就没有一致
[24:31] 但是南亚科长挺板是很少见的
[24:33] 对大哥长挺板
[24:35] 就是气势会不一样
[24:36] 是真的少见
[24:36] 对
[24:37] 他平常是他最烂
[24:38] 反而今天旺红比较没表现
[24:41] 其实旺红我想应该有
[24:42] 非常多的散户朋友在上面
[24:43] 对
[24:44] 因为我听到我们早盘
[24:45] 就一直在说
[24:45] 今天旺红怎么样
[24:46] 其实旺红也不是没有长
[24:48] 但旺红就长得少
[24:50] 就是上禮拜他先创新高了
[24:51] 对啊
[24:51] 所以大家期待很大
[24:53] 就有点类似所谓高低位阶的轮动
[24:55] 因为之前旺红好的时候
[24:57] 其他股票不一定跟
[24:58] 对啦
[24:58] 那现在相比未接
[24:59] 大家觉得旺红
[25:00] 反而未接比较偏高
[25:02] 那大家可能又会把它
[25:03] 利空拿出来解读
[25:04] 低级才赚0.9块
[25:06] 那拿克一季赚8块钱
[25:07] 我宁愿买拿克不买旺红
[25:09] 但我觉得其实都不是这样比较
[25:11] 整体上来看
[25:12] 我觉得基底的问题
[25:13] 一直都只有一个
[25:14] 就是筹码面不好的问题
[25:15] 所以整体上
[25:17] 我觉得基底
[25:17] 也是大家在现阶段
[25:19] 你可以留意到的
[25:20] 既然国际的基底大厂
[25:22] 重新回到历史的新高
[25:23] 那如果大家看基体的报价
[25:25] 真的你看集帮科技的报价
[25:27] 是真的每周都在下跌
[25:28] 但是对于台厂来讲
[25:30] 他们股价很多从高档跌了三成
[25:32] 跌了四成以下
[25:33] 我觉得现在可能就可以慢慢开始去观察
[25:36] 他们对于利多消息有没有反应
[25:38] 所以目前来看的话
[25:40] 我觉得南亚科今天的涨盈版最早是一个正面的讯息那基体当中也是有强势的比方说像在所谓的爱普那爱普当然就跟IC设计IP有关对它长的也不是纯的记忆体的题材
[25:53] 但是最少大模上修
[25:56] 它的目标加到一千块
[25:57] 至少有大模背书
[25:59] 要不然爱普就是属于这个黄董集团
[26:01] 对黄董集团
[26:02] 所以黄董集团还是一个比较
[26:05] 能够拿出来看的股票
[26:07] 大家就是凭自己喜好
[26:09] 也没有什么对
[26:10] 说爱普长起来也是蛮猛的
[26:11] 对因为他们毕竟是真的有业绩
[26:13] 爱普今年第一季的
[26:15] 已经说是创造历史的新高
[26:16] 那整个法案报告也提到说
[26:18] 有业绩就没问题
[26:19] 对先一段
[26:20] 他的所谓的一个关键的原件
[26:22] 是导致AI伺服器
[26:23] 下半年还有所谓3D的堆叠
[26:25] 机器的堆叠
[26:25] 所以题材非常多
[26:27] 所以我觉得爱普
[26:28] 当然你不能够单就
[26:29] 把它归类在记忆出去
[26:31] 当然是具备所谓的细致材
[26:33] 搭配记忆的双题材
[26:34] 又有业绩的加持
[26:35] 我觉得就会有这样的一个
[26:37] 想象空间存在
[26:38] 但是在基底的IC车业当中
[26:40] 育创跟进行好客还是比较弱
[26:42] 所以你把这个爱普当作
[26:44] 这个单一的个股来看待
[26:46] 那另外在模组场的部分
[26:48] 你可以看到群联啊
[26:50] 宜鼎啊
[26:50] 所以说之前
[26:51] 池泉啊
[26:52] 然后宇瞻
[26:53] 都有创业率新高
[26:55] 那宜鼎也接近率新高
[26:57] 群联现在是回到2000块的关卡
[26:59] 而且法人都在买房
[27:01] 所以我觉得这些模组场
[27:03] 当然第一个就是
[27:03] 他们的业绩都会非常好
[27:05] 那这个礼拜五月八号
[27:08] 是群联法说会
[27:09] 同时一定要公布第一季的季报
[27:11] 那这两家应该是在
[27:13] 所谓记忆模组里面
[27:14] EPS最亮眼的
[27:15] 而且各自有他的利基
[27:17] 因为这两家就不是传统的
[27:19] 做这个D-RAN而已了
[27:20] 对不对
[27:21] 这个群联可以对照到
[27:23] 美股挂牌的惠荣科技
[27:24] 惠荣也是一路飙
[27:26] 所以群联应该蛮有机会
[27:27] 然后群联的潘董
[27:29] 我觉得他其实最近
[27:31] 是非常非常积极的
[27:33] 也会愿意上媒体
[27:34] 到处都有上
[27:35] 你没有邀他看看吗
[27:37] 也没有不行
[27:39] 我觉得可能会
[27:41] 我觉得他最近还蛮
[27:42] 也没有不行
[27:43] 潘董很有趣
[27:44] 潘董真的很省钱
[27:46] 对
[27:47] 大家有没有留意到
[27:47] 潘董上节目的时候
[27:48] 很想跟
[27:49] 如果我有邀他的话
[27:50] 会跟他讲说
[27:51] 潘董牙齿要补
[27:52] 牙齿不补掉了
[27:54] 不补是怎么样
[27:55] 然后去上媒体的时候
[27:56] 会听说是会
[27:57] 做捷运加U-Bike
[27:59] 对
[27:59] 我会想一想
[28:01] 我们后面有没有机会
[28:03] 邀所谓的企业主来上
[28:04] 但是他可能形态
[28:05] 就比较不会像
[28:06] 是像理财大人秀
[28:07] 那个样子
[28:08] 我们另外再开辟
[28:09] 新的单元
[28:10] 怎么讲到这
[28:11] 学员对比慧荣
[28:12] 那慧荣的表现
[28:13] 也是很好
[28:14] 对
[28:14] 然后还有就是
[28:16] 刚刚讲到的一定
[28:16] 一定也比较不一样
[28:18] 一定是这个
[28:18] 公控型的
[28:19] 客制化的商品
[28:20] 他以前有跟我聊过
[28:22] 说他的模组
[28:23] 就是帮客人
[28:24] 开的模组超过一万个
[28:25] 就是真的很猛的
[28:27] 然后他又对于
[28:28] 这个库存
[28:28] 就他客户非常接受
[28:30] 他不管用多少钱
[28:31] 转嫁
[28:32] 目前客户都要
[28:33] 所以他们这两家是比较不一样的模式
[28:36] 对所以怡婷刚刚提到了
[28:38] 去年当然本身因为转型到
[28:40] 所谓控制IC的一个模组化
[28:42] 所以他们其实不断提到
[28:43] 接下来电脑展有利多消息
[28:45] 别人运算一定有他们的一席之地
[28:48] 那要达到回答功率
[28:49] 所以股价我觉得算是委屈
[28:51] 那潘董其实最近采访很多
[28:53] 大概就是他的一个讲法
[28:55] 那当然你如果信任
[28:57] 大乐观
[28:58] 对他的乐观说法的话
[28:59] 可能报告会比较有信心
[29:01] 那如果你看股价的话
[29:02] 但是刚转强
[29:02] 所以还有介入的空间
[29:04] 那伊鼎的部分
[29:05] 当然就是刚刚提到的嘛
[29:06] 他的业绩也很好以外
[29:07] 营收会创新高
[29:08] 那也不要忘了
[29:10] 现在机械人题材很热
[29:11] 那伊鼎过去在去年
[29:13] 有一段时间
[29:13] 是因为机械人题材而上来的
[29:15] 他题材可多了
[29:16] 对
[29:16] 所以这个我觉得是
[29:18] 在盘面上
[29:18] 大家可以看到
[29:19] 记忆体的族群
[29:20] 那当然记忆体
[29:21] 就是分成这种
[29:22] 有那种强势的
[29:24] 因为我看到
[29:24] 这个网友很有趣
[29:26] 把记忆体分成什么
[29:27] 上等记忆体
[29:29] 中等记忆体
[29:30] 跟下等记忆体
[29:31] 所以你看大家真的很愛記憶體
[29:32] 所以我覺得大家可能就可以去參考一下
[29:36] 線型好的 籌碼好的就要上等
[29:38] 如果比較弱
[29:40] 像華邦電力氣電
[29:41] 現在就被歸類在下等當中
[29:43] 那華邦電其實今天盤中一度往上拉高
[29:45] 那當然明天就是他法說會
[29:47] 如果說對記憶體還有一點點想法的話
[29:51] 你不妨聽聽明天華邦電的高層
[29:54] 怎麼樣說記憶體後續的狀況
[29:56] 但最早我覺得對華邦電來講
[29:58] 旺宏法說也已經提到了
[30:00] 除了这个MLC的NED以外
[30:02] 他也看好Northflash的一个涨价
[30:04] 那华邦电是全世界最大的
[30:07] 一个Northflash的一个供应厂商
[30:09] 所以等于旺宏有先帮他背书了
[30:11] 所以华邦电只要不要讲得太差
[30:12] 只要他能够回稳的话
[30:14] 就代表整个记忆体
[30:15] 我们讲三本柱
[30:16] 所谓的旺宏
[30:18] 这个南亚科跟华邦电
[30:21] 都回稳的话
[30:22] 我觉得对于这个筹码面跟信心度
[30:24] 应该能够有所回升
[30:25] 所以我觉得这个记忆体
[30:26] 这一块就是刚刚提到的
[30:28] 你从美股的指标股里面
[30:29] 可以看到相关的重点的族群
[30:32] 所以讲完这些
[30:33] 有参考性的指标个股之后
[30:35] 你看到台股
[30:36] 现在我觉得就百花齐放
[30:38] 刚刚提到了这个所谓的
[30:39] 矽光子
[30:41] 其实也蔓延到
[30:42] 可能相关的设备厂商
[30:43] 设备厂 封厕厂
[30:44] 都如果有矽光子的话
[30:46] 都真的涨特别凶
[30:47] 对 所以你看到刚刚讲的
[30:49] 封厕厂当中
[30:51] 很多跟矽光子有关
[30:52] 今天也是大涨
[30:53] 迅零KY
[30:54] 然后这些所谓的相关的
[30:57] 封厕的饭泉等等的
[30:59] 设备的也有开始大涨
[31:01] 那跟记忆相关的是历程
[31:03] 那历程大概是
[31:04] 失望了很久
[31:05] 洗很久哦
[31:06] 对
[31:07] 虽然它业绩是好的
[31:08] 但是就是因为
[31:09] 不知道为什么
[31:10] 大家就非常care
[31:11] 就是有记忆体的这一块
[31:12] 或者是筹码有点乱掉了
[31:13] 说实话前一波涨的时候
[31:14] 可能太多散户朋友在上面了
[31:16] 但是也一样历程
[31:17] 如果今天头线有愿意回来买
[31:19] 我觉得就是很大的助力
[31:20] 风射场都有这样的一个味道
[31:22] 对啊
[31:23] 因为今天是金元店先表态
[31:24] 没有错
[31:25] 大家就觉得
[31:26] 我去很久的金元店
[31:27] 也创新高
[31:28] 平行高
[31:29] 然后立成看起来
[31:31] 就有这样的一个想象空间
[31:33] 同样资本支出
[31:33] 获利很好
[31:34] 立成也跟你讲
[31:35] 我不只是记一题
[31:36] 我也有所谓CPU
[31:38] 所以我觉得这个就是市场
[31:39] 在这个行情热度好的时候
[31:41] 就会选择他要的题材
[31:43] 就是个发酵
[31:44] 所以他会跟大家讲
[31:45] 就是说你尽量去寻找盘面上
[31:47] 以美股国际股市里面
[31:49] 有指标性股票来创高
[31:50] 那你去布局这样的股票
[31:52] 最少你有一个
[31:53] 可以参考的领头羊
[31:55] 最少你报股票的时候
[31:57] 你会有一个期待性
[31:59] 就是说我们总有一天
[32:00] 可以跟上国际大厂的脚步
[32:02] 我觉得这是目前
[32:03] 可以选择到的一个选股的方向
[32:05] 封测我也比较有话讲
[32:07] 因为封测有跟大家提醒
[32:09] 就是真的就是业界朋友说
[32:10] 30年来没有看过
[32:11] 借单借的这么强的
[32:13] 然后在上禮拜也跟大家分享说
[32:15] 虽然我自己之前
[32:16] 不是在300块钱
[32:17] 我卖掉晶圆电子
[32:18] 有跟大家分享吗
[32:18] 然后后来不是飞到330
[32:20] 但又下来了
[32:21] 下来之后
[32:22] 就有特别提醒一件事
[32:23] 虽然离300也没有到很远
[32:25] 我觉得重新可以买它的
[32:27] 价钱那时候已经
[32:28] 最低可能有到250
[32:29] 可是那没那么厉害
[32:30] 可是270的时候
[32:31] 为什么跟大家再度的分享
[32:33] 第一是当然对心态上来说
[32:35] 低于我的卖出价
[32:36] 我觉得是不错的
[32:37] 第二一个很重要
[32:39] 很重要的事情
[32:39] 就是它被别的风策股超车太多了
[32:43] 我觉得很多的公司
[32:44] 到了4万点的时候
[32:45] 要重新去想这件事情
[32:47] 为什么之前我会去愿意捡金居
[32:49] 金居是第一波
[32:51] 在PCB的材料里面起涨的
[32:53] 地表跑最快的动物
[32:54] 除了猎豹就是金居
[32:56] 它是第一波
[32:56] 可是后来就休息
[32:58] 非常非常非常久啊
[32:59] 为什么呢
[33:00] 因为常被关啊
[33:01] 获利还没有起来啊
[33:02] 有没有啊
[33:03] 就变成
[33:04] 别人通通都跑到他头上去了
[33:06] 他还在被关啊
[33:07] 整理啊
[33:08] 来回洗啊
[33:09] 好
[33:09] 但这时候的金句就变落后了
[33:11] 那金元殿也是一样的道理哦
[33:13] 之前跟大家讲
[33:14] 杰丹很旺
[33:15] 齐邦啊
[33:16] 有没有
[33:16] 齐邦真的像发疯一样
[33:18] 对不对
[33:18] 细格啊
[33:19] 细格的子公司台新科
[33:20] 今天也创历史新高
[33:22] 甚至像之前连测也不涨
[33:24] 就是有好多的封测股
[33:26] 你点的出来比较大的
[33:28] 心全全心
[33:29] 他们的业绩都很好
[33:32] 那大家都讲日光
[33:33] 今天涨停
[33:34] 日光都已经500多了
[33:36] 金元电还在200多
[33:38] 那就不一样了
[33:39] 你对他的想法就要不一样了
[33:41] 因为全部的人
[33:42] 基期都上升了
[33:43] 那当然很高兴
[33:44] 金元电今天涨停了
[33:45] 我觉得他这根涨停
[33:46] 不难赚到
[33:47] 因为他在低基期
[33:48] 一段时间给大家买
[33:50] 只是信心的问题
[33:51] 那历程就真的洗
[33:52] 虽然今天历程是涨停
[33:54] 可是历程还没有过前高
[33:56] 但我觉得都会被还公道
[33:59] 因为业绩好
[34:00] 对
[34:00] 所以我觉得其实台股
[34:02] 就说真的
[34:02] 我们虽然提醒大家风险
[34:04] 但台股只要是一个多方的惯性的话
[34:07] 大家都可以找到
[34:08] 相关族群当中的规律
[34:11] 其实刚刚赵娃点到很多了
[34:13] 西光子也好
[34:14] 甚至说你看到最近的PA族群
[34:16] 莲雅上去戴文貌
[34:18] 文貌上去戴全勋
[34:19] 全勋上去戴红结克
[34:20] 所以整个一串这样戴上来之后
[34:23] 整个相关的
[34:25] 所谓生化家族群
[34:26] 你就这样比价效应
[34:27] 那当然大家更耳熟能详
[34:29] 就所谓的一个
[34:30] 宅板
[34:31] 所以宅板一串上来
[34:33] 南电到真顶KY
[34:35] 这当然都不用再赘述
[34:36] 大家就可以发现到
[34:38] 有些时候
[34:38] 你真的不一定要追
[34:40] 盘面上最强的股票
[34:41] 但就像刚刚提到
[34:42] 宅板为什么创高
[34:43] 也是因为老大哥
[34:44] 股价也是一直在往上创高
[34:47] 所以你尽量
[34:48] 就是不是说
[34:49] 所有的什么
[34:50] 台股某个族群的
[34:52] 大哥二哥三哥
[34:53] 就能够涨
[34:53] 你还是要有一个指标股
[34:55] 能够带动整个族群的本益比
[34:57] 不一定是台股的本益比
[34:58] 因为PCB就是龙头老大
[35:00] 当然就是台股嘛
[35:01] 国际股是没有跟台湾能够比的
[35:03] 但是如果不是台湾
[35:05] 是全球领先的一个个股的话
[35:07] 还是要看整个国际股市当中
[35:09] 指标性的股票
[35:10] 所以你可以看到
[35:11] 比方说像机器人族群
[35:13] 最近有很多的国际大厂股价
[35:17] 也在创新高
[35:18] 什么芳拉科啊
[35:19] 像这个瑞士的这个相关的一个个股啊
[35:22] 或说日本跟德国的一些机械人大厂
[35:25] 股价在创新高
[35:26] 所以我觉得这个都会带动
[35:27] 整个台股的机械人的比价效应
[35:29] 所以台湾现在的机械人股房是新代
[35:32] 这股价已经要逼近3000块了
[35:35] 对我也卖飞新代
[35:36] 所以大家卖飞的千万不要难过
[35:38] 新代1000多就卖掉了
[35:40] 所以现在机械人有很多在创新高的
[35:42] 比方说像宇龙
[35:44] 那今天股价也是创新高
[35:46] 那大家这个觉得多题材的萌利
[35:48] 股价也创新高
[35:50] 那大英为今天大震荡
[35:52] 但是股价也同步
[35:53] 也创造率就新高
[35:54] 所以我觉得整体上来看
[35:56] 你可以看到台股
[35:57] 在创造率新高的同时
[35:58] 有一些赤体材的股票
[36:00] 也开始发动上来
[36:01] 甚至说你看到今天盘面上
[36:03] LED的股票也开始动起来
[36:05] 太阳能股票也动起来
[36:06] 连很久没有动到的
[36:08] 重电四君子
[36:09] 也跟着发动上来
[36:10] LED还好
[36:11] 有的因为粘到CPU
[36:12] 所以很早就有在动
[36:14] 但是重电真的是
[36:15] 也是让人家很头痛的
[36:17] 一个族群
[36:17] 对那我觉得时间点
[36:19] 其实也就发现到
[36:20] 已经到五月份了
[36:21] 所以一般来讲
[36:22] 5月份就进入到夏季用电的高峰期
[36:25] 所以这时间点上面
[36:27] 你去看一些电力相关的股票
[36:28] 我觉得都还蛮合理的
[36:30] 那不管是重点的股票
[36:31] 他们接下来可能就是有所谓的
[36:33] 政府因为可能520
[36:35] 有一些相关的电力安全的措施
[36:37] 或者说接下来因为高油价
[36:39] 可能对于相关的电力汰换
[36:41] 我觉得有些政策的一个想象空间
[36:43] 那太阳能的部分的话
[36:44] 当然就是因为产能淘汰的关系
[36:46] 现在国际大厂
[36:47] 已经开始有一些太阳能的涨价
[36:49] 所以在这个美股
[36:51] 在四月份当中
[36:52] 有部分的太阳能股票
[36:53] 也开始发动上来
[36:54] 我觉得这些都是
[36:55] 大家可以去做一些观察的
[36:57] 像今天盘面上
[36:58] 除了这个所谓的
[36:59] 试电啊
[37:01] 亚力啊
[37:02] 然后这个华晨大涨以外
[37:04] 那太阳能像国硕啊
[37:06] 硕和啊
[37:07] 这个国硕集团的股票
[37:08] 因为他们业绩还不错
[37:10] 也有先发动了迹象
[37:11] 我觉得也是大家在盘面上
[37:13] 你可以看到
[37:14] 虽然说台股百花齐放
[37:16] 但是你可以找到当中一些
[37:17] 族群或题材的脉络性
[37:19] 因为讲到机器人
[37:23] 这个第一位接转强这件事情
[37:25] 这个也是不容易相信的
[37:27] 但现在看起来有在发酵
[37:29] 因为今天我觉得
[37:30] 反而让我看到的是达明
[37:31] 这才叫第一位接转强吧
[37:35] 是不是
[37:35] 大家很久没看他了
[37:38] 因为你属大英为跟信贷
[37:39] 他创高啦
[37:40] 这个是机器人里面
[37:42] 就是有人点火的表现
[37:43] 但达明真的有过惨的
[37:45] 达明这个在新贵的时候
[37:47] 因为零百里的一句加持
[37:48] 涨到800多块钱
[37:49] 哇后来变200多块钱
[37:51] 这个真的如果当时去追的人
[37:53] 没有卖掉的话
[37:53] 哇这个受伤惨重
[37:55] 但现在看起来也复活
[37:56] 还有他有一个喜欢讲的羽龙
[37:58] 是因为他的获利真的很好
[37:59] 对
[38:00] 他本来是有汽车零组件的概念嘛
[38:02] 但是也从这种各个零件
[38:04] 转移到有机器人的话题
[38:05] 只有纯机器人的话题
[38:07] 有时候不够
[38:08] 他就是要多题材
[38:09] 对不对
[38:10] 机器人他可能有做相关的设备
[38:12] 他也应用到半导体
[38:13] 也应用到CPU
[38:14] 多题材还是机器人里面
[38:15] 一个蛮重要的事情
[38:17] 因为如果光看
[38:18] 只是零組件的話不一定獲利都很好
[38:21] 我覺得這也是機器人相對
[38:22] 當然你說矽光子有人也獲利沒有很好
[38:25] 好
[38:26] 但那個半導體的夢比較大
[38:28] 那很多機器人是掛在那種工具機械
[38:31] 他其實是非電
[38:32] 我覺得這件事情也天生會有一點點小弱勢因為現在就是AI科技股的年頭所以他掛在非電像重電也是啊重电当初当然是很红很夯可是我觉得现在就是挂在非电就会有那么一点点
[38:45] 辛苦的味道
[38:46] 但没有关系
[38:47] 只要族群有领头羊在创高
[38:49] 我觉得那个族群
[38:50] 只要跟现在热门的趋势
[38:52] 搭上线都没有问题
[38:54] 但汉美哥在讲的同时
[38:55] 也都不忘提醒风险
[38:57] 要进入到顺念时间吗
[38:59] 我先来讲我最近的做法
[39:00] 我也会FOMO啊
[39:02] 对不对
[39:03] 我也没看过四万点啊
[39:04] 那前一波我觉得比较幸运的是
[39:06] 在三月的时候有碰月线碰季线的时候
[39:09] 都有请大家再做加码
[39:10] 对不对
[39:11] 然后还有就是四月
[39:12] 刚开始的时候提醒大家
[39:14] 现在的我没有加码ETF
[39:16] 我反而会去加码个股
[39:17] 因为当时我觉得个股会跑得比较快
[39:20] 那个没有什么秘诀
[39:21] 那个就是对市场行行的嗅觉
[39:24] 三月当时觉得为什么破月季线
[39:28] 因为我觉得基本面真的很好
[39:31] 你要像美股那样一直破到年线
[39:33] 不是说不可能
[39:34] 但是你就是保有好
[39:36] 一定可以加码的资金就对了
[39:38] 也不要一直等
[39:39] 因为你一直等一直等
[39:40] 你可能就会错过
[39:41] 难得有下修几千点的行情
[39:43] 因为那时候
[39:44] 虽然货运线也是几千点
[39:45] 所以那时候就有捡东西
[39:48] 我觉得这是个第一个
[39:49] 比较做对
[39:50] 以及事后来验证
[39:51] 那样的观念是对的
[39:53] 那4月就开始追个股
[39:55] 为什么
[39:55] 因为你会发现
[39:55] 每一战争对于行情顿化之外
[39:58] 美股也顿化
[39:59] 所以美股跑上来了
[40:00] 我们不用南下去
[40:02] 跟美股会合了
[40:03] 美股北上来跟我们会合了
[40:06] 我们不用去高雄屏东了
[40:08] 美股上来
[40:09] 我们就在新竹相会好了
[40:11] 所以这时候就会觉得
[40:14] 买个股会比较OK
[40:15] 但是中间又发生了
[40:17] 可是就一路上去了
[40:18] 三万八了
[40:19] 三万九了
[40:20] 怎么办
[40:21] 当时我有跟大家分享
[40:22] 就是我把我的债券部位
[40:24] 有一个部分就把它卖掉了
[40:26] 因为我觉得今年要降息
[40:27] 看来是非常困难
[40:28] 你股市热
[40:29] 通膨也比较不容易下来
[40:31] 虽然联准会五月要换上新任的主席华许
[40:34] 但鲍尔也在闹
[40:35] 而且华许上来
[40:37] 他也不一定能够对抗现在这个环境
[40:39] 他就马上可以大降息
[40:41] 但是你又会对这样的状况很风
[40:43] 那你又觉得在投入新的钱
[40:45] 会不会投在38000是高点呢
[40:47] 那干脆卖掉一部分
[40:49] 你知道今年其实就是领袭作用的债券
[40:52] 然后把那个东西就直接平移到主动式的ETF上面
[40:56] ETF换ETF
[40:58] 但是你不会动ETF
[41:00] 换会跑的ETF
[41:01] 然后还有钱就留着
[41:04] 因为你是平移的
[41:05] 所以其实你没有加新钱进去
[41:07] 那到了4万点了
[41:08] 今天早上我一看
[41:09] 哇 好猛哦
[41:11] 然后联发科又涨停了
[41:13] 那大家可以去思考什么
[41:14] 你想不想要参与一下
[41:16] 发哥真的有机会到5000吗
[41:18] 台积电
[41:19] 大家都知道说
[41:21] 现在ETF要放宽上限
[41:22] 虽然我们也常常强调
[41:23] 不可能每一档ETF
[41:25] 都把自己变成25%台积电
[41:27] 后面再选其他的股票
[41:29] 可是它确实是一个助力
[41:30] 而且也蛮多的ETF
[41:32] 现在可能都在修改
[41:33] 内部的一些持股规范
[41:34] 也许不用重新出公开说明书
[41:37] 可是他们就是要做一些调整
[41:39] 总不可能说上
[41:40] 我明天就买满
[41:41] 那谁呢
[41:43] 你可以买0052
[41:44] 0052的第一大持股
[41:46] 就台一点七几趴
[41:47] 然后第二大持股
[41:48] 就鸿海跟联发科
[41:49] 它没有台达电
[41:51] 它竟然是一个很奇妙
[41:52] 它没有台达电
[41:53] 那另外如果你喜欢
[41:55] 含发量高的
[41:56] 像今天涨很多的00927
[41:58] 这群一半导体收益
[42:00] 00891中信关键半导体
[42:02] 这两档的联发科的含发量
[42:05] 现在含发量都很高
[42:07] 所以这两档就涨6%
[42:08] 6%多
[42:09] 很猛的
[42:10] 所以如果喜欢发哥
[42:11] 你又没办法在这个档口去追发哥的话
[42:14] 那今天还有很多被动式的高息ETF
[42:17] 也很强
[42:18] 为什么
[42:18] 因为它有发哥跟联电
[42:20] 所以最近真的是叫百花齐放
[42:23] 就是看大家喜欢什么样的标的
[42:25] 和做什么样的配置
[42:26] 那我也可以说
[42:27] 早知道那时候
[42:29] 为什么我就只有卖债券
[42:31] 去换主动ETF
[42:32] 而不是再把我的钱通加进去
[42:34] 就是那时候没胆试
[42:35] 觉得三万八三万九没胆试
[42:37] 所以我才会说
[42:39] 不要一直看着后照镜
[42:41] 觉得自己做得到
[42:42] 而是在这个当下
[42:43] 用你能够做的判断
[42:45] 我觉得我已经很棒了
[42:46] 就三月第一点
[42:47] 每一次我都有减
[42:48] 然后四月开始买个股
[42:50] 对不对
[42:50] 然后买那些比较积极的个股
[42:52] 以及我不是跟大家讲说
[42:53] 我非常喜欢封测
[42:54] 或者西光纸
[42:55] 好不容易回到月线可以见
[42:56] 然后现在的话就是
[42:58] 可能就是加在
[42:59] 主动ETF做资金的挪移等等
[43:01] 或今天早上
[43:02] 你可以买0052
[43:03] 你可以买刚刚讲的927
[43:05] 891这一种的
[43:07] 含发量高的
[43:08] 半导体含量高的
[43:10] 我觉得都会是
[43:11] 你现在在你认知里面
[43:13] 可以做的事情
[43:13] 好
[43:14] 但是我做这些事情的时候
[43:15] 都会想到汉文哥讲的吗
[43:17] 但是不是资金这样一直簇涌
[43:19] 都不会回档
[43:20] 我觉得不可能啦
[43:21] 坦白讲不可能
[43:23] 这中间一定会有可以回档的时候
[43:25] 所以呢
[43:26] 我现在抱着这些持股
[43:28] 我也不乱卖
[43:29] 但是如果回档的时候
[43:31] 我一定就有钱可以做加码
[43:33] 这就是我对我自己风险的控管
[43:35] 那至于很多人会羡慕说
[43:37] 别人杠杆都开到满
[43:38] 其实我觉得他没有对错
[43:40] 因为如果你觉得你的认知
[43:43] 和你可以承担的风险
[43:44] 是你杠杆开到满
[43:46] 确实在这么多头浓厚的气氛下
[43:49] 我觉得你就做你能承担的事情
[43:51] 没有什么问题
[43:52] 像今天有听众就传讯息说
[43:55] 他好朋友的夫妻吵架
[43:57] 因为太太肯定是通常
[44:00] 比较保守的那一个
[44:01] 先生就觉得
[44:02] 看到旁边的人开杠杆
[44:04] 以前我就有个很大的剥夺感
[44:06] 可能你以前在工作上
[44:07] 或什么别人是不如你的
[44:09] 或者你的存款什么
[44:10] 本来是赢人家的
[44:11] 就因为这一波别人比较敢压
[44:13] 就忽然他的资产看起来
[44:16] 就短短两三个月就超过我了
[44:18] 所以被剥夺感是这种比较感
[44:20] 很糟糕啊
[44:22] 他怎么可以超过我
[44:23] 所以就有人传信说
[44:26] 就一对夫妻吵架
[44:26] 因为先生就觉得别人都赚很多
[44:29] 同事都赚很多
[44:29] 你一直拦着我
[44:30] 我怎么赚
[44:31] 他就觉得说不行
[44:32] 你开杠杆假设反转
[44:34] 那我们的家用
[44:35] 我们的房子怎么办
[44:36] 没有对错
[44:37] 其实两个人没有对错
[44:39] 只是比较令人难过的是
[44:42] 这个价值观和想法不一样的人
[44:44] 是绑在一个婚姻里面
[44:47] 这个就是比较
[44:48] 比较我们所谓的清官不断加务士
[44:52] 难断加务士
