[00:00] 欢迎收听造华与古惑仔第1116集
[24:18] 大家已经有点忘记
[24:19] 台股以前厉害的是什么
[24:21] 我以前还在写那个
[24:22] 杂志专题的时候
[24:23] 台股最厉害的就是
[24:24] 全世界前三名的殖利率
[24:26] 对
[24:27] 就是不但我们的产业
[24:28] 有成长性之外
[24:29] 我们还有很好的股息
[24:30] 这个是台股一个
[24:32] 我一直觉得很令人
[24:33] 觉得佩服跟骄傲的地方
[24:35] 但是当然到了这两年
[24:37] 因为这个股价都成长太多了
[24:39] 所以台湾的股息殖利率
[24:40] 平均的我记得是掉到2%左右而已
[24:43] 以前都4%
[24:44] 以前平均就4%
[24:46] 然后你要去挑出6 7 8%的
[24:48] 非常之容易
[24:49] 当然再高可能那个公司有问题
[24:51] 那现在的话
[24:53] 风又开始吹回来了
[24:54] 因为高档震荡
[24:56] 你会想
[24:56] 那如果今天我被套牢
[24:58] 我还有什么
[24:58] 被套牢至少还有发一点股息
[25:01] 这也是在人性上的一个考量
[25:03] 以及今天不管投信或法人
[25:05] 你在砍一档股票的时候
[25:06] 砍一砍
[25:07] 股息之利率5%了
[25:09] 也没什么好砍的啦
[25:10] 去砍那些本益比100倍的
[25:11] 没有发股息的好了
[25:12] 这个在六七八月
[25:14] 我想效应会非常明显
[25:15] 但是是不是大家都要疯狂
[25:17] 现在马上去追
[25:18] 赢建股呢
[25:19] 我觉得见仁见智
[25:20] 可是我有嗅到一个风向
[25:22] 因为
[25:23] 这个分几个层面
[25:25] 你也不可能
[25:26] 就是说
[25:27] 政府为什么在今天
[25:28] 突然说出这个信用管制的事情
[25:30] 当然应该是有人问没有错
[25:32] 可是也快选举了
[25:33] 我这个频道不喜欢讲政治
[25:36] 可是我觉得
[25:37] 从今年上半年
[25:38] 陆陆续续都有建商朋友跟我讲说
[25:40] 他们还蛮看好下半年房市回温
[25:42] 就是因为觉得
[25:44] 你不可能一直让建商
[25:46] 处于一个成交量或房仲成交量
[25:48] 那么痛苦的一个状态
[25:50] 但是他只是说
[25:51] 没有再更紧缩
[25:53] 他也没放宽
[25:54] 所以等于是也没有再刺激说
[25:56] 大家来炒房
[25:56] 也没有这样的疑虑
[25:57] 可是释放出这样的讯息
[26:00] 在低档的银建股
[26:01] 不就先涨了吗
[26:02] 我觉得它就是一个
[26:03] 权衡现在情况下
[26:06] 可能会产生一个事情
[26:07] 再来前面两年
[26:08] 我们都在做所谓的打房入股
[26:10] 大家都觉得
[26:11] 干嘛我干嘛买房子
[26:13] 不管是头期款也好
[26:14] 或者是怎么样
[26:15] 我就留在股市里面
[26:16] 我留在股市里面赚的才多呢
[26:18] 过转个一两年
[26:20] 我就可以买两间了
[26:21] 本来一间变两间
[26:22] 本来缴房贷很吃力
[26:23] 现在我全款付
[26:24] 对
[26:25] 但是现在如果股市的震荡大
[26:28] 而房市这边也有一些松动呢
[26:29] 那资金会不会有一些移转
[26:32] 重新回到房市
[26:34] 这个真的要留意
[26:35] 因为三年前
[26:36] 我们遇过同样的事情
[26:37] 其实三年前
[26:38] 那时候钱真的是通通流进房市
[26:40] 预售物卖到要抽号码牌
[26:42] 房型没得选
[26:43] 有多少你就减多少
[26:45] 永信件那时候
[26:47] 为什么跌那么多
[26:48] 除了股息不如预期
[26:49] 永信件是喜欢先见后受的厂商
[26:51] 所以盖好之后
[26:53] 你现代令一下来
[26:54] 我买预售物
[26:56] 我还可以拖个五年后完工
[26:57] 三年后完工
[26:58] 你现在叫我马上缴钱的
[26:59] 我哪有办法
[27:00] 所以永信件是首当其冲
[27:02] 所以我觉得这一波
[27:03] 可以观察永信件
[27:04] 如果永信件是续强的
[27:06] 那就代表整体房市
[27:08] 应该是蛮有机会做回温的
[27:10] 还有就是获利了结的人
[27:12] 最近大家可能看到一些新闻
[27:14] 有一些中大评述地段很好的
[27:16] 反而有买气
[27:17] 就代表有一些有钱的资金
[27:20] 在股市里真的赚了相当大笔
[27:23] 已经有做挪移
[27:24] 我觉得这些观察
[27:25] 是我会去关注的
[27:27] 不代表股市的多头就此结束
[27:29] 可是它是一个资金的移转
[27:30] 大家一定要留意这个事情
[27:32] 市场上的钱很多
[27:34] 可是钱到底在哪里
[27:35] 它会影响到该区域
[27:36] 该市场的一个状况
[27:38] 这个是我自己的小观察
[27:40] 对
[27:41] 所以其实像永信建这种就是
[27:43] 如果说我们就公司的体制来看
[27:46] 它能够不用预售的方式
[27:49] 经营下去
[27:50] 代表它真的很有实力
[27:51] 像这样子的建商
[27:53] 如果说你想买房子
[27:56] 就不用担心说它会是那种所谓的
[27:59] 什么烂尾楼啦
[28:00] 对 没有办法把房子盖完的
[28:02] 那除了永信建之外
[28:03] 当然还有另外一个
[28:04] 我个人的观察指标就是海月
[28:06] 海月代销
[28:07] 对 如果海月它接下来的一个营收
[28:10] 持续成长
[28:11] 就代表这些房子真的有出现回温
[28:14] 所以这两个也可以给大家来当作一个参考
[28:17] 是 好 这个是在营建的部分
[28:19] 那刚刚有提到
[28:20] 盘面上AI今天似乎是没有主流
[28:22] 你会在意这样的现象吗
[28:24] 会
[28:25] 我很在意主流这件事情
[28:27] 因为其实太阳右电跟春天
[28:29] 今天都还是有继续提醒会持续涨价
[28:31] 涨价幅度越拉越大
[28:33] 所以国际一开盘涨停是有原因的
[28:35] 可是后面也不敌今天盘式的麦牙
[28:37] 对
[28:38] 以前我老师教我
[28:40] 主流不死破断不结束
[28:41] 对
[28:42] 那现在主流看起来有重伤
[28:45] 真的是真的
[28:46] 今天我觉得我自己看这个事情也不舒服
[28:49] 对
[28:49] 包括今天的CPU
[28:52] 然后前两天
[28:54] 其实连记忆体都有点躺不太起来
[28:57] 然后靠的就是被动元件在撑
[29:00] 所以其实这部分
[29:02] 我觉得在原主流的部分来讲
[29:05] 我的感觉是不太好的
[29:07] 然后主力去拉了国泰金跟富邦金
[29:14] 我有一个学生
[29:15] 他跟我讲说
[29:16] 老师我本来只想卖一张国泰金
[29:20] 后来不小心手滑
[29:21] 滑了卖了20张
[29:23] 我说你的手还滑哪一块
[29:26] 如果再更滑是200张吗
[29:30] 到底有几张
[29:31] 说
[29:31] 干嘛假装是学生
[29:33] 我说他这样子
[29:35] 这个礼拜上课的时候
[29:36] 就那个珍奶就给你负责了
[29:38] 因为国泰金很难跑到100块
[29:41] 国泰金三位数
[29:42] 对
[29:43] 这一波金融真的也是很厉害
[29:45] 对
[29:46] 虽然说我之前有稍微预料到
[29:49] 包括富邦
[29:50] 包括国泰
[29:51] 都有机会看到三位数
[29:53] 可是他真正看到的时候
[29:54] 我还是会觉得说
[29:56] 这个情况难得一见
[29:58] 那如果说你之前的持股
[30:00] 又比较成本低的话
[30:02] 我觉得多多少少会有一些人
[30:04] 会想要做一点这个获利了解
[30:06] 那这部分
[30:08] 当然他的
[30:08] 第一个是他的乖离也过大
[30:10] 所以他问我的时候
[30:11] 他问我说会不会卖飞
[30:13] 我说还好啦
[30:13] 因为这个乖离率过大
[30:15] 碰到这种大型的全资股
[30:17] 本来卖完
[30:18] 就很容易会出现这种短线拉回
[30:21] 所以我倒觉得说
[30:22] 没关系
[30:22] 你就把那个珍奶准备好
[30:24] 就可以了
[30:25] 这就是停利的快乐
[30:27] 对
[30:27] 就是停利的快乐
[30:29] 对
[30:30] 我们尽量享受停利的快乐
[30:31] 不要承担太多停损的痛苦
[30:34] 对
[30:34] 该停还是要停
[30:35] 对
[30:36] 然后再来
[30:38] 还有最近其实有一些
[30:41] 我们看到的一些
[30:42] 所谓的涨多的
[30:44] 很多的一个股票
[30:45] 像上礼拜
[30:46] 我们聊那个剑湖山
[30:47] 对吧
[30:49] 后来好多人去
[30:50] 传图给我
[30:51] 不好意思没有一一回复
[30:53] 好像网络上有人传梗图
[30:54] 是把剑湖山key在那个背板上啊
[30:57] 然后什么的啦
[30:58] 有的没有的
[30:59] 还有一档妖骨叫上帽也很夸张啊
[31:01] 长了二几根停板之后
[31:03] 现在叠了十几根的叠停板嘛
[31:05] 对
[31:05] 那像今天的这个剑湖山就叠停嘛
[31:08] 然后前面两
[31:09] 昨天也是叠停
[31:10] 对
[31:10] 像这种就是
[31:11] 如果说投资朋友
[31:13] 你手中的股票
[31:15] 或是你发现
[31:15] 关注的股票
[31:16] 它大涨
[31:17] 但是如果真的没有基本面的话
[31:19] 那就当做天上掉下来的礼物
[31:22] 拉上去要记得走
[31:24] 假设他真的没有什么实质的
[31:26] 这个基本面或者转机的话
[31:28] 像这类股票就是来到机会
[31:30] 就可以先做一趟过滤了解
[31:32] 是
[31:32] 那今天盘面上可能从头有锁到尾的是
[31:35] 大力光吧
[31:36] 我也必须佩服这家公司
[31:38] 这家公司也是之前我们黄金右下角
[31:41] 在两千多块钱送过暖的
[31:43] 我好像也有送过暖
[31:44] 其实我真的蛮喜欢大力光
[31:46] 对
[31:46] 它尾盘的话是打开了
[31:48] 好
[31:49] 但至少是收涨的
[31:51] 不像国剧
[31:52] 跑到黑去了
[31:53] 好大力光也打开了
[31:55] 所以今天盘面
[31:56] 真的是没有人能撑到最后
[31:57] 这个是体感上面
[31:59] 其实我觉得比较糟糕的地方
[32:01] 比较糟糕的地方
[32:02] 但大力光不错
[32:03] 我的意思是
[32:04] 也不用等到
[32:05] 大家还记得吗
[32:06] 如果有听我们的Parked
[32:08] 他在说他有切入CPU的时候
[32:11] 我们就一直跟大家讲
[32:12] 他说他有CPU
[32:13] 他就是真的有CPU
[32:15] 不代表我们觉得
[32:16] 他从2000会涨到5000
[32:17] 其实真的不知道
[32:18] 他今天4500吧
[32:20] 我记得
[32:20] 但至少会觉得
[32:21] 在那边做打底啦
[32:23] 横盘啦
[32:24] 一直市场不愿意
[32:25] 给他正面表态的
[32:26] 大力光
[32:27] 是一个相对比较便宜的公司
[32:29] 而且有在做转型
[32:31] 其实大力光
[32:31] 我觉得
[32:32] 现在讲
[32:33] 大家会觉得4000多
[32:34] 怎么好讲
[32:34] 但是这些事情
[32:35] 其实2000多都讲过
[32:36] 他们一直在希望
[32:37] 从手机镜头
[32:38] 也找到另外一个市场
[32:39] 其实我也蛮佩服联发科
[32:41] 要是了解发科
[32:42] 过去的一个发展史
[32:44] 你会很佩服
[32:44] 他的每一个产品
[32:46] 例如从什么光碟机啦
[32:47] 对不对
[32:48] 那种硬碟存取啊什么的
[32:50] 然后进入到手机市场啊
[32:51] 先从白牌手机
[32:53] 再切入到真正的品牌手机
[32:55] 再切入到电视
[32:56] 到现在大家讲的ASIC TPU
[32:59] 他真的很努力的
[33:00] 跟随着时代的演进
[33:02] 去跟上这件事情
[33:03] 而大力光也很努力
[33:04] 因为大力光吃最多红利的时候
[33:06] 就是手机全面转成智慧型手机的时候
[33:09] 那他做塑胶镜片的比较轻薄
[33:11] 所以也符合手机
[33:13] 希望能够越来越轻越来越薄
[33:14] 功能越来越好的一个状态
[33:16] 可是手机大家都知道
[33:17] 现在已经不兴奋了
[33:18] 苹果WWDC
[33:19] 大家有注意吗
[33:20] 没有人想讨论这件事
[33:22] 而且就算有讨论
[33:24] 我跟你讲
[33:25] 每一年
[33:26] 你等着看吧
[33:27] iPhone18也一样
[33:28] 了无新意
[33:30] 每一年你打了无新意苹果
[33:33] 就全对
[33:34] 从i12到i18
[33:36] 都是了无新意
[33:37] 我要讲的是
[33:38] 他其实多年以前
[33:39] 他就想切入医疗市场
[33:40] 那时候还有在跑新闻的时候
[33:42] 大家光说他想要切医疗市场
[33:44] 因为你有很多的东西
[33:45] 医疗是要用到镜头
[33:47] 你要内饰进进去
[33:49] 你要干嘛
[33:49] 那东西应该毛利什么也是高
[33:51] 可是那真的很难切
[33:52] 就医疗认证真的很难拿
[33:54] 后来不做隐形眼镜
[33:56] 就也算是一个犯医疗市场
[33:59] 做隐形眼镜
[34:00] 也做了好久好几年
[34:02] 才稍微知名度跑起来
[34:04] 最近比较常看到性效
[34:06] 那他要做CPU的时候
[34:07] 我就觉得现在市场那么热
[34:09] 那他愿意做CPU
[34:11] 而且他中间有累积了很多的钱
[34:14] 有累积了很多的EPS
[34:15] 他是一定有機會的
[34:18] 那我覺得現在市場是還大力光公道
[34:21] 可是漲到4500塊錢的大力光
[34:22] 大家可能也要稍微小小殺個車
[34:25] 因為其他的CPU都在暴跌
[34:27] 那蘋果的新機能夠給他多少貢獻呢
[34:31] 我覺得這也是
[34:31] 就是審慎樂觀
[34:34] 所以我覺得大家在評估
[34:36] 自己手上的股票的時候
[34:37] 可能要有一些衡量的標準
[34:39] 其實我覺得大力光真的很厲害
[34:41] 有人說這個時事造英雄有人說英雄造時事但我覺得大力光他就是那个英雄你看他在这次切那个CPU他是把这个光的讯号
[34:56] 从晶片出来
[34:57] 然后基本上
[34:59] 他要想办法去做到那个折射
[35:01] 折射到就是那个
[35:02] 接收讯号的地方
[35:04] 这个事情
[35:06] 他其实在这个所谓的
[35:07] 潜望式镜头那边
[35:09] 下来非常多的一个苦功
[35:11] 跟练习
[35:12] 所以他才能够把这件事情
[35:14] 做得这么好
[35:15] 所以我觉得很多的成功
[35:19] 它不是一个偶然
[35:21] 毕竟它背后都有相当相当大的
[35:24] 所谓的努力
[35:25] 联发科我更佩服
[35:28] 因为其实以前我们在讲
[35:31] 这种所谓的大型的公司
[35:34] 它想要变大
[35:35] 它必须要
[35:36] 它可以考虑去合并其他的公司
[35:39] 它也有
[35:40] 其实发科也有并
[35:42] 并力奇
[35:43] 对 力奇是电源IC
[35:45] 对对对
[35:45] Power IC
[35:46] 对 他之前有病的一些公司
[35:48] 可是后来在为什么在
[35:49] 我猜测啦
[35:51] 为什么在后期没有病
[35:52] 因为发觉他比别人更厉害了
[35:55] 没有人可以比他更厉害
[35:58] 他就只好自己做
[36:00] 是
[36:00] 他应该也病了Morningstar是不是
[36:02] 对 Morningstar
[36:03] 他早期有病
[36:05] 对
[36:05] Morningstar
[36:06] 所以他早期还有在
[36:07] 因为我写过联发科的故事
[36:09] 他早期有病一些公司
[36:11] 可是後期他沒有再併
[36:13] 我覺得應該是因為他找不到
[36:15] 能夠跟他更強的
[36:18] 難道去併那個嗎
[36:19] 那個Cro-Con
[36:22] Cro-Con吧
[36:22] 他的對手Cro-Con
[36:24] 我覺得這個有點不太合理
[36:26] 但是我覺得他
[36:27] 搞不好在某些角度上
[36:29] 看他已經超越Cro-Con
[36:30] 也不一定
[36:31] 所以我覺得他是我
[36:33] 我覺得除了台積電之外
[36:35] 我覺得算是在半導體裡面
[36:37] 算是我真的蠻佩服的一家公司
[36:40] 好所以最后呢
[36:41] 韦泰这两天一直跟我讲
[36:43] 生计相关的
[36:44] 其实生计相关
[36:45] 也很容易在大盘乱的时候冒出来
[36:47] 不过我坦白讲
[36:48] 这两年生计股是非常吃瘪
[36:50] 真的非常吃瘪
[36:51] 我看盘面上
[36:52] 大家就是像药华药
[36:53] 可能有这个新药的推出
[36:55] 比较受到肯定又在涨
[36:56] 但是像我们的这个代工股王
[36:59] 就是宝瑞
[37:00] 宝瑞的股价就一直很右下角
[37:02] 所以如果以黄金右下角的话
[37:05] 你会想要救救宝瑞吗
[37:07] 宝瑞不用我救啊
[37:09] 我觉得很多法人都很关注他
[37:11] 从这个将近千元跌到三百多
[37:15] 现在多少钱我看一下
[37:17] 我最近其实是有在看一些生计
[37:21] 其实我发觉一个现象
[37:24] 就是我最近所接收到了这些
[37:27] 所谓的法说会邀请
[37:29] 有蛮多是生计公司
[37:31] 包括下礼拜有东升华
[37:33] 对
[37:34] 然后反正还有一些
[37:36] 但是我最近有看了一些
[37:38] 像我最近
[37:38] 我昨天去看了一家公司
[37:39] 叫宝泰
[37:40] 宝泰生意
[37:42] 他大概叫7850
[37:43] 为什么我去看他
[37:44] 你知道吗
[37:45] 因为他其实
[37:45] 他的药不是为人的
[37:48] 他是为宠物的
[37:50] 我们知道其实
[37:51] 宠物的市场
[37:52] 这几年大家都非常的关注
[37:54] 而且非常非常的大
[37:56] 好
[37:56] 我们可以讨论一下
[37:58] 因为大家知道
[37:58] 造化以前最多养过
[38:00] 11只猫咪
[38:01] 都是流浪动物收回来的
[38:03] 其实最多不是11只
[38:04] 是固定11只
[38:05] 最多是26只
[38:07] 后来颂扬出去了
[38:09] 所以我特别分享这个
[38:10] 是因为我觉得赵华
[38:11] 应该他会有兴趣
[38:12] 我们其实有讨论了
[38:13] 以下宠物市场的好与坏
[38:15] 好
[38:16] 我们用客观的数字来看
[38:18] 我昨天去听公司的
[38:20] 一个分享的简报
[38:21] 我也觉得蛮压抑的
[38:23] 其实不管是在全球的市场
[38:26] 或中国或者台湾的角度
[38:28] 这三个地方
[38:30] 他们新生儿的出生数
[38:34] 跟宠物的登记数
[38:36] 以台湾来讲是在2018年
[38:40] 2019年出现黄金交叉
[38:43] 对
[38:43] 然后在中国大概在2019跟2020
[38:47] 然后再来全球平均来讲
[38:49] 是在将近2019到2020
[38:51] 也就是说其实在COVID-19的期间
[38:54] 其实这件事情
[38:55] 这件事情就造成了非常大的转变
[38:59] 是
[38:59] 我们会以为说大概就只单一事件
[39:03] 是
[39:03] 结果没有想到
[39:04] 这个黄金交叉之后
[39:06] 那个开口
[39:08] 越开越大
[39:09] 越来越大
[39:10] 这个越照回来
[39:11] 看到我现在的这个
[39:12] 对我有看到图
[39:13] 他看到
[39:13] 对
[39:14] 代表说这不是一个单一事件
[39:16] 而是一个趋势
[39:17] 而是一个趋势
[39:19] 所以我觉得这个
[39:19] 种物的这个市场
[39:21] 真的真的非常非常大
[39:23] 然后我看到一个
[39:24] 让我觉得很难过的
[39:25] 一个数据
[39:26] 还是跟大家分享
[39:27] 就是四组年平均花费
[39:30] 对于这个毛小孩
[39:32] 甚至超过对父母
[39:34] 跟兄弟姐妹的支出
[39:35] 不是啊
[39:36] 不是
[39:37] 因为他们自己会照顾自己
[39:38] 对嘛
[39:39] 对嘛
[39:39] 对
[39:40] 抱歉因为赵华的父母
[39:42] 比较早过世
[39:43] 信以不信
[39:45] 那因为现在就是
[39:46] 没有要抚养父母的这个压力
[39:49] 对
[39:49] 兄弟姐妹
[39:50] 他们都很会赚钱啊
[39:51] 为什么还要我雇
[39:52] 雇我雇我
[39:53] 对我觉得
[39:54] 请捐钱
[39:54] 我觉得这件事情
[39:55] 这个事情呢
[39:58] 其实我个人觉得
[39:59] 不应该用这一个绝对金额去看
[40:02] 我觉得应该用YOY
[40:03] 因为使用YY
[40:04] 你就会发现
[40:06] 它可能呈现出来
[40:07] 会比较客观一点
[40:07] 就是等于它大幅成长
[40:09] 对
[40:09] 我觉得这个是一个
[40:11] 我观察到的一个情况
[40:12] 但无论如何
[40:14] 我会觉得
[40:15] 其实宠物的这个医疗的一个市场
[40:18] 是越来越大
[40:18] 因为当大家都开始
[40:20] 把宠物当作家人的时候
[40:23] 假设它今天真的生病
[40:25] 我们真的会愿意付出一切
[40:27] 然后只为了让它健康
[40:29] 所以像这样子
[40:31] 所謂的這個所謂寵物的醫療
[40:33] 你知道現在
[40:34] 寵物已經可以保險了
[40:37] 你知道嗎
[40:38] 對 但是就沒有非常之鼓勵的原因是
[40:41] 怎麼講
[40:42] 他會只支付你醫療費用的一個部分
[40:44] 然後呢 因為他擔心
[40:46] 因為寵物在我們的法律上
[40:49] 還是物權而已
[40:50] 他會擔心你
[40:51] 把他弄得怎樣去領那個保險費
[40:53] 就像小朋友
[40:54] 很多的險是不能保的
[40:56] 他怕父母把小朋友弄一弄
[40:57] 去領那個什麼受險什麼的
[40:59] 對
[40:59] 所以宠物险基本上是
[41:02] 算在蚕险里面
[41:03] 对
[41:03] 它是物
[41:05] 虽然是我们的心头肉
[41:07] 对
[41:07] 好
[41:08] 没关系
[41:09] 我只是想跟大家分享一下
[41:10] 这个市场
[41:11] 我觉得这个其实是
[41:13] 除了这种所谓的
[41:15] 我们说看到的
[41:16] 所谓的AI
[41:17] 的另外一个
[41:18] 我觉得目前正在
[41:20] 持续成长的一个市场
[41:22] 而且宠物的药
[41:24] 跟人的药
[41:25] 相比来讲
[41:26] 我个人觉得
[41:27] 它的这个
[41:28] 它是可以用
[41:29] 我开发人的这个药
[41:31] 这个过程当中
[41:32] 因为其实
[41:33] 我们开发人体药
[41:35] 就是你后面
[41:36] 不是要做人体实验吗
[41:37] 是
[41:37] 可是人体实验之前
[41:38] 其实宠物的实验已经过了
[41:40] 已经通过了
[41:41] 所以其实你在
[41:42] 这个做人体实验之前
[41:44] 就那个药的
[41:45] 这个所谓的
[41:46] 对宠物的这种
[41:47] 所谓安全性
[41:48] 或有效性
[41:49] 其实都已经获得
[41:50] 比较大的一个确认
[41:52] 是
[41:52] 所以我觉得
[41:53] 投入这一块的
[41:54] 这种所谓的公司来讲
[41:56] 未来它在
[41:57] 获利的一个状况上
[41:59] 应该会是比人去开发人的药
[42:02] 来的还要更为去容易做掌握
[42:04] 所以我才会特别去关注到
[42:06] 后来我才发现
[42:07] 其实台湾的生技业
[42:12] 其实已经有慢慢慢慢的
[42:14] 越来越多的人在做这一块
[42:15] 例如说保龄附近
[42:17] 它也切入相关的
[42:19] 这些相关的一个商品
[42:21] 所以我觉得其实这个市场
[42:23] 虽然说目前大家比较少聊到
[42:26] 但是我最近看了一些所谓的公司
[42:28] 我觉得这个是让大家
[42:30] 可以后续去做关注
[42:31] 我也认同
[42:33] 为什么现在的宠物用药
[42:35] 是大部分还是使用人类的药
[42:38] 因为宠物专用药没有那么的多
[42:40] 使用人类的药
[42:41] 签证就一个纠纷
[42:42] 就讲说是不是要立法
[42:44] 让兽医没有办法去开人类的药给动物
[42:48] 而是要由药局的药师去开给市主
[42:51] 炒翻了
[42:52] 我当然觉得一定要从兽医那边开
[42:55] sorry我的立场是这样
[42:56] 因为它很容易又变成政治事件
[42:58] 你知道吗
[42:59] 但是身为一个
[43:00] 我养过二十几只猫
[43:03] 然后救过更超过
[43:04] 这样的四主
[43:07] 或者是说做流浪动物的中途来说的话
[43:10] 当然是要交给专业的兽医
[43:12] 那有越来越多人愿意开发宠物用药
[43:14] 我觉得是好的
[43:15] 我觉得就慢慢的
[43:16] 如果这个市场可以起来的话
[43:18] 他就不用说
[43:19] 我今天用人的药
[43:20] 我还是要去药局请什么人的药师
[43:22] 人药师怎么可能知道我家的小朋友
[43:24] 不是小朋友
[43:25] 我叫宠物
[43:25] 对不起
[43:26] 我的毛孩子
[43:28] 对
[43:28] 到底要用多少的剂量
[43:30] 到底生了什么病
[43:31] 有没有综合性的考量
[43:32] 其实兽医也是一个
[43:33] 非常专业的
[43:34] 但这个市场正因为
[43:36] 宠物是物权的关系
[43:37] 所以我觉得它也会有它
[43:39] 人类近来
[43:40] 就是纠结在很多
[43:41] 利益纠葛的地方
[43:43] 才会发生刚刚讲的
[43:44] 那个事件
[43:45] 好 回到
[43:46] 韦泰讲的
[43:47] 其实有非常多的公司
[43:48] 都想要开发
[43:49] 不管是宠物用药
[43:50] 宠物的用品
[43:51] 甚至
[43:51] 我有一家
[43:52] 不能讲
[43:54] 但我担任董事的公司
[43:56] 等我卸任再讲
[43:57] 他也曾经希望能够发展
[44:00] 就是宠物用的X光的机器
[44:02] 但是后来我们去收医院
[44:05] 他们大部分还是用
[44:06] 人类用的X光机
[44:07] 很难切进去
[44:08] 就等于说
[44:09] 这一个领域也很神奇
[44:10] 就是你也不容易切进去
[44:12] 那他也没有所谓的健保
[44:14] 虽然有刚刚讲的保险
[44:15] 可是也有这一种
[44:16] 道德上的可能性
[44:18] 所以他不可能保好保满
[44:19] 反正很有趣
[44:20] 这块伤心很大
[44:22] 可是大家可能都要在里面
[44:24] 就是鸭子滑水很长的一段时间
[44:26] 但我相信未来的伤机是大的
[44:28] 也希望大家的宠物都能够平平安安健健康康
[44:31] 没错
[44:32] 因为宠物的范围很广
[44:33] 我在网上看到有人养了一只蛇
[44:36] 他叫它什么香肠起司
[44:38] 还是起司香肠
[44:39] 黄金蟒还是什么
[44:40] 对
[44:40] 非常漂亮
[44:42] 然后最近很多鹦鹉
[44:43] 鹦鹉会走失
[44:44] 走失会自己在那边找自己的父母
[44:47] 很多啦
[44:48] 什么样的宠物都有
[44:49] 然后捷运上也钓过一只蛇
[44:51] 对也是宠物蛇
[44:53] 怎么越讲越圆了
[44:55] 好总之今天的盘式
[44:58] 就是我跟韦泰
[44:59] 想法是算是比较一致的
[45:01] 同样建立在前两天
[45:03] 我们达人告诉大家的
[45:04] 各个题材或是AI的发展
[45:06] 或是从五月营收来看的话
[45:08] 基本面都是很好的
[45:09] 可是短线上筹码的凌乱
[45:12] 筹码的因素
[45:13] 高档乖离的修正
[45:14] 晚上CPI对通膨的一些疑虑
[45:16] 它可能都会造成
[45:18] 近期的非常大的波动跟压力
[45:21] 那对我来说
[45:22] 有时候化繁为简
[45:23] 那上个礼拜有做了一些停利
[45:25] 没有关系
[45:25] 那这礼拜做什么呢
[45:26] 破月线买一些
[45:27] 对不对
[45:28] 月线再破再多买一些
[45:30] 像今天没有买
[45:31] 是因为今天没有到
[45:32] 礼拜一的低点
[45:33] 我们真的没有什么东西可以买
[45:34] 可是如果再破呢
[45:36] 对我来说
[45:36] 至少你买一点
[45:38] 市值型的做加码
[45:39] 那如果月线
[45:40] 季线都破了吗
[45:41] 那就再多加一点
[45:42] 那如果半年线也破了呢
[45:44] 那就再加更多一点
[45:45] 因为像我左侧
[45:46] 本来就是这样子
[45:47] 对不对
[45:47] 那所以一直留有一个部分的现金
[45:49] 就是等着加码用的
[45:51] 那每一个人策略不一样
[45:52] 有很多人可能觉得高档了
[45:54] 动能线破了
[45:55] 像今天的云翔哥
[45:56] 他也提到破月线没有守住
[45:58] 盘面无主流
[45:59] 他大幅减码
[46:00] 因为他做动能
[46:01] 所以大家的想法会不一样
[46:03] 各自用我们熟悉的方法
[46:05] 在市场上找到你最适合的位置
[46:08] 重点在我们进股市不是来玩的
[46:11] 也不要轻忽自己的金钱
[46:12] 我们是来长期累积资产的
[46:14] 好那今天的股后载就到这边了
[46:16] 大家跟我们的观众朋友
[46:17] 听众朋友说拜拜
[46:18] 谢谢赵华
[46:19] 拜拜
