[00:00] 歡迎收聽《照華於股貨載地1170集》
[35:24] 所以我覺得像這種公司還是有蠻多的可以值得我們去做發掘。
[35:29] 好,難道又要回到價值風了嗎?
[35:33] 其實前陣子有耶,前陣子當這個大家在漲價題材有點受傷慘重的時候,有發現這一波資金回流的時候,都會去找那些有殖利率題材的,對,好,那包括金融可能也包含在裡面,對不對?
[35:46] 富邦金也創下了2001年掛牌以來的新高價哦,像諸如此類,但是大家喜歡什麼樣的商品,喜歡什麼樣的投資法,自己是每個人的狀況是不一樣的。
[35:58] 那剛好因為我看過這些隱形冠軍嘛,所以我不會排斥投在這些隱形冠軍上面,但百分之七八十應該都還是會以科技股為主。所以今天難免一開場講到的就是Varubin帶來的在輝達財報前市場已經先鋒一波。
[36:13] 當然這個事情很重要,有沒有可能就提前反映了Varubin出貨給微軟,紅海也裝機了,紡金也實測了,這樣的利多,反而明天隔日通出掉就沒了,這就是今天一定要觀察的事情。
[36:26] 但如果延續,那不錯哦,因為說實話現在已經是8月的最後一個禮拜了,接下來就進入到9月,接下來10、11、12,就所謂的第四季,沒有什麼好再拖的,而且如果第三季有什麼利空啊,說實話也應該反映了,沒有落後到說都第三季要過完了,你才在反映第三季的利空,這實在太瞎了啊。
[36:45] 接下來就是第四季的展望,然後明年的期待這件事情應該要發酵了,就是預備備的意思。
[36:54] 那既然是預備備,大家就不妨做好你心目中的想法,因為維泰的好處就是,當我非常熱衷的在講AI的時候,他就會提醒說沒有喔,他看到的是很多傳產都在做復甦,事實上以我們的外銷訂單來看也是。
[37:08] 成長率爆炸高的都是自通訊這些的,一定的,可是傳產有跟上喔,傳產沒有爆炸高,但傳產回暖囉,外銷訂單就是未來我們營收的底氣嘛,那等於是未來這些傳產的營收也會回來啊,那第四季到明年第一季也是蠻多傳產的旺季啊,上次韋泰有特別提到很可憐的車輪艦,車輪艦也快要進入到他們所謂碰撞艦的旺季了嘛,躺在那裡,一直躺在那裡,很爛,然後講一講又下去了,
[37:37] 但是我還是一樣,車零件!車零件車零件,你十一十二月有沒有可能復活一下呢?關稅的問題也幫你解決啦!北美一樣要賣嘛,對不對?一樣會碰撞嘛!所以是不是應該來一下?我覺得這些期待,我們不要忘記它,就算你沒那麼喜歡這個族群,也要記得有它們,這樣子在投資的視野上會比較全面。
[37:59] 對,當然就看一下財報的數字,我覺得從營收的表現上來看,其實是會是最明顯最優先反應的,只要看到它的營收有開始出現這個拉抬,那基本上就可能就是暗示著說接下來的旺季可能要出來了,那剛好這些720組件,他們的這個本益比啊,或者是股價淨值比,其實都蠻低的,股價也蠻低的,對,所以這部分大家是可以去看看。
[38:29] 目前我在看的耿鼎,耿鼎外資從5月份開始就一直在買進,尤其是7、8月份基本上天天買,只進不出。
[38:40] 這個外資就可能是公司派吧?會這樣搞的?
[38:44] 可是我看一下,不然外資那麼有耐心,買它幹嘛?5月買到現在,你可不可以起點作用啊?
[38:53] 對,可能它還在佈局啦,可能還在佈局,對,那像這種就,我們就只能夠先放在這個口袋名單,口袋名單,類似這樣子的。
[39:04] 然後再來,最近我有看鋼鐵嘛,前陣子鋼鐵,那個,不鏽鋼族群有漲嘛,對不對,像這個2031新光鋼嘛,然後2027大成鋼嘛,甚至有一天還拉到1605華星嘛,對不對,好。
[39:21] 所以其實不鏽鋼這個族群其實有在動,然後調鋼的部分也動過,然後再來就剩下一些像是板鋼,板鋼這邊我特別看的是這個中鴻,會看它原因其實第一個就是它第二季,它第二季有轉虧為盈,它本來第一季是虧錢的,然後第二季有轉虧為盈。
[39:46] 轉貴為盈的情況下,我又同時看到大屋持股每月增加,現在股價也在16、17塊錢這邊排很久,外資也在陸續加碼。
[40:02] 這些都是我個人認為最壞的時間都已經過去,然後就等一些所謂的不管是他們自己本業的好消息或者是市場上面的好消息傳出來,他們這些公司都很有可能就會像這次的航運股一樣,它的股價就有機會展開一波的一個上漲。
[40:24] 好,那航運股今天的回檔你怎麼看呢?
[40:27] 因為今天看起來資金是很明顯的就是換了啦,
[40:31] 而且它就這樣,一漲就突然漲很兇,
[40:34] 一跌喔,哇塞,萬海啊、陽明啊,就一副又殺到跌停板的樣子,
[40:39] 這個漲跌很大,那我剛剛跟這個韋泰有聊到說,
[40:43] 以前航運在漲的時候啊,大膽一點的就是跌停趕快去搶啊,
[40:47] 隔天就會上去了,
[40:49] 可是因為這一波還沒有像上一次的這個運價有那麼強勢的表現,
[40:53] 現在有塞哦,因為颱風跑到上海,把上海的港口已經delay了9天嘛。
[41:00] 然後運價確實也是連續的7、8週的上漲,但漲幅不是非常的劇烈啦。
[41:05] 所以是不是跌停就能減,我就沒有這麼有把握。
[41:09] 可是確實它還是反映出來這個高波動很有趣的這個特質。
[41:14] 對,其實我覺得今天的拉回有一些是之前這個短線上面進場的人這邊去做一個調解。
[41:22] 並且,在目前的市場上,股價仍然在下降,並且,在目前的市場上,股價仍然在下降,
[41:32] 並且,在目前的市場上,股價仍然在下降,
[41:42] 為了以武的萬海
[41:44] 然後呢 如果說在這種所謂的老大哥的指標性當然就是看長榮嘛
[41:53] 不過我個人會特別觀察到的就是陽明
[41:56] 上次在達蘭秀上面我有講過
[41:58] 我說陽明是國家淨值比相對比較低的
[42:01] 對
[42:02] 那所以如果說真的整個產業是起來的話那種國家淨值比相對比較低的這一種
[42:09] 中間的負擔,在市場上,是否有機會有更多的負擔?
[42:39] 大家發現不對耶
[42:40] 台化他的這個評價是最低的
[42:42] 而且他的這個財報數字也的確有好轉
[42:46] 所以後來他的這個這個所謂的股價有後來有往上追了一波
[42:51] 從50幾塊追到77塊
[42:53] 那所以呢現在如果投資朋友
[42:56] 你覺得這個萬海
[42:58] 你有點追不上去追不下手
[43:01] 然後呢這個長榮你追不下手
[43:03] 兩個都是三位數的一個股價
[43:05] 那不妨呢就留意看看
[43:08] 這幾個股市的大幅增加,有助於大陸持股增加。
[43:24] 好,這個航運股喔,蠻顛覆大家對傳統產業的一些想像啦。
[43:31] 當然以前已經冠軍有的漲很多。
[43:33] 這間航運股漲,我們就毫不猶豫在起漲的時候就開始馬上跟大家介紹。
[43:38] 雖然內心有點毛毛的,就想說會不會彈花一現這樣子。
[43:42] 但是我們就很驚訝的發現喔,呈現在,因為電視有所謂的收視率嘛。
[43:47] 大家的肌肉記憶、隨手回憶,很快就跑回來喔!
[43:55] 就很喜歡聽,不一定說很有共鳴,不一定會大幅討論運價、多空交戰,只是短暫都還好,評論還好。
[44:07] 可是收視率的表現就是大家對這個話題很有興趣。
[44:11] 所以這個很有趣的一個所謂標股基因或肌肉記憶。
[44:16] 然後當時真的叫做跌停你又怕又覺得如果我今天跌停沒減明天就會漲停的這個事情實在太有趣了就跟剛剛韋泰講到了都已經去這種高齡熱齡的中心了結果大家還是很熱衷於做刻苦我覺得這個是進賭場嗎真的是一種硬的所以這邊的話比較安穩的做法因為當時我記得韋泰在講貨櫃三雄的時候像我覺得最穩當的一定是長榮嘛
[44:45] 因為長榮我們非常詳細幫大家追蹤,在上一波的航運起來的時候,他儲備了非常非常多的現金在手上,因為他又做了減資,對不對?減資六成耶,這是很多的。
[44:56] 然後現金在手上之後,他也改善了團隊要符合未來的環保法規,所以他的船隻、他的新船、他的符合法規等等的,其實都讓他是非常厲害的一支船隊了。
[45:07] 所以長榮是大哥,在上漲的時候先想到長榮是沒有問題的,配息也是最好,獲利也是最高嘛。
[45:13] 當時韋泰講陽明的時候我反而是有點存疑,因為萬海都是勢頭強,萬海每次都最活潑,他每次都本一筆可以拉到最高就他,那他這次又先表態,所以你看萬海合理,但是韋泰就用股價淨值比的角度說陽明是在這方面最被低估的,可是陽明的獲利確實不漂亮,這邊也必須講哦。
[45:34] 不過,所謂的緊急循環股或是一些傳產原物料本來就是用股價淨值比是第一道防線,那這件事情在運用到不管是剛剛講的紙業或是鋼鐵業,我覺得一體適用大家可以看一下。
[45:48] 加上只要這個東西我覺得紙業有比較難聯想,但鋼鐵業他們可以去講到的就是建廠概念,
[45:55] 他們還是可以扯到有一些比較先進的鋼材或是去做無程式或是AI相關的現在要擴廠嘛,對不對?
[46:04] 像之前東剛就有在講這個事情,要接到台積電的訂單什麼的,他們比較有這種想要空間。
[46:10] 那只要跟到材料有關的,一定就是切近電子級、切近半導體級。
[46:15] 我覺得他們到股價有共識的時候,股價淨值比是一個防線,然後再接下來就是話題來帶動,我覺得這個是可以做期待的。
[46:24] 台積電相關概念股很多,除了東剛之外,像根基也是,營造廠。
[46:32] 所以你看,為什麼營造公司股價可以107塊,超過這個三位數,那就是因為跟廠房的建設有關。
[46:44] 所以我覺得這部分,反正講到這邊,我覺得今年第四季應該會很熱鬧,很熱鬧,很熱鬧,所以不會只是AI啦。
[46:54] 因為它還是會存在,但是我覺得其他的這些過去比較沒有被大家討論到的,其實也會讓整個台北股市會變得非常有趣,非常好玩。
[47:09] 好,所以韋泰向來一個這樣的註解,好期待喔,預備備!
[47:13] GO!
[47:14] 準備要非常有趣,非常好玩了齁。
[47:17] 現在台北往外看我們在19樓,哇是出太陽了,那也希望大家這段時間南部說實話有栽損啊,因為我們自己有在買一些中南部的水果的團購啊,有團滅的,有團滅的就是那個該種瓜果已團滅,聽了蠻心疼的,其實聽了蠻心疼的,因為農民要收成了,那最近又快所謂的中秋節嘛,也是文旦,我記得有一年文旦也是好像颱風來什麼,後來我都沒知道耶,
[47:46] 就全部都,大部分都不見了,希望今年不要有這樣的情形,農民的心血可以傳送到每一個人的手上,農民真的很辛苦喔!
[47:57] 好,那我們今天呢,就到這邊了,跟大家說掰掰囉!
[48:00] 謝謝大家,掰掰!
