[00:00] 歡迎收聽趙懷股貨載地1165集
[37:56] 但是我會覺得無論如何在明年上面不管是市場資金的充沛或者是說基本面繼續成長這些都會還是一個很漂亮的果實在那裡
[38:07] 但過了明年確實就要留意一些所謂的副作用到底會不會冒出來
[38:12] 所以這個中間我們會一直觀察現在的一個局勢
[38:16] 但因為明年是好的嘛
[38:18] 所以現階段所有比較明顯的深的回檔我都視為是一個好的機會
[38:23] 我覺得這個倒是不用太擔心,不用太擔心說,那現在這個回檔,它就正式泡沫展開,因為上一次的回檔,我們台股跌20%而已,只是局部的產業跌,那接下來就可能什麼,我覺得我也不太會在這個時間點看這個,因為今天我有看到我自己有一些好朋友投資群組也是說,上次那樣的跌不能算是實現泡沫,接下來才是,我是覺得還沒有啦。
[38:51] 對,我個人是覺得縱觀所有的條件在一起的話,不至於啦。
[38:57] 所以只要遇到比較大的跌點的時候,一樣切記,你到底是希望去很有信心的買在,好像講了,這次的載板是不是非常強?
[39:07] 那最強的產業,矽光子,就是先跌了後來先補漲了嘛,對不對?
[39:12] 你是要鎖定在這些你非常有信念,在明後年,因為必須講哦,載板跟矽光子就可能叫做明年的成長性比今年還要高。
[39:21] 為什麼市場現在對他們這些東西那麼喜歡?
[39:25] 它就是很有可能是這樣子的,尤其載板的共識是有時候比矽光更高,
[39:30] 因為矽光你說用到未來這個什麼1.6T什麼是每家都可以,
[39:34] 這個其實不好說,
[39:36] 但是因為就是因為流明光學出來講了嘛,
[39:40] 現在矽光就是已經有缺口了,
[39:42] 是代表它的應用是真實存在,
[39:44] 所以只要有沾到邊的,
[39:46] 它明年的成長性比今年高,
[39:47] 這個可能是可以確定的,
[39:49] 但有一些可能明年成長性不如今年,
[39:51] 假設記憶體的成長率在今年可能是非常高,明年不一定那麼高。
[40:01] PCB 雖然現在才光電通波,這些非常厲害,可是他們有可能明年的成長率不如今年高,那就要抓緊他們回檔比較深的時候。
[40:11] 他們也會出現回檔容易比較深,因為在回檔的時候這樣的擔心會呈現出來。
[40:18] 明年還是成長,所以明年只要遇到回檔升,那就是買。
[40:23] 對我來說就是邏輯分出來就是這樣子。
[40:26] 那你就不要期待說在明年供需口會放大,然後成長性比今年高的要回的多深,可能有把握回檔就要買了。
[40:33] 這是一塊,那另外一塊就是韋泰剛剛講到的,有很多就是還沒有辦法沾到邊的啊,或成長,它有成長,可是10%、20%大家看不在眼裡的啊。
[40:42] 它就成為一個很安全,但是潛力的標的喔。
[40:46] 更安全的就是都沒有漲,但其實獲利其實已經回穩的傳產。
[40:53] 我覺得這些公平的配置一下,沒有什麼,我是覺得沒有什麼大的疑慮啦。
[41:00] 就是如果以配置的方向來看,我覺得沒有什麼大的疑慮點。
[41:03] 講一下今天成交量,其中市場8478億。
[41:07] 不高,今天也是期指結算啦。
[41:09] 對,所以今天成交量看起來市場上面只不過就是沒有願意去做追高而已,並沒有說很明顯看到有人去做殺低,對,我覺得沒有這種情況發生。
[41:24] 所以對於台北股市的一個目前的一個發展,我個人的一個看法跟前一兩週沒有差太多,大致上還是一個區間震盪。
[41:35] 然後你說要跌破這個7月30或7月29號當時那個低點,我覺得目前我還看不到這樣的現象,這是指數的部分。
[41:47] 但我還是嘮叨兩句啦,這指數從7月30號漲到這個8月14號,這也算是指數反彈了0.618啦,但它是很多人的合作,通力合作的結果。
[42:02] 這幾個股的反彈真的弱,我還是會建議大家趁反彈的時候去做換股,因為指數不會再破底,不代表所有的個股都不會再破底。
[42:19] 我就直白講就這樣,所以這部分還是要跟大家做提醒。
[42:25] 所以我們到現在為止,因為這波大盤漲了一段了嘛,我們就可以稍微去審視一下,自己手中的持股是不是有一些真的漲得不是很多。
[42:37] 那如果說你發覺它又上不去,然後又有解套性的賣壓陸陸續續出來,搞不好它會往下做修正的話,
[42:46] 這些個股就趁著這一波已經有反彈了,你已經沒有損失這麼多的,我覺得可以去做一點換股操作。
[43:16] 大家可能比較清楚我們在聊什麼,但是缺點就是我發現那邊也形成了一個生態系,就是他們就只等那個影片,他們平常沒有聽這個Podcast的習慣,我覺得這樣有點可惜,因為其實我們一到五有不同的達人會分享不同的心情,那也有可能前兩集達人講的產業比較多,觀念比較少,後兩集就達人講的觀念比較多,產業比較少等等的,我們會做一個比較均勻的分配。
[43:41] 但如果說都只等那一支影片的話,就會可能反而讓這個節目的連貫性有點怎麼講,就像它是一個連續劇,結果大家就變成只看一個帶狀一天,然後就覺得怎麼樣怎麼樣。
[43:53] 所以我就也會在思考說,當我花了這個時間精力去拍成影片上傳,我先講哦,我沒有能力一到五都拍影片上傳,不要變成那種奇怪的要求,突然內心有一個警鐘響起。
[44:06] 對,所以我可能還是會比較專心在經營,就是一到我們把Podcast這件事情好好的在空中跟大家聊清楚,來為主,就不一定說一定要拍成影片了,這邊的話不知道我們就有點小有感而發啦,對,來跟大家聊一下,好,那就祝大家情人節快樂,希望有我們兩個在空中祝福大家,也算是一種空中的陪伴囉,大家拜拜。
[44:36] 掰掰
