[00:00] 欢迎收听赵怀古货仔第1071集
[23:16] 一样是这个礼拜
[23:17] 因为只有四个交易日
[23:19] 再加上明天又有这个
[23:21] 川普可能会说些什么
[23:22] 因为不管川普说些什么
[23:24] 其实伊朗以色列
[23:25] 可能各自都会在做些什么
[23:27] 不是说连沙尔地阿拉伯
[23:28] 也跳进去了
[23:30] 所以这个混乱的局面
[23:32] 短期之内恐怕并不容易收拾
[23:34] 可是你说市场的资金
[23:36] 有没有越越遇事
[23:37] 这个也有
[23:38] 那我跟凯克想法是一样的
[23:40] 越越遇事的今天
[23:42] 你不用急着抢什么
[23:43] 可是如果大家一时之间觉得
[23:45] 完了怎么会这样
[23:47] 遭了大风的那一天
[23:49] 一定要做些什么
[23:51] 因为这个看来目前资金的想法没有任何改变
[23:55] 当然大家也会看说
[23:57] 联准会会不会有把这个降息变升息
[24:00] 现在看来联准会也没这个打算
[24:01] 至少在目前为止真的没这样
[24:04] 可是如果油价一直在非常高位阶的话
[24:06] 不确定
[24:07] 这就非常的不确定了
[24:09] 你不要忘记
[24:10] 目前很多人是在场外观看的
[24:13] 我們之前講過嘛
[24:13] 很多高手其實都降步了
[24:15] 甚至去槓桿
[24:15] 其實他們的資金都在外面
[24:17] 也就是說
[24:18] 這些很強的股票
[24:19] 目前他們是沒有
[24:20] 百分之百的去壓住
[24:22] 在這些股票上
[24:23] 他們就已經這樣子了
[24:24] 一旦這些資金再回來
[24:25] 他就還會再往上走
[24:27] 還在往上走
[24:28] 我所以一直跟大家講說
[24:30] 你不要
[24:30] 跟人家一樣站在外面看
[24:33] 連高手都跟你講說
[24:34] 他只是去槓桿
[24:35] 他沒有說他要退場哦
[24:36] 那是高手的操作
[24:38] 那你是高手嘛
[24:39] 如果你不是高手
[24:40] 你應該要學習高手的做法
[24:41] 好那最后还有一点点时间
[24:44] 我想请凯哥帮我们讲一下
[24:45] 今天一个上中下游
[24:46] 应该都算是有大涨的PCB
[24:49] 尤其是原料的部分
[24:50] 德宏已经271块了
[24:52] 对啊
[24:53] 真的非常的惊人
[24:55] 那尖点专针的也来了
[24:56] 包括说像今天同博类的
[24:59] 同博基板
[25:00] 连帽三哥
[25:01] 终于有点吐一口气
[25:03] 但二哥最厉害
[25:04] 台药今天所涨停板
[25:05] 创历史新高
[25:07] 现在看起来是二哥很厉害
[25:08] 三哥有在跟
[25:09] 我觉得就西西友这个族群
[25:12] 基本上台岸应该算是被upgrade
[25:14] 因为我们上次
[25:15] 我来节目有讲过
[25:17] 不然上次还是上次
[25:17] 我说他拿到了800G的份额
[25:19] 其实那时候市场还比较半信半疑
[25:22] 那这一阵子反而就开始
[25:24] 就觉得这是真的了
[25:25] 所以你看台光电股价这么高
[25:28] 所以台湾就拉上去
[25:29] 那当然台湾拉上去的时候
[25:31] 市场就会有一个联想
[25:32] 就觉得说
[25:32] 联贸会不会也有机会可以打进
[25:35] 但是老实讲
[25:36] 目前几率真的还是不是很高
[25:39] 因为他毕竟还是比较focus在手机的这一块
[25:42] 但是一样他是做同样的东西
[25:45] 他就会有一个机会
[25:46] 跟一个联想
[25:47] 那我们刚刚在讲说
[25:49] 德宏为什么还可以涨到这边来
[25:51] 其实我之前有提过
[25:52] 其实台光电是有去认证德宏的东西
[25:55] 而台光本身是有被NVIDIA授权
[25:58] 他可以用自己的材料
[26:02] 所以他跟一般的厂商就不太一样
[26:04] 所以为什么
[26:05] 德宏好像跳过像我们之前讲过的
[26:08] 台波直接到台積電
[26:10] 台積電也認證台波的東西
[26:12] 可是台波就沒有這麼的強
[26:14] 那就是因為
[26:15] 有一家公司相對來講
[26:18] 他是不按常理在做事的
[26:20] 這家公司就是台光電
[26:21] 那一樣
[26:22] 台光電他可以自己
[26:24] 用自己的材料跟componer
[26:26] 台耀不行
[26:26] 台耀還是要按照規矩來的
[26:29] 所以台耀相對會比較受限
[26:31] 他還是會受到波遷部的缺貨
[26:35] 因為他主要還是用日本的材料
[26:37] 那台光電它是可以跳脫這一個局限的
[26:40] 所以基本上這個族群都感覺上
[26:44] 因為大家可以用自己的材料的情況之下
[26:47] 基本上大家的股價就會開始活過來
[26:49] 所以我覺得如果就這個角度來看
[26:52] 首選還是台藥
[26:53] 因為我覺得台藥還有很大補漲的空間
[26:56] 對
[26:56] 那我們之前就跟大家講說
[26:58] 從400到600
[26:59] 其實還有接著往上看
[27:01] 對
[27:01] 那只是說你在老二往上走
[27:05] 老三會跟
[27:05] 只是你到底要买真的有料的老二
[27:07] 还是比较虚晃的老三
[27:10] 那就是各自去拿捏
[27:12] 你自己的操作的手法
[27:13] 因为老三真的很久
[27:16] 我必须讲
[27:16] 连帽我们讲超级无敌久
[27:19] 超级落后
[27:21] 可是就像是当年探针卡的庸志一样
[27:24] 这个后面补掌起来说
[27:27] 哇塞
[27:27] 真的是很猛
[27:28] 但是现在就是老大很贵嘛
[27:30] 三千块钱
[27:31] 那老三
[27:32] 你不是那么确定
[27:34] 他在技术上面能跟到什么程度
[27:36] 可是确实非常非常非常落后
[27:38] 那老二反而显得是一个最稳健的选择
[27:42] 这边的话我觉得大家可以参考看看
[27:44] 我也觉得台药看起来现在有点
[27:46] 法人也开始回来宠爱他了
[27:48] 对就认同他
[27:50] 然后因为跟老大之间差距也非常大
[27:52] 所以我觉得大家可以参考老二老三老大
[27:56] 这样子的逻辑
[27:58] 那至于上游的拨签
[27:59] 我觉得那个很看人
[28:00] 就是拨签一直在
[28:02] 到底有没有这个别的
[28:04] 像日东房啊
[28:05] 把所有的份额占走
[28:06] 然后大陆巨石的扩产啊
[28:08] 等等的
[28:09] 到底有没有互相影响
[28:10] 其实这个连婉婷
[28:12] 对不对
[28:12] PCB女王
[28:13] 她都觉得有点存疑
[28:14] 就是对于拨签
[28:16] 可是现在看起来
[28:16] 拨签是因为一路上来
[28:18] 有特定的人在锁码
[28:19] 我觉得这个也是
[28:20] 另外一个故事
[28:21] 如果喜欢筹码派的话
[28:23] 那也许就是跟着锁码就对了
[28:25] 这个也没什么好道理可讲的
[28:27] 因为这个就本益比的角度
[28:29] 或是未来的前景的
[28:31] 發展的多空交戰吧
[28:34] 那目前看起來多方勝
[28:35] 大概就是一個這樣的情形
[28:37] 對 因為波部確實是缺的
[28:39] 因為日東房從去年底跟年初
[28:41] 分別漲了兩次的價格
[28:43] 而且都是不按照倫理的漲法
[28:46] 就是他沒有在管你下游受不受的了
[28:48] 我就直接就是要漲三四成
[28:50] 所以就告訴你說
[28:51] 其實波圈是很缺的
[28:52] 所以這是什麼
[28:53] 讓台股的波圈造成很大的漲幅
[28:57] 也是因為這樣
[28:57] 就因為這個主要的main source大漲了
[29:01] 那只要有替代的
[29:02] 能够认证有机会过的
[29:04] 基本上市场都有很多的想象
[29:05] 好那今天非常谢谢凯哥
[29:07] 那我们一样啦
[29:09] 还是等一下
[29:10] 像今天晚上就美股了嘛
[29:11] 明天的话到底
[29:12] 川普跟伊朗之间的对话会是如何
[29:15] 不用心急
[29:17] 刚刚讲了所有的心法都还是一样的
[29:19] 但是你说现在是不是一个多头的格局
[29:22] 现在还是
[29:23] 就是以台股来说
[29:24] 台股真的特别强
[29:25] 这件事情是还没有改变
[29:27] 那我们也希望美股赶快跟上来
[29:29] 我们也不希望跟美股是在半年线交汇
[29:32] 美股也赶快上来
[29:34] 从年线努力往上攻这样
[29:36] 好那我们今天的股货仔就先到这边了
[29:39] 大家拜拜
[29:40] 谢谢赵华
[29:40] 谢谢各位大家
[29:41] 拜拜
